.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
10R_S10_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
10R_S10_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
11R_S11_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
11R_S11_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
12R_S12_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
12R_S12_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
13R_S13_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
13R_S13_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
14R_S14_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
14R_S14_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
15R_S15_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
15R_S15_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
16R_S16_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
16R_S16_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
17R_S17_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
17R_S17_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
18R_S18_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
18R_S18_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
19R_S19_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
19R_S19_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
1R_S1_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
1R_S1_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
20R_S20_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
20R_S20_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
21R_S21_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
21R_S21_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
22R_S22_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
22R_S22_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	0.25
23R_S94_R1_001	1	0.25	1	1	0.25	1	1	1	0.25	0.5	0.25
23R_S94_R2_001	1	0.25	1	1	0.25	1	1	1	0.25	0.5	0.25
24R_S23_R1_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
24R_S23_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
25R_S24_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
25R_S24_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
26R_S25_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
26R_S25_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
27R_S26_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
27R_S26_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
28R_S27_R1_001	1	0.25	1	1	0.25	1	1	1	0.25	0.5	0.25
28R_S27_R2_001	1	0.25	1	1	0.25	1	1	1	0.25	0.5	0.25
29R_S28_R1_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.5	0.25
29R_S28_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.5	0.25
