Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
10R_S10_R1_001 - nextera_transposase_sequence	(1, 0.0036169832229672664)	(2, 0.20340168026252936)	(3, 0.20390021741841483)	(4, 0.20391057278960534)	(5, 0.20392240749953733)	(6, 0.20392980419324483)	(7, 0.20393868022569384)	(8, 0.20394311824191833)	(9, 0.20394755625814284)	(10, 0.20441384382946365)	(15, 0.20867019725650712)	(20, 0.21157443507381973)	(25, 0.22132179804156263)	(30, 0.2468856590979259)	(35, 0.3128603206880937)	(40, 0.38932201461675436)	(45, 0.4823599950116697)	(50, 0.6086680078351697)	(55, 0.779479559754708)	(60, 1.0234494421931375)	(65, 1.431651073696662)	(70, 2.043668896178084)	(75, 2.915641743803087)	(80, 4.115830744120701)	(85, 5.889449607583209)	(90, 8.313678099144393)	(95, 11.125629144275026)	(100, 14.798492021260463)	(105, 19.219681359311114)	(110, 24.313977517305673)	(115, 30.105261756415928)	(120, 35.718698116816576)	(125, 41.07791751118417)	(130, 46.0455790183611)	(135, 50.69165299387835)	(140, 53.38845201550288)
10R_S10_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0032737766349392886)	(4, 0.00449127241919371)	(5, 0.02647720479536529)	(6, 0.027505345220707723)	(7, 0.028577865808295154)	(8, 0.029682931848195582)	(9, 0.03064598136891202)	(10, 0.03300552666160437)	(15, 0.037998886649663145)	(20, 0.03975071958734734)	(25, 0.04084040050433617)	(30, 0.04167445168679381)	(35, 0.042066772321039586)	(40, 0.042212339253203175)	(45, 0.04230849627140067)	(50, 0.04235701858212186)	(55, 0.04244725824535336)	(60, 0.04265821194989124)	(65, 0.042850525986286234)	(70, 0.0819367266109518)	(75, 0.2433012213272716)	(80, 0.250926620804207)	(85, 0.25568535766786393)	(90, 0.2604742730418474)	(95, 0.2663543486715612)	(100, 0.28355994583845)	(105, 0.3325435143792465)	(110, 0.4068072068057867)	(115, 0.4958409130952101)	(120, 0.6075389765076571)	(125, 0.7647130963048042)	(130, 0.9639735156943786)	(135, 1.2930136600660052)	(140, 1.5613651160385913)
10R_S10_R2_001 - nextera_transposase_sequence	(1, 0.0028758345134758142)	(2, 0.17279416170089634)	(3, 0.17317583109620333)	(4, 0.1731861864673938)	(5, 0.1731995005160673)	(6, 0.1732068972097748)	(7, 0.1732142939034823)	(8, 0.17321873191970683)	(9, 0.1732216905971898)	(10, 0.1736782145328167)	(15, 0.17781296631530893)	(20, 0.18058258430714505)	(25, 0.18958140187168898)	(30, 0.21124306319572375)	(35, 0.26753042297105367)	(40, 0.33294145650071)	(45, 0.414678176513811)	(50, 0.529449714095598)	(55, 0.6934308631778829)	(60, 0.9338671970983657)	(65, 1.3391329329355095)	(70, 1.9482749209034556)	(75, 2.8169228067730634)	(80, 4.010723430669385)	(85, 5.775934620328451)	(90, 8.189002684556012)	(95, 10.98834414212185)	(100, 14.632851645845713)	(105, 19.025613714771954)	(110, 24.098698818023138)	(115, 29.86307122261578)	(120, 35.45186032024429)	(125, 40.7853809378623)	(130, 45.72735609473508)	(135, 50.35511674423579)	(140, 53.0397985022287)
10R_S10_R2_001 - polyg	(1, 0.029364874018773104)	(2, 0.05322216990294206)	(3, 0.0557873432807029)	(4, 0.05644121100444586)	(5, 0.059083309996764685)	(6, 0.059769723172820644)	(7, 0.061070061926599056)	(8, 0.06257011141047997)	(9, 0.06408939229800037)	(10, 0.06782945650426041)	(15, 0.07197071737721525)	(20, 0.07417966598602291)	(25, 0.07564006919163162)	(30, 0.07730994676303671)	(35, 0.07938457141411617)	(40, 0.08025619780060791)	(45, 0.08098580766791567)	(50, 0.08181601256964541)	(55, 0.08275983068672237)	(60, 0.08357938434951331)	(65, 0.08448917767553574)	(70, 0.08562323875476957)	(75, 0.1351565295719075)	(80, 0.2803521477113816)	(85, 0.28882905456792435)	(90, 0.2951257119872445)	(95, 0.3002832785756098)	(100, 0.30775098054270134)	(105, 0.3242743066820104)	(110, 0.3657241947478445)	(115, 0.43036360518993455)	(120, 0.507007553651548)	(125, 0.6039143007232339)	(130, 0.7465459289559404)	(135, 0.9289966222258516)	(140, 1.0809439423815312)
11R_S11_R1_001 - nextera_transposase_sequence	(1, 0.005677731067966231)	(2, 0.3877338587094244)	(3, 0.3884248461601052)	(4, 0.38842837160628213)	(5, 0.3884512870064322)	(6, 0.38845657517569765)	(7, 0.3884618633449631)	(8, 0.3884671515142285)	(9, 0.38847596512967086)	(10, 0.3887999536333319)	(15, 0.3915787103099981)	(20, 0.3934179355805091)	(25, 0.4011139845847751)	(30, 0.41841193879656224)	(35, 0.4613913582289061)	(40, 0.5182874764447314)	(45, 0.5880320832524244)	(50, 0.6825951260565586)	(55, 0.8158710933297006)	(60, 1.0114177215154174)	(65, 1.3459878518765456)	(70, 1.8375912262079979)	(75, 2.5728110398923976)	(80, 3.5518616400573046)	(85, 5.006406088248123)	(90, 6.928151477422832)	(95, 9.337985723635196)	(100, 12.455816993242848)	(105, 16.299338442974005)	(110, 20.816830719779066)	(115, 26.32117117860319)	(120, 31.988293473933766)	(125, 37.61500957299655)	(130, 42.88583152795235)	(135, 47.79399083468604)	(140, 50.71862518598491)
11R_S11_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0032398850366103485)	(4, 0.004417384059709213)	(5, 0.020031585177388466)	(6, 0.02081775967484669)	(7, 0.021914173435875872)	(8, 0.02296828184278174)	(9, 0.02411228912719965)	(10, 0.026396778249858522)	(15, 0.0305395300523839)	(20, 0.03204278030223227)	(25, 0.032944941978911915)	(30, 0.033711373977779256)	(35, 0.03395321958551752)	(40, 0.03404558627535342)	(45, 0.03410269850341989)	(50, 0.03414147841136626)	(55, 0.03418801430090191)	(60, 0.03426275375985309)	(65, 0.03436499169898442)	(70, 0.10669163528667025)	(75, 0.41544809619560646)	(80, 0.42633185363306403)	(85, 0.43006988421447634)	(90, 0.4334373904026919)	(95, 0.4378706389701974)	(100, 0.45060067257051983)	(105, 0.48203073032719945)	(110, 0.5357458384575693)	(115, 0.6013572121674147)	(120, 0.685111942082278)	(125, 0.8046813271640845)	(130, 0.9615330106562956)	(135, 1.2282411224682186)	(140, 1.4463319213216306)
11R_S11_R2_001 - nextera_transposase_sequence	(1, 0.003724633885939971)	(2, 0.30942488550408453)	(3, 0.30988319350708704)	(4, 0.3098920071225294)	(5, 0.3099096343534141)	(6, 0.30991492252267955)	(7, 0.309920210691945)	(8, 0.3099254988612104)	(9, 0.30992726158429884)	(10, 0.31024807718640063)	(15, 0.31302965422000845)	(20, 0.3148068316378053)	(25, 0.32206678294998337)	(30, 0.33750224394649164)	(35, 0.3742313998517338)	(40, 0.42234281128385326)	(45, 0.4850805938148726)	(50, 0.5720029371197188)	(55, 0.7004684330844227)	(60, 0.8923341429167934)	(65, 1.2228225116942575)	(70, 1.7089773089592444)	(75, 2.4355865729010797)	(80, 3.400088009238361)	(85, 4.837984948037039)	(90, 6.738989432263557)	(95, 9.11947539668673)	(100, 12.183521401785088)	(105, 15.968110435588617)	(110, 20.429556579251113)	(115, 25.861134296795473)	(120, 31.456651959915394)	(125, 37.01421325931588)	(130, 42.212474833602464)	(135, 47.05491418288407)	(140, 49.939251274202014)
11R_S11_R2_001 - polyg	(1, 0.022684483425537853)	(2, 0.06166005363472796)	(3, 0.06355145550865772)	(4, 0.06403620435798735)	(5, 0.06644232137375074)	(6, 0.06699757914661922)	(7, 0.06823677347781458)	(8, 0.06975271533389994)	(9, 0.07165645626944901)	(10, 0.07546887376519484)	(15, 0.07973325346082474)	(20, 0.0819514641953571)	(25, 0.08340712092181675)	(30, 0.08519311195505593)	(35, 0.08738311912017274)	(40, 0.08855744524171234)	(45, 0.08957347882990722)	(50, 0.09060537692589836)	(55, 0.09211567806810061)	(60, 0.09324805138013462)	(65, 0.09441426897546726)	(70, 0.09647418717665489)	(75, 0.192529551347489)	(80, 0.4651635856382348)	(85, 0.4793203673063659)	(90, 0.4876287863115668)	(95, 0.4927463239820168)	(100, 0.4996480899626176)	(105, 0.5133349296553622)	(110, 0.5427463169311245)	(115, 0.5925027015494053)	(120, 0.6516702647370348)	(125, 0.7268814283866952)	(130, 0.8366112931886548)	(135, 0.981232498803816)	(140, 1.103926486832247)
12R_S12_R1_001 - nextera_transposase_sequence	(1, 0.0047858079327877)	(2, 0.34158682215256037)	(3, 0.3421002757315815)	(4, 0.3421055329354623)	(5, 0.34212831415227896)	(6, 0.3421475905665084)	(7, 0.3421633621781507)	(8, 0.3421738765859122)	(9, 0.34218614339496733)	(10, 0.34243042813529345)	(15, 0.3445585442662262)	(20, 0.34630779123748534)	(25, 0.3520444521121736)	(30, 0.36757037709310103)	(35, 0.4138979091311586)	(40, 0.4746438485325961)	(45, 0.558625577646229)	(50, 0.6768145304909502)	(55, 0.8558328370386835)	(60, 1.116393179619117)	(65, 1.5810227557193777)	(70, 2.2876887412860754)	(75, 3.379100038544067)	(80, 4.912246489962113)	(85, 7.303108908848934)	(90, 10.417908629971793)	(95, 14.10274626692524)	(100, 18.746535393117497)	(105, 24.044534475034457)	(110, 29.87801762407505)	(115, 36.268815204114006)	(120, 42.24841076917186)	(125, 47.567857140040786)	(130, 52.327989940515614)	(135, 56.541394566206634)	(140, 59.090826170466066)
12R_S12_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0016858100444312586)	(4, 0.0023674941476368298)	(5, 0.010388234868387216)	(6, 0.010947250881041655)	(7, 0.011741088667036832)	(8, 0.012347419514618138)	(9, 0.013029103617823709)	(10, 0.014508480789870349)	(15, 0.01742903278576342)	(20, 0.018548116251848455)	(25, 0.01923610899971094)	(30, 0.01977900292046438)	(35, 0.019989291075694887)	(40, 0.02007585969959811)	(45, 0.020126679337112152)	(50, 0.02016523216557108)	(55, 0.02021044411894564)	(60, 0.020312433874232438)	(65, 0.020421433234693583)	(70, 0.07597220376116139)	(75, 0.3495244990519947)	(80, 0.36434245391031256)	(85, 0.3675150012122236)	(90, 0.37058836260091754)	(95, 0.37420566935114097)	(100, 0.3837138482898886)	(105, 0.41439804446034845)	(110, 0.4684781998212376)	(115, 0.540843611239937)	(120, 0.6417633502968698)	(125, 0.7900662679311176)	(130, 0.9975400666841265)	(135, 1.343528920886179)	(140, 1.6437366417735142)
