Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10R_S10_R1_001	(1, 2.514875860549838e-05)	(2, 0.09063168799799165)	(3, 0.0)	(4, 0.0024098428099033446)	(5, 0.0)	(6, 0.0005769421091849628)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00015148428712959022)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.278346608179531e-05)	(35, 0.0)	(40, 0.0)	(45, 7.396693707499522e-06)	(50, 0.001841480865419081)	(55, 9.17190019729941e-06)	(60, 0.00015089255163299028)	(65, 0.0)	(70, 8.284296952399465e-06)	(75, 0.00013047767700029157)	(80, 1.1834709931999236e-06)	(85, 0.0)	(90, 0.0)	(95, 9.319834071449398e-05)	(100, 2.958677482999809e-07)	(105, 0.0)	(110, 0.0)	(115, 1.7752064897998856e-05)	(120, 0.00012426445428599198)	(125, 0.0)	(130, 0.0)	(135, 1.1834709931999236e-06)	(140, 0.00012278511554449206)	(145, 6.50909046259958e-06)	(150, 0.0)
10R_S10_R2_001	(1, 1.1834709931999236e-05)	(2, 2.958677482999809e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.4793387414999044e-06)	(8, 0.00021598345625898605)	(9, 0.0007293139995594529)	(10, 0.00018876362341538783)	(15, 0.00015858511308878978)	(20, 6.568264012259576e-05)	(25, 0.0)	(30, 0.00018255040070108821)	(35, 6.154049164639602e-05)	(40, 2.6923965095298263e-05)	(45, 6.50909046259958e-06)	(50, 0.00011953057031319229)	(55, 5.946941740829616e-05)	(60, 3.284132006129788e-05)	(65, 2.1006610129298645e-05)	(70, 2.958677482999809e-07)	(75, 8.047602753759481e-05)	(80, 1.923140363949876e-05)	(85, 2.1302477877598624e-05)	(90, 1.1834709931999236e-06)	(95, 0.0)	(100, 5.177685595249666e-05)	(105, 0.0009550610915123384)	(110, 1.4793387414999044e-06)	(115, 0.0)	(120, 6.50909046259958e-06)	(125, 9.763635693899369e-05)	(130, 4.438016224499714e-06)	(135, 2.958677482999809e-07)	(140, 0.0)	(145, 5.0001649462696775e-05)	(150, 7.396693707499522e-06)
11R_S11_R1_001	(1, 2.29154001501276e-05)	(2, 0.08991121657365835)	(3, 0.0)	(4, 0.0023690998309054997)	(5, 0.0)	(6, 0.0006134276347880312)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001618179795216703)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.130905598281614e-05)	(35, 0.0)	(40, 0.0)	(45, 1.3044150854688019e-05)	(50, 0.0018099640672423862)	(55, 9.51870467774531e-06)	(60, 0.00016393324722783592)	(65, 0.0)	(70, 1.3749240090076558e-05)	(75, 0.0001473636501962052)	(80, 3.172901559248437e-06)	(85, 0.0)	(90, 0.0)	(95, 0.00011457700075063801)	(100, 3.525446176942708e-07)	(105, 0.0)	(110, 0.0)	(115, 2.6088301709376038e-05)	(120, 0.00013572967781229424)	(125, 0.0)	(130, 0.0)	(135, 2.115267706165625e-06)	(140, 0.00014137039169540258)	(145, 1.0223793913133853e-05)	(150, 0.0)
11R_S11_R2_001	(1, 3.525446176942708e-06)	(2, 1.762723088471354e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.762723088471354e-06)	(8, 0.0002256285553243333)	(9, 0.0007033265123000702)	(10, 0.00018015029964177237)	(15, 0.00014912637328467655)	(20, 5.605459421338906e-05)	(25, 0.0)	(30, 0.0001762723088471354)	(35, 4.406807721178385e-05)	(40, 3.172901559248437e-05)	(45, 3.877990794636978e-06)	(50, 0.0001181024469275807)	(55, 5.7817317301860404e-05)	(60, 3.631209562250989e-05)	(65, 2.0447587826267706e-05)	(70, 0.0)	(75, 7.544454818657394e-05)	(80, 1.903740935549062e-05)	(85, 1.9389953973184892e-05)	(90, 2.8203569415541663e-06)	(95, 0.0)	(100, 4.9708791094892176e-05)	(105, 0.0009874774741616523)	(110, 3.172901559248437e-06)	(115, 0.0)	(120, 6.698347736191144e-06)	(125, 9.624468063053592e-05)	(130, 4.935624647719791e-06)	(135, 0.0)	(140, 0.0)	(145, 4.935624647719791e-05)	(150, 7.050892353885416e-06)
12R_S12_R1_001	(1, 2.4533618110226214e-05)	(2, 0.09137721305283113)	(3, 0.0)	(4, 0.0022781216816638626)	(5, 0.0)	(6, 0.0006483884786274072)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001577161164228828)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.252678830142459e-05)	(35, 0.0)	(40, 0.0)	(45, 9.813447244090487e-06)	(50, 0.0018288059899880058)	(55, 1.1215368278960557e-05)	(60, 0.00016087043875134049)	(65, 0.0)	(70, 1.0163927502808004e-05)	(75, 0.0001468512284026398)	(80, 1.752401293587587e-06)	(85, 0.0)	(90, 0.0)	(95, 0.00010584503813269024)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.61220919010058e-05)	(120, 0.00012757481417317634)	(125, 0.0)	(130, 3.504802587175174e-07)	(135, 1.0514407761525522e-06)	(140, 0.0001289767352080464)	(145, 1.086488802024304e-05)	(150, 0.0)
12R_S12_R2_001	(1, 1.5771611642288282e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.504802587175174e-06)	(8, 0.0002540981875702001)	(9, 0.0006781793006183962)	(10, 0.00020748431316077029)	(15, 0.00018049733323952146)	(20, 6.904461096735091e-05)	(25, 0.0)	(30, 0.00019311462255335209)	(35, 6.063308475813051e-05)	(40, 3.715090742405684e-05)	(45, 3.855282845892691e-06)	(50, 0.00012652337339702377)	(55, 6.308644656915313e-05)	(60, 4.135667052866705e-05)	(65, 2.3131697075356146e-05)	(70, 0.0)	(75, 8.27133410573341e-05)	(80, 2.4533618110226214e-05)	(85, 2.3482177334073664e-05)	(90, 2.453361811022622e-06)	(95, 0.0)	(100, 4.83662757030174e-05)	(105, 0.0009515539024180597)	(110, 1.4019210348700696e-06)	(115, 0.0)	(120, 8.762006467937934e-06)	(125, 0.00010339167632166762)	(130, 3.504802587175174e-06)	(135, 0.0)	(140, 0.0)	(145, 5.327299932506264e-05)	(150, 4.381003233968967e-06)
13R_S13_R1_001	(1, 2.389110945967135e-05)	(2, 0.08749820200736387)	(3, 0.0)	(4, 0.002303998868517056)	(5, 0.0)	(6, 0.0005972777364917838)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00014782623978171647)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.391752197709562e-05)	(35, 0.0)	(40, 0.0)	(45, 1.0452360388606216e-05)	(50, 0.0017825754045597286)	(55, 9.55644378386854e-06)	(60, 0.00015081262846417543)	(65, 0.0)	(70, 7.465971706147298e-06)	(75, 0.0001355820461836349)	(80, 1.7918332094753515e-06)	(85, 0.0)	(90, 0.0)	(95, 9.705763217991488e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.1203359645458325e-05)	(120, 0.00011915690843011086)	(125, 0.0)	(130, 2.9863886824589187e-07)	(135, 5.972777364917837e-07)	(140, 0.00011557324201116015)	(145, 7.167332837901406e-06)	(150, 0.0)
13R_S13_R2_001	(1, 2.9863886824589188e-06)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00021501998513704217)	(9, 0.0006599918988234211)	(10, 0.00017500237679209265)	(15, 0.00013826979599784796)	(20, 4.8976774392326265e-05)	(25, 0.0)	(30, 0.00017231462697787963)	(35, 4.360127476390022e-05)	(40, 2.538430380090081e-05)	(45, 2.9863886824589188e-06)	(50, 0.00011885826956186497)	(55, 4.360127476390022e-05)	(60, 3.046116456108097e-05)	(65, 2.0008804172474758e-05)	(70, 0.0)	(75, 7.615291140270244e-05)	(80, 1.4931943412294596e-05)	(85, 1.7022415490015837e-05)	(90, 8.959166047376758e-07)	(95, 0.0)	(100, 3.7927136267228266e-05)	(105, 0.0009356355742143793)	(110, 5.972777364917837e-07)	(115, 0.0)	(120, 5.674138496671946e-06)	(125, 9.078621594675113e-05)	(130, 2.6877498142130273e-06)	(135, 0.0)	(140, 0.0)	(145, 4.808085778758859e-05)	(150, 3.732985853073649e-06)
14R_S14_R1_001	(1, 2.609429255502511e-05)	(2, 0.08923634070464352)	(3, 0.0)	(4, 0.0023070424535413378)	(5, 0.0)	(6, 0.0005955638536088084)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00014919795507932005)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.858986934219327e-05)	(35, 0.0)	(40, 0.0)	(45, 9.209750313538276e-06)	(50, 0.0017836216440552458)	(55, 6.753816896594736e-06)	(60, 0.00015840770539285833)	(65, 0.0)	(70, 8.902758636420332e-06)	(75, 0.0001366112963174844)	(80, 1.22796670847177e-06)	(85, 0.0)	(90, 0.0)	(95, 9.885132003197749e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.6577550564368893e-05)	(120, 0.00012955048774377173)	(125, 0.0)	(130, 6.13983354235885e-07)	(135, 1.5349583855897124e-06)	(140, 0.00012893650438953585)	(145, 8.595766959302389e-06)	(150, 0.0)
14R_S14_R2_001	(1, 1.22796670847177e-05)	(2, 1.5349583855897124e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.069916771179425e-06)	(8, 0.00023024375783845685)	(9, 0.0007030109406000883)	(10, 0.0002007725568351344)	(15, 0.00016362656390386335)	(20, 6.50822355490038e-05)	(25, 0.0)	(30, 0.00019125581484447817)	(35, 5.49515102041117e-05)	(40, 2.7936242617732767e-05)	(45, 3.069916771179425e-06)	(50, 0.00012985747942088967)	(55, 5.771443529817318e-05)	(60, 3.3155101128737786e-05)	(65, 2.210340075249186e-05)	(70, 0.0)	(75, 7.367800250830621e-05)	(80, 1.934047565843038e-05)	(85, 2.0568442366902146e-05)	(90, 2.45593341694354e-06)	(95, 0.0)	(100, 5.034663504734257e-05)	(105, 0.0009464553405546168)	(110, 1.22796670847177e-06)	(115, 0.0)	(120, 8.595766959302389e-06)	(125, 9.301847816673658e-05)	(130, 5.525850188122965e-06)	(135, 9.209750313538274e-07)	(140, 0.0)	(145, 5.372354349563993e-05)	(150, 9.97722950633313e-06)
