Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10R_S10_R1_001	(1, 20.517645019946663)	(2, 36.20916342358631)	(3, 36.11436874322925)	(4, 36.30980579684803)	(5, 36.3629875068364)	(6, 36.40708316265463)	(7, 36.40395584055509)	(8, 36.32485692945196)	(9, 36.370979663974126)	(10, 36.417118795486886)	(15, 36.413309202359784)	(20, 36.41169519645397)	(25, 36.317046932169504)	(30, 36.27076563028633)	(35, 36.24615981266838)	(40, 36.252796510890825)	(45, 36.20745329024908)	(50, 36.17902980527316)	(55, 36.13383747126569)	(60, 36.09677776648549)	(65, 36.111282700597954)	(70, 36.09223977063149)	(75, 36.06512094407849)	(80, 35.989108250168606)	(85, 36.034714861155926)	(90, 35.988562137478795)	(95, 35.958840266476244)	(100, 35.88331859764013)	(105, 35.85323569697639)	(110, 35.80291509616367)	(115, 35.72376020688257)	(120, 35.59984924354753)	(125, 35.526588187746434)	(130, 35.390772926385)	(135, 35.181632973987156)	(140, 34.93095514541382)	(145, 34.74853963969522)	(150, 34.50866030048033)
10R_S10_R2_001	(1, 18.825110384558545)	(2, 36.26390482999661)	(3, 36.15162080050865)	(4, 36.108089985808704)	(5, 36.11807516727253)	(6, 36.150375256461864)	(7, 36.08726493492315)	(8, 36.086190861029884)	(9, 36.16212039243307)	(10, 36.21297367058114)	(15, 36.217172359384044)	(20, 36.20050741318833)	(25, 36.148324336734774)	(30, 36.145249557788674)	(35, 36.1089922404245)	(40, 36.09069446225815)	(45, 36.066436765591526)	(50, 36.06195839300616)	(55, 36.04744098806809)	(60, 36.04584855092113)	(65, 35.99601661119886)	(70, 35.92548929054908)	(75, 35.90862326967295)	(80, 35.94021996583615)	(85, 35.952179091114985)	(90, 35.91053864054983)	(95, 35.87887254860626)	(100, 35.847223122892956)	(105, 35.81366488273208)	(110, 35.79158507447805)	(115, 35.70415340624403)	(120, 35.67282682845898)	(125, 35.59189917063832)	(130, 35.62377813646811)	(135, 35.52699495560283)	(140, 35.43399551789948)	(145, 35.368401102580755)	(150, 35.15715012492276)
11R_S11_R1_001	(1, 20.580198030657563)	(2, 36.193310279030605)	(3, 36.078126319838915)	(4, 36.290677444096644)	(5, 36.36015587971798)	(6, 36.40953028224299)	(7, 36.40353356880493)	(8, 36.306679691075026)	(9, 36.3746523028708)	(10, 36.41525592059905)	(15, 36.40002432557862)	(20, 36.40870438301801)	(25, 36.32256810139635)	(30, 36.28568847592282)	(35, 36.28356744411216)	(40, 36.2905998419754)	(45, 36.24735916935411)	(50, 36.21732903454528)	(55, 36.18705332420665)	(60, 36.1170178328349)	(65, 36.172001110938595)	(70, 36.10889629773154)	(75, 36.11168863795233)	(80, 36.04759396406949)	(85, 36.09063936222704)	(90, 36.04968446551627)	(95, 36.02447295989833)	(100, 35.95570983025541)	(105, 35.91883004261136)	(110, 35.85719933479061)	(115, 35.759232960214206)	(120, 35.638930892229794)	(125, 35.57920916063216)	(130, 35.47559281435099)	(135, 35.27048641003957)	(140, 35.05278083316446)	(145, 34.86519155300276)	(150, 34.61117928148869)
11R_S11_R2_001	(1, 18.57167443604495)	(2, 36.08496563254049)	(3, 35.996917772916426)	(4, 35.998817389079946)	(5, 35.95788988508597)	(6, 36.02981402848363)	(7, 35.945323238288715)	(8, 35.92960142292648)	(9, 36.039227480965764)	(10, 36.109646865222615)	(15, 36.1140331901015)	(20, 36.1086903270641)	(25, 36.05089277693895)	(30, 36.05086667453546)	(35, 36.021334847441956)	(40, 35.99047967361701)	(45, 35.960267900770255)	(50, 35.95444776282942)	(55, 35.921028348676785)	(60, 35.92041770261903)	(65, 35.85036431255703)	(70, 35.7656015518168)	(75, 35.739004154526796)	(80, 35.77990636696989)	(85, 35.77565456959167)	(90, 35.72415175297171)	(95, 35.68111381113282)	(100, 35.6756894009999)	(105, 35.62854865066368)	(110, 35.603233028043796)	(115, 35.506132203385526)	(120, 35.47493807201245)	(125, 35.3823444985624)	(130, 35.43831552912505)	(135, 35.34478588625698)	(140, 35.28384901444742)	(145, 35.233428421667625)	(150, 35.017554782965775)
12R_S12_R1_001	(1, 20.57697656627656)	(2, 36.21143070334992)	(3, 36.108314189079366)	(4, 36.29608405778333)	(5, 36.34190391916663)	(6, 36.421127738576075)	(7, 36.3988267147619)	(8, 36.29989581098109)	(9, 36.37874615862684)	(10, 36.4069564338143)	(15, 36.39823737519727)	(20, 36.40693956169464)	(25, 36.313718051424395)	(30, 36.28204320177385)	(35, 36.25074183089661)	(40, 36.25827937149426)	(45, 36.205664020336265)	(50, 36.1668983241874)	(55, 36.12763941118966)	(60, 36.083996806774365)	(65, 36.11769475815591)	(70, 36.07025435666676)	(75, 36.075932802770474)	(80, 35.98929746845481)	(85, 36.02952040193777)	(90, 36.00284381434325)	(95, 35.945557844094296)	(100, 35.8674834036645)	(105, 35.7937360766241)	(110, 35.7039654370388)	(115, 35.564921401735276)	(120, 35.3813055091729)	(125, 35.19031000942705)	(130, 34.89552743204604)	(135, 34.46043181095515)	(140, 33.923676821802964)	(145, 33.42636403280461)	(150, 32.97768861949419)
12R_S12_R2_001	(1, 18.929785328212933)	(2, 36.18451760466721)	(3, 36.08998715577472)	(4, 36.03196774249795)	(5, 36.058565654283996)	(6, 36.11835828738172)	(7, 36.075779667431036)	(8, 36.034746157224916)	(9, 36.120775251817875)	(10, 36.1705891616959)	(15, 36.17791334042647)	(20, 36.179223926305916)	(25, 36.125255787940524)	(30, 36.12262940454018)	(35, 36.08629152019147)	(40, 36.06268615956087)	(45, 36.02298805624612)	(50, 36.0228120450602)	(55, 35.99762653717356)	(60, 35.99592649062102)	(65, 35.939003772131414)	(70, 35.86509829437905)	(75, 35.83451763007702)	(80, 35.87877605284051)	(85, 35.903904867040495)	(90, 35.87243647129115)	(95, 35.83773965117226)	(100, 35.8158264898412)	(105, 35.78862651956193)	(110, 35.75809542368288)	(115, 35.6827168213263)	(120, 35.641513741761415)	(125, 35.55410646766631)	(130, 35.57068265931453)	(135, 35.46731042062801)	(140, 35.34467158115926)	(145, 35.24157142730719)	(150, 34.99438386052428)
13R_S13_R1_001	(1, 19.976414890856677)	(2, 36.21133309419328)	(3, 36.09604615726511)	(4, 36.2912468992513)	(5, 36.35072601124683)	(6, 36.403661034790545)	(7, 36.39837957654173)	(8, 36.29661106553467)	(9, 36.37117515843053)	(10, 36.411771077957454)	(15, 36.402260478226246)	(20, 36.406539650678226)	(25, 36.334912957744876)	(30, 36.291912284568085)	(35, 36.25697581647829)	(40, 36.26135565411998)	(45, 36.2112647745794)	(50, 36.1730556814111)	(55, 36.123271874300386)	(60, 36.083212704384145)	(65, 36.12207635123748)	(70, 36.08753185860782)	(75, 36.07076710574693)	(80, 36.011639918752905)	(85, 36.03417100888826)	(90, 35.99559578446749)	(95, 35.94317135872875)	(100, 35.86147749877823)	(105, 35.811394667555135)	(110, 35.72962314059414)	(115, 35.644187490916714)	(120, 35.506250032197)	(125, 35.38967618572584)	(130, 35.202674066181274)	(135, 34.91837905272916)	(140, 34.57011890859021)	(145, 34.24185004449495)	(150, 33.892090204646614)
13R_S13_R2_001	(1, 18.884392743021746)	(2, 36.115627220986596)	(3, 36.010999362271626)	(4, 36.0221909434508)	(5, 35.99482367756475)	(6, 36.06291734128565)	(7, 36.01350255326527)	(8, 35.961037527572394)	(9, 36.06860441084532)	(10, 36.134109777467906)	(15, 36.154820768224894)	(20, 36.15330962270129)	(25, 36.09703122354479)	(30, 36.091194055103564)	(35, 36.053730367536794)	(40, 36.025512969370894)	(45, 35.9876406841046)	(50, 35.9846892421425)	(55, 35.95878851409229)	(60, 35.95655923466862)	(65, 35.89323993143908)	(70, 35.81731343906712)	(75, 35.78765320901873)	(80, 35.82290892205867)	(85, 35.845084736464415)	(90, 35.8086782155593)	(95, 35.78058105537453)	(100, 35.733699546213764)	(105, 35.70301016182957)	(110, 35.675437895292404)	(115, 35.58418203986145)	(120, 35.563704274115004)	(125, 35.48434772321236)	(130, 35.52901981840696)	(135, 35.42635428881774)	(140, 35.35685358209632)	(145, 35.30010080405678)	(150, 35.07344286073101)
14R_S14_R1_001	(1, 20.355976788727684)	(2, 36.219902558999735)	(3, 36.14388125832082)	(4, 36.31550119476556)	(5, 36.36657016587957)	(6, 36.424543579356566)	(7, 36.410259839904455)	(8, 36.33236665747431)	(9, 36.38150472768718)	(10, 36.428164711963674)	(15, 36.428291094297315)	(20, 36.42920881521689)	(25, 36.3443908767845)	(30, 36.293654098294375)	(35, 36.278097927459285)	(40, 36.28793233215775)	(45, 36.2244740457417)	(50, 36.16515231867898)	(55, 36.08358386258955)	(60, 36.00359783193882)	(65, 36.0181296329457)	(70, 35.96532679125883)	(75, 36.005455945113326)	(80, 35.978697417736434)	(85, 36.00469148978855)	(90, 35.9709701854902)	(95, 35.91398283541995)	(100, 35.833114258956016)	(105, 35.767311366584806)	(110, 35.693187483224825)	(115, 35.57570302091783)	(120, 35.38681062447848)	(125, 35.23616096101657)	(130, 35.01117869669324)	(135, 34.68458534618823)	(140, 34.31198470641142)	(145, 34.00319046626295)	(150, 33.715749867233775)
14R_S14_R2_001	(1, 19.736334426663724)	(2, 36.06620231003255)	(3, 36.09465790582005)	(4, 36.13870869415472)	(5, 36.11330157176976)	(6, 36.138060450529316)	(7, 36.072196706267874)	(8, 36.07229211928112)	(9, 36.14556160796469)	(10, 36.214231415790664)	(15, 36.23267870223444)	(20, 36.219340721251776)	(25, 36.17845039995336)	(30, 36.174019892999276)	(35, 36.13773069541934)	(40, 36.11465795616668)	(45, 36.114173624607446)	(50, 36.110049882156645)	(55, 36.09620520527106)	(60, 36.08626409640546)	(65, 36.016145103668485)	(70, 35.96412990131783)	(75, 35.903161593695714)	(80, 35.959116484707074)	(85, 35.977451581042445)	(90, 35.943225714433325)	(95, 35.92198595494658)	(100, 35.90440818865916)	(105, 35.86803687387551)	(110, 35.83709122561608)	(115, 35.73762167960488)	(120, 35.69381890984615)	(125, 35.588467879138484)	(130, 35.58854701238309)	(135, 35.47082562924928)	(140, 35.34728143059841)	(145, 35.25369221499499)	(150, 35.02619746478291)
15R_S15_R1_001	(1, 20.052809797284972)	(2, 36.17528635322929)	(3, 36.05341920469253)	(4, 36.279807564105)	(5, 36.35221598210726)	(6, 36.3863804551177)	(7, 36.396736866054624)	(8, 36.31986478407355)	(9, 36.36404857008605)	(10, 36.41905355813218)	(15, 36.4091477076948)	(20, 36.404851213987676)	(25, 36.328760886620124)	(30, 36.27403865064317)	(35, 36.24437431220913)	(40, 36.25369615873184)	(45, 36.19641790274646)	(50, 36.16379591385295)	(55, 36.114863636923616)	(60, 36.04290913060709)	(65, 36.088692029640455)	(70, 36.02037075517411)	(75, 36.03891943765458)	(80, 35.99746527128552)	(85, 36.024445094585175)	(90, 35.98730216441241)	(95, 35.94583809122714)	(100, 35.87444835533712)	(105, 35.84418849541875)	(110, 35.7943394028821)	(115, 35.711828431415874)	(120, 35.57721932220245)	(125, 35.47927044608349)	(130, 35.362805757774694)	(135, 35.14738781349673)	(140, 34.905861729716456)	(145, 34.72652006239486)	(150, 34.52768531965795)
15R_S15_R2_001	(1, 18.937358105674775)	(2, 36.026432566404246)	(3, 35.96821741158269)	(4, 35.988162873245614)	(5, 35.935767350143706)	(6, 36.016878170765594)	(7, 35.949177179705174)	(8, 35.942698606496926)	(9, 36.02390772744291)	(10, 36.09151968001154)	(15, 36.10831433048095)	(20, 36.097485985847825)	(25, 36.041514542322325)	(30, 36.02940189823881)	(35, 35.99260959359974)	(40, 35.961463225492146)	(45, 35.94464139014575)	(50, 35.935559593662866)	(55, 35.92081384546329)	(60, 35.90726376091068)	(65, 35.84659385196568)	(70, 35.77283037056509)	(75, 35.73301056951158)	(80, 35.78562425415205)	(85, 35.81264831856963)	(90, 35.760716262470496)	(95, 35.737736079890915)	(100, 35.72363819925)	(105, 35.6829182361417)	(110, 35.66566523076415)	(115, 35.567217823041474)	(120, 35.53984478138237)	(125, 35.4495335350165)	(130, 35.48727092535089)	(135, 35.383424719134254)	(140, 35.29668245876189)	(145, 35.2377181773219)	(150, 35.02752564348491)
16R_S16_R1_001	(1, 20.31997211563464)	(2, 36.252081282404994)	(3, 36.17662767627698)	(4, 36.34392250540279)	(5, 36.40370479595196)	(6, 36.44243761424882)	(7, 36.43822283843986)	(8, 36.36378574145989)	(9, 36.391167749235045)	(10, 36.44475281471442)	(15, 36.44530677276712)	(20, 36.442913815334876)	(25, 36.34636803727829)	(30, 36.31545215005239)	(35, 36.31305687691976)	(40, 36.31097494735409)	(45, 36.22057739977847)	(50, 36.14218772690578)	(55, 36.05232259217547)	(60, 35.932903980647296)	(65, 36.02652321908383)	(70, 35.919788494385195)	(75, 36.027087468499765)	(80, 36.04983118587318)	(85, 36.07650913454016)	(90, 36.02253410626585)	(95, 35.971456984522256)	(100, 35.86289970881217)	(105, 35.82348369569519)	(110, 35.76163386107886)	(115, 35.66356900081077)	(120, 35.53491957660206)	(125, 35.459699410885534)	(130, 35.32178643527936)	(135, 35.073520246267556)	(140, 34.80417552957174)	(145, 34.55684297866357)	(150, 34.32211150962131)
