Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
10R_S10_R1_001	(13.0, 19.0)	(14.0, 203.0)	(15.0, 747.0)	(16.0, 2911.0)	(17.0, 6093.0)	(18.0, 6566.0)	(19.0, 6289.0)	(20.0, 9197.0)	(21.0, 17619.0)	(22.0, 31763.0)	(23.0, 50900.0)	(24.0, 75398.0)	(25.0, 115151.0)	(26.0, 174260.0)	(27.0, 273863.0)	(28.0, 407549.0)	(29.0, 589799.0)	(30.0, 801534.0)	(31.0, 1083805.0)	(32.0, 1437016.0)	(33.0, 2218567.0)	(34.0, 3873899.0)	(35.0, 7275156.0)	(36.0, 46807575.0)	(37.0, 2331891.0)		
10R_S10_R2_001	(11.0, 133.0)	(12.0, 1826.0)	(13.0, 3533.0)	(14.0, 3949.0)	(15.0, 4238.0)	(16.0, 4786.0)	(17.0, 7722.0)	(18.0, 12323.0)	(19.0, 16737.0)	(20.0, 19588.0)	(21.0, 25369.0)	(22.0, 37286.0)	(23.0, 67101.0)	(24.0, 112679.0)	(25.0, 167457.0)	(26.0, 222611.0)	(27.0, 298495.0)	(28.0, 389500.0)	(29.0, 519064.0)	(30.0, 679626.0)	(31.0, 928330.0)	(32.0, 1267454.0)	(33.0, 1934306.0)	(34.0, 3422820.0)	(35.0, 9191527.0)	(36.0, 46609524.0)	(37.0, 1649786.0)
11R_S11_R1_001	(13.0, 19.0)	(14.0, 156.0)	(15.0, 552.0)	(16.0, 1958.0)	(17.0, 3764.0)	(18.0, 3799.0)	(19.0, 3221.0)	(20.0, 3059.0)	(21.0, 3667.0)	(22.0, 5890.0)	(23.0, 13628.0)	(24.0, 29487.0)	(25.0, 60684.0)	(26.0, 110139.0)	(27.0, 190070.0)	(28.0, 300066.0)	(29.0, 454024.0)	(30.0, 639075.0)	(31.0, 885420.0)	(32.0, 1211443.0)	(33.0, 1989103.0)	(34.0, 3232503.0)	(35.0, 6204350.0)	(36.0, 39700456.0)	(37.0, 1683875.0)		
11R_S11_R2_001	(11.0, 122.0)	(12.0, 1824.0)	(13.0, 3720.0)	(14.0, 3835.0)	(15.0, 3473.0)	(16.0, 3582.0)	(17.0, 5195.0)	(18.0, 8621.0)	(19.0, 14296.0)	(20.0, 18209.0)	(21.0, 22040.0)	(22.0, 29834.0)	(23.0, 52064.0)	(24.0, 90162.0)	(25.0, 144853.0)	(26.0, 205343.0)	(27.0, 288111.0)	(28.0, 383922.0)	(29.0, 512725.0)	(30.0, 673315.0)	(31.0, 913795.0)	(32.0, 1252135.0)	(33.0, 1923740.0)	(34.0, 3455335.0)	(35.0, 9163144.0)	(36.0, 36445610.0)	(37.0, 1111403.0)
12R_S12_R1_001	(12.0, 1.0)	(13.0, 8.0)	(14.0, 92.0)	(15.0, 323.0)	(16.0, 1133.0)	(17.0, 2167.0)	(18.0, 2217.0)	(19.0, 2382.0)	(20.0, 2843.0)	(21.0, 4196.0)	(22.0, 7967.0)	(23.0, 19192.0)	(24.0, 41922.0)	(25.0, 82779.0)	(26.0, 144244.0)	(27.0, 240973.0)	(28.0, 367931.0)	(29.0, 544365.0)	(30.0, 754848.0)	(31.0, 1075516.0)	(32.0, 1885351.0)	(33.0, 3081514.0)	(34.0, 3810264.0)	(35.0, 7015069.0)	(36.0, 36411189.0)	(37.0, 1566069.0)	
12R_S12_R2_001	(11.0, 109.0)	(12.0, 1664.0)	(13.0, 3112.0)	(14.0, 3321.0)	(15.0, 3185.0)	(16.0, 3332.0)	(17.0, 4615.0)	(18.0, 8127.0)	(19.0, 12550.0)	(20.0, 16371.0)	(21.0, 21337.0)	(22.0, 31872.0)	(23.0, 55725.0)	(24.0, 95130.0)	(25.0, 146338.0)	(26.0, 198980.0)	(27.0, 271390.0)	(28.0, 356760.0)	(29.0, 474676.0)	(30.0, 621293.0)	(31.0, 842316.0)	(32.0, 1141625.0)	(33.0, 1739443.0)	(34.0, 3088887.0)	(35.0, 8070667.0)	(36.0, 38497920.0)	(37.0, 1353810.0)
13R_S13_R1_001	(13.0, 29.0)	(14.0, 207.0)	(15.0, 568.0)	(16.0, 1716.0)	(17.0, 3557.0)	(18.0, 4520.0)	(19.0, 5643.0)	(20.0, 8193.0)	(21.0, 11869.0)	(22.0, 15975.0)	(23.0, 24559.0)	(24.0, 42617.0)	(25.0, 80085.0)	(26.0, 140756.0)	(27.0, 243444.0)	(28.0, 382015.0)	(29.0, 572687.0)	(30.0, 803745.0)	(31.0, 1141793.0)	(32.0, 1827220.0)	(33.0, 3048012.0)	(34.0, 3892779.0)	(35.0, 8074443.0)	(36.0, 45065833.0)	(37.0, 1578254.0)		
13R_S13_R2_001	(11.0, 180.0)	(12.0, 2236.0)	(13.0, 4381.0)	(14.0, 5083.0)	(15.0, 4862.0)	(16.0, 5375.0)	(17.0, 7409.0)	(18.0, 11822.0)	(19.0, 17984.0)	(20.0, 22305.0)	(21.0, 27061.0)	(22.0, 36849.0)	(23.0, 62111.0)	(24.0, 104941.0)	(25.0, 163888.0)	(26.0, 229108.0)	(27.0, 318993.0)	(28.0, 420713.0)	(29.0, 563877.0)	(30.0, 740834.0)	(31.0, 1008899.0)	(32.0, 1386386.0)	(33.0, 2138411.0)	(34.0, 3855165.0)	(35.0, 10332597.0)	(36.0, 43598581.0)	(37.0, 1900468.0)
14R_S14_R1_001	(13.0, 18.0)	(14.0, 201.0)	(15.0, 655.0)	(16.0, 2351.0)	(17.0, 4855.0)	(18.0, 5219.0)	(19.0, 5319.0)	(20.0, 8494.0)	(21.0, 19261.0)	(22.0, 37376.0)	(23.0, 54851.0)	(24.0, 72768.0)	(25.0, 104506.0)	(26.0, 158358.0)	(27.0, 254715.0)	(28.0, 386342.0)	(29.0, 572886.0)	(30.0, 798712.0)	(31.0, 1129165.0)	(32.0, 1773700.0)	(33.0, 3441582.0)	(34.0, 4063653.0)	(35.0, 7672133.0)	(36.0, 42818245.0)	(37.0, 1762981.0)		
14R_S14_R2_001	(11.0, 121.0)	(12.0, 2045.0)	(13.0, 4126.0)	(14.0, 4352.0)	(15.0, 4266.0)	(16.0, 4987.0)	(17.0, 7216.0)	(18.0, 10841.0)	(19.0, 14854.0)	(20.0, 18473.0)	(21.0, 23773.0)	(22.0, 32979.0)	(23.0, 54851.0)	(24.0, 90622.0)	(25.0, 138579.0)	(26.0, 194431.0)	(27.0, 271588.0)	(28.0, 363780.0)	(29.0, 490301.0)	(30.0, 650026.0)	(31.0, 884494.0)	(32.0, 1217445.0)	(33.0, 1884700.0)	(34.0, 3451225.0)	(35.0, 8978479.0)	(36.0, 43739328.0)	(37.0, 2610464.0)
