Sample	Unique Reads	Duplicate Reads
10R_S10_R1_001	5014801.0	62582969.0
10R_S10_R2_001	5772660.0	61825110.0
11R_S11_R1_001	3290562.0	53439846.0
11R_S11_R2_001	4335514.0	52394894.0
12R_S12_R1_001	4206725.0	52857830.0
12R_S12_R2_001	5108787.0	51955768.0
13R_S13_R1_001	3939892.0	63030627.0
13R_S13_R2_001	5010663.0	61959856.0
14R_S14_R1_001	4639077.0	60509269.0
14R_S14_R2_001	5391404.0	59756942.0
15R_S15_R1_001	4958700.0	53647414.0
15R_S15_R2_001	6047211.0	52558903.0
16R_S16_R1_001	3603378.0	66008391.0
16R_S16_R2_001	5156865.0	64454904.0
17R_S17_R1_001	3785749.0	53632999.0
17R_S17_R2_001	3654469.0	53764279.0
18R_S18_R1_001	3209392.0	54769602.0
18R_S18_R2_001	3623774.0	54355220.0
19R_S19_R1_001	4742337.0	57067711.0
19R_S19_R2_001	5244722.0	56565326.0
1R_S1_R1_001	6819740.0	107909262.0
1R_S1_R2_001	8100320.0	106628682.0
20R_S20_R1_001	3227078.0	53895293.0
20R_S20_R2_001	4103129.0	53019242.0
21R_S21_R1_001	3720105.0	54350091.0
21R_S21_R2_001	4296757.0	53773439.0
22R_S22_R1_001	1940258.0	35087048.0
22R_S22_R2_001	2686308.0	34340998.0
23R_S94_R1_001	4027880.0	53522043.0
23R_S94_R2_001	5562164.0	51987759.0
24R_S23_R1_001	6696413.0	55920982.0
24R_S23_R2_001	7416399.0	55200996.0
25R_S24_R1_001	2933103.0	63013242.0
25R_S24_R2_001	4863519.0	61082826.0
26R_S25_R1_001	4273190.0	62184839.0
26R_S25_R2_001	5199467.0	61258562.0
27R_S26_R1_001	3764852.0	66195210.0
27R_S26_R2_001	4403611.0	65556451.0
28R_S27_R1_001	4640460.0	68310576.0
28R_S27_R2_001	5550709.0	67400327.0
29R_S28_R1_001	3795997.0	59572811.0
29R_S28_R2_001	4127667.0	59241141.0
2R_S8_R1_001	4026366.0	58933233.0
2R_S8_R2_001	4865687.0	58093912.0
30R_S29_R1_001	4517982.0	60168900.0
30R_S29_R2_001	5291173.0	59395709.0
31R_S30_R1_001	3709080.0	58118924.0
31R_S30_R2_001	4840243.0	56987761.0
32R_S31_R1_001	3758999.0	55490597.0
32R_S31_R2_001	4694144.0	54555452.0
33R_S32_R1_001	4732257.0	54905847.0
33R_S32_R2_001	5498808.0	54139296.0
34R_S33_R1_001	5655206.0	52678672.0
34R_S33_R2_001	6810576.0	51523302.0
35R_S34_R1_001	5261920.0	60365659.0
35R_S34_R2_001	6798542.0	58829037.0
36R_S35_R1_001	4992887.0	57313027.0
36R_S35_R2_001	6015622.0	56290292.0
37R_S36_R1_001	5459116.0	61706396.0
37R_S36_R2_001	6543640.0	60621872.0
38R_S37_R1_001	6302606.0	60751652.0
38R_S37_R2_001	7753630.0	59300628.0
39R_S38_R1_001	3931508.0	54695058.0
39R_S38_R2_001	4710328.0	53916238.0
3R_S2_R1_001	6281062.0	83579295.0
3R_S2_R2_001	7843801.0	82016556.0
40R_S39_R1_001	4738647.0	62678173.0
40R_S39_R2_001	5673822.0	61742998.0
41R_S40_R1_001	4579590.0	54097052.0
41R_S40_R2_001	5407606.0	53269036.0
42R_S41_R1_001	3589413.0	49604928.0
42R_S41_R2_001	3786782.0	49407559.0
43R_S42_R1_001	3440343.0	54037551.0
43R_S42_R2_001	4440463.0	53037431.0
44R_S43_R1_001	3648975.0	52434735.0
44R_S43_R2_001	4451068.0	51632642.0
45R_S44_R1_001	4959556.0	50787008.0
45R_S44_R2_001	5518548.0	50228016.0
46R_S45_R1_001	3836467.0	52218135.0
46R_S45_R2_001	5304531.0	50750071.0
47R_S46_R1_001	4681947.0	66666690.0
47R_S46_R2_001	5772053.0	65576584.0
48R_S47_R1_001	4021488.0	55854032.0
48R_S47_R2_001	5040256.0	54835264.0
49R_S48_R1_001	8665647.0	63706013.0
49R_S48_R2_001	10523893.0	61847767.0
4R_S3_R1_001	3920073.0	72601709.0
4R_S3_R2_001	4924218.0	71597564.0
50R_S49_R1_001	7057446.0	55884171.0
50R_S49_R2_001	8158725.0	54782892.0
51R_S50_R1_001	6827864.0	49320203.0
51R_S50_R2_001	7160181.0	48987886.0
52R_S51_R1_001	5698924.0	45937105.0
52R_S51_R2_001	6431214.0	45204815.0
53R_S52_R1_001	4952592.0	49314289.0
53R_S52_R2_001	6010876.0	48256005.0
54R_S53_R1_001	6406521.0	52060625.0
54R_S53_R2_001	7219535.0	51247611.0
55R_S54_R1_001	8155746.0	46944080.0
55R_S54_R2_001	8328371.0	46771455.0
56R_S55_R1_001	3671241.0	44777369.0
56R_S55_R2_001	4591046.0	43857564.0
57R_S56_R1_001	5963974.0	53363631.0
57R_S56_R2_001	7347155.0	51980450.0
58R_S57_R1_001	7412209.0	44591759.0
58R_S57_R2_001	7828387.0	44175581.0
59R_S58_R1_001	4024395.0	38685443.0
59R_S58_R2_001	4872498.0	37837340.0
5R_S4_R1_001	3802834.0	65028355.0
5R_S4_R2_001	4528043.0	64303146.0
60R_S59_R1_001	3067545.0	58994625.0
60R_S59_R2_001	4944445.0	57117725.0
61R_S60_R1_001	5897524.0	55474925.0
61R_S60_R2_001	7133487.0	54238962.0
62R_S61_R1_001	7666414.0	43494168.0
62R_S61_R2_001	8622929.0	42537653.0
63R_S95_R1_001	4717927.0	60779086.0
63R_S95_R2_001	4956665.0	60540348.0
64R_S62_R1_001	4691063.0	44920616.0
64R_S62_R2_001	5336450.0	44275229.0
65R_S63_R1_001	5714925.0	50821704.0
65R_S63_R2_001	5833036.0	50703593.0
66R_S64_R1_001	5552355.0	61624865.0
66R_S64_R2_001	5741903.0	61435317.0
67R_S65_R1_001	4024396.0	55412823.0
67R_S65_R2_001	5261212.0	54176007.0
68R_S66_R1_001	3895414.0	54263902.0
68R_S66_R2_001	4854532.0	53304784.0
69R_S67_R1_001	4910269.0	53667809.0
69R_S67_R2_001	5463492.0	53114586.0
6R_S5_R1_001	7226217.0	79724242.0
6R_S5_R2_001	8762894.0	78187565.0
70R_S68_R1_001	5879067.0	58712830.0
70R_S68_R2_001	6849044.0	57742853.0
71R_S69_R1_001	3723864.0	60062404.0
71R_S69_R2_001	4306639.0	59479629.0
72R_S70_R1_001	2927074.0	45125725.0
72R_S70_R2_001	3989392.0	44063407.0
73R_S71_R1_001	4266266.0	53013965.0
73R_S71_R2_001	4573768.0	52706463.0
74R_S72_R1_001	4835287.0	59988101.0
74R_S72_R2_001	5987177.0	58836211.0
75R_S73_R1_001	5578467.0	52520839.0
75R_S73_R2_001	6441290.0	51658016.0
76R_S74_R1_001	7116764.0	56616069.0
76R_S74_R2_001	7196490.0	56536343.0
77R_S75_R1_001	2887659.0	62912584.0
77R_S75_R2_001	4011610.0	61788633.0
78R_S76_R1_001	4010364.0	55767581.0
78R_S76_R2_001	5052764.0	54725181.0
79R_S77_R1_001	3078146.0	54697829.0
79R_S77_R2_001	4517712.0	53258263.0
7R_S6_R1_001	5759305.0	69806566.0
7R_S6_R2_001	6310900.0	69254971.0
80R_S78_R1_001	3733995.0	56765745.0
80R_S78_R2_001	4564304.0	55935436.0
81R_S79_R1_001	3719462.0	57464844.0
81R_S79_R2_001	4562615.0	56621691.0
82R_S80_R1_001	4012302.0	57576619.0
82R_S80_R2_001	4509667.0	57079254.0
84R_S81_R1_001	4067275.0	50365134.0
84R_S81_R2_001	4458989.0	49973420.0
85R_S82_R1_001	4637805.0	62264584.0
85R_S82_R2_001	5963089.0	60939300.0
86R_S83_R1_001	5474903.0	66175771.0
86R_S83_R2_001	7014078.0	64636596.0
87R_S84_R1_001	4432154.0	59380703.0
87R_S84_R2_001	5136128.0	58676729.0
88R_S85_R1_001	4730952.0	55872622.0
88R_S85_R2_001	5855893.0	54747681.0
89R_S86_R1_001	6404812.0	56194595.0
89R_S86_R2_001	6876028.0	55723379.0
8R_S7_R1_001	5658899.0	63703485.0
8R_S7_R2_001	5647824.0	63714560.0
90R_S87_R1_001	7883450.0	52182696.0
90R_S87_R2_001	8632410.0	51433736.0
91R_S88_R1_001	6397932.0	47630481.0
91R_S88_R2_001	7003721.0	47024692.0
92R_S89_R1_001	3217501.0	51507627.0
92R_S89_R2_001	3784913.0	50940215.0
93R_S90_R1_001	4033633.0	49825007.0
93R_S90_R2_001	4282528.0	49576112.0
94R_S91_R1_001	6627815.0	59571191.0
94R_S91_R2_001	7586881.0	58612125.0
95R_S92_R1_001	4812788.0	50931941.0
95R_S92_R2_001	5363247.0	50381482.0
96R_S93_R1_001	6003215.0	50151699.0
96R_S93_R2_001	7281189.0	48873725.0
9R_S9_R1_001	2717613.0	55931750.0
9R_S9_R2_001	3435926.0	55213437.0
