Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
10R_S10_R1_001	(1.0, 5.238664492844976)	(2.0, 1.7120576864882986)	(3.0, 0.9992792096293587)	(4.0, 0.6803846532179547)	(5.0, 0.5705716755231603)	(6.0, 0.4770285225470715)	(7.0, 0.40593095106235716)	(8.0, 0.4035785406692703)	(9.0, 0.34779016574439053)	('>10', 6.966923093479299)	('>50', 4.2212580279677505)	('>100', 13.883874223563122)	('>500', 8.132601600830949)	('>1k', 21.852577045166953)	('>5k', 9.457045293278405)	('>10k+', 24.650434817986763)
10R_S10_R2_001	(1.0, 6.361577947565608)	(2.0, 1.6611988611699169)	(3.0, 0.9138680367997457)	(4.0, 0.6448077849096955)	(5.0, 0.5568457582157377)	(6.0, 0.49803965815352746)	(7.0, 0.4073572958771878)	(8.0, 0.3879357844849449)	(9.0, 0.35341367344643654)	('>10', 7.756513289526631)	('>50', 5.027184130367067)	('>100', 17.097331964051396)	('>500', 9.768693383404452)	('>1k', 23.367084679822977)	('>5k', 9.514794412095174)	('>10k+', 15.683353340109555)
11R_S11_R1_001	(1.0, 4.031829243829699)	(2.0, 1.3730094101541235)	(3.0, 0.771691722035989)	(4.0, 0.5708699766994021)	(5.0, 0.43670856857193463)	(6.0, 0.41148201253935235)	(7.0, 0.35843930751629716)	(8.0, 0.3050190340389914)	(9.0, 0.2924335843604948)	('>10', 5.8262850595812035)	('>50', 3.571267102883935)	('>100', 11.855088365088987)	('>500', 7.009099130442134)	('>1k', 19.83701815096241)	('>5k', 9.371626753962886)	('>10k+', 33.9781325773321)
11R_S11_R2_001	(1.0, 5.731809080826873)	(2.0, 1.450604629922804)	(3.0, 0.8299214817706643)	(4.0, 0.6261908565711823)	(5.0, 0.4936161266978204)	(6.0, 0.4170107184164724)	(7.0, 0.3664710469279655)	(8.0, 0.34610700997975996)	(9.0, 0.32660030705857823)	('>10', 6.488899667498791)	('>50', 4.045106058095567)	('>100', 13.66463948071394)	('>500', 7.976880699063754)	('>1k', 22.682523792421506)	('>5k', 10.81070152302171)	('>10k+', 23.742917521012437)
12R_S12_R1_001	(1.0, 5.234080589445794)	(2.0, 1.8281210568353707)	(3.0, 0.9514729572128369)	(4.0, 0.649301184462973)	(5.0, 0.527640679340639)	(6.0, 0.4519967624074737)	(7.0, 0.39458941843824086)	(8.0, 0.35707746260512263)	(9.0, 0.32381277504721356)	('>10', 6.174644267319615)	('>50', 3.6686163721766007)	('>100', 12.070643630695994)	('>500', 6.945772988383025)	('>1k', 18.965610249474363)	('>5k', 8.11531117409589)	('>10k+', 33.34130843205876)
12R_S12_R2_001	(1.0, 6.730335608511409)	(2.0, 1.8383506041966973)	(3.0, 0.9788414583976642)	(4.0, 0.7021130451188159)	(5.0, 0.5630564973380636)	(6.0, 0.4778663779044275)	(7.0, 0.3879998377812084)	(8.0, 0.3698762234683276)	(9.0, 0.31936546768504986)	('>10', 6.815423100739064)	('>50', 4.1928635260466045)	('>100', 13.954984858226268)	('>500', 7.85243541722567)	('>1k', 20.761361284276177)	('>5k', 9.724319490006089)	('>10k+', 24.330807203078486)
13R_S13_R1_001	(1.0, 3.908893981942798)	(2.0, 1.4051990410590423)	(3.0, 0.8667192844653134)	(4.0, 0.6602710503977326)	(5.0, 0.5288407994197757)	(6.0, 0.4556352191066637)	(7.0, 0.3841809924513982)	(8.0, 0.38538210205910906)	(9.0, 0.3629032640626276)	('>10', 7.110807822188398)	('>50', 4.409844494202346)	('>100', 14.963115962883434)	('>500', 8.72850680542309)	('>1k', 22.815770353365664)	('>5k', 9.61493118718963)	('>10k+', 23.398997639783055)
13R_S13_R2_001	(1.0, 5.408212760161744)	(2.0, 1.4354742486795842)	(3.0, 0.8537909771796963)	(4.0, 0.6630684813937534)	(5.0, 0.5375699932983107)	(6.0, 0.4750763199643176)	(7.0, 0.4329741132045279)	(8.0, 0.4001857830724498)	(9.0, 0.3668471146589488)	('>10', 8.124323759558754)	('>50', 5.28580967551775)	('>100', 17.925690632435938)	('>500', 10.145860238489412)	('>1k', 24.493201346763552)	('>5k', 9.43443854053224)	('>10k+', 14.01747601508877)
14R_S14_R1_001	(1.0, 4.992630836743865)	(2.0, 1.7025019194058264)	(3.0, 0.9456280782204538)	(4.0, 0.6680800596186438)	(5.0, 0.5668977537209291)	(6.0, 0.46651885713929275)	(7.0, 0.4233305266620212)	(8.0, 0.39005606592698183)	(9.0, 0.3435180888555702)	('>10', 6.624515429016658)	('>50', 3.980302271950139)	('>100', 12.783317858067885)	('>500', 7.32053080668176)	('>1k', 20.53868113966324)	('>5k', 9.39292709966028)	('>10k+', 28.860563208666385)
14R_S14_R2_001	(1.0, 6.0819186829280545)	(2.0, 1.6827280576154342)	(3.0, 0.9413014265652352)	(4.0, 0.6915694891414319)	(5.0, 0.5670906336375874)	(6.0, 0.5070622759160175)	(7.0, 0.4723724920967857)	(8.0, 0.39830658451872797)	(9.0, 0.36701587170604405)	('>10', 7.481399284948989)	('>50', 4.419368649598255)	('>100', 14.29403844473986)	('>500', 8.19004856203267)	('>1k', 22.00101609023801)	('>5k', 10.525760797532788)	('>10k+', 21.379002656784024)
15R_S15_R1_001	(1.0, 5.711728561521345)	(2.0, 2.029626942559928)	(3.0, 1.1965461513659577)	(4.0, 0.8919376379335542)	(5.0, 0.7412626515498353)	(6.0, 0.6557023786245706)	(7.0, 0.5884204262359124)	(8.0, 0.5390698565010846)	(9.0, 0.48633387800432815)	('>10', 9.682824898682433)	('>50', 5.738832749317515)	('>100', 17.746635900956363)	('>500', 9.228838263442968)	('>1k', 21.89973710429037)	('>5k', 8.129415056682946)	('>10k+', 14.73308754233078)
15R_S15_R2_001	(1.0, 7.414662833893095)	(2.0, 1.9887988392869511)	(3.0, 1.1977091870691516)	(4.0, 0.9531105886404566)	(5.0, 0.7786639890083763)	(6.0, 0.7132626750914887)	(7.0, 0.6432366806493663)	(8.0, 0.5652493047720996)	(9.0, 0.5135753374157912)	('>10', 11.689553841878874)	('>50', 7.032583251225648)	('>100', 21.135281685080663)	('>500', 10.042687523847938)	('>1k', 20.69097238771833)	('>5k', 6.450318717071703)	('>10k+', 8.190333157350173)
