Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
10R_S10_R1_001	10R_S10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67597770.0	10.2 Gbp	0.0	151.0	53.0	7.4185886315557585	151.0	151	pass	fail	pass	pass	fail	fail	pass	pass	fail	warn	fail
10R_S10_R2_001	10R_S10_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67597770.0	10.2 Gbp	0.0	151.0	53.0	8.539719494462574	151.0	151	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	fail
11R_S11_R1_001	11R_S11_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56730408.0	8.5 Gbp	0.0	151.0	52.0	5.8003481118478115	151.0	151	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	fail
11R_S11_R2_001	11R_S11_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56730408.0	8.5 Gbp	0.0	151.0	53.0	7.642309058420757	151.0	151	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	fail
12R_S12_R1_001	12R_S12_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57064555.0	8.6 Gbp	0.0	151.0	51.0	7.371870001196941	151.0	151	pass	fail	pass	pass	fail	fail	pass	pass	fail	warn	fail
12R_S12_R2_001	12R_S12_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57064555.0	8.6 Gbp	0.0	151.0	52.0	8.952643776029513	151.0	151	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	fail
13R_S13_R1_001	13R_S13_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66970519.0	10.1 Gbp	0.0	151.0	52.0	5.883022956841683	151.0	151	pass	fail	pass	pass	fail	fail	pass	pass	fail	warn	fail
13R_S13_R2_001	13R_S13_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66970519.0	10.1 Gbp	0.0	151.0	52.0	7.481892619514426	151.0	151	pass	fail	pass	pass	fail	fail	pass	pass	fail	warn	fail
14R_S14_R1_001	14R_S14_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65148346.0	9.8 Gbp	0.0	151.0	54.0	7.120790028025866	151.0	151	pass	fail	pass	pass	fail	fail	pass	pass	fail	warn	fail
14R_S14_R2_001	14R_S14_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65148346.0	9.8 Gbp	0.0	151.0	54.0	8.275580594911524	151.0	151	pass	fail	pass	pass	fail	fail	pass	pass	fail	warn	fail
