Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
10R_S10_R1_001	92.58141136844424	53.0	151.0	151	45.45454545454545	67.59777
10R_S10_R2_001	91.46028050553743	53.0	151.0	151	36.36363636363637	67.59777
11R_S11_R1_001	94.19965188815219	52.0	151.0	151	36.36363636363637	56.730408
11R_S11_R2_001	92.35769094157925	53.0	151.0	151	36.36363636363637	56.730408
12R_S12_R1_001	92.62812999880306	51.0	151.0	151	45.45454545454545	57.064555
12R_S12_R2_001	91.04735622397048	52.0	151.0	151	36.36363636363637	57.064555
13R_S13_R1_001	94.11697704315831	52.0	151.0	151	45.45454545454545	66.970519
13R_S13_R2_001	92.51810738048557	52.0	151.0	151	45.45454545454545	66.970519
14R_S14_R1_001	92.87920997197413	54.0	151.0	151	45.45454545454545	65.148346
14R_S14_R2_001	91.72441940508847	54.0	151.0	151	45.45454545454545	65.148346
15R_S15_R1_001	91.53893805604378	53.0	151.0	151	45.45454545454545	58.606114
15R_S15_R2_001	89.68160486338799	53.0	151.0	151	36.36363636363637	58.606114
16R_S16_R1_001	94.82360914452654	54.0	151.0	151	45.45454545454545	69.611769
16R_S16_R2_001	92.59196460538064	54.0	151.0	151	45.45454545454545	69.611769
17R_S17_R1_001	93.40677197455398	54.0	151.0	151	36.36363636363637	57.418748
17R_S17_R2_001	93.63540969937397	54.0	151.0	151	45.45454545454545	57.418748
18R_S18_R1_001	94.46456206098088	51.0	151.0	151	45.45454545454545	57.978994
18R_S18_R2_001	93.74985047127599	51.0	151.0	151	36.36363636363637	57.978994
19R_S19_R1_001	92.32756335051194	54.0	151.0	151	45.45454545454545	61.810047999999995
19R_S19_R2_001	91.51477575734692	55.0	151.0	151	45.45454545454545	61.810047999999995
1R_S1_R1_001	94.0557840085479	53.0	151.0	151	45.45454545454545	114.729002
1R_S1_R2_001	92.93960578661301	53.0	151.0	151	45.45454545454545	114.729002
20R_S20_R1_001	94.35058914820907	52.0	151.0	151	45.45454545454545	57.122370999999994
20R_S20_R2_001	92.81695007190582	52.0	151.0	151	36.36363636363637	57.122370999999994
21R_S21_R1_001	93.59377985281044	52.0	151.0	151	45.45454545454545	58.070195999999996
21R_S21_R2_001	92.60075383654716	52.0	151.0	151	45.45454545454545	58.070195999999996
22R_S22_R1_001	94.75992817710278	52.0	151.0	151	45.45454545454545	37.027305999999996
22R_S22_R2_001	92.7450635646361	53.0	151.0	151	45.45454545454545	37.027305999999996
23R_S94_R1_001	93.0010692790545	53.0	151.0	151	36.36363636363637	57.549923
23R_S94_R2_001	90.33506417188457	53.0	151.0	151	36.36363636363637	57.549923
24R_S23_R1_001	89.30582653004247	52.0	151.0	151	36.36363636363637	62.617394999999995
24R_S23_R2_001	88.15600995259256	53.0	151.0	151	36.36363636363637	62.617394999999995
25R_S24_R1_001	95.55228884140018	52.0	151.0	151	45.45454545454545	65.946345
25R_S24_R2_001	92.62503734512573	53.0	151.0	151	45.45454545454545	65.946345
26R_S25_R1_001	93.57009338419743	52.0	151.0	151	45.45454545454545	66.458029
26R_S25_R2_001	92.17631611310571	52.0	151.0	151	36.36363636363637	66.458029
27R_S26_R1_001	94.61857088044542	55.0	151.0	151	45.45454545454545	69.960062
27R_S26_R2_001	93.70553621872016	55.0	151.0	151	45.45454545454545	69.960062
28R_S27_R1_001	93.63894008985439	52.0	151.0	151	36.36363636363637	72.951036
28R_S27_R2_001	92.3911861260186	53.0	151.0	151	36.36363636363637	72.951036
29R_S28_R1_001	94.00967659088803	52.0	151.0	151	45.45454545454545	63.368807999999994
29R_S28_R2_001	93.48627988616023	53.0	151.0	151	36.36363636363637	63.368807999999994
2R_S8_R1_001	93.60484327853206	53.0	151.0	151	45.45454545454545	62.959599
2R_S8_R2_001	92.27173272667369	53.0	151.0	151	36.36363636363637	62.959599
30R_S29_R1_001	93.01561448000544	52.0	151.0	151	45.45454545454545	64.686882
30R_S29_R2_001	91.82033216906107	52.0	151.0	151	45.45454545454545	64.686882
31R_S30_R1_001	94.00097184911	54.0	151.0	151	45.45454545454545	61.828004
31R_S30_R2_001	92.17144017664867	54.0	151.0	151	45.45454545454545	61.828004
32R_S31_R1_001	93.65565502806203	52.0	151.0	151	45.45454545454545	59.249596
32R_S31_R2_001	92.07734021424724	52.0	151.0	151	36.36363636363637	59.249596
33R_S32_R1_001	92.06504463299461	51.0	151.0	151	36.36363636363637	59.638104
33R_S32_R2_001	90.77970722362883	52.0	151.0	151	36.36363636363637	59.638104
34R_S33_R1_001	90.30545173253964	52.0	151.0	151	45.45454545454545	58.333878
34R_S33_R2_001	88.32483624299397	52.0	151.0	151	45.45454545454545	58.333878
35R_S34_R1_001	91.98215251084434	54.0	151.0	151	45.45454545454545	65.627579
35R_S34_R2_001	89.6407244940582	54.0	151.0	151	45.45454545454545	65.627579
36R_S35_R1_001	91.98649725038266	56.0	151.0	151	45.45454545454545	62.305913999999994
36R_S35_R2_001	90.34502357931143	56.0	151.0	151	45.45454545454545	62.305913999999994
37R_S36_R1_001	91.87214499216131	53.0	151.0	151	45.45454545454545	67.16551199999999
37R_S36_R2_001	90.25744173534673	53.0	151.0	151	45.45454545454545	67.16551199999999
