.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
CSM79HGX_R1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
CSM79HGX_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
HSM5MD5B_R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
HSM5MD5B_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
HSM5MD6I_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
HSM5MD6I_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
HSM67VEO_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
HSM67VEO_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
HSM67VF3_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
HSM67VF3_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
HSM67VFR_R1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
HSM67VFR_R2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
HSM67VI3_R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
HSM67VI3_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
HSM6XRQ8_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
HSM6XRQ8_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
HSM6XRT8_R1	1	1	1	1	0.5	1	1	0.5	0.25	0.25	1
HSM6XRT8_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
HSMA33J3_R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
HSMA33J3_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
MSM6J2HP_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
MSM6J2HP_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
MSM6J2JN_R1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
MSM6J2JN_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
MSM6J2JZ_R1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
MSM6J2JZ_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
MSM6J2M3_R1	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
MSM6J2M3_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
MSM6J2PS_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
MSM6J2PS_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
MSM79H54_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
MSM79H54_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
MSM79H5E_R1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
MSM79H5E_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
MSM79H81_R1	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
MSM79H81_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
MSM79H8D_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
MSM79H8D_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
MSM9VZFL_R1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
MSM9VZFL_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
MSM9VZHX_R1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
MSM9VZHX_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
MSM9VZL5_R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
MSM9VZL5_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
MSM9VZL9_R1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
MSM9VZL9_R2	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
PSM7J14X_R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
PSM7J14X_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
PSM7J15O_R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
PSM7J15O_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
PSM7J16U_R1	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
PSM7J16U_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
