Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
CSM79HGX_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 7.4419806444502215e-06)	(5, 7.4419806444502215e-06)	(6, 7.4419806444502215e-06)	(7, 7.4419806444502215e-06)	(8, 7.4419806444502215e-06)	(9, 7.4419806444502215e-06)	(10, 7.4419806444502215e-06)	(12, 7.4419806444502215e-06)	(14, 7.4419806444502215e-06)	(16, 7.4419806444502215e-06)	(18, 7.4419806444502215e-06)	(20, 7.4419806444502215e-06)	(22, 7.4419806444502215e-06)	(24, 7.4419806444502215e-06)	(26, 7.4419806444502215e-06)	(28, 7.4419806444502215e-06)	(30, 7.4419806444502215e-06)	(32, 1.8604951611125552e-05)	(34, 0.00010790871934452821)	(36, 0.0002381433806224071)	(38, 0.00037209903222251104)	(40, 0.0004762867612448141)	(42, 0.0005581485483337666)	(44, 0.0006921041999338705)	(46, 0.0008297808418561996)	(48, 0.001045598280545256)	(50, 0.0013581614676121652)	(52, 0.001588862867590122)	(54, 0.002046544677223811)	(56, 0.0029581873061689627)	(58, 0.003508893873858279)	(60, 0.004000064596391994)	(62, 0.005361947054326384)	(64, 0.008521067837895503)	(66, 0.012509969463320822)	(68, 0.016234680775868156)	(70, 0.02136964742053881)	(72, 0.025421805881441953)	(74, 0.03014374260034562)	(76, 0.24638165319581348)	(78, 1.1638104220920256)	(80, 2.133664223638067)					
CSM79HGX_R2 - illumina_universal_adapter	(1, 7.4419806444502215e-06)	(2, 7.4419806444502215e-06)	(3, 7.4419806444502215e-06)	(4, 1.4883961288900443e-05)	(5, 1.4883961288900443e-05)	(6, 2.9767922577800886e-05)	(7, 2.9767922577800886e-05)	(8, 2.9767922577800886e-05)	(9, 3.7209903222251104e-05)	(10, 0.0002455853612668573)	(12, 0.00029767922577800883)	(14, 0.0003051212064224591)	(16, 0.00033116813867803483)	(18, 0.0003534940806113855)	(20, 0.00036465705157806083)	(22, 0.0003795410128669613)	(24, 0.0003795410128669613)	(26, 0.0003795410128669613)	(28, 0.0003944249741558617)	(30, 0.0004279138870558877)	(32, 0.0005172176547892903)	(34, 0.0005990794418782427)	(36, 0.0006623362773560697)	(38, 0.0007628030160561477)	(40, 0.0009414105515229529)	(42, 0.0010976921450564076)	(44, 0.0012576947289120873)	(46, 0.0013916503805121913)	(48, 0.0015963048482345724)	(50, 0.001752586441768027)	(52, 0.0019237519965903823)	(54, 0.002083754580446062)	(56, 0.0023405029126795946)	(58, 0.0029060934416578112)	(60, 0.0038288990415696385)	(62, 0.004186114112503249)	(64, 0.00454332918343686)	(66, 0.005428924880126436)	(68, 0.007702449967005979)	(70, 0.010735057079619444)	(72, 0.013968597669633064)	(74, 0.017697029972502627)	(76, 0.02172686249147242)	(78, 0.027926032368299453)	(80, 0.0968387731359085)	(82, 0.5344793288940927)	(84, 1.3377220677721828)	(86, 1.9656838365315368)	(88, 2.073986980850221)	(90, 2.0761935281113004)
HSM5MD5B_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 3.384142567834926e-05)	(34, 7.614320777628585e-05)	(36, 0.00022419944511906385)	(38, 0.0003891763953010165)	(40, 0.0005245420980144136)	(42, 0.0006429870878886361)	(44, 0.0007487415431334775)	(46, 0.0008587261765881126)	(48, 0.000951790097203573)	(50, 0.001137917938434494)	(52, 0.001311355245036034)	(54, 0.0015524754029942723)	(56, 0.00178090502632313)	(58, 0.001967032867554051)	(60, 0.0023392885500158928)	(62, 0.0036548739732617202)	(64, 0.006539855512340995)	(66, 0.009526361328455319)	(68, 0.012309818590499545)	(70, 0.015034053357606662)	(72, 0.017593311174531823)	(74, 0.020127187922198225)	(76, 0.09347001772360065)	(78, 0.442057853101647)	(80, 1.0113721572885166)					
HSM5MD5B_R2 - illumina_universal_adapter	(1, 2.5381069258761947e-05)	(2, 2.5381069258761947e-05)	(3, 2.5381069258761947e-05)	(4, 2.5381069258761947e-05)	(5, 4.230178209793658e-05)	(6, 4.230178209793658e-05)	(7, 4.230178209793658e-05)	(8, 4.230178209793658e-05)	(9, 4.230178209793658e-05)	(10, 0.00014382605913298437)	(12, 0.000160746771972159)	(14, 0.00019035801944071462)	(16, 0.0002115089104896829)	(18, 0.0002368899797484448)	(20, 0.00025381069258761945)	(22, 0.00027496158363658773)	(24, 0.00029611247468555607)	(26, 0.0003045728311051434)	(28, 0.00031303318752473066)	(30, 0.000321493543944318)	(32, 0.00033418407857369894)	(34, 0.0003426444349932863)	(36, 0.0004526290684479214)	(38, 0.0006514474443082233)	(40, 0.0007698924341824457)	(42, 0.000964480631832954)	(44, 0.0011040765127561447)	(46, 0.0012436723936793356)	(48, 0.001324045779665415)	(50, 0.0013790380963927323)	(52, 0.0014298002349102563)	(54, 0.0015524754029942723)	(56, 0.001717452353176225)	(58, 0.0018528180558896221)	(60, 0.0020600967881695114)	(62, 0.0022589151640298134)	(64, 0.00256771817334475)	(66, 0.003549119518016879)	(68, 0.005359635791808565)	(70, 0.008460356419587315)	(72, 0.010909629603057844)	(74, 0.013062790311842815)	(76, 0.015795485435369516)	(78, 0.019408057626533304)	(80, 0.04600318803150603)	(82, 0.21106051159944478)	(84, 0.6395056512219758)	(86, 1.036067937677292)	(88, 1.0883740912413906)	(90, 1.0894147150809999)
HSM5MD6I_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.088192684972897e-05)	(12, 1.088192684972897e-05)	(14, 1.088192684972897e-05)	(16, 1.088192684972897e-05)	(18, 1.088192684972897e-05)	(20, 1.088192684972897e-05)	(22, 1.088192684972897e-05)	(24, 1.088192684972897e-05)	(26, 1.088192684972897e-05)	(28, 1.088192684972897e-05)	(30, 1.088192684972897e-05)	(32, 1.088192684972897e-05)	(34, 6.529156109837381e-05)	(36, 0.00010881926849728968)	(38, 0.00019587468329512145)	(40, 0.00021763853699457937)	(42, 0.0003318987689167336)	(44, 0.0003808674397405139)	(46, 0.0004788047813880747)	(48, 0.0005658601961859064)	(50, 0.000707325245232383)	(52, 0.0008270264405794016)	(54, 0.0009793734164756072)	(56, 0.001191570990045322)	(58, 0.0013493589293663922)	(60, 0.0016105251737598874)	(62, 0.0032210503475197747)	(64, 0.0056803658155585215)	(66, 0.007807782514680535)	(68, 0.01056635097108683)	(70, 0.013363006171467174)	(72, 0.015773352968682142)	(74, 0.018847497303730573)	(76, 0.13563777721844675)	(78, 0.5974395479038199)	(80, 1.0745086619593627)					
HSM5MD6I_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 7.617348794810278e-05)	(12, 7.617348794810278e-05)	(14, 0.0001088192684972897)	(16, 0.0001088192684972897)	(18, 0.0001088192684972897)	(20, 0.00011970119534701866)	(22, 0.00011970119534701866)	(24, 0.00011970119534701866)	(26, 0.00014146504904647658)	(28, 0.00016322890274593453)	(30, 0.00016322890274593453)	(32, 0.0001741108295956635)	(34, 0.00018499275644539247)	(36, 0.00026116624439349525)	(38, 0.0003210168420670046)	(40, 0.0003808674397405139)	(42, 0.00044071803741402326)	(44, 0.0004896867082378036)	(46, 0.0005440963424864485)	(48, 0.0006910023549577895)	(50, 0.0008107035503048083)	(52, 0.0009249637822269625)	(54, 0.0010229011238745232)	(56, 0.0011317203923718127)	(58, 0.0013003902585426118)	(60, 0.0015289107223869203)	(62, 0.001741108295956635)	(64, 0.001985951650075537)	(66, 0.003367956359991116)	(68, 0.005538900766512046)	(70, 0.007644553611934601)	(72, 0.009755647420782021)	(74, 0.012176876144846718)	(76, 0.015125878321123267)	(78, 0.021127260978748792)	(80, 0.07830634561064966)	(82, 0.3344669036532696)	(84, 0.7547867691874759)	(86, 1.0858585116636301)	(88, 1.1291522576352766)	(90, 1.1300989852712031)
HSM67VEO_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 8.881416657008126e-06)	(5, 8.881416657008126e-06)	(6, 8.881416657008126e-06)	(7, 8.881416657008126e-06)	(8, 8.881416657008126e-06)	(9, 8.881416657008126e-06)	(10, 8.881416657008126e-06)	(12, 8.881416657008126e-06)	(14, 8.881416657008126e-06)	(16, 8.881416657008126e-06)	(18, 8.881416657008126e-06)	(20, 8.881416657008126e-06)	(22, 8.881416657008126e-06)	(24, 8.881416657008126e-06)	(26, 8.881416657008126e-06)	(28, 8.881416657008126e-06)	(30, 8.881416657008126e-06)	(32, 8.881416657008126e-06)	(34, 7.1051333256065e-05)	(36, 0.00013322124985512188)	(38, 0.00018650974979717065)	(40, 0.0002753239163672519)	(42, 0.00031973099965229253)	(44, 0.0003730194995943413)	(46, 0.0004529522495074144)	(48, 0.0005906142076910403)	(50, 0.0006971912075751379)	(52, 0.0008037682074592354)	(54, 0.0008881416657008126)	(56, 0.0010346850405414468)	(58, 0.0011679062903965686)	(60, 0.0015320443733339018)	(62, 0.0026422214554599173)	(64, 0.004640540203286746)	(66, 0.0070962519089494925)	(68, 0.00976067690605193)	(70, 0.012567204569666498)	(72, 0.016213026107368335)	(74, 0.02132428139347651)	(76, 0.13656954393481396)	(78, 0.6620740861133279)	(80, 1.2380295156119763)					
HSM67VEO_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 8.881416657008126e-06)	(7, 8.881416657008126e-06)	(8, 1.776283331401625e-05)	(9, 1.776283331401625e-05)	(10, 0.0001198991248696097)	(12, 0.0001554247914976422)	(14, 0.00015986549982614627)	(16, 0.00015986549982614627)	(18, 0.00015986549982614627)	(20, 0.0001820690414686666)	(22, 0.00019539116645417878)	(24, 0.00019983187478268285)	(26, 0.00020871329143969098)	(28, 0.0002353575414107153)	(30, 0.00026644249971024376)	(32, 0.0003641380829373332)	(34, 0.0004573929578359185)	(36, 0.0006128177493335607)	(38, 0.0007904460824737232)	(40, 0.0011101770821260156)	(42, 0.0012567204569666499)	(44, 0.0014121452484642922)	(46, 0.0015187222483483895)	(48, 0.0016519434982035113)	(50, 0.0019050638729282432)	(52, 0.00210933645603943)	(54, 0.002318049747479121)	(56, 0.0025178816222618037)	(58, 0.0028464940385711044)	(60, 0.0031262586632668605)	(62, 0.0034859560378756897)	(64, 0.003903382620755071)	(66, 0.0050490853695091195)	(68, 0.006878657200852793)	(70, 0.009472030864699166)	(72, 0.012433983319811378)	(74, 0.01556468269140674)	(76, 0.01914833431250952)	(78, 0.02545414013898529)	(80, 0.07103357042275099)	(82, 0.3400605623801841)	(84, 0.8436102425825739)	(86, 1.2698338686607222)	(88, 1.3221809384371284)	(90, 1.3232511491442978)
HSM67VF3_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 7.101443889243041e-05)	(5, 7.101443889243041e-05)	(6, 7.101443889243041e-05)	(7, 7.101443889243041e-05)	(8, 7.101443889243041e-05)	(9, 7.101443889243041e-05)	(10, 7.101443889243041e-05)	(12, 7.101443889243041e-05)	(14, 7.101443889243041e-05)	(16, 7.101443889243041e-05)	(18, 7.101443889243041e-05)	(20, 7.101443889243041e-05)	(22, 7.101443889243041e-05)	(24, 7.101443889243041e-05)	(26, 7.101443889243041e-05)	(28, 7.101443889243041e-05)	(30, 8.285017870783548e-05)	(32, 0.00010652165833864561)	(34, 0.00023671479630810134)	(36, 0.00023671479630810134)	(38, 0.00023671479630810134)	(40, 0.00027222201575431655)	(42, 0.000355072194462152)	(44, 0.00042608663335458243)	(46, 0.0005562797713240382)	(48, 0.0006864729092934939)	(50, 0.0007693230880013295)	(52, 0.0008166660472629496)	(54, 0.0009350234454170003)	(56, 0.0010888880630172662)	(58, 0.0012900956398791525)	(60, 0.0015031389565564436)	(62, 0.002319805003819393)	(64, 0.003976808577976103)	(66, 0.005835019728994698)	(68, 0.007172458328135471)	(70, 0.008864969121738394)	(72, 0.010829701931095635)	(74, 0.013670279486792853)	(76, 0.15978248750796842)	(78, 0.7401006463970943)	(80, 1.2849234215798204)					
HSM67VF3_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 2.3671479630810136e-05)	(4, 2.3671479630810136e-05)	(5, 2.3671479630810136e-05)	(6, 2.3671479630810136e-05)	(7, 2.3671479630810136e-05)	(8, 2.3671479630810136e-05)	(9, 4.734295926162027e-05)	(10, 0.0009231877056015952)	(12, 0.0009468591852324054)	(14, 0.0009586949250478104)	(16, 0.0009942021444940257)	(18, 0.0009942021444940257)	(20, 0.0009942021444940257)	(22, 0.0009942021444940257)	(24, 0.0009942021444940257)	(26, 0.0009942021444940257)	(28, 0.0010178736241248359)	(30, 0.0010415451037556458)	(32, 0.0010415451037556458)	(34, 0.0010415451037556458)	(36, 0.001065216583386456)	(38, 0.0011362310222788866)	(40, 0.0011362310222788866)	(42, 0.0012782599000637474)	(44, 0.001420288777848608)	(46, 0.0016096606148950892)	(48, 0.0016214963547104943)	(50, 0.0016688393139721145)	(52, 0.0016806750537875195)	(54, 0.0016806750537875195)	(56, 0.0017161822732337348)	(58, 0.0018700468908340005)	(60, 0.0021777761260345324)	(62, 0.002438162401973444)	(64, 0.0027813988566201906)	(66, 0.003207485489974773)	(68, 0.004154344675207179)	(70, 0.00544444031508633)	(72, 0.0070304294503506105)	(74, 0.00842704674856841)	(76, 0.009894678485678637)	(78, 0.013445400430300156)	(80, 0.05225479128501337)	(82, 0.30195339417061406)	(84, 0.7751226005108779)	(86, 1.1407404391485558)	(88, 1.1964749379392983)	(90, 1.197753197839362)
