Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
CSM79HGX_R1	(1, 0.0014065343418010919)	(2, 0.00014883961288900442)	(3, 7.4419806444502215e-06)	(4, 5.209386451115155e-05)	(5, 1.4883961288900443e-05)	(6, 0.00011907169031120354)	(7, 5.953584515560177e-05)	(8, 2.9767922577800886e-05)	(9, 0.0009674574837785289)	(10, 1.4883961288900443e-05)	(12, 8.930376773340266e-05)	(14, 0.00013023466127787888)	(16, 0.00011535069998897843)	(18, 0.2889907133756132)	(20, 5.953584515560177e-05)	(22, 2.9767922577800886e-05)	(24, 0.00011162970966675331)	(26, 0.0001413976322445542)	(28, 9.674574837785288e-05)	(30, 0.0003125631870669093)	(32, 0.00011162970966675331)	(34, 8.558277741117754e-05)	(36, 8.186178708895244e-05)	(38, 3.7209903222251104e-05)	(40, 0.00010790871934452821)	(42, 0.0001413976322445542)	(44, 0.0006288473644560437)	(46, 7.06988161222771e-05)	(48, 3.7209903222251107e-06)	(50, 7.453860139867958e-06)	(52, 1.5003649637774388e-05)	(54, 1.1379791356836042e-05)	(56, 0.0)	(58, 1.5689481316730306e-05)	(60, 0.0)	(62, 7.164497906812332e-05)	(64, 0.0001324722476662605)	(66, 6.074290270813323e-05)	(68, 1.226581342397606e-05)	(70, 1.657481044839586e-05)	(72, 0.00013831133428692712)	(74, 0.00039045009984063693)	(76, 0.00014565590890679457)	(78, 9.444980327823245e-05)	(80, 0.00012048748029653174)	(82, 0.00014666768643846297)	(84, 0.0003027591304584768)	(86, 0.00019960575260307597)	(88, 8.287603572689938e-05)	(90, 0.0)	(92, 0.0)				
CSM79HGX_R2	(1, 0.13689523395466183)	(2, 0.0004762867612448142)	(3, 0.00012651367095565375)	(4, 0.0002902372451335586)	(5, 0.00034977309028916037)	(6, 0.00026046932255575775)	(7, 0.00021581743868905642)	(8, 0.0015256060321122953)	(9, 0.00023070139997795686)	(10, 5.209386451115155e-05)	(12, 0.00015256060321122952)	(14, 5.5814854833376656e-05)	(16, 8.186178708895244e-05)	(18, 5.953584515560177e-05)	(20, 8.558277741117754e-05)	(22, 0.00019349149675570575)	(24, 0.00010046673870007798)	(26, 0.0005953584515560177)	(28, 0.00018604951611125555)	(30, 0.00013023466127787888)	(32, 0.00010790871934452821)	(34, 0.00015256060321122952)	(36, 0.00011907169031120354)	(38, 0.00023442239030018198)	(40, 0.00019721248707793088)	(42, 0.0002865162548113335)	(44, 0.0003869829935114115)	(46, 0.00032744714835580976)	(48, 0.0005172176547892904)	(50, 0.0002871744746795655)	(52, 0.0002635546038640644)	(54, 0.00016730783592333468)	(56, 0.000423387494087971)	(58, 0.0003575661548467345)	(60, 0.0007393940290174581)	(62, 0.000536195553383486)	(64, 0.0002858688442857076)	(66, 8.813250495493533e-05)	(68, 2.128149863972917e-05)	(70, 2.5894489536101515e-05)	(72, 8.760362687775636e-06)	(74, 9.368836643893554e-05)	(76, 5.459322113243538e-05)	(78, 9.266809134590302e-06)	(80, 5.1866566938260445e-05)	(82, 5.7324510326867226e-05)	(84, 0.00012530517835216174)	(86, 0.00010211623745429083)	(88, 0.0003240046503503816)	(90, 0.00010439929688564966)	(92, 0.00010084993806553178)	(94, 2.0790285531182698e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
HSM5MD5B_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.230178209793658e-06)	(12, 0.0)	(14, 4.230178209793658e-06)	(16, 0.0)	(18, 0.0005456929890633818)	(20, 5.4992316727317555e-05)	(22, 4.230178209793658e-06)	(24, 2.115089104896829e-05)	(26, 8.03733859860795e-05)	(28, 0.0002495805143778258)	(30, 0.000334184078573699)	(32, 0.0004991610287556516)	(34, 0.00013536570271339705)	(36, 0.00012690534629380973)	(38, 8.03733859860795e-05)	(40, 0.00037648586067163555)	(42, 0.0005372326326437945)	(44, 0.0004864704941262707)	(46, 0.0009221788497350174)	(48, 0.0007191302956649218)	(50, 0.0005546006921585982)	(52, 0.0006413634758876216)	(54, 0.0003623848452874643)	(56, 0.0006811705440264941)	(58, 0.0003528786050691528)	(60, 0.0007735791015747391)	(62, 0.0007817042298710727)	(64, 0.0002665198506387804)	(66, 0.0002679934421565371)	(68, 0.0003357218766888246)	(70, 0.00017763359456277777)	(72, 9.81965226647394e-05)	(74, 0.00018845603578690378)	(76, 0.00012612572275106688)	(78, 0.0004917975389548769)	(80, 8.135170007652935e-05)	(82, 3.169288830602146e-05)	(84, 2.7217519009735936e-05)	(86, 7.729520963847621e-05)	(88, 6.843314200643417e-05)	(90, 0.0)	(92, 0.0)				
HSM5MD5B_R2	(1, 0.03973829410280162)	(2, 7.614320777628585e-05)	(3, 4.230178209793658e-05)	(4, 0.00012690534629380973)	(5, 0.0002115089104896829)	(6, 0.00020304855407009557)	(7, 0.00011844498987422243)	(8, 1.692071283917463e-05)	(9, 0.00010152427703504779)	(10, 0.00026650122721700047)	(12, 0.00011421481166442877)	(14, 0.0001522864155525717)	(16, 0.00010575445524484145)	(18, 0.00020727873227988926)	(20, 0.00012690534629380973)	(22, 0.00013536570271339705)	(24, 8.460356419587316e-05)	(26, 0.0003595651478324609)	(28, 6.768285135669852e-05)	(30, 8.460356419587316e-05)	(32, 0.000160746771972159)	(34, 0.00016497695018195265)	(36, 0.0001818976630211273)	(38, 0.00020727873227988926)	(40, 0.0002411201579582385)	(42, 6.768285135669852e-05)	(44, 0.00015651659376236536)	(46, 0.00010575445524484145)	(48, 0.00013536570271339705)	(50, 0.00021166224243192127)	(52, 0.00021654072205376393)	(54, 0.00036632567425861007)	(56, 0.00012406539718103738)	(58, 0.0001161765322200122)	(60, 0.00018615055458579295)	(62, 0.00019147719345611025)	(64, 0.00024952160798027886)	(66, 0.00012786978376161333)	(68, 0.00014237684347423525)	(70, 8.091233512594612e-05)	(72, 0.00010883372016918747)	(74, 5.491092921052314e-05)	(76, 1.8469693541609913e-05)	(78, 2.7941085662059835e-05)	(80, 0.00010318816728152743)	(82, 0.0001651109130199484)	(84, 0.0003079769002162898)	(86, 0.0004189073050483948)	(88, 0.0004591165335324369)	(90, 0.00014950027363372663)	(92, 0.0002045387339870521)	(94, 4.97241849186746e-06)	(96, 0.0)	(98, 0.0)	(100, 0.0)
HSM5MD6I_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.176385369945794e-05)	(12, 0.0)	(14, 1.088192684972897e-05)	(16, 0.0)	(18, 0.0005114505619372616)	(20, 5.440963424864484e-05)	(22, 0.0)	(24, 1.088192684972897e-05)	(26, 9.793734164756073e-05)	(28, 0.0002067566101448504)	(30, 0.00034278069576646256)	(32, 0.00045159996426375224)	(34, 0.00021763853699457937)	(36, 0.00013602408562161212)	(38, 0.00011426023192215418)	(40, 0.0003264578054918691)	(42, 0.0006257107938594157)	(44, 0.0005114505619372616)	(46, 0.0009358457090766913)	(48, 0.0006365927207091447)	(50, 0.000734986472165654)	(52, 0.0006877258510798442)	(54, 0.0003614029927015213)	(56, 0.0007314751847043589)	(58, 0.0002649706338014757)	(60, 0.0007478649287245945)	(62, 0.0007853966576191943)	(64, 0.0004645559743213607)	(66, 0.00030908445867706573)	(68, 0.00037817763759993346)	(70, 0.0002382003622346937)	(72, 0.00010830599224563299)	(74, 0.00023507043312185976)	(76, 0.00014397611701134837)	(78, 0.0005476242905383204)	(80, 8.077974145635949e-05)	(82, 5.198406422735103e-05)	(84, 2.8913655555206666e-05)	(86, 0.00012740382053944168)	(88, 0.00016249630538534227)	(90, 0.0)	(92, 0.0)				
HSM5MD6I_R2	(1, 0.03920758243957347)	(2, 0.0001414650490464766)	(3, 8.705541479783176e-05)	(4, 8.705541479783176e-05)	(5, 9.793734164756073e-05)	(6, 0.0001849927564453925)	(7, 0.00019587468329512145)	(8, 9.793734164756073e-05)	(9, 0.00015234697589620557)	(10, 0.0003264578054918691)	(12, 0.0001414650490464766)	(14, 0.00010881926849728968)	(16, 9.793734164756073e-05)	(18, 0.00019043371987025696)	(20, 0.00015234697589620557)	(22, 0.00010881926849728968)	(24, 0.00010881926849728968)	(26, 0.0002774891346680887)	(28, 9.793734164756073e-05)	(30, 9.793734164756073e-05)	(32, 0.0001741108295956635)	(34, 0.0001033783050724252)	(36, 0.000179551793020528)	(38, 0.0002121975735697149)	(40, 0.0001849927564453925)	(42, 7.07325245232383e-05)	(44, 0.00019043371987025696)	(46, 0.00011426023192215418)	(48, 0.00010881926849728968)	(50, 0.00018520134491037835)	(52, 0.0003064426446897676)	(54, 0.0003463111894079788)	(56, 0.00018236194192479491)	(58, 0.00016135638177565352)	(60, 0.0001849773711016019)	(62, 0.00021995413787029915)	(64, 0.00020440260499764368)	(66, 0.0002061666034613311)	(68, 0.00010980141777902245)	(70, 9.907159426242596e-05)	(72, 7.049806412315918e-05)	(74, 6.520250683485278e-05)	(76, 1.7946809604629987e-05)	(78, 6.0390904284342126e-05)	(80, 6.0948365093627964e-05)	(82, 0.0001350261023868564)	(84, 0.0002777479798772206)	(86, 0.00040976189419264953)	(88, 0.00030621120686772995)	(90, 0.00018896082067448053)	(92, 0.00021686012184094598)	(94, 6.684180556560968e-06)	(96, 0.0)	(98, 0.0)	(100, 0.0)
HSM67VEO_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.332212498551219e-05)	(12, 0.0)	(14, 8.881416657008126e-06)	(16, 0.0)	(18, 0.0005506478327345039)	(20, 7.549204158456907e-05)	(22, 0.0)	(24, 4.440708328504063e-06)	(26, 0.00010213629155559346)	(28, 0.00027976462469575595)	(30, 0.0004085451662223738)	(32, 0.0005462071244059998)	(34, 0.00023979824973921943)	(36, 0.00014210266651213)	(38, 0.00010657699988409752)	(40, 0.00038190091625134944)	(42, 0.0006572248326186013)	(44, 0.0004573929578359185)	(46, 0.0009236673323288451)	(48, 0.0007415982908601786)	(50, 0.0007331741530783206)	(52, 0.0006148350885315746)	(54, 0.0002994543227125377)	(56, 0.0007806771809226545)	(58, 0.0003647391777157871)	(60, 0.0007728406966521625)	(62, 0.0007395171515577792)	(64, 0.00045098347195684553)	(66, 0.00024700771876250046)	(68, 0.0004412331049660924)	(70, 0.00010166739143193437)	(72, 6.044970863240439e-05)	(74, 0.00024846650458212085)	(76, 0.00014133391324208314)	(78, 0.0004621595546441895)	(80, 6.13737793463447e-05)	(82, 3.781219401663623e-05)	(84, 2.3663456056275864e-05)	(86, 8.532487517326282e-05)	(88, 8.55445978206278e-05)	(90, 4.801331005776097e-06)	(92, 0.0)				
HSM67VEO_R2	(1, 0.037568392459144374)	(2, 0.0001687469164831544)	(3, 7.993274991307313e-05)	(4, 9.769558322708939e-05)	(5, 0.00015986549982614627)	(6, 0.00022203541642520314)	(7, 0.00014210266651213)	(8, 5.328849994204876e-05)	(9, 8.881416657008126e-05)	(10, 0.00034193454129481286)	(12, 0.00011545841654110564)	(14, 0.00013766195818362597)	(16, 8.43734582415772e-05)	(18, 0.00019095045812567472)	(20, 0.00015098408316913814)	(22, 0.00012878054152661782)	(24, 0.00010213629155559346)	(26, 0.00035525666628032505)	(28, 4.8847791613544696e-05)	(30, 7.1051333256065e-05)	(32, 0.00015986549982614627)	(34, 0.00011545841654110564)	(36, 0.00015098408316913814)	(38, 0.00022647612475370723)	(40, 0.00024423895806772344)	(42, 7.1051333256065e-05)	(44, 0.00014210266651213)	(46, 9.325487489858533e-05)	(48, 0.00011989912486960971)	(50, 0.00019559808292540762)	(52, 0.0002946263764799228)	(54, 0.000286915436696054)	(56, 0.00018477820576215961)	(58, 9.072654909231716e-05)	(60, 0.0002146745688832227)	(62, 0.0001287479268709936)	(64, 0.00024074931186207507)	(66, 0.00017252924941989372)	(68, 0.00023486901026480915)	(70, 9.465915085630088e-05)	(72, 8.112562278828289e-05)	(74, 4.8145032094682015e-05)	(76, 2.916050408013773e-05)	(78, 3.4384772182955085e-05)	(80, 5.96667047704873e-05)	(82, 0.00025554118512185103)	(84, 0.00032243883058287974)	(86, 0.00033444417784626564)	(88, 0.0004181802965989651)	(90, 0.00013391793663363786)	(92, 0.00017701812243854124)	(94, 2.6916851262432626e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
HSM67VF3_R1	(1, 0.0009468591852324054)	(2, 0.0002840577555697216)	(3, 2.3671479630810133e-05)	(4, 2.3671479630810133e-05)	(5, 0.0)	(6, 4.7342959261620266e-05)	(7, 4.7342959261620266e-05)	(8, 2.3671479630810133e-05)	(9, 0.0009942021444940257)	(10, 3.55072194462152e-05)	(12, 4.7342959261620266e-05)	(14, 9.468591852324053e-05)	(16, 9.468591852324053e-05)	(18, 0.28603432411889423)	(20, 7.10144388924304e-05)	(22, 2.3671479630810133e-05)	(24, 8.285017870783547e-05)	(26, 0.00010652165833864561)	(28, 4.7342959261620266e-05)	(30, 0.00018937183704648106)	(32, 0.00011835739815405067)	(34, 0.00011835739815405067)	(36, 3.55072194462152e-05)	(38, 5.9178699077025334e-05)	(40, 5.9178699077025334e-05)	(42, 0.00015386461760026588)	(44, 0.00042608663335458243)	(46, 0.00010652165833864561)	(48, 0.0)	(50, 1.1846648452839559e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 3.6115229250446476e-05)	(60, 0.0)	(62, 6.0763256993212864e-05)	(64, 0.00014657754263482662)	(66, 7.366922077855106e-05)	(68, 0.0)	(70, 1.2417945321799877e-05)	(72, 6.249589870664738e-05)	(74, 0.0003022905309254549)	(76, 7.607607709143913e-05)	(78, 3.8138762292917645e-05)	(80, 0.00010200148590664595)	(82, 6.395019865489711e-05)	(84, 0.00020540610906011686)	(86, 0.00014192559486177737)	(88, 0.00010412690049490213)	(90, 0.0)	(92, 0.0)				
HSM67VF3_R2	(1, 0.11497237656684482)	(2, 0.0004734295926162027)	(3, 9.468591852324053e-05)	(4, 0.00011835739815405067)	(5, 0.000520772551877823)	(6, 0.00021304331667729121)	(7, 0.00023671479630810134)	(8, 0.0014913032167410386)	(9, 0.00016570035741567094)	(10, 4.7342959261620266e-05)	(12, 5.9178699077025334e-05)	(14, 4.7342959261620266e-05)	(16, 0.00010652165833864561)	(18, 9.468591852324053e-05)	(20, 0.00011835739815405067)	(22, 0.00016570035741567094)	(24, 3.55072194462152e-05)	(26, 0.000532608291693228)	(28, 0.00023671479630810134)	(30, 9.468591852324053e-05)	(32, 5.9178699077025334e-05)	(34, 0.00018937183704648106)	(36, 0.00011835739815405067)	(38, 0.0002485505361235064)	(40, 0.00016570035741567094)	(42, 0.0002958934953851267)	(44, 0.0003195649750159368)	(46, 0.0002603862759389115)	(48, 0.0005444440315086331)	(50, 0.00022550480734708905)	(52, 0.00026405625454446817)	(54, 0.00012140088855738352)	(56, 0.0006017875793008653)	(58, 0.00032314679353244067)	(60, 0.000691813369884559)	(62, 0.0004579064415734276)	(64, 0.00021867213021127844)	(66, 2.6029943024359215e-05)	(68, 1.3173710122520773e-05)	(70, 1.3327247223767812e-05)	(72, 0.0)	(74, 5.460257380152128e-05)	(76, 9.680580934427754e-05)	(78, 1.402196316177882e-05)	(80, 1.4235300984086357e-05)	(82, 4.326668053123407e-05)	(84, 5.828478938937066e-05)	(86, 0.00014721489296520385)	(88, 0.00034289866554275416)	(90, 0.00013661735134476254)	(92, 0.00012344345518231056)	(94, 1.6233824211709847e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
