Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
CSM79HGX_R1	(1, 36.087865902653085)	(2, 36.47334509513568)	(3, 36.67121247651032)	(4, 36.70865635560403)	(5, 36.72845797770278)	(6, 36.72174337624652)	(7, 36.743501867155736)	(8, 36.74171861975371)	(9, 36.73498243655358)	(10, 36.724283621919696)	(12, 36.70581467250485)	(14, 36.735116429415086)	(16, 36.733480644859526)	(18, 36.59840698450721)	(20, 36.64527549951876)	(22, 36.68820575558318)	(24, 36.70221647486326)	(26, 36.70351789122846)	(28, 36.65967535996674)	(30, 36.63614660791173)	(32, 36.638000070401134)	(34, 36.608232929231306)	(36, 36.58648630828122)	(38, 36.5496763370988)	(40, 36.47970463969539)	(42, 36.48951365391352)	(44, 36.46816108583856)	(46, 36.4585734333347)	(48, 36.40045547154138)	(50, 36.34152294236373)	(52, 36.30911154130296)	(54, 36.348493663899475)	(56, 36.344794425788535)	(58, 36.294188877320416)	(60, 36.30379930431976)	(62, 36.31247056085431)	(64, 36.31067682552286)	(66, 36.26548979021631)	(68, 36.22252389255098)	(70, 36.12834014549966)	(72, 36.064169884064924)	(74, 35.982706173887365)	(76, 35.885953317307965)	(78, 35.96529087803118)	(80, 35.93428442135341)	(82, 35.88267399812857)	(84, 35.92003123798976)	(86, 35.903449931798576)	(88, 35.92290942475665)	(90, 35.96463386181574)	(92, 35.268716176801654)				
CSM79HGX_R2	(1, 30.622336524429826)	(2, 32.6625964489994)	(3, 34.10509929723144)	(4, 34.00194868263175)	(5, 33.932292562417565)	(6, 33.80710244771953)	(7, 33.85442763987333)	(8, 33.72150218165383)	(9, 33.19661951006018)	(10, 33.2545388453901)	(12, 33.01690799397467)	(14, 33.42598485125304)	(16, 33.120848314350454)	(18, 33.25986622444434)	(20, 32.91637989614418)	(22, 32.97372270123358)	(24, 32.93361544889692)	(26, 32.83058941305322)	(28, 33.39747693041815)	(30, 33.484535973529766)	(32, 33.309373740212216)	(34, 33.355495117576965)	(36, 33.266568918731565)	(38, 33.411372968776504)	(40, 33.527517542050724)	(42, 33.66033624505788)	(44, 33.401368900245686)	(46, 33.38238518902966)	(48, 33.432758765295034)	(50, 33.49626851623236)	(52, 33.357507790449105)	(54, 33.55862339841339)	(56, 33.58082384510611)	(58, 33.89243523991482)	(60, 34.11299415536598)	(62, 34.263709729167324)	(64, 34.3429082815148)	(66, 34.38527296389928)	(68, 34.344406113924535)	(70, 34.521763980253446)	(72, 34.34162207927275)	(74, 34.265279822673435)	(76, 34.32265316010911)	(78, 34.26266503680749)	(80, 34.189503511890095)	(82, 34.25128673159617)	(84, 34.28109977371403)	(86, 34.35864761380776)	(88, 34.37877519481005)	(90, 34.46394046886185)	(92, 34.547374637538454)	(94, 34.6095831515659)	(96, 34.91787876385283)	(98, 34.405829598586934)	(100, 34.44328343477453)
HSM5MD5B_R1	(1, 36.590335413368365)	(2, 36.705183228900104)	(3, 36.7207881871089)	(4, 36.70276762793518)	(5, 36.718544839000685)	(6, 36.68267461985292)	(7, 36.71045716128138)	(8, 36.72642396893425)	(9, 36.69247458910799)	(10, 36.695962624852655)	(12, 36.69602383553135)	(14, 36.69883191243057)	(16, 36.691115390547395)	(18, 36.694646235695544)	(20, 36.6739804191819)	(22, 36.68923118456919)	(24, 36.67287680798874)	(26, 36.649752411899556)	(28, 36.66256583320593)	(30, 36.60785871509352)	(32, 36.63555225357245)	(34, 36.60241489875534)	(36, 36.601227614637196)	(38, 36.58279736270386)	(40, 36.57108966767974)	(42, 36.566048183591086)	(44, 36.528218249784075)	(46, 36.507752859114)	(48, 36.520397030990196)	(50, 36.52295704388762)	(52, 36.49628780754607)	(54, 36.514246593747046)	(56, 36.46333153903808)	(58, 36.418159171911064)	(60, 36.42075656013755)	(62, 36.373632572881164)	(64, 36.44459076021586)	(66, 36.40093047319125)	(68, 36.31383882353329)	(70, 36.402517442886506)	(72, 36.28996602709563)	(74, 36.246595242412795)	(76, 36.316232459511085)	(78, 36.26054234333408)	(80, 36.22711728183479)	(82, 36.25779758401578)	(84, 36.25848716360775)	(86, 36.20582278960687)	(88, 36.28162553356594)	(90, 36.29282825895467)	(92, 35.29978032304133)				
HSM5MD5B_R2	(1, 32.25129449798487)	(2, 34.35237722901838)	(3, 36.060632244127305)	(4, 36.13535343519659)	(5, 36.10916254062134)	(6, 36.236846831930706)	(7, 36.147969941707295)	(8, 36.16562653634785)	(9, 36.13959528869824)	(10, 35.90083726225235)	(12, 35.797739528130386)	(14, 36.13275652879359)	(16, 36.018850647043834)	(18, 35.835831944495325)	(20, 35.80057560880937)	(22, 36.03291548197001)	(24, 36.0147850227664)	(26, 35.76911556195422)	(28, 36.04526730623013)	(30, 36.01773997145307)	(32, 35.68004708695969)	(34, 35.39484276131482)	(36, 35.721374828223034)	(38, 35.705426506448944)	(40, 35.6388307262886)	(42, 35.60532005824447)	(44, 35.68397226932056)	(46, 35.76294064391604)	(48, 35.78634444327598)	(50, 35.90844026145962)	(52, 35.84225938064033)	(54, 35.73785228672176)	(56, 35.90530137897635)	(58, 35.85733549577053)	(60, 35.908553901155244)	(62, 35.92753421697549)	(64, 35.80473988254465)	(66, 35.41145901832084)	(68, 35.186016935255324)	(70, 35.66823508587687)	(72, 35.45116797500218)	(74, 35.238445420856124)	(76, 35.29485312584476)	(78, 35.55252620336212)	(80, 35.65255783077015)	(82, 35.42616153847991)	(84, 35.5301403716869)	(86, 35.588613475443225)	(88, 35.656134125189254)	(90, 35.48666123462712)	(92, 35.437445431401855)	(94, 35.1275674493357)	(96, 35.737826543555045)	(98, 34.37742686007979)	(100, 34.7310443277954)
HSM5MD6I_R1	(1, 36.57709709148947)	(2, 36.72272795977256)	(3, 36.76423532863256)	(4, 36.79282530622558)	(5, 36.794880249291886)	(6, 36.790068261238936)	(7, 36.78330166148524)	(8, 36.78969131129286)	(9, 36.7887402308862)	(10, 36.77971742682911)	(12, 36.7671483660406)	(14, 36.78108582913046)	(16, 36.77726621839657)	(18, 36.77973043073169)	(20, 36.77940593167304)	(22, 36.76510577396127)	(24, 36.76111988738512)	(26, 36.76526203843083)	(28, 36.752016393840435)	(30, 36.7445122714945)	(32, 36.760509465698476)	(34, 36.746003748388524)	(36, 36.733512928654065)	(38, 36.71840190416309)	(40, 36.689047471208866)	(42, 36.674297454641135)	(44, 36.682174609439485)	(46, 36.67015856817348)	(48, 36.65104729296291)	(50, 36.660786136509046)	(52, 36.64717123013362)	(54, 36.65243936437302)	(56, 36.64525102786702)	(58, 36.64155437020434)	(60, 36.6354196704077)	(62, 36.62284188009498)	(64, 36.619513300894766)	(66, 36.61057506946705)	(68, 36.582422952634204)	(70, 36.55615512485663)	(72, 36.54316538854214)	(74, 36.52317637885889)	(76, 36.50236880588628)	(78, 36.49439043484588)	(80, 36.49162361913997)	(82, 36.44826695749795)	(84, 36.453819949924195)	(86, 36.435734299736936)	(88, 36.42068193952173)	(90, 36.449405395170615)	(92, 35.69651480190558)				
HSM5MD6I_R2	(1, 32.15408460197557)	(2, 33.955374306181945)	(3, 35.694736161698465)	(4, 35.78173607866937)	(5, 35.921417906362976)	(6, 35.957627300316915)	(7, 35.87440406487848)	(8, 35.89330749528622)	(9, 35.81774241586829)	(10, 35.87080698954867)	(12, 35.833479640839826)	(14, 35.82900156471226)	(16, 35.793782698149826)	(18, 35.80612829857047)	(20, 35.76685112620869)	(22, 35.73580134346092)	(24, 35.66794485779444)	(26, 35.615309195260835)	(28, 35.72373954369252)	(30, 35.732541335815284)	(32, 35.69338462638373)	(34, 35.732764360906074)	(36, 35.65063922070604)	(38, 35.67585939201151)	(40, 35.72371048894782)	(42, 35.65653874852836)	(44, 35.6655390814065)	(46, 35.59585590108938)	(48, 35.594846711193334)	(50, 35.542226387353985)	(52, 35.579406483173756)	(54, 35.64386279842182)	(56, 35.556637961340236)	(58, 35.66992766028764)	(60, 35.67092872193258)	(62, 35.609762861437424)	(64, 35.653250699741264)	(66, 35.552180497716925)	(68, 35.551504383876264)	(70, 35.53250461116359)	(72, 35.526493705317016)	(74, 35.48509679883878)	(76, 35.519102149189685)	(78, 35.515997490709225)	(80, 35.47249046298641)	(82, 35.36044092087114)	(84, 35.410590280988544)	(86, 35.36030091472017)	(88, 35.295382863186404)	(90, 35.378272374197095)	(92, 35.28382953319137)	(94, 35.27679734503396)	(96, 35.36050926455575)	(98, 34.32272196112126)	(100, 34.17352829894864)
HSM67VEO_R1	(1, 36.76302675127104)	(2, 36.78596221046027)	(3, 36.785775789524635)	(4, 36.79448366330016)	(5, 36.7873731123104)	(6, 36.780418163740464)	(7, 36.777780738249994)	(8, 36.779723281701216)	(9, 36.7758718553679)	(10, 36.77602155164566)	(12, 36.76656155510053)	(14, 36.77457361428807)	(16, 36.76599252273532)	(18, 36.76285049955749)	(20, 36.765301592926484)	(22, 36.755017445322665)	(24, 36.7493803213563)	(26, 36.750666927780316)	(28, 36.73772981220688)	(30, 36.72181191557503)	(32, 36.7162418907115)	(34, 36.70178720747389)	(36, 36.68787224792652)	(38, 36.66206125246626)	(40, 36.64311625818811)	(42, 36.62305771188951)	(44, 36.63468157678895)	(46, 36.621594276459845)	(48, 36.617391412469416)	(50, 36.60564097342168)	(52, 36.60620486177777)	(54, 36.60206594295485)	(56, 36.595869810265185)	(58, 36.581743659343914)	(60, 36.574935156559135)	(62, 36.566837649313186)	(64, 36.55959606179872)	(66, 36.544993465814365)	(68, 36.51858374208881)	(70, 36.508443615487266)	(72, 36.5047891410761)	(74, 36.48866026673642)	(76, 36.46780664144987)	(78, 36.451799262946935)	(80, 36.42963249537306)	(82, 36.40644524990299)	(84, 36.39652065488602)	(86, 36.37567099348446)	(88, 36.3565224065982)	(90, 36.42376494564971)	(92, 35.63643571710362)				
HSM67VEO_R2	(1, 31.950446313390557)	(2, 33.82514364581266)	(3, 35.707910278152646)	(4, 35.864659377688014)	(5, 35.943690930252906)	(6, 35.97681168687855)	(7, 35.928730627965)	(8, 35.89469437491035)	(9, 35.83102198905543)	(10, 35.890395902469606)	(12, 35.84650220947443)	(14, 35.84306079374109)	(16, 35.781990263302916)	(18, 35.79373740226556)	(20, 35.780256477550225)	(22, 35.75270809936352)	(24, 35.73771253785149)	(26, 35.715764825415775)	(28, 35.78593783097154)	(30, 35.75074543950356)	(32, 35.72333450123962)	(34, 35.734493113127485)	(36, 35.67507590280711)	(38, 35.70724714717795)	(40, 35.688354997328915)	(42, 35.66238395874049)	(44, 35.646408421714526)	(46, 35.64140090137498)	(48, 35.59278882255951)	(50, 35.59208246859269)	(52, 35.60861337728959)	(54, 35.62677802301942)	(56, 35.58806700925859)	(58, 35.63933753383547)	(60, 35.65065875590179)	(62, 35.64788787329567)	(64, 35.608125230261074)	(66, 35.63182750596687)	(68, 35.61164605592294)	(70, 35.58441992220436)	(72, 35.54844585609296)	(74, 35.527579902353864)	(76, 35.52242402255854)	(78, 35.468276906927215)	(80, 35.47095510407706)	(82, 35.44082244241309)	(84, 35.40033858949107)	(86, 35.400724860752035)	(88, 35.37848115193727)	(90, 35.357784219616484)	(92, 35.36627297046509)	(94, 35.385090375609096)	(96, 35.362425813394935)	(98, 34.45896100782629)	(100, 34.233893116811544)
HSM67VF3_R1	(1, 36.63795892193454)	(2, 36.73452553951444)	(3, 36.75069102966912)	(4, 36.75555457187407)	(5, 36.75498385250017)	(6, 36.732251893895906)	(7, 36.73280012536416)	(8, 36.73809093777644)	(9, 36.73598204565613)	(10, 36.73376994588463)	(12, 36.71601029993422)	(14, 36.72741048452441)	(16, 36.721250692094884)	(18, 36.60423428326192)	(20, 36.6506759509366)	(22, 36.69945328350644)	(24, 36.69600553249822)	(26, 36.68539940769224)	(28, 36.629480863147364)	(30, 36.51746339738283)	(32, 36.56361769329479)	(34, 36.5534293701043)	(36, 36.53508776082716)	(38, 36.494615803600574)	(40, 36.45478842076434)	(42, 36.431234233315095)	(44, 36.43321802166556)	(46, 36.395916030633735)	(48, 36.343330667135675)	(50, 36.29401869975281)	(52, 36.302701736971954)	(54, 36.31587974919911)	(56, 36.294807622472135)	(58, 36.22581877256124)	(60, 36.207146912026616)	(62, 36.199479508713594)	(64, 36.17224743818964)	(66, 36.14510936076563)	(68, 36.12061499592707)	(70, 36.04480094606383)	(72, 36.006384735195304)	(74, 35.968331713252326)	(76, 35.93445301801948)	(78, 35.897076092435455)	(80, 35.89184313837498)	(82, 35.812067770827795)	(84, 35.798556899828114)	(86, 35.7398002302635)	(88, 35.7908408444348)	(90, 35.88295131487746)	(92, 35.17282493921783)				
HSM67VF3_R2	(1, 30.114730217330223)	(2, 31.969314187524986)	(3, 33.625029559760186)	(4, 33.34348618875685)	(5, 33.42633210659835)	(6, 33.4920881630056)	(7, 33.210752390878625)	(8, 33.084785322167654)	(9, 32.287275893225534)	(10, 32.62068063552242)	(12, 32.590025832685726)	(14, 32.623858413305456)	(16, 32.62651908761596)	(18, 32.83998482184726)	(20, 32.89117936755961)	(22, 32.523050695077494)	(24, 32.23160542578719)	(26, 32.37533770324629)	(28, 32.875793852658774)	(30, 33.02902940068785)	(32, 32.701201895706774)	(34, 33.050264966707246)	(36, 32.73669798955756)	(38, 32.86955263033931)	(40, 33.01033958394534)	(42, 33.19060109698371)	(44, 33.18503155289878)	(46, 33.278969334308286)	(48, 33.3226962383415)	(50, 33.105905885065475)	(52, 33.226206449816104)	(54, 33.43803413345883)	(56, 33.16870315919975)	(58, 33.7371749476678)	(60, 33.87317481463303)	(62, 33.79638429010923)	(64, 34.052335014629065)	(66, 33.998889761351066)	(68, 34.073799756880035)	(70, 34.29319767721229)	(72, 34.13310610994687)	(74, 34.09540685268604)	(76, 34.174161337963646)	(78, 34.16530837771357)	(80, 33.95418737127495)	(82, 34.136533992882356)	(84, 34.28744677857381)	(86, 34.36778264078487)	(88, 34.33385273766642)	(90, 34.42848162365995)	(92, 34.377891885819864)	(94, 34.58624239953968)	(96, 34.84984153991152)	(98, 34.42749977307566)	(100, 34.37679501913851)
