Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CSM79HGX_R1	(25.0, 7.0)	(26.0, 74.0)	(27.0, 525.0)	(28.0, 2117.0)	(29.0, 6935.0)	(30.0, 19758.0)	(31.0, 49586.0)	(32.0, 113936.0)	(33.0, 250853.0)	(34.0, 572954.0)	(35.0, 1550163.0)	(36.0, 9084634.0)	(37.0, 1785741.0)			
CSM79HGX_R2	(23.0, 7.0)	(24.0, 264.0)	(25.0, 2381.0)	(26.0, 13798.0)	(27.0, 55141.0)	(28.0, 165179.0)	(29.0, 395272.0)	(30.0, 780723.0)	(31.0, 1309417.0)	(32.0, 1923463.0)	(33.0, 2480832.0)	(34.0, 2765226.0)	(35.0, 2417197.0)	(36.0, 1126549.0)	(37.0, 1834.0)	
HSM5MD5B_R1	(24.0, 6.0)	(25.0, 38.0)	(26.0, 206.0)	(27.0, 958.0)	(28.0, 3339.0)	(29.0, 9746.0)	(30.0, 24783.0)	(31.0, 56125.0)	(32.0, 114807.0)	(33.0, 219147.0)	(34.0, 419858.0)	(35.0, 933641.0)	(36.0, 7388041.0)	(37.0, 2649138.0)		
HSM5MD5B_R2	(23.0, 2.0)	(24.0, 18.0)	(25.0, 202.0)	(26.0, 1354.0)	(27.0, 6282.0)	(28.0, 21864.0)	(29.0, 60157.0)	(30.0, 137498.0)	(31.0, 270660.0)	(32.0, 471822.0)	(33.0, 756620.0)	(34.0, 1197242.0)	(35.0, 2106927.0)	(36.0, 6692578.0)	(37.0, 96607.0)	
HSM5MD6I_R1	(25.0, 5.0)	(26.0, 56.0)	(27.0, 235.0)	(28.0, 914.0)	(29.0, 3188.0)	(30.0, 8866.0)	(31.0, 21868.0)	(32.0, 48279.0)	(33.0, 101385.0)	(34.0, 211998.0)	(35.0, 526264.0)	(36.0, 5472569.0)	(37.0, 2793922.0)			
HSM5MD6I_R2	(23.0, 2.0)	(24.0, 22.0)	(25.0, 251.0)	(26.0, 1730.0)	(27.0, 7380.0)	(28.0, 23891.0)	(29.0, 63001.0)	(30.0, 137102.0)	(31.0, 257907.0)	(32.0, 426181.0)	(33.0, 653047.0)	(34.0, 980927.0)	(35.0, 1636629.0)	(36.0, 4860508.0)	(37.0, 140971.0)	
HSM67VEO_R1	(25.0, 7.0)	(26.0, 66.0)	(27.0, 326.0)	(28.0, 1307.0)	(29.0, 4243.0)	(30.0, 12119.0)	(31.0, 29715.0)	(32.0, 66563.0)	(33.0, 138579.0)	(34.0, 289796.0)	(35.0, 715857.0)	(36.0, 6838289.0)	(37.0, 3162598.0)			
HSM67VEO_R2	(23.0, 1.0)	(24.0, 19.0)	(25.0, 324.0)	(26.0, 1912.0)	(27.0, 8342.0)	(28.0, 27933.0)	(29.0, 73668.0)	(30.0, 160308.0)	(31.0, 303406.0)	(32.0, 510032.0)	(33.0, 788917.0)	(34.0, 1201960.0)	(35.0, 2014595.0)	(36.0, 6020027.0)	(37.0, 148021.0)	
HSM67VF3_R1	(25.0, 5.0)	(26.0, 26.0)	(27.0, 139.0)	(28.0, 606.0)	(29.0, 2115.0)	(30.0, 6108.0)	(31.0, 15912.0)	(32.0, 38576.0)	(33.0, 89618.0)	(34.0, 210412.0)	(35.0, 546598.0)	(36.0, 2795508.0)	(37.0, 518870.0)			
HSM67VF3_R2	(23.0, 14.0)	(24.0, 174.0)	(25.0, 1465.0)	(26.0, 7578.0)	(27.0, 27146.0)	(28.0, 75228.0)	(29.0, 167237.0)	(30.0, 310509.0)	(31.0, 492766.0)	(32.0, 677001.0)	(33.0, 803192.0)	(34.0, 798838.0)	(35.0, 614213.0)	(36.0, 248980.0)	(37.0, 152.0)	
