Sample	Unique Reads	Duplicate Reads
CSM79HGX_R1	1413359.0	12023924.0
CSM79HGX_R2	1852479.0	11584804.0
HSM5MD5B_R1	411594.0	11408239.0
HSM5MD5B_R2	440269.0	11379564.0
HSM5MD6I_R1	952557.0	8236992.0
HSM5MD6I_R2	1052545.0	8137004.0
HSM67VEO_R1	2384573.0	8874892.0
HSM67VEO_R2	2432488.0	8826977.0
HSM67VF3_R1	821946.0	3402547.0
HSM67VF3_R2	1059384.0	3165109.0
HSM67VFR_R1	597001.0	2875483.0
HSM67VFR_R2	742730.0	2729754.0
HSM67VI3_R1	656352.0	6021641.0
HSM67VI3_R2	748356.0	5929637.0
HSM6XRQ8_R1	913969.0	5751244.0
HSM6XRQ8_R2	970795.0	5694418.0
HSM6XRT8_R1	764545.0	3494494.0
HSM6XRT8_R2	971434.0	3287605.0
HSMA33J3_R1	1350396.0	9732036.0
HSMA33J3_R2	1620484.0	9461948.0
MSM6J2HP_R1	1637276.0	7148690.0
MSM6J2HP_R2	1654277.0	7131689.0
MSM6J2JN_R1	1378301.0	15431891.0
MSM6J2JN_R2	1756282.0	15053910.0
MSM6J2JZ_R1	1329787.0	12586386.0
MSM6J2JZ_R2	1447796.0	12468377.0
MSM6J2M3_R1	1646719.0	3476729.0
MSM6J2M3_R2	1930044.0	3193404.0
MSM6J2PS_R1	1320147.0	8621709.0
MSM6J2PS_R2	1359644.0	8582212.0
MSM79H54_R1	969110.0	2744964.0
MSM79H54_R2	1146118.0	2567956.0
MSM79H5E_R1	47100.0	146899.0
MSM79H5E_R2	64480.0	129519.0
MSM79H81_R1	636869.0	2315860.0
MSM79H81_R2	769284.0	2183445.0
MSM79H8D_R1	1907058.0	9931431.0
MSM79H8D_R2	1995185.0	9843304.0
MSM9VZFL_R1	1011720.0	6835863.0
MSM9VZFL_R2	1095368.0	6752215.0
MSM9VZHX_R1	776918.0	4002721.0
MSM9VZHX_R2	941006.0	3838633.0
MSM9VZL5_R1	1415936.0	7750551.0
MSM9VZL5_R2	1488943.0	7677544.0
MSM9VZL9_R1	2099717.0	13149237.0
MSM9VZL9_R2	2197798.0	13051156.0
PSM7J14X_R1	1091577.0	5226178.0
PSM7J14X_R2	1256129.0	5061626.0
PSM7J15O_R1	761564.0	8848579.0
PSM7J15O_R2	811731.0	8798412.0
PSM7J16U_R1	1094347.0	4278994.0
PSM7J16U_R2	1342249.0	4031092.0
