Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CSM79HGX_R1	(1.0, 6.5746525691336695)	(2.0, 3.7784087159244417)	(3.0, 2.166280414494117)	(4.0, 1.3044333720594052)	(5.0, 0.9498364905103501)	(6.0, 0.7158684945773588)	(7.0, 0.5719249535478328)	(8.0, 0.5060556986854557)	(9.0, 0.4584695755015189)	('>10', 7.611077518381619)	('>50', 3.860813187671853)	('>100', 10.79789357228338)	('>500', 5.919451065280416)	('>1k', 16.342246658753883)	('>5k', 7.914352436315619)	('>10k+', 30.528235276879105)
CSM79HGX_R2	(1.0, 9.581402446666706)	(2.0, 3.8996890164195928)	(3.0, 2.258598227544763)	(4.0, 1.481788662918153)	(5.0, 1.0391860104102981)	(6.0, 0.8222339906612239)	(7.0, 0.7045969843658559)	(8.0, 0.5841564395000599)	(9.0, 0.5112621039233404)	('>10', 8.416910309527738)	('>50', 4.1694032568222035)	('>100', 12.180640207535355)	('>500', 6.1701634655187885)	('>1k', 17.30967212571056)	('>5k', 7.305162643838512)	('>10k+', 23.565134108636922)
HSM5MD5B_R1	(1.0, 1.7500520682000797)	(2.0, 1.2763006198792428)	(3.0, 0.9902087083551725)	(4.0, 0.7163991811339819)	(5.0, 0.5106993438999491)	(6.0, 0.3892377603364298)	(7.0, 0.3236009675482752)	(8.0, 0.2700427667436329)	(9.0, 0.2474211155222457)	('>10', 4.665218830180347)	('>50', 2.5603529482392062)	('>100', 7.873213046403784)	('>500', 3.977377086519208)	('>1k', 10.442901160690061)	('>5k', 6.155068549471011)	('>10k+', 57.851905846877386)
HSM5MD5B_R2	(1.0, 2.041788254882842)	(2.0, 1.2719129140004954)	(3.0, 0.9570675624047082)	(4.0, 0.6777866745120461)	(5.0, 0.4786362771890541)	(6.0, 0.3642487290850301)	(7.0, 0.3063725191284509)	(8.0, 0.26228238142908405)	(9.0, 0.23647333254056593)	('>10', 4.399438230453275)	('>50', 2.5252065729884503)	('>100', 8.101493359309433)	('>500', 5.215942705391006)	('>1k', 12.556938428990694)	('>5k', 5.6736937366488345)	('>10k+', 54.93071832104602)
HSM5MD6I_R1	(1.0, 5.17540258119575)	(2.0, 4.298552159590501)	(3.0, 3.325738335464)	(4.0, 2.303144977560519)	(5.0, 1.5825049311649027)	(6.0, 1.1403368159582055)	(7.0, 0.8340549650446214)	(8.0, 0.7052481182877467)	(9.0, 0.5576270199675273)	('>10', 8.72877367906749)	('>50', 4.417059724130585)	('>100', 13.627989366284085)	('>500', 6.673332534954758)	('>1k', 13.422181290951382)	('>5k', 7.083600580427109)	('>10k+', 26.124452919950812)
HSM5MD6I_R2	(1.0, 6.4019933674742315)	(2.0, 4.154375847176215)	(3.0, 3.1224210534494956)	(4.0, 2.2427060568450217)	(5.0, 1.571365976779348)	(6.0, 1.1085293908896865)	(7.0, 0.8483967747625283)	(8.0, 0.7152558244890322)	(9.0, 0.6042986388630937)	('>10', 8.90186412487708)	('>50', 4.391997399073019)	('>100', 13.366083691124642)	('>500', 6.753085900383586)	('>1k', 19.948671293236526)	('>5k', 5.366139025105378)	('>10k+', 20.5028156354711)
HSM67VEO_R1	(1.0, 11.242476964202105)	(2.0, 9.316019195966248)	(3.0, 6.608531779863543)	(4.0, 4.242343956448818)	(5.0, 2.826511380867254)	(6.0, 1.9204054029112045)	(7.0, 1.3661338552435816)	(8.0, 1.0122353734925529)	(9.0, 0.8370281136087038)	('>10', 10.97899443560015)	('>50', 4.91672966784736)	('>100', 12.720398206199166)	('>500', 6.156567597490352)	('>1k', 12.116046638292994)	('>5k', 5.407730855709078)	('>10k+', 8.331846576256934)
HSM67VEO_R2	(1.0, 12.179187033807306)	(2.0, 8.630744967928203)	(3.0, 6.036278237482233)	(4.0, 4.178880811378987)	(5.0, 2.728729107266339)	(6.0, 1.9398346951898553)	(7.0, 1.4355328090966515)	(8.0, 1.1084287873178926)	(9.0, 0.9475117331573057)	('>10', 11.242899016064502)	('>50', 4.814102572394048)	('>100', 13.10066490708947)	('>500', 6.0569095973263245)	('>1k', 12.073604921071441)	('>5k', 4.431471720482189)	('>10k+', 9.095219082947317)
HSM67VF3_R1	(1.0, 11.100028515643576)	(2.0, 7.752913859500439)	(3.0, 5.133110883454798)	(4.0, 3.5087953757698944)	(5.0, 2.335346778031141)	(6.0, 1.6832307706157017)	(7.0, 1.2509429975360442)	(8.0, 1.018196609205299)	(9.0, 0.855243177465974)	('>10', 11.373789406487267)	('>50', 5.236492568516364)	('>100', 14.500653458978292)	('>500', 6.175051660872526)	('>1k', 13.012086487873603)	('>5k', 3.351696676748775)	('>10k+', 11.712420773300318)
HSM67VF3_R2	(1.0, 16.914862726824765)	(2.0, 7.562241441014208)	(3.0, 4.871695608412467)	(4.0, 3.3364115868902875)	(5.0, 2.29368702569119)	(6.0, 1.6564097159520268)	(7.0, 1.2895104902860772)	(8.0, 1.070962705908164)	(9.0, 0.8814407363468011)	('>10', 11.946360358104632)	('>50', 5.211492904430376)	('>100', 13.342654123672554)	('>500', 6.027212923251078)	('>1k', 10.804442963990626)	('>5k', 3.9883147331228987)	('>10k+', 8.802299956101816)
