Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
CSM79HGX_R1	(50, 42831.0)	(51, 41340.0)	(52, 46044.0)	(53, 69946.0)	(54, 111722.0)	(55, 117133.0)	(56, 191812.0)	(57, 46937.0)	(58, 44248.0)	(59, 41825.0)	(60, 43422.0)	(61, 52495.0)	(62, 51174.0)	(63, 52762.0)	(64, 56306.0)	(65, 51844.0)	(66, 56641.0)	(67, 58558.0)	(68, 62263.0)	(69, 95510.0)	(70, 71934.0)	(71, 65913.0)	(72, 70030.0)	(73, 77421.0)	(74, 71794.0)	(75, 67914.0)	(76, 12243.0)	(77, 12475.0)	(78, 12696.0)	(79, 13696.0)	(80, 13779.0)	(81, 14535.0)	(82, 14423.0)	(83, 15155.0)	(84, 16234.0)	(85, 18595.0)	(86, 21838.0)	(87, 26407.0)	(88, 44969.0)	(89, 79218.0)	(90, 182246.0)	(91, 726994.0)	(92, 10451961.0)
CSM79HGX_R2	(50, 125175.0)	(52, 124812.0)	(54, 146254.0)	(56, 244642.0)	(58, 370121.0)	(60, 173629.0)	(62, 148317.0)	(64, 147291.0)	(66, 168770.0)	(68, 161360.0)	(70, 166919.0)	(72, 184169.0)	(74, 238218.0)	(76, 193839.0)	(78, 195494.0)	(80, 157374.0)	(82, 91930.0)	(84, 93241.0)	(86, 93552.0)	(88, 113005.0)	(90, 142242.0)	(92, 203284.0)	(94, 1032745.0)	(96, 4729178.0)	(98, 3941145.0)	(100, 50577.0)																	
HSM5MD5B_R1	(50, 19068.0)	(51, 19406.0)	(52, 19126.0)	(53, 21492.0)	(54, 25755.0)	(55, 29023.0)	(56, 29754.0)	(57, 24997.0)	(58, 24971.0)	(59, 24270.0)	(60, 24744.0)	(61, 29518.0)	(62, 28806.0)	(63, 33322.0)	(64, 43561.0)	(65, 24290.0)	(66, 33709.0)	(67, 32012.0)	(68, 26232.0)	(69, 33250.0)	(70, 26791.0)	(71, 27854.0)	(72, 31712.0)	(73, 29348.0)	(74, 27279.0)	(75, 25007.0)	(76, 9001.0)	(77, 9312.0)	(78, 8854.0)	(79, 9206.0)	(80, 10175.0)	(81, 9819.0)	(82, 9364.0)	(83, 10944.0)	(84, 11097.0)	(85, 12784.0)	(86, 14359.0)	(87, 16524.0)	(88, 26990.0)	(89, 64808.0)	(90, 143294.0)	(91, 798410.0)	(92, 9939595.0)
HSM5MD5B_R2	(50, 34877.0)	(52, 35921.0)	(54, 46638.0)	(56, 64422.0)	(58, 73233.0)	(60, 57667.0)	(62, 69073.0)	(64, 72669.0)	(66, 92965.0)	(68, 122944.0)	(70, 103171.0)	(72, 90859.0)	(74, 100339.0)	(76, 97364.0)	(78, 80747.0)	(80, 66218.0)	(82, 44710.0)	(84, 51042.0)	(86, 47068.0)	(88, 72781.0)	(90, 95482.0)	(92, 148782.0)	(94, 679693.0)	(96, 5923019.0)	(98, 3497805.0)	(100, 50344.0)																	
HSM5MD6I_R1	(50, 11413.0)	(51, 11499.0)	(52, 12020.0)	(53, 13840.0)	(54, 19392.0)	(55, 18444.0)	(56, 23447.0)	(57, 13738.0)	(58, 16297.0)	(59, 15289.0)	(60, 16952.0)	(61, 29735.0)	(62, 22254.0)	(63, 21960.0)	(64, 20015.0)	(65, 17130.0)	(66, 17759.0)	(67, 20066.0)	(68, 20056.0)	(69, 21958.0)	(70, 20355.0)	(71, 21872.0)	(72, 25227.0)	(73, 26221.0)	(74, 23639.0)	(75, 24995.0)	(76, 3961.0)	(77, 4104.0)	(78, 4162.0)	(79, 4029.0)	(80, 4362.0)	(81, 4548.0)	(82, 4622.0)	(83, 4955.0)	(84, 5599.0)	(85, 6065.0)	(86, 7210.0)	(87, 8586.0)	(88, 12385.0)	(89, 24125.0)	(90, 70006.0)	(91, 386709.0)	(92, 8128548.0)
HSM5MD6I_R2	(50, 42116.0)	(52, 40350.0)	(54, 45837.0)	(56, 59065.0)	(58, 67755.0)	(60, 55403.0)	(62, 56844.0)	(64, 73525.0)	(66, 77231.0)	(68, 74523.0)	(70, 68738.0)	(72, 72642.0)	(74, 78349.0)	(76, 77051.0)	(78, 79334.0)	(80, 63214.0)	(82, 44114.0)	(84, 48355.0)	(86, 50420.0)	(88, 55695.0)	(90, 85302.0)	(92, 195362.0)	(94, 1191818.0)	(96, 3754543.0)	(98, 2669963.0)	(100, 62000.0)																	
HSM67VEO_R1	(50, 14045.0)	(51, 14489.0)	(52, 16819.0)	(53, 17519.0)	(54, 19156.0)	(55, 20986.0)	(56, 24560.0)	(57, 18480.0)	(58, 19172.0)	(59, 20951.0)	(60, 20412.0)	(61, 21251.0)	(62, 21841.0)	(63, 22072.0)	(64, 23400.0)	(65, 21471.0)	(66, 24017.0)	(67, 26371.0)	(68, 27699.0)	(69, 30386.0)	(70, 29546.0)	(71, 30063.0)	(72, 44038.0)	(73, 46724.0)	(74, 37151.0)	(75, 30993.0)	(76, 5378.0)	(77, 5286.0)	(78, 5580.0)	(79, 5742.0)	(80, 6050.0)	(81, 5952.0)	(82, 6534.0)	(83, 6805.0)	(84, 7425.0)	(85, 8297.0)	(86, 9767.0)	(87, 12878.0)	(88, 18662.0)	(89, 51361.0)	(90, 92714.0)	(91, 555193.0)	(92, 9812229.0)
HSM67VEO_R2	(50, 47368.0)	(52, 45705.0)	(54, 55253.0)	(56, 70744.0)	(58, 74175.0)	(60, 73518.0)	(62, 74936.0)	(64, 74374.0)	(66, 79996.0)	(68, 78335.0)	(70, 86644.0)	(72, 87803.0)	(74, 98721.0)	(76, 101158.0)	(78, 129701.0)	(80, 88625.0)	(82, 53954.0)	(84, 56633.0)	(86, 60263.0)	(88, 88854.0)	(90, 95817.0)	(92, 184515.0)	(94, 1040273.0)	(96, 4787336.0)	(98, 3545420.0)	(100, 79344.0)																	
HSM67VF3_R1	(50, 7780.0)	(51, 7508.0)	(52, 6971.0)	(53, 8086.0)	(54, 8542.0)	(55, 8264.0)	(56, 9854.0)	(57, 9340.0)	(58, 9551.0)	(59, 9806.0)	(60, 9437.0)	(61, 9847.0)	(62, 10357.0)	(63, 10264.0)	(64, 10979.0)	(65, 10459.0)	(66, 10382.0)	(67, 11076.0)	(68, 11461.0)	(69, 11687.0)	(70, 12822.0)	(71, 12912.0)	(72, 13691.0)	(73, 15426.0)	(74, 16600.0)	(75, 15470.0)	(76, 5000.0)	(77, 5207.0)	(78, 5415.0)	(79, 5922.0)	(80, 5731.0)	(81, 6153.0)	(82, 6402.0)	(83, 7129.0)	(84, 8477.0)	(85, 9471.0)	(86, 11488.0)	(87, 15338.0)	(88, 25443.0)	(89, 45491.0)	(90, 68022.0)	(91, 271788.0)	(92, 3443444.0)
HSM67VF3_R2	(50, 46918.0)	(52, 46553.0)	(54, 47830.0)	(56, 47953.0)	(58, 49013.0)	(60, 44312.0)	(62, 44271.0)	(64, 44151.0)	(66, 46852.0)	(68, 44236.0)	(70, 42789.0)	(72, 44610.0)	(74, 47839.0)	(76, 48604.0)	(78, 52867.0)	(80, 49096.0)	(82, 36678.0)	(84, 34333.0)	(86, 38837.0)	(88, 59992.0)	(90, 50122.0)	(92, 82962.0)	(94, 435564.0)	(96, 1516069.0)	(98, 1202991.0)	(100, 19051.0)																	
