Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CSM79HGX_R1	CSM79HGX_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13437283.0	1.1 Gbp	0.0	50-92	50.0	10.518184831537026	87.87538291781158	92	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
CSM79HGX_R2	CSM79HGX_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13437283.0	1.2 Gbp	0.0	50-101	49.0	13.786111914504268	89.75473817884166	96	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
HSM5MD5B_R1	HSM5MD5B_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11819833.0	1 Gbp	0.0	50-92	50.0	3.482226494603607	90.02886115226839	92	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
HSM5MD5B_R2	HSM5MD5B_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11819833.0	1.1 Gbp	0.0	50-101	52.0	3.7248257953343735	93.73877604700506	96	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
HSM5MD6I_R1	HSM5MD6I_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9189549.0	829.9 Mbp	0.0	50-92	47.0	10.365649057576958	90.3103886817514	92	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
HSM5MD6I_R2	HSM5MD6I_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9189549.0	855.6 Mbp	0.0	50-101	48.0	11.45371372350012	93.15597582645242	96	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
HSM67VEO_R1	HSM67VEO_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11259465.0	1 Gbp	0.0	50-92	46.0	21.178384189932128	90.27290675000988	92	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
HSM67VEO_R2	HSM67VEO_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11259465.0	1 Gbp	0.0	50-101	46.0	21.603932409745383	93.3588164712977	96	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
HSM67VF3_R1	HSM67VF3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4224493.0	379.3 Mbp	0.0	50-92	45.0	19.456665395978884	89.80600512298162	92	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
HSM67VF3_R2	HSM67VF3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4224493.0	383.4 Mbp	0.0	50-101	45.0	25.077167295621315	90.8392899455627	96	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
