Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CSM79HGX_R1	89.48181516846297	50.0	87.87538291781158	92	27.27272727272727	13.437282999999999
CSM79HGX_R2	86.21388808549574	49.0	89.75473817884166	96	27.27272727272727	13.437282999999999
HSM5MD5B_R1	96.51777350539639	50.0	90.02886115226839	92	36.36363636363637	11.819833
HSM5MD5B_R2	96.27517420466563	52.0	93.73877604700506	96	36.36363636363637	11.819833
HSM5MD6I_R1	89.63435094242304	47.0	90.3103886817514	92	18.181818181818183	9.189549
HSM5MD6I_R2	88.54628627649988	48.0	93.15597582645242	96	27.27272727272727	9.189549
HSM67VEO_R1	78.82161581006787	46.0	90.27290675000988	92	9.090909090909092	11.259464999999999
HSM67VEO_R2	78.39606759025462	46.0	93.3588164712977	96	36.36363636363637	11.259464999999999
HSM67VF3_R1	80.54333460402111	45.0	89.80600512298162	92	18.181818181818183	4.224493
HSM67VF3_R2	74.92283270437869	45.0	90.8392899455627	96	36.36363636363637	4.224493
HSM67VFR_R1	82.80768594119311	49.0	89.70968707127233	92	27.27272727272727	3.4724839999999997
HSM67VFR_R2	78.61099877944103	49.0	90.94077438513756	96	36.36363636363637	3.4724839999999997
HSM67VI3_R1	90.17142201147554	53.0	90.74048475342816	92	36.36363636363637	6.677993
HSM67VI3_R2	88.79370635015482	52.0	92.76547107791218	96	36.36363636363637	6.677993
HSM6XRQ8_R1	86.28748641257198	51.0	89.67255735113041	92	18.181818181818183	6.665213
HSM6XRQ8_R2	85.43491206782922	50.0	92.51408567138064	96	27.27272727272727	6.665213
HSM6XRT8_R1	82.04889154658854	52.0	89.13595437844077	92	18.181818181818183	4.259039
HSM6XRT8_R2	77.19125943351366	52.0	90.0234408513282	96	27.27272727272727	4.259039
HSMA33J3_R1	87.81499296504059	51.0	86.13676086620698	92	36.36363636363637	11.082431999999999
HSMA33J3_R2	85.37790975779573	49.0	88.13535278177208	96	36.36363636363637	11.082431999999999
MSM6J2HP_R1	81.36488069033733	50.0	89.88661804518706	92	9.090909090909092	8.785966
MSM6J2HP_R2	81.17138030880497	50.0	93.47979846496105	96	18.181818181818183	8.785966
MSM6J2JN_R1	91.80080750856438	50.0	86.27527710569873	92	27.27272727272727	16.810192
MSM6J2JN_R2	89.5522803366075	50.0	88.43135497798002	96	36.36363636363637	16.810192
MSM6J2JZ_R1	90.44430990937134	48.0	90.19731523889506	92	27.27272727272727	13.916172999999999
MSM6J2JZ_R2	89.59631011271007	46.0	93.62527388097288	96	36.36363636363637	13.916172999999999
MSM6J2M3_R1	67.85918130270247	47.0	89.91663290034367	92	9.090909090909092	5.123448
MSM6J2M3_R2	62.32920669602905	47.0	91.22088640306293	96	18.181818181818183	5.123448
MSM6J2PS_R1	86.72132356303274	51.0	88.21062737179054	92	18.181818181818183	9.941856
MSM6J2PS_R2	86.32404971029496	51.0	91.88715225808943	96	27.27272727272727	9.941856
MSM79H54_R1	73.90710053605954	51.0	87.82427625297719	92	9.090909090909092	3.7140739999999997
MSM79H54_R2	69.14123272921978	51.0	89.43282094002436	96	18.181818181818183	3.7140739999999997
MSM79H5E_R1	75.72152433775432	55.0	90.55005438172361	92	27.27272727272727	0.193999
MSM79H5E_R2	66.76271527172821	54.0	91.38487054056979	96	36.36363636363637	0.193999
MSM79H81_R1	78.43120124738014	50.0	90.61600539704118	92	9.090909090909092	2.9527289999999997
MSM79H81_R2	73.94670481677323	50.0	90.53830490370095	96	27.27272727272727	2.9527289999999997
MSM79H8D_R1	83.89103633820864	49.0	90.50579309572362	92	18.181818181818183	11.838489
MSM79H8D_R2	83.14663225227106	49.0	93.7735069483952	96	18.181818181818183	11.838489
MSM9VZFL_R1	87.10788005998414	50.0	90.43155376629976	92	18.181818181818183	7.847582999999999
MSM9VZFL_R2	86.04198146920675	49.0	93.69465700458345	96	27.27272727272727	7.847582999999999
MSM9VZHX_R1	83.74526979795579	46.0	90.65550096984312	92	18.181818181818183	4.7796389999999995
MSM9VZHX_R2	80.31221524111609	46.0	90.85327270532356	96	36.36363636363637	4.7796389999999995
MSM9VZL5_R1	84.553129807118	49.0	90.18191102000145	92	36.36363636363637	9.166487
MSM9VZL5_R2	83.75667113590875	48.0	93.59860102348915	96	18.181818181818183	9.166487
MSM9VZL9_R1	86.23042488633894	51.0	89.22590998700632	92	27.27272727272727	15.248954
MSM9VZL9_R2	85.58722253468495	50.0	92.86244046640839	96	27.27272727272727	15.248954
PSM7J14X_R1	82.72208085185181	49.0	89.50942953628306	92	36.36363636363637	6.317755
PSM7J14X_R2	80.11748578222247	48.0	91.75676541746238	96	27.27272727272727	6.317755
PSM7J15O_R1	92.07542100675327	51.0	88.88180675355196	92	36.36363636363637	9.610142999999999
PSM7J15O_R2	91.55339321029581	51.0	92.23451133869705	96	36.36363636363637	9.610142999999999
PSM7J16U_R1	79.63377365358194	46.0	89.83997014148181	92	18.181818181818183	5.373341
PSM7J16U_R2	75.02021760143404	45.0	91.09929641539593	96	36.36363636363637	5.373341
