Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
10R_S10_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0001639745238248151)	(3, 0.0001639745238248151)	(4, 0.0001639745238248151)	(5, 0.0001639745238248151)	(6, 0.0001639745238248151)	(7, 0.0001639745238248151)	(8, 0.0001639745238248151)	(9, 0.0001639745238248151)	(10, 0.0001639745238248151)	(15, 0.00019130361112895092)	(20, 0.00021863269843308677)	(25, 0.000519252658778581)	(30, 0.0017217325001605583)	(35, 0.004225076897219402)	(40, 0.007515499008637358)	(45, 0.01069660477083877)	(50, 0.014200193763228985)	(55, 0.017791235834992435)	(60, 0.020966875779733024)	(65, 0.022601155200520345)	(70, 0.023940280478423)	(75, 0.02570027370080935)	(80, 0.027733557796237058)	(85, 0.031237146788627275)	(90, 0.036293027939892405)	(95, 0.04230542714680229)	(100, 0.05032924717929658)	(105, 0.06007479971195142)	(110, 0.07064022486373034)	(115, 0.08334278464269268)	(120, 0.09782173509642386)	(125, 0.11524676116154087)	(130, 0.1313053328614511)	(135, 0.17938266324688687)	(140, 0.23768107228406946)
10R_S10_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.026673189208836587)	(4, 0.03437999182860289)	(5, 0.3961897786480574)	(6, 0.4058369464664173)	(7, 0.4189275792850984)	(8, 0.4337126155166359)	(9, 0.44628399567653837)	(10, 0.48406372596577574)	(15, 0.5701011586166562)	(20, 0.6006058858655327)	(25, 0.6194410928355432)	(30, 0.6339255091067352)	(35, 0.6403970369803544)	(40, 0.6425505690599204)	(45, 0.6439388866949705)	(50, 0.6446658404172606)	(55, 0.6456606191951311)	(60, 0.646611671433315)	(65, 0.647497133861969)	(70, 0.6483935279255446)	(75, 0.6497053241161431)	(80, 0.6506891712590921)	(85, 0.6521922710608196)	(90, 0.6538101530292243)	(95, 0.6559964800135553)	(100, 0.6626265165935386)	(105, 0.6764605005868921)	(110, 0.6992748226683847)	(115, 0.7339445028224115)	(120, 0.7776710425090287)	(125, 0.8320449946093376)	(130, 0.8926718418848324)	(135, 0.9414487969052541)	(140, 0.9631863529469638)
10R_S10_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 8.198726191240755e-05)	(3, 8.198726191240755e-05)	(4, 8.198726191240755e-05)	(5, 8.198726191240755e-05)	(6, 8.198726191240755e-05)	(7, 8.198726191240755e-05)	(8, 8.198726191240755e-05)	(9, 8.198726191240755e-05)	(10, 8.198726191240755e-05)	(15, 8.198726191240755e-05)	(20, 8.198726191240755e-05)	(25, 0.00046459448417030945)	(30, 0.0017435957700038672)	(35, 0.0028586225320126096)	(40, 0.004088431460698723)	(45, 0.005465817460827169)	(50, 0.006843203460955616)	(55, 0.008018354215033458)	(60, 0.009570646373908373)	(65, 0.010587288421622227)	(70, 0.011565669747110291)	(75, 0.012768149588492267)	(80, 0.014364168287053803)	(85, 0.017408628612734532)	(90, 0.022005381097290184)	(95, 0.02707219388347697)	(100, 0.03363117483646958)	(105, 0.041835366845171154)	(110, 0.051755825536572465)	(115, 0.062321250688351384)	(120, 0.07328021469730986)	(125, 0.08671519401602304)	(130, 0.09780533764404137)	(135, 0.16159689322935528)	(140, 0.2525754248648235)
10R_S10_R2 - polya	(1, 0.0003279490476496302)	(2, 0.00043726539686617355)	(3, 0.0007105562699075321)	(4, 0.0010111762302530264)	(5, 0.0014757707144233358)	(6, 0.0018857070239853735)	(7, 0.0024322887700680904)	(8, 0.002650921468501177)	(9, 0.003252161389192166)	(10, 0.005700847611642737)	(15, 0.010898840016889375)	(20, 0.016911239223799262)	(25, 0.02225134288302741)	(30, 0.028619020224891056)	(35, 0.03680681478121016)	(40, 0.04670541020276816)	(45, 0.05863728971975387)	(50, 0.07364095864972445)	(55, 0.09446572317547597)	(60, 0.11909469665396322)	(65, 0.14743496018835206)	(70, 0.18145420806454038)	(75, 0.2039351152809225)	(80, 0.22389628064786335)	(85, 0.24433297213389613)	(90, 0.2669231956994948)	(95, 0.29307713224955284)	(100, 0.3037354762981658)	(105, 0.3141205294737374)	(110, 0.32376223147463656)	(115, 0.33256219758656835)	(120, 0.34166824947630636)	(125, 0.35200411029473055)	(130, 0.3625039456369795)	(135, 0.3732388111300441)	(140, 0.37992897170209655)
10R_S10_R2 - polyg	(1, 0.4768105861952581)	(2, 0.864446360517121)	(3, 0.8930872440118554)	(4, 0.8987990232584198)	(5, 0.9354746584205701)	(6, 0.9444385990563267)	(7, 0.9622298348913191)	(8, 0.9840657756473236)	(9, 1.0075414616415763)	(10, 1.0685454503218683)	(15, 1.1375240666775073)	(20, 1.1741614411174317)	(25, 1.1981399823180805)	(30, 1.2258407452095526)	(35, 1.2605432202683444)	(40, 1.2739071439600669)	(45, 1.2853744289928821)	(50, 1.2988640664862037)	(55, 1.3133484827573958)	(60, 1.326335265044321)	(65, 1.3380977042200208)	(70, 1.3504231225941863)	(75, 1.3654103940717746)	(80, 1.3839996392560476)	(85, 1.400593861067119)	(90, 1.420483970807069)	(95, 1.4409042648407193)	(100, 1.4653692637953817)	(105, 1.5042858841164712)	(110, 1.5774239875597995)	(115, 1.7259466454228563)	(120, 1.8145092857406389)	(125, 1.9073461953127882)	(130, 2.0294033650305194)	(135, 2.1885952985771113)	(140, 2.3520505697431475)
11R_S11_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0004646434233440573)	(3, 0.0005575721080128687)	(4, 0.0006040364503472745)	(5, 0.0006040364503472745)	(6, 0.0006040364503472745)	(7, 0.0006040364503472745)	(8, 0.0006040364503472745)	(9, 0.0006040364503472745)	(10, 0.0006040364503472745)	(15, 0.0006412079242147991)	(20, 0.0006505007926816802)	(25, 0.0009107011097543524)	(30, 0.0021187740104489016)	(35, 0.004850877339711958)	(40, 0.00868883201653387)	(45, 0.012182950560081183)	(50, 0.015835047867565472)	(55, 0.019468559438116)	(60, 0.02406852932922217)	(65, 0.026233767682005478)	(70, 0.02714446879175983)	(75, 0.028315370218586856)	(80, 0.03082444470464476)	(85, 0.03483896388233741)	(90, 0.039020754692433934)	(95, 0.04461506150949639)	(100, 0.05176127736052798)	(105, 0.061137781643611055)	(110, 0.0723542738831366)	(115, 0.08708347040314322)	(120, 0.10461911320014794)	(125, 0.12435716582380349)	(130, 0.1421344232009471)	(135, 0.20000111514421598)	(140, 0.2720487243679455)
11R_S11_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.04432698258702307)	(4, 0.05659356896330618)	(5, 0.418457867063658)	(6, 0.42863355803489284)	(7, 0.4469405089146487)	(8, 0.4676636055957937)	(9, 0.4892695247812923)	(10, 0.5427499828081934)	(15, 0.6457800155005045)	(20, 0.6830537109211648)	(25, 0.705003466239938)	(30, 0.7239423321754419)	(35, 0.7298061321780439)	(40, 0.7317948060299565)	(45, 0.7330214646675849)	(50, 0.7339507515142729)	(55, 0.7348893312294279)	(60, 0.7361438684724568)	(65, 0.7372404269515489)	(70, 0.738318399693707)	(75, 0.7394985939890009)	(80, 0.7407345454950962)	(85, 0.7423979689506679)	(90, 0.7439034136423026)	(95, 0.7463660237860261)	(100, 0.7529174960551772)	(105, 0.7698583952703018)	(110, 0.7976440719862763)	(115, 0.8395177372980427)	(120, 0.8931933455627483)	(125, 0.9593492761784752)	(130, 1.029882147842103)	(135, 1.0879904543655108)	(140, 1.111659390350657)
11R_S11_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.00018585736933762292)	(3, 0.00018585736933762292)	(4, 0.00018585736933762292)	(5, 0.00018585736933762292)	(6, 0.00018585736933762292)	(7, 0.00018585736933762292)	(8, 0.00018585736933762292)	(9, 0.00018585736933762292)	(10, 0.0002044431062713852)	(15, 0.00023232171167202864)	(20, 0.0002416145801389098)	(25, 0.0005482792395459876)	(30, 0.001654130587104844)	(35, 0.0030945251994714215)	(40, 0.004395526784834782)	(45, 0.005798749923333835)	(50, 0.007675909353643827)	(55, 0.009088425360609761)	(60, 0.010658920131512675)	(65, 0.011569621241267028)	(70, 0.012610422509557715)	(75, 0.014143745806593106)	(80, 0.015779290656764186)	(85, 0.01839058669595779)	(90, 0.022572377506054304)	(95, 0.02760911221510388)	(100, 0.03366806245551039)	(105, 0.04021024185619472)	(110, 0.04967038195547973)	(115, 0.06080323837880334)	(120, 0.07266093854254367)	(125, 0.08735296358868276)	(130, 0.10063247262785593)	(135, 0.12379030084732374)	(140, 0.14687378611905652)
11R_S11_R2 - polya	(1, 0.00023232171167202864)	(2, 0.0003252503963408401)	(3, 0.0004646434233440573)	(4, 0.0009292868466881146)	(5, 0.0014868589547009834)	(6, 0.002230288432051475)	(7, 0.002880789224733155)	(8, 0.0035312900174148355)	(9, 0.0050181489721158185)	(10, 0.0089211537282059)	(15, 0.017879478930279323)	(20, 0.02976505769942031)	(25, 0.041204578782151)	(30, 0.050980676409309963)	(35, 0.0624945404397757)	(40, 0.07473324821065817)	(45, 0.08739942793101718)	(50, 0.10222155313569262)	(55, 0.1215971838891398)	(60, 0.1424968450711555)	(65, 0.16629588121483813)	(70, 0.18969532401444483)	(75, 0.20579057219908298)	(80, 0.21778766538982652)	(85, 0.22853022133754114)	(90, 0.23715400327480682)	(95, 0.2455175848949999)	(100, 0.25510782515282127)	(105, 0.26470735827910946)	(110, 0.275375571279089)	(115, 0.2856348980665258)	(120, 0.2958663462485619)	(125, 0.3065252663800746)	(130, 0.31680317890444515)	(135, 0.3248786816021648)	(140, 0.3302685453129559)
11R_S11_R2 - polyg	(1, 0.5262551412794793)	(2, 1.376180891260429)	(3, 1.4063362494354583)	(4, 1.4144210450016448)	(5, 1.4652530355154847)	(6, 1.4774731575494333)	(7, 1.5044689404457232)	(8, 1.5371333731068104)	(9, 1.5811351052974927)	(10, 1.6696961417868699)	(15, 1.7713415370776158)	(20, 1.824487451839709)	(25, 1.8598932806985264)	(30, 1.9001406940285885)	(35, 1.9447836341434854)	(40, 1.9682481270223604)	(45, 1.990866968870749)	(50, 2.0146938836198323)	(55, 2.040555936563163)	(60, 2.0633141714385546)	(65, 2.0829035381667405)	(70, 2.1077712541841143)	(75, 2.1394692285246455)	(80, 2.176129594626492)	(85, 2.2083944339435027)	(90, 2.2461792371298417)	(95, 2.292132471698569)	(100, 2.3381321706096303)	(105, 2.3934154451191065)	(110, 2.4907024850988853)	(115, 2.694039740022712)	(120, 2.804160231355253)	(125, 2.913881129343719)	(130, 3.045942083126567)	(135, 3.207572944371031)	(140, 3.352216442058036)
