Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10R_S10_R1	(1, 0.0)	(2, 0.08359967806335156)	(3, 0.0)	(4, 0.002322972420851547)	(5, 0.0)	(6, 0.0009838471429488905)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001749061587464694)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.845847396257451e-05)	(35, 0.0)	(40, 0.0)	(45, 5.487624857184563e-06)	(50, 0.0022191431306122283)	(55, 5.497456601703222e-06)	(60, 0.00015401891737352642)	(65, 0.0)	(70, 1.6518586713770334e-05)	(75, 0.00012670694919304751)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 8.285462691721464e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.666865394063092e-05)	(120, 9.462179723305828e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.497930987474743e-05)	(145, 0.0)	(150, 0.0)
10R_S10_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0006832271826033962)	(10, 4.9192357147444525e-05)	(15, 2.1863269843308675e-05)	(20, 5.465817460827169e-06)	(25, 0.0)	(30, 8.199827388166927e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 6.564815738751844e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 2.7396368578469283e-05)	(80, 5.480913731897707e-06)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0007200821399346066)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.1049098048314942e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
11R_S11_R1	(1, 0.0)	(2, 0.08279945803991101)	(3, 0.0)	(4, 0.0035312900174148355)	(5, 0.0)	(6, 0.0013010015853633604)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001951502378045041)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00011158100143762822)	(35, 0.0)	(40, 0.0)	(45, 1.865711497008658e-05)	(50, 0.0024650073992239147)	(55, 0.0)	(60, 0.0001402505135973808)	(65, 0.0)	(70, 0.0)	(75, 0.00013111875013111876)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 7.516087951382184e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.892735463626025e-05)	(120, 0.00010436070246517056)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0001144443013890677)	(145, 0.0)	(150, 0.0)
11R_S11_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00046464342334405734)	(10, 9.292868466881147e-06)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 5.5766891419631735e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 6.511527962594062e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.001035969611558061)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 9.35368383145597e-06)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
12R_S12_R1	(1, 0.0)	(2, 0.08099060575298603)	(3, 0.0)	(4, 0.0027267082919567634)	(5, 0.0)	(6, 0.001068574871172245)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00023582341984490924)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00014744336884506872)	(35, 0.0)	(40, 0.0)	(45, 2.216759961472712e-05)	(50, 0.0022850630163438208)	(55, 1.48007672421723e-05)	(60, 0.0002221372999551801)	(65, 0.0)	(70, 1.4826710229518216e-05)	(75, 0.0002151232697134699)	(80, 1.4846145680773722e-05)	(85, 0.0)	(90, 0.0)	(95, 0.00017872953239662676)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.5014842547228999e-05)	(120, 0.00018808390648769103)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00019638948506525946)	(145, 2.2660330334742175e-05)	(150, 0.0)
12R_S12_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00033162668415690367)	(10, 2.9477927480613655e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 4.422162966876304e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 5.162989683756556e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.4775712806243272e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0007552738104511531)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 7.423000657455168e-06)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
13R_S13_R1	(1, 0.0)	(2, 0.07803936942826864)	(3, 0.0)	(4, 0.0024981682465215135)	(5, 0.0)	(6, 0.0010787544700888354)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00019871792870057494)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00011361748118565524)	(35, 0.0)	(40, 0.0)	(45, 5.696145281780332e-06)	(50, 0.002172218871405156)	(55, 0.0)	(60, 0.0001883957791124572)	(65, 0.0)	(70, 0.0)	(75, 0.000171505768625112)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.00010316711582572093)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00013285641346718097)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00012757768538704896)	(145, 1.1597971398822631e-05)	(150, 0.0)
13R_S13_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.000454212408458457)	(10, 2.2710620422922853e-05)	(15, 5.677655105730713e-06)	(20, 0.0)	(25, 0.0)	(30, 7.381916870303469e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 6.818578922920227e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 2.2757347337598024e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0008497422458026012)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.1445571699725198e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.1456512225244196e-05)	(150, 0.0)
14R_S14_R1	(1, 0.0)	(2, 0.08237435428851074)	(3, 0.0)	(4, 0.002466106252027732)	(5, 0.0)	(6, 0.0006085197245263235)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00010248753255180183)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 6.411335651757788e-05)	(35, 0.0)	(40, 0.0)	(45, 1.2869803342326538e-05)	(50, 0.0020745658230098985)	(55, 0.0)	(60, 0.00012909172354232855)	(65, 0.0)	(70, 1.292834850690503e-05)	(75, 0.00010350401188019048)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 6.491004927646392e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 6.531099758172969e-06)	(120, 9.813940768287624e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00011163517624403449)	(145, 6.5667750731784996e-06)	(150, 0.0)
14R_S14_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0005444650166814473)	(10, 3.202735392243807e-05)	(15, 2.562188313795046e-05)	(20, 0.0)	(25, 0.0)	(30, 9.609950681092441e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 9.61926808656469e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 2.570317790236108e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.000825380874583892)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 3.888634435374493e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 2.5975113892757195e-05)	(150, 0.0)
