Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10R_S10_R1	(1, 20.13109134610786)	(2, 35.71054451839999)	(3, 35.45853179944276)	(4, 35.71623607412195)	(5, 35.78553908674389)	(6, 35.7897439401165)	(7, 35.81521410290221)	(8, 35.73945459340467)	(9, 35.79059442131341)	(10, 35.8568445015926)	(15, 35.84926067986571)	(20, 35.81028688709397)	(25, 35.54051357668296)	(30, 35.43686956538029)	(35, 35.35144102651716)	(40, 35.3266316659895)	(45, 35.23389934744414)	(50, 35.09829626335006)	(55, 34.97420298310361)	(60, 34.940203774136265)	(65, 34.92762827073147)	(70, 34.94779211058413)	(75, 34.876866606903896)	(80, 34.814927258605145)	(85, 34.873070502839994)	(90, 34.81530172238449)	(95, 34.74643725757262)	(100, 34.672716883426965)	(105, 34.71471137463471)	(110, 34.69855302713142)	(115, 34.66457234832008)	(120, 34.63208399815933)	(125, 34.609124689166165)	(130, 34.60450547969398)	(135, 34.61335632577568)	(140, 34.58493343207457)	(145, 34.61404632252683)	(150, 34.58498455329135)
10R_S10_R2	(1, 18.895607259152168)	(2, 35.343792266141584)	(3, 35.12974429539464)	(4, 35.01375199673144)	(5, 35.02362818230141)	(6, 35.082783084934704)	(7, 34.983763242650866)	(8, 34.90584910791027)	(9, 34.96924575818404)	(10, 35.01547935902359)	(15, 34.96934944474127)	(20, 34.91815883938832)	(25, 34.75861185731115)	(30, 34.72875365715861)	(35, 34.68476205457061)	(40, 34.594575871847496)	(45, 34.57123237145193)	(50, 34.554882810273966)	(55, 34.516928104585396)	(60, 34.498962412018216)	(65, 34.45173974232979)	(70, 34.32938872320391)	(75, 34.37242193518928)	(80, 34.349174166253555)	(85, 34.325545399131705)	(90, 34.24555816051454)	(95, 34.199121040467375)	(100, 34.12181074665564)	(105, 34.07470740821863)	(110, 34.03651670916223)	(115, 33.97685995929261)	(120, 34.00938332249738)	(125, 33.939416476497826)	(130, 33.98547325511142)	(135, 33.942685259175796)	(140, 33.993196040366655)	(145, 34.06962794321751)	(150, 33.939279294933804)
11R_S11_R1	(1, 20.27587459831576)	(2, 35.427694978319735)	(3, 35.09464972390888)	(4, 35.41492936490678)	(5, 35.52527381436938)	(6, 35.57514863943113)	(7, 35.595489799218285)	(8, 35.477374653143684)	(9, 35.55771986462149)	(10, 35.63222385776707)	(15, 35.6157536423398)	(20, 35.59574776924693)	(25, 35.29889046998777)	(30, 35.17206977914969)	(35, 35.16265869003351)	(40, 35.17668308999838)	(45, 35.119434879889525)	(50, 35.06510338457174)	(55, 34.983924948849605)	(60, 34.951087962003214)	(65, 35.03166459105539)	(70, 35.04176227830823)	(75, 34.955596827616105)	(80, 34.879480507341114)	(85, 34.943182447259815)	(90, 34.8797022056462)	(95, 34.843823885022566)	(100, 34.78942848576869)	(105, 34.78547480419256)	(110, 34.76238503053743)	(115, 34.7021353200101)	(120, 34.66955855590147)	(125, 34.668536278645504)	(130, 34.696868460845664)	(135, 34.72755752018273)	(140, 34.7270192504852)	(145, 34.73028911491638)	(150, 34.658208279091504)
11R_S11_R2	(1, 18.991875245099404)	(2, 34.622693742368234)	(3, 34.36934970365042)	(4, 34.23650164390843)	(5, 34.23484565474763)	(6, 34.33699844065667)	(7, 34.202507401769736)	(8, 34.104721334753286)	(9, 34.17845745817745)	(10, 34.24750207695611)	(15, 34.17601789434752)	(20, 34.127810767460836)	(25, 33.97128785940567)	(30, 33.948703383094625)	(35, 33.88645813049369)	(40, 33.79043644527767)	(45, 33.74796688102113)	(50, 33.7369180189808)	(55, 33.63660297455773)	(60, 33.65988720244292)	(65, 33.603764693033796)	(70, 33.47853397080219)	(75, 33.51041016386097)	(80, 33.47951050672531)	(85, 33.46836069678771)	(90, 33.39531134176407)	(95, 33.37251459470582)	(100, 33.33557754695208)	(105, 33.284494315104595)	(110, 33.25985859052573)	(115, 33.201386225995954)	(120, 33.171210831359566)	(125, 33.077162457550386)	(130, 33.149027512553246)	(135, 33.10431167567087)	(140, 33.18196385996027)	(145, 33.25401089863428)	(150, 33.15683878771997)
12R_S12_R1	(1, 20.11288461786473)	(2, 35.67484408939919)	(3, 35.398685284434364)	(4, 35.657819112382754)	(5, 35.7567013462201)	(6, 35.818773386590124)	(7, 35.80695015835174)	(8, 35.74795082344748)	(9, 35.80274513199663)	(10, 35.84447364396928)	(15, 35.83350431759519)	(20, 35.83249631986499)	(25, 35.62035076250716)	(30, 35.533318859395585)	(35, 35.50441176763914)	(40, 35.48829879295637)	(45, 35.43980833043808)	(50, 35.41027157996911)	(55, 35.363979754174)	(60, 35.330598265073995)	(65, 35.36938592548139)	(70, 35.37759258542801)	(75, 35.33539310620896)	(80, 35.24899393216021)	(85, 35.28919580159313)	(90, 35.250220863593064)	(95, 35.23819234481783)	(100, 35.18699687127781)	(105, 35.15928405812153)	(110, 35.12151237006052)	(115, 35.09038804592569)	(120, 35.065875368076675)	(125, 35.090952534124966)	(130, 35.09986334381374)	(135, 35.08682423143741)	(140, 35.02928499473522)	(145, 35.02950563845669)	(150, 34.95648423464168)
12R_S12_R2	(1, 19.222789754209355)	(2, 35.11401251706496)	(3, 34.84652832920949)	(4, 34.690165610681326)	(5, 34.73906875542348)	(6, 34.832352393884065)	(7, 34.70785752580701)	(8, 34.64069796362792)	(9, 34.72129024888583)	(10, 34.7835236809088)	(15, 34.7418205199538)	(20, 34.72189093535306)	(25, 34.60107657358486)	(30, 34.587751687493515)	(35, 34.51023685186986)	(40, 34.42975890322307)	(45, 34.37246302808827)	(50, 34.37194607699217)	(55, 34.335391280049166)	(60, 34.33416030520105)	(65, 34.292221192885776)	(70, 34.17967251137695)	(75, 34.202079426568346)	(80, 34.175253311589834)	(85, 34.168684881022365)	(90, 34.10901433776113)	(95, 34.077242847032835)	(100, 34.024933058204155)	(105, 33.987970450095325)	(110, 33.9641194940025)	(115, 33.86206278180801)	(120, 33.83112106931394)	(125, 33.72388408076147)	(130, 33.79044641927896)	(135, 33.75351626948393)	(140, 33.77941405720546)	(145, 33.84709273373748)	(150, 33.702050001392536)
13R_S13_R1	(1, 19.56717049231799)	(2, 35.747270538278606)	(3, 35.38124375280512)	(4, 35.72469703322649)	(5, 35.850281086510144)	(6, 35.8633220925225)	(7, 35.89686454335614)	(8, 35.75781990534781)	(9, 35.85323687375819)	(10, 35.92544057893914)	(15, 35.90396320198173)	(20, 35.87942358174305)	(25, 35.6770056893155)	(30, 35.57887253274058)	(35, 35.49484084528969)	(40, 35.47696823504266)	(45, 35.41573522122086)	(50, 35.349030882184216)	(55, 35.31139463341363)	(60, 35.30187344032435)	(65, 35.301950148962185)	(70, 35.31250153811131)	(75, 35.23046521696709)	(80, 35.13793846199635)	(85, 35.156794451637225)	(90, 35.14027210117898)	(95, 35.10085548804675)	(100, 35.0539182846566)	(105, 35.03469647624248)	(110, 35.00272077528113)	(115, 34.98003876054168)	(120, 34.92463147711045)	(125, 34.93948032478829)	(130, 34.92760063130378)	(135, 34.88189078248324)	(140, 34.816440646366544)	(145, 34.80505248227032)	(150, 34.710989860763455)
13R_S13_R2	(1, 19.27265121795638)	(2, 35.19712080431933)	(3, 34.93903731383324)	(4, 34.805797510405014)	(5, 34.84977151696441)	(6, 34.904738031574006)	(7, 34.80343276705348)	(8, 34.74756066645451)	(9, 34.865161368894)	(10, 34.91023422882255)	(15, 34.88742248936221)	(20, 34.85202520538208)	(25, 34.711172134636456)	(30, 34.6773363519188)	(35, 34.622019190579735)	(40, 34.55756529781398)	(45, 34.49893980604281)	(50, 34.49217219360311)	(55, 34.45841772003323)	(60, 34.45757235444434)	(65, 34.38459642932885)	(70, 34.28282098623977)	(75, 34.296175750841414)	(80, 34.26247615609933)	(85, 34.257965545214866)	(90, 34.17277783376436)	(95, 34.14536358189778)	(100, 34.0466528445966)	(105, 34.02989817382981)	(110, 33.981043057078004)	(115, 33.880568380526455)	(120, 33.85247447848477)	(125, 33.72671563721326)	(130, 33.78970482977458)	(135, 33.70333075179924)	(140, 33.70088971273942)	(145, 33.76387887717015)	(150, 33.549344057392545)
14R_S14_R1	(1, 19.9701783699422)	(2, 35.723053385435435)	(3, 35.51078761348492)	(4, 35.759439982500254)	(5, 35.808902707624526)	(6, 35.848582357219655)	(7, 35.86199060893928)	(8, 35.77707648548472)	(9, 35.81758596381998)	(10, 35.88163631594472)	(15, 35.878011844356024)	(20, 35.84696209338472)	(25, 35.61478602848503)	(30, 35.4997877840881)	(35, 35.40915821072839)	(40, 35.373443581657284)	(45, 35.25411162976851)	(50, 35.09604561102019)	(55, 34.95114140925457)	(60, 34.90536839004042)	(65, 34.90753651101748)	(70, 34.86764209569596)	(75, 34.81951771904501)	(80, 34.75318488200815)	(85, 34.80322911960458)	(90, 34.7443451668254)	(95, 34.67283206463769)	(100, 34.60934549757311)	(105, 34.60773905811239)	(110, 34.632077328249586)	(115, 34.59326189219523)	(120, 34.541940338686025)	(125, 34.49218123700432)	(130, 34.48501140782881)	(135, 34.479137716765145)	(140, 34.392498378827405)	(145, 34.47752235576489)	(150, 34.41821721906926)
14R_S14_R2	(1, 19.513302401314917)	(2, 35.2032097173554)	(3, 35.06136248847415)	(4, 35.00264609998107)	(5, 35.00313611849609)	(6, 35.03094034553031)	(7, 34.92987418694559)	(8, 34.84299358396019)	(9, 34.92022082219982)	(10, 34.94957337963208)	(15, 34.90925830733513)	(20, 34.86902541722834)	(25, 34.72939128075878)	(30, 34.700249487585054)	(35, 34.65734235937852)	(40, 34.57288240484905)	(45, 34.55822966710805)	(50, 34.52605860860358)	(55, 34.480322170955795)	(60, 34.475909704670265)	(65, 34.40615904642951)	(70, 34.27727111764535)	(75, 34.349971480689526)	(80, 34.3153024019068)	(85, 34.307943614495365)	(90, 34.23151417136067)	(95, 34.20848536471236)	(100, 34.15425628024053)	(105, 34.10466640642697)	(110, 34.01285546392802)	(115, 33.95207811803458)	(120, 34.01259015515884)	(125, 33.92479414032776)	(130, 33.960626924899685)	(135, 33.91130570079071)	(140, 33.924790421417)	(145, 34.04131192507738)	(150, 33.88613711418433)
15R_S15_R1	(1, 19.649227266047088)	(2, 35.7282774541436)	(3, 35.43689091949339)	(4, 35.77349347507088)	(5, 35.872301219901374)	(6, 35.88750538639442)	(7, 35.93406454391368)	(8, 35.81439339405352)	(9, 35.897549592879656)	(10, 35.9791070524527)	(15, 35.97948686343547)	(20, 35.96199040716526)	(25, 35.77486167307866)	(30, 35.680200391577294)	(35, 35.620719793791224)	(40, 35.59788164944833)	(45, 35.54666993589639)	(50, 35.476254101959206)	(55, 35.37507414680238)	(60, 35.35772304109212)	(65, 35.36518804716381)	(70, 35.37092177040061)	(75, 35.31655807070159)	(80, 35.2327236247087)	(85, 35.252847497089945)	(90, 35.21323344955041)	(95, 35.15791034306031)	(100, 35.108327703735185)	(105, 35.10727258814549)	(110, 35.092653095934836)	(115, 35.07016028345457)	(120, 35.02431060761703)	(125, 34.97545140518589)	(130, 34.97511518351527)	(135, 34.949086185557405)	(140, 34.893792828114236)	(145, 34.928828794825996)	(150, 34.86452719621393)
15R_S15_R2	(1, 19.25800149359384)	(2, 35.27597901383383)	(3, 35.050358514919594)	(4, 34.960019292461695)	(5, 34.946714679911565)	(6, 35.02409262178117)	(7, 34.92355624044515)	(8, 34.8626462560473)	(9, 34.9633148800721)	(10, 35.01065651508577)	(15, 34.981662629937794)	(20, 34.93764038621852)	(25, 34.804764559710286)	(30, 34.77817887862996)	(35, 34.74362219076821)	(40, 34.6632949611675)	(45, 34.624183670457285)	(50, 34.61827056774048)	(55, 34.577038113817174)	(60, 34.585289610677215)	(65, 34.51400980018672)	(70, 34.355434079160226)	(75, 34.43645186599392)	(80, 34.411220342454286)	(85, 34.42910555423483)	(90, 34.32179499765277)	(95, 34.30649400132167)	(100, 34.24741322942082)	(105, 34.18157375017979)	(110, 34.131969175659925)	(115, 34.039131456103554)	(120, 34.0601553773791)	(125, 33.93502129086498)	(130, 33.97673982099311)	(135, 33.90806314592932)	(140, 33.92659883195495)	(145, 34.02272999333366)	(150, 33.87433596416334)
16R_S16_R1	(1, 20.257844428344413)	(2, 35.294257125931146)	(3, 34.92987747521285)	(4, 35.21468155963927)	(5, 35.28874080863958)	(6, 35.289476817958025)	(7, 35.33566728175898)	(8, 35.166110948776556)	(9, 35.22737134096795)	(10, 35.34153003878684)	(15, 35.31822881433952)	(20, 35.26308945790487)	(25, 34.831815232682075)	(30, 34.60969785747575)	(35, 34.512455607373276)	(40, 34.53778421825423)	(45, 34.44771049644833)	(50, 34.34678772340648)	(55, 34.1577372780055)	(60, 34.09443035482949)	(65, 34.122140000337836)	(70, 34.12027436256144)	(75, 34.069522002277175)	(80, 33.96739396952891)	(85, 34.05852857047707)	(90, 33.971019045097954)	(95, 33.926501585708465)	(100, 33.811135066521366)	(105, 33.780893714095455)	(110, 33.76845546870139)	(115, 33.77983741967695)	(120, 33.75628452769174)	(125, 33.77250942611238)	(130, 33.82186463422308)	(135, 33.8866273631909)	(140, 33.903428808231595)	(145, 34.03593663500807)	(150, 34.02158782325108)
16R_S16_R2	(1, 19.667501911322635)	(2, 34.03766106145453)	(3, 33.799163020810404)	(4, 33.66761699095774)	(5, 33.64002589792136)	(6, 33.654401846077484)	(7, 33.459253803632116)	(8, 33.34976803948332)	(9, 33.39785831795603)	(10, 33.45189461107086)	(15, 33.337052840565676)	(20, 33.26277263866596)	(25, 33.018932531872984)	(30, 32.933189357178186)	(35, 32.8908553602664)	(40, 32.74234071224909)	(45, 32.73938402885787)	(50, 32.69446311918129)	(55, 32.58398241936901)	(60, 32.600491783046365)	(65, 32.49706631895974)	(70, 32.3387353387824)	(75, 32.48883190693397)	(80, 32.41420729545093)	(85, 32.42600782961813)	(90, 32.31775600105212)	(95, 32.30575247379406)	(100, 32.242966077882215)	(105, 32.191628283728235)	(110, 32.099740624237256)	(115, 32.08933089111988)	(120, 32.17018108127932)	(125, 32.1057090582241)	(130, 32.17991056472174)	(135, 32.20513082808299)	(140, 32.33637704031205)	(145, 32.544550083991915)	(150, 32.5008607645908)
17R_S17_R1	(1, 22.463011783341088)	(2, 33.417587036628724)	(3, 33.752566060526505)	(4, 34.44305775452098)	(5, 34.80714669702898)	(6, 34.8203363108165)	(7, 34.916865464612)	(8, 34.684461018518995)	(9, 34.86335188453078)	(10, 35.08737960587493)	(15, 35.124176460307645)	(20, 35.06625896803034)	(25, 34.58548699448377)	(30, 34.29007575516904)	(35, 34.07814392717415)	(40, 34.106694892102055)	(45, 33.97176717466731)	(50, 33.787016320645584)	(55, 33.55541752419843)	(60, 33.462599859075226)	(65, 33.54132842905916)	(70, 33.49444964322449)	(75, 33.39400853939981)	(80, 33.2766073395229)	(85, 33.39909050805693)	(90, 33.280188490097906)	(95, 33.21788003671908)	(100, 33.05840308492663)	(105, 33.05763414242493)	(110, 33.092273803295974)	(115, 33.15529183678469)	(120, 33.1253186762177)	(125, 33.181916153299234)	(130, 33.234023553700936)	(135, 33.31219955284507)	(140, 33.234016001275506)	(145, 33.38106458334163)	(150, 33.29228043706726)
17R_S17_R2	(1, 19.718812566045777)	(2, 35.38550455102882)	(3, 35.24237003038935)	(4, 35.1778805914457)	(5, 35.02896907011232)	(6, 35.04952852624538)	(7, 34.88080677429655)	(8, 34.84437642092905)	(9, 34.847486149283185)	(10, 34.784077187926556)	(15, 34.60326429298847)	(20, 34.44372483070527)	(25, 34.15296696522364)	(30, 34.025632408016534)	(35, 33.99545802926664)	(40, 33.791289970820365)	(45, 33.74865681592488)	(50, 33.64504751466319)	(55, 33.50015371500594)	(60, 33.49299666870741)	(65, 33.371715734186445)	(70, 33.229745743953)	(75, 33.311629168487876)	(80, 33.249527558748014)	(85, 33.23311641761173)	(90, 33.133217056154756)	(95, 33.11179477360237)	(100, 33.05351392967627)	(105, 33.04065675039786)	(110, 33.01534374356022)	(115, 33.039119718394076)	(120, 33.16597045085969)	(125, 33.13209702201846)	(130, 33.252909491278096)	(135, 33.349574616866036)	(140, 33.624905134348936)	(145, 33.86052713876674)	(150, 33.85074876714601)
18R_S18_R1	(1, 19.476798224580843)	(2, 35.72510200037215)	(3, 35.28551935094936)	(4, 35.79993744582294)	(5, 35.85888019702675)	(6, 35.88539235159835)	(7, 35.87900721150573)	(8, 35.5920348185475)	(9, 35.77690472552558)	(10, 35.949389283645)	(15, 35.98705665577957)	(20, 35.98589543241048)	(25, 35.818532431871404)	(30, 35.717003986071255)	(35, 35.62501046935949)	(40, 35.602737994173495)	(45, 35.541954997457864)	(50, 35.56800154357303)	(55, 35.504161293327094)	(60, 35.42992574580194)	(65, 35.393701957195674)	(70, 35.53870414695317)	(75, 35.51334091783498)	(80, 35.41603412357509)	(85, 35.39001126434853)	(90, 35.35528557824897)	(95, 35.35220094636751)	(100, 35.33013218367961)	(105, 35.30164941080807)	(110, 35.16983848352038)	(115, 35.22452812617779)	(120, 35.20663150109608)	(125, 35.17618448050765)	(130, 35.15042874738566)	(135, 34.97875379860664)	(140, 35.080169875193185)	(145, 35.16531104123188)	(150, 35.06725312769142)
18R_S18_R2	(1, 19.51193824155443)	(2, 35.51688660221141)	(3, 35.46319136737229)	(4, 35.360366520580854)	(5, 35.35165810171143)	(6, 35.38049958624988)	(7, 35.29816482533997)	(8, 35.24569420008562)	(9, 35.33345158367207)	(10, 35.353130734448065)	(15, 35.28999564314317)	(20, 35.23548311944897)	(25, 35.10842865023626)	(30, 35.04321378131753)	(35, 35.050825211856896)	(40, 34.93993784123457)	(45, 34.897670499755726)	(50, 34.952298382782715)	(55, 34.921901604719)	(60, 34.91225532714161)	(65, 34.82103215936631)	(70, 34.67347973166521)	(75, 34.76983028868652)	(80, 34.71838664832284)	(85, 34.78013210008193)	(90, 34.67571590265895)	(95, 34.6802328592072)	(100, 34.636655486164685)	(105, 34.544252109225354)	(110, 34.51393227013308)	(115, 34.405047161354624)	(120, 34.48321833894143)	(125, 34.32332296539329)	(130, 34.30865636239944)	(135, 34.1653578901842)	(140, 34.226934530998406)	(145, 34.5305913934116)	(150, 34.45982396392702)
19R_S19_R1	(1, 19.70095770734374)	(2, 35.50307033383261)	(3, 35.25404932136906)	(4, 35.579874397527156)	(5, 35.70219044555527)	(6, 35.75962558701428)	(7, 35.78279600024471)	(8, 35.67781590890104)	(9, 35.737780005565085)	(10, 35.81329100975994)	(15, 35.81446132168744)	(20, 35.80257651495566)	(25, 35.56141724315919)	(30, 35.431600698692115)	(35, 35.368397783173215)	(40, 35.33601326634776)	(45, 35.22333658449516)	(50, 35.1048968333727)	(55, 34.95168837861797)	(60, 34.91483238916318)	(65, 34.916606560326)	(70, 34.88335184023018)	(75, 34.818187450859334)	(80, 34.76012298877376)	(85, 34.809515984615686)	(90, 34.74703469728082)	(95, 34.678930287198384)	(100, 34.60406104058931)	(105, 34.60402583073943)	(110, 34.5960201224362)	(115, 34.543463768459034)	(120, 34.506497682172395)	(125, 34.45270578984357)	(130, 34.45650366540845)	(135, 34.46403391504377)	(140, 34.36212824996558)	(145, 34.40560901805384)	(150, 34.33529431899241)
19R_S19_R2	(1, 19.23879665279343)	(2, 35.34526339747651)	(3, 35.09757774177358)	(4, 34.98752724160682)	(5, 34.99264961751567)	(6, 35.049082583593005)	(7, 34.956002954887964)	(8, 34.90032976076064)	(9, 34.99349391820644)	(10, 35.03774849640802)	(15, 35.01896180287635)	(20, 34.98346788861677)	(25, 34.853821026438304)	(30, 34.83709191780722)	(35, 34.78701151359488)	(40, 34.702164570088236)	(45, 34.6756473231638)	(50, 34.64979316613931)	(55, 34.618405698332225)	(60, 34.6165145507011)	(65, 34.55623268782456)	(70, 34.385947193776566)	(75, 34.47535198324305)	(80, 34.45286321923821)	(85, 34.44777572938124)	(90, 34.366636576004446)	(95, 34.36034571418822)	(100, 34.30804176679352)	(105, 34.26941879761716)	(110, 34.16665584961434)	(115, 34.092934527266635)	(120, 34.150724985505555)	(125, 34.06210545120864)	(130, 34.11691040445764)	(135, 34.0438911760656)	(140, 34.03327153632419)	(145, 34.11624409885126)	(150, 33.94791423453196)
1R_S1_R1	(1, 20.210624899199026)	(2, 35.61920627285711)	(3, 35.40522119893924)	(4, 35.628312849816716)	(5, 35.67452670120045)	(6, 35.69351468927984)	(7, 35.71731381722163)	(8, 35.67274719954625)	(9, 35.694657598110815)	(10, 35.76716808070108)	(15, 35.746613243690746)	(20, 35.723547306839734)	(25, 35.48719132443625)	(30, 35.34956052583126)	(35, 35.29191058170891)	(40, 35.269026374254494)	(45, 35.20753095742001)	(50, 35.17079537717584)	(55, 35.113116686014735)	(60, 35.08286423494678)	(65, 35.08890308342686)	(70, 35.09713205694878)	(75, 35.05516270974049)	(80, 34.96121330524274)	(85, 34.99408177821138)	(90, 34.93763638224898)	(95, 34.89888421811713)	(100, 34.82628099037852)	(105, 34.77636444964978)	(110, 34.743449289017875)	(115, 34.723940269038714)	(120, 34.7128737043689)	(125, 34.71382136042568)	(130, 34.774282854722195)	(135, 34.79942532877293)	(140, 34.766045060876344)	(145, 34.75527616555705)	(150, 34.6780707800315)
1R_S1_R2	(1, 19.08046726709677)	(2, 34.87695952117297)	(3, 34.75279775150181)	(4, 34.595411980517646)	(5, 34.57673119540925)	(6, 34.60703733739221)	(7, 34.51744727984569)	(8, 34.38412858606135)	(9, 34.41423533056035)	(10, 34.46372009713303)	(15, 34.36691566225991)	(20, 34.288812378914386)	(25, 34.120739681227086)	(30, 34.12009849755822)	(35, 34.00727600887389)	(40, 33.88813876156028)	(45, 33.79652801930056)	(50, 33.76960830037601)	(55, 33.715563014821115)	(60, 33.702085138238665)	(65, 33.644413246946236)	(70, 33.5200835618601)	(75, 33.52974037208547)	(80, 33.476564076649325)	(85, 33.45129263205811)	(90, 33.38768229216731)	(95, 33.35938666491511)	(100, 33.27013779283909)	(105, 33.25275343358624)	(110, 33.246613775077435)	(115, 33.193344305200355)	(120, 33.2224106288654)	(125, 33.17759452447969)	(130, 33.28610597850262)	(135, 33.30935592525584)	(140, 33.37395930195724)	(145, 33.491601689489336)	(150, 33.41158018987048)
