Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
10R_S10_R1	(13.0, 18.0)	(14.0, 183.0)	(15.0, 716.0)	(16.0, 2840.0)	(17.0, 5932.0)	(18.0, 6322.0)	(19.0, 5732.0)	(20.0, 7743.0)	(21.0, 13273.0)	(22.0, 20864.0)	(23.0, 28901.0)	(24.0, 35698.0)	(25.0, 41831.0)	(26.0, 44140.0)	(27.0, 46845.0)	(28.0, 51760.0)	(29.0, 60218.0)	(30.0, 67061.0)	(31.0, 78296.0)	(32.0, 88516.0)	(33.0, 111095.0)	(34.0, 156385.0)	(35.0, 338907.0)	(36.0, 2352711.0)	(37.0, 93118.0)		
10R_S10_R2	(11.0, 133.0)	(12.0, 1823.0)	(13.0, 3502.0)	(14.0, 3883.0)	(15.0, 4085.0)	(16.0, 4472.0)	(17.0, 7066.0)	(18.0, 11275.0)	(19.0, 15051.0)	(20.0, 16610.0)	(21.0, 19565.0)	(22.0, 25942.0)	(23.0, 42157.0)	(24.0, 59374.0)	(25.0, 65044.0)	(26.0, 57790.0)	(27.0, 52868.0)	(28.0, 50679.0)	(29.0, 53050.0)	(30.0, 57909.0)	(31.0, 69184.0)	(32.0, 85747.0)	(33.0, 125630.0)	(34.0, 219762.0)	(35.0, 612127.0)	(36.0, 1965734.0)	(37.0, 28643.0)
11R_S11_R1	(13.0, 19.0)	(14.0, 151.0)	(15.0, 538.0)	(16.0, 1928.0)	(17.0, 3673.0)	(18.0, 3638.0)	(19.0, 2988.0)	(20.0, 2658.0)	(21.0, 2879.0)	(22.0, 3919.0)	(23.0, 7738.0)	(24.0, 13874.0)	(25.0, 21362.0)	(26.0, 27011.0)	(27.0, 32800.0)	(28.0, 38544.0)	(29.0, 46455.0)	(30.0, 52656.0)	(31.0, 59177.0)	(32.0, 66187.0)	(33.0, 78170.0)	(34.0, 103493.0)	(35.0, 215248.0)	(36.0, 1319589.0)	(37.0, 47493.0)		
11R_S11_R2	(11.0, 122.0)	(12.0, 1816.0)	(13.0, 3695.0)	(14.0, 3780.0)	(15.0, 3361.0)	(16.0, 3349.0)	(17.0, 4786.0)	(18.0, 7978.0)	(19.0, 12984.0)	(20.0, 15696.0)	(21.0, 17214.0)	(22.0, 20937.0)	(23.0, 32033.0)	(24.0, 45571.0)	(25.0, 53967.0)	(26.0, 52254.0)	(27.0, 49865.0)	(28.0, 47351.0)	(29.0, 47233.0)	(30.0, 47809.0)	(31.0, 51891.0)	(32.0, 60233.0)	(33.0, 82331.0)	(34.0, 139483.0)	(35.0, 369079.0)	(36.0, 964902.0)	(37.0, 12468.0)
12R_S12_R1	(12.0, 1.0)	(13.0, 6.0)	(14.0, 87.0)	(15.0, 311.0)	(16.0, 1101.0)	(17.0, 2103.0)	(18.0, 2103.0)	(19.0, 2161.0)	(20.0, 2318.0)	(21.0, 2889.0)	(22.0, 4655.0)	(23.0, 9723.0)	(24.0, 17409.0)	(25.0, 25199.0)	(26.0, 29403.0)	(27.0, 32577.0)	(28.0, 36997.0)	(29.0, 44059.0)	(30.0, 50096.0)	(31.0, 58441.0)	(32.0, 66470.0)	(33.0, 83680.0)	(34.0, 117500.0)	(35.0, 255856.0)	(36.0, 1800646.0)	(37.0, 68104.0)	
12R_S12_R2	(11.0, 108.0)	(12.0, 1659.0)	(13.0, 3086.0)	(14.0, 3280.0)	(15.0, 3080.0)	(16.0, 3131.0)	(17.0, 4269.0)	(18.0, 7446.0)	(19.0, 11139.0)	(20.0, 13567.0)	(21.0, 16186.0)	(22.0, 22088.0)	(23.0, 34834.0)	(24.0, 48814.0)	(25.0, 54150.0)	(26.0, 47497.0)	(27.0, 43328.0)	(28.0, 40670.0)	(29.0, 41923.0)	(30.0, 45847.0)	(31.0, 54021.0)	(32.0, 67635.0)	(33.0, 99454.0)	(34.0, 174617.0)	(35.0, 463496.0)	(36.0, 1389596.0)	(37.0, 18974.0)
13R_S13_R1	(13.0, 24.0)	(14.0, 187.0)	(15.0, 536.0)	(16.0, 1657.0)	(17.0, 3451.0)	(18.0, 4288.0)	(19.0, 5165.0)	(20.0, 7027.0)	(21.0, 9099.0)	(22.0, 9778.0)	(23.0, 11550.0)	(24.0, 15949.0)	(25.0, 22890.0)	(26.0, 29077.0)	(27.0, 37035.0)	(28.0, 45387.0)	(29.0, 55931.0)	(30.0, 66442.0)	(31.0, 78611.0)	(32.0, 92472.0)	(33.0, 118885.0)	(34.0, 173385.0)	(35.0, 416095.0)	(36.0, 2267198.0)	(37.0, 50462.0)		
13R_S13_R2	(11.0, 180.0)	(12.0, 2225.0)	(13.0, 4346.0)	(14.0, 4974.0)	(15.0, 4688.0)	(16.0, 5071.0)	(17.0, 6857.0)	(18.0, 10931.0)	(19.0, 16114.0)	(20.0, 18769.0)	(21.0, 20888.0)	(22.0, 25127.0)	(23.0, 37145.0)	(24.0, 50903.0)	(25.0, 57533.0)	(26.0, 53801.0)	(27.0, 50561.0)	(28.0, 49189.0)	(29.0, 51923.0)	(30.0, 57343.0)	(31.0, 69441.0)	(32.0, 89267.0)	(33.0, 136298.0)	(34.0, 255950.0)	(35.0, 712173.0)	(36.0, 1703513.0)	(37.0, 27371.0)
14R_S14_R1	(13.0, 17.0)	(14.0, 184.0)	(15.0, 625.0)	(16.0, 2264.0)	(17.0, 4663.0)	(18.0, 4920.0)	(19.0, 4751.0)	(20.0, 6880.0)	(21.0, 13112.0)	(22.0, 22304.0)	(23.0, 27708.0)	(24.0, 29234.0)	(25.0, 31295.0)	(26.0, 32713.0)	(27.0, 36836.0)	(28.0, 42658.0)	(29.0, 52009.0)	(30.0, 60136.0)	(31.0, 71357.0)	(32.0, 81251.0)	(33.0, 102427.0)	(34.0, 141873.0)	(35.0, 312021.0)	(36.0, 1971623.0)	(37.0, 69470.0)		
14R_S14_R2	(11.0, 121.0)	(12.0, 2037.0)	(13.0, 4064.0)	(14.0, 4258.0)	(15.0, 4050.0)	(16.0, 4620.0)	(17.0, 6537.0)	(18.0, 9938.0)	(19.0, 13255.0)	(20.0, 15489.0)	(21.0, 18096.0)	(22.0, 22300.0)	(23.0, 32962.0)	(24.0, 45237.0)	(25.0, 51115.0)	(26.0, 48865.0)	(27.0, 46640.0)	(28.0, 45879.0)	(29.0, 48264.0)	(30.0, 52647.0)	(31.0, 61024.0)	(32.0, 75104.0)	(33.0, 107571.0)	(34.0, 185767.0)	(35.0, 513276.0)	(36.0, 1663724.0)	(37.0, 39491.0)
