Sample	Unique Reads	Duplicate Reads
10R_S10_R1	1366237.0	2292868.0
10R_S10_R2	1539842.0	2119263.0
11R_S11_R1	833337.0	1318851.0
11R_S11_R2	1015704.0	1136484.0
12R_S12_R1	1324386.0	1389509.0
12R_S12_R2	1500793.0	1213102.0
13R_S13_R1	782590.0	2739991.0
13R_S13_R2	977921.0	2544660.0
14R_S14_R1	1233973.0	1888358.0
14R_S14_R2	1391919.0	1730412.0
15R_S15_R1	1228529.0	2779254.0
15R_S15_R2	1449831.0	2557952.0
16R_S16_R1	515388.0	1483228.0
16R_S16_R2	762252.0	1236364.0
17R_S17_R1	361466.0	994601.0
17R_S17_R2	409613.0	946454.0
18R_S18_R1	619554.0	2024554.0
18R_S18_R2	702959.0	1941149.0
19R_S19_R1	1267916.0	1772470.0
19R_S19_R2	1373430.0	1666956.0
1R_S1_R1	1765249.0	1750342.0
1R_S1_R2	2034979.0	1480612.0
20R_S20_R1	580249.0	1889007.0
20R_S20_R2	737339.0	1731917.0
21R_S21_R1	1042137.0	1447147.0
21R_S21_R2	1183761.0	1305523.0
22R_S22_R1	360072.0	637351.0
22R_S22_R2	473747.0	523676.0
23R_S94_R1	1332068.0	6788085.0
23R_S94_R2	1771472.0	6348681.0
24R_S23_R1	2468469.0	3063342.0
24R_S23_R2	2615070.0	2916741.0
25R_S24_R1	671249.0	1543214.0
25R_S24_R2	1048366.0	1166097.0
26R_S25_R1	1058734.0	1590560.0
26R_S25_R2	1216890.0	1432404.0
27R_S26_R1	1036207.0	1597794.0
27R_S26_R2	1184779.0	1449222.0
28R_S27_R1	1070791.0	4270697.0
28R_S27_R2	1253990.0	4087498.0
29R_S28_R1	840288.0	1020917.0
29R_S28_R2	930611.0	930594.0
2R_S8_R1	764839.0	3246963.0
2R_S8_R2	886118.0	3125684.0
30R_S29_R1	1413014.0	922936.0
30R_S29_R2	1542802.0	793148.0
31R_S30_R1	993105.0	3289955.0
31R_S30_R2	1210926.0	3072134.0
32R_S31_R1	720190.0	2111275.0
32R_S31_R2	891776.0	1939689.0
3R_S2_R1	2401844.0	4332526.0
3R_S2_R2	2776288.0	3958082.0
4R_S3_R1	643575.0	1402593.0
4R_S3_R2	845476.0	1200692.0
5R_S4_R1	553342.0	840448.0
5R_S4_R2	674746.0	719044.0
6R_S5_R1	2679120.0	2664128.0
6R_S5_R2	2978994.0	2364254.0
7R_S6_R1	1571912.0	1658523.0
7R_S6_R2	1718493.0	1511942.0
8R_S7_R1	1552922.0	1872447.0
8R_S7_R2	1709215.0	1716154.0
9R_S9_R1	413869.0	1107159.0
9R_S9_R2	541677.0	979351.0
