Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
10R_S10_R1	(1.0, 30.629456698363978)	(2.0, 7.500096896830424)	(3.0, 3.0842393857200787)	(4.0, 1.7452947382781347)	(5.0, 1.2397882558460822)	(6.0, 1.0611646584202639)	(7.0, 0.9060381667713949)	(8.0, 0.8029781402355128)	(9.0, 0.6783840595174598)	('>10', 12.069576463233851)	('>50', 5.845662925477334)	('>100', 14.275439030383295)	('>500', 5.753130132584306)	('>1k', 9.867208966861977)	('>5k', 1.6124384008518586)	('>10k+', 2.9291030806240284)
10R_S10_R2	(1.0, 36.01590913651092)	(2.0, 6.841764035704354)	(3.0, 2.686330644625708)	(4.0, 1.5229379103906002)	(5.0, 1.08826254186472)	(6.0, 0.93321123985082)	(7.0, 0.8142685900297674)	(8.0, 0.6935941700755596)	(9.0, 0.6085081303637867)	('>10', 11.572567285758984)	('>50', 5.5118774590140465)	('>100', 13.281076116791027)	('>500', 5.201714733834302)	('>1k', 9.7051333876282)	('>5k', 2.005288224382388)	('>10k+', 1.5175563931747864)
11R_S11_R1	(1.0, 31.883562629193474)	(2.0, 7.584201686521943)	(3.0, 3.0550417148408804)	(4.0, 1.805222758843563)	(5.0, 1.36651572323174)	(6.0, 1.1272300126657357)	(7.0, 0.9351181816178512)	(8.0, 0.821581503714731)	(9.0, 0.6982891024509915)	('>10', 12.633467986742852)	('>50', 6.257805757708139)	('>100', 15.45386080623772)	('>500', 7.459632070837404)	('>1k', 8.918470065392988)	('>5k', 0.0)	('>10k+', 0.0)
11R_S11_R2	(1.0, 41.20761245796138)	(2.0, 6.7413792792316105)	(3.0, 2.5750245012439144)	(4.0, 1.4910049917758854)	(5.0, 1.1190932617467655)	(6.0, 0.9330414651809162)	(7.0, 0.8453834151258643)	(8.0, 0.7252552095756131)	(9.0, 0.630252955950495)	('>10', 11.364879863028223)	('>50', 5.907355121258)	('>100', 14.526785089251087)	('>500', 5.58899491190871)	('>1k', 5.467093219363372)	('>5k', 0.8768442573982205)	('>10k+', 0.0)
12R_S12_R1	(1.0, 39.56400204778818)	(2.0, 11.115112697435574)	(3.0, 4.4980248444449344)	(4.0, 2.4763245474826734)	(5.0, 1.616371547916914)	(6.0, 1.2911842926257986)	(7.0, 1.0570192366726139)	(8.0, 0.8805153109370913)	(9.0, 0.7590546190269998)	('>10', 10.685650881161864)	('>50', 4.447508020543022)	('>100', 10.557777230116551)	('>500', 4.880663567118393)	('>1k', 5.949304470301424)	('>5k', 0.221486686427946)	('>10k+', 0.0)
12R_S12_R2	(1.0, 46.86222710615536)	(2.0, 10.416139370844107)	(3.0, 4.095230164437102)	(4.0, 2.1734686787239905)	(5.0, 1.3827671954512546)	(6.0, 1.0612004471739191)	(7.0, 0.8493618341853172)	(8.0, 0.717951643271205)	(9.0, 0.6113401225929462)	('>10', 9.403854158991113)	('>50', 3.995629250570383)	('>100', 10.352827033769298)	('>500', 3.438177103516044)	('>1k', 3.458177177204024)	('>5k', 0.680499639154113)	('>10k+', 0.5011490739598007)
13R_S13_R1	(1.0, 17.184593579710647)	(2.0, 4.55591830288979)	(3.0, 2.2961456509893883)	(4.0, 1.5472625030058358)	(5.0, 1.254906049874186)	(6.0, 1.0304281313974344)	(7.0, 0.9269868096355766)	(8.0, 0.8486443907205284)	(9.0, 0.7333594186066421)	('>10', 13.42303304340207)	('>50', 6.8621336362116985)	('>100', 17.12461522006906)	('>500', 6.428998074782025)	('>1k', 13.31684051188705)	('>5k', 5.491613604107542)	('>10k+', 6.974521072710571)
13R_S13_R2	(1.0, 23.297465698228557)	(2.0, 4.070161698639704)	(3.0, 2.013801948747953)	(4.0, 1.3481089443199596)	(5.0, 1.081871513900947)	(6.0, 0.8681981605076081)	(7.0, 0.7712196857399903)	(8.0, 0.7396025932937079)	(9.0, 0.6512442598388618)	('>10', 12.150968080730909)	('>50', 6.67702529528182)	('>100', 17.936524045551124)	('>500', 7.490531145838824)	('>1k', 13.749430565092124)	('>5k', 4.632971046881551)	('>10k+', 2.5208753174063734)
14R_S14_R1	(1.0, 32.340965653197244)	(2.0, 7.950538695654806)	(3.0, 3.300793106679757)	(4.0, 1.9408024953962582)	(5.0, 1.45911878516622)	(6.0, 1.2175695113347769)	(7.0, 1.0119672621524234)	(8.0, 0.8885109017913695)	(9.0, 0.7885677226949883)	('>10', 12.482878900053219)	('>50', 5.566080967552731)	('>100', 13.582035731832482)	('>500', 4.269377752727963)	('>1k', 9.454333710864713)	('>5k', 2.573989612741624)	('>10k+', 1.1724691901594309)
14R_S14_R2	(1.0, 37.85179876454842)	(2.0, 7.596220720754472)	(3.0, 3.0558886039374107)	(4.0, 1.7732937035857033)	(5.0, 1.2902308725015528)	(6.0, 1.1018956910078253)	(7.0, 0.8990460455988774)	(8.0, 0.7912336855901764)	(9.0, 0.6896699416889039)	('>10', 11.489693200338074)	('>50', 5.035311866959881)	('>100', 12.30368433145374)	('>500', 3.7510520023511433)	('>1k', 7.679457064477635)	('>5k', 2.4876475135759932)	('>10k+', 2.203875991630194)
15R_S15_R1	(1.0, 23.986575389938224)	(2.0, 6.444637731790315)	(3.0, 3.07011827778513)	(4.0, 2.030498444556906)	(5.0, 1.6173810452154296)	(6.0, 1.3609461289205294)	(7.0, 1.1268634376802356)	(8.0, 1.013405777605722)	(9.0, 0.903717914340146)	('>10', 15.528316210061572)	('>50', 6.968840991150604)	('>100', 17.23502933647143)	('>500', 6.968471792508739)	('>1k', 9.548439181748282)	('>5k', 1.0735479397769385)	('>10k+', 1.1232104004498022)
15R_S15_R2	(1.0, 29.91392760466735)	(2.0, 5.981179881890179)	(3.0, 2.8697298487519327)	(4.0, 1.9708085027380176)	(5.0, 1.520040823518439)	(6.0, 1.2910663771014854)	(7.0, 1.0932579861016616)	(8.0, 0.958617608600951)	(9.0, 0.8626718351609934)	('>10', 14.900867001861284)	('>50', 7.163857360374333)	('>100', 15.651543113213098)	('>500', 5.249250581259379)	('>1k', 7.490170059945578)	('>5k', 1.8239544020009948)	('>10k+', 1.2590570128143124)
16R_S16_R1	(1.0, 19.753904224915154)	(2.0, 5.421508038954976)	(3.0, 3.0334156867051356)	(4.0, 1.995029982399933)	(5.0, 1.5600499167349264)	(6.0, 1.282740301983917)	(7.0, 1.098694859902756)	(8.0, 0.951235266405052)	(9.0, 0.8796597336727311)	('>10', 14.388581587355073)	('>50', 6.805042300298108)	('>100', 16.88568228840212)	('>500', 6.378860529535653)	('>1k', 13.81171076592523)	('>5k', 5.203797914924056)	('>10k+', 0.5500866018851504)
16R_S16_R2	(1.0, 33.24935094568234)	(2.0, 4.548060369341105)	(3.0, 2.399503434860643)	(4.0, 1.5907895249125201)	(5.0, 1.2014399670861189)	(6.0, 0.9867260898587166)	(7.0, 0.8211641336182605)	(8.0, 0.7011795445147608)	(9.0, 0.640065208780857)	('>10', 11.64655012174072)	('>50', 6.243953846382545)	('>100', 14.226190900891034)	('>500', 5.706397689584907)	('>1k', 10.983479025532485)	('>5k', 2.3254296709578424)	('>10k+', 2.7297195262551766)
17R_S17_R1	(1.0, 20.514854214762764)	(2.0, 5.5759354667538155)	(3.0, 3.283289458617502)	(4.0, 2.1833077867460626)	(5.0, 1.5222546510637525)	(6.0, 1.2213566691672157)	(7.0, 1.0808601590995772)	(8.0, 0.9281754596116765)	(9.0, 0.7796527651488635)	('>10', 13.43956431313795)	('>50', 6.295171981749028)	('>100', 16.282544592843333)	('>500', 7.00299422546357)	('>1k', 13.389342799771004)	('>5k', 4.291694248237954)	('>10k+', 2.209001207825892)
17R_S17_R2	(1.0, 24.693100749538598)	(2.0, 4.903621972111996)	(3.0, 2.7428869313913116)	(4.0, 1.811143577432208)	(5.0, 1.330140974285233)	(6.0, 1.0952884680266455)	(7.0, 0.9616130407154184)	(8.0, 0.8232013320095103)	(9.0, 0.7956276717787804)	('>10', 14.55537847618264)	('>50', 7.7015398117321086)	('>100', 18.2373192037316)	('>500', 5.9028848964508995)	('>1k', 10.542205561361556)	('>5k', 3.9040473332515173)	('>10k+', 0.0)
