Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
10R_S10_R1	(25, 1556.0)	(30, 3589.0)	(35, 4841.0)	(40, 3327.0)	(45, 3223.0)	(50, 3558.0)	(55, 2268.0)	(60, 2007.0)	(65, 1768.0)	(70, 1820.0)	(75, 1747.0)	(80, 1929.0)	(85, 2588.0)	(90, 2775.0)	(95, 3743.0)	(100, 4690.0)	(105, 5478.0)	(110, 6068.0)	(115, 6539.0)	(120, 5894.0)	(125, 5910.0)	(130, 4060.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3579727.0)
10R_S10_R2	(25, 293.0)	(30, 526.0)	(35, 537.0)	(40, 654.0)	(45, 811.0)	(50, 1120.0)	(55, 1007.0)	(60, 1197.0)	(65, 1151.0)	(70, 1221.0)	(75, 1129.0)	(80, 1093.0)	(85, 1268.0)	(90, 1663.0)	(95, 2407.0)	(100, 3012.0)	(105, 3787.0)	(110, 4039.0)	(115, 5048.0)	(120, 5019.0)	(125, 4326.0)	(130, 3725.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3614072.0)
11R_S11_R1	(25, 723.0)	(30, 1576.0)	(35, 3448.0)	(40, 1790.0)	(45, 1839.0)	(50, 1956.0)	(55, 1310.0)	(60, 1298.0)	(65, 1145.0)	(70, 1150.0)	(75, 1195.0)	(80, 1358.0)	(85, 1801.0)	(90, 1867.0)	(95, 2613.0)	(100, 3115.0)	(105, 3840.0)	(110, 4692.0)	(115, 5533.0)	(120, 4698.0)	(125, 4988.0)	(130, 3163.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2097090.0)
11R_S11_R2	(25, 225.0)	(30, 363.0)	(35, 339.0)	(40, 434.0)	(45, 521.0)	(50, 718.0)	(55, 608.0)	(60, 761.0)	(65, 719.0)	(70, 645.0)	(75, 595.0)	(80, 498.0)	(85, 566.0)	(90, 526.0)	(95, 618.0)	(100, 754.0)	(105, 989.0)	(110, 1237.0)	(115, 1345.0)	(120, 1111.0)	(125, 996.0)	(130, 655.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2136965.0)
12R_S12_R1	(25, 555.0)	(30, 1289.0)	(35, 2859.0)	(40, 1792.0)	(45, 1964.0)	(50, 2213.0)	(55, 1589.0)	(60, 1581.0)	(65, 1617.0)	(70, 1571.0)	(75, 1786.0)	(80, 2169.0)	(85, 2918.0)	(90, 2844.0)	(95, 4311.0)	(100, 4945.0)	(105, 5391.0)	(110, 5995.0)	(115, 6185.0)	(120, 4828.0)	(125, 4739.0)	(130, 2954.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 2647799.0)
12R_S12_R2	(25, 158.0)	(30, 320.0)	(35, 344.0)	(40, 454.0)	(45, 657.0)	(50, 947.0)	(55, 803.0)	(60, 933.0)	(65, 934.0)	(70, 842.0)	(75, 844.0)	(80, 709.0)	(85, 871.0)	(90, 939.0)	(95, 1189.0)	(100, 1280.0)	(105, 1643.0)	(110, 1877.0)	(115, 1860.0)	(120, 1424.0)	(125, 1175.0)	(130, 767.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 2692925.0)
13R_S13_R1	(25, 1194.0)	(30, 2314.0)	(35, 3836.0)	(40, 2900.0)	(45, 3051.0)	(50, 3175.0)	(55, 2149.0)	(60, 1749.0)	(65, 1580.0)	(70, 1565.0)	(75, 1582.0)	(80, 1832.0)	(85, 2337.0)	(90, 2464.0)	(95, 3905.0)	(100, 4319.0)	(105, 5428.0)	(110, 5833.0)	(115, 6711.0)	(120, 5770.0)	(125, 6060.0)	(130, 3948.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3448879.0)
13R_S13_R2	(25, 301.0)	(30, 405.0)	(35, 417.0)	(40, 565.0)	(45, 741.0)	(50, 954.0)	(55, 833.0)	(60, 938.0)	(65, 861.0)	(70, 893.0)	(75, 834.0)	(80, 983.0)	(85, 991.0)	(90, 1780.0)	(95, 1804.0)	(100, 1564.0)	(105, 1996.0)	(110, 2345.0)	(115, 4041.0)	(120, 3403.0)	(125, 2530.0)	(130, 1938.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3491464.0)
14R_S14_R1	(25, 1687.0)	(30, 3475.0)	(35, 4127.0)	(40, 3593.0)	(45, 3556.0)	(50, 3852.0)	(55, 2563.0)	(60, 2293.0)	(65, 2345.0)	(70, 2166.0)	(75, 2347.0)	(80, 2242.0)	(85, 2806.0)	(90, 2755.0)	(95, 3661.0)	(100, 4030.0)	(105, 4828.0)	(110, 5549.0)	(115, 5565.0)	(120, 4942.0)	(125, 5011.0)	(130, 3303.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3045635.0)
14R_S14_R2	(25, 346.0)	(30, 554.0)	(35, 575.0)	(40, 717.0)	(45, 922.0)	(50, 1187.0)	(55, 990.0)	(60, 1261.0)	(65, 1370.0)	(70, 1387.0)	(75, 1373.0)	(80, 1285.0)	(85, 1264.0)	(90, 1172.0)	(95, 2031.0)	(100, 2903.0)	(105, 3510.0)	(110, 3491.0)	(115, 3982.0)	(120, 4203.0)	(125, 4410.0)	(130, 3527.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 3079871.0)
15R_S15_R1	(25, 1029.0)	(30, 1996.0)	(35, 3142.0)	(40, 2273.0)	(45, 2280.0)	(50, 2603.0)	(55, 1673.0)	(60, 1439.0)	(65, 1334.0)	(70, 1389.0)	(75, 1370.0)	(80, 1559.0)	(85, 2013.0)	(90, 2167.0)	(95, 3039.0)	(100, 3789.0)	(105, 4346.0)	(110, 4884.0)	(115, 5042.0)	(120, 4583.0)	(125, 4714.0)	(130, 3381.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 3947737.0)
15R_S15_R2	(25, 184.0)	(30, 359.0)	(35, 398.0)	(40, 506.0)	(45, 639.0)	(50, 921.0)	(55, 725.0)	(60, 732.0)	(65, 766.0)	(70, 803.0)	(75, 783.0)	(80, 664.0)	(85, 747.0)	(90, 831.0)	(95, 1200.0)	(100, 1596.0)	(105, 2040.0)	(110, 2086.0)	(115, 2203.0)	(120, 2238.0)	(125, 2178.0)	(130, 1776.0)	(135, 0.0)	(140, 0.0)	(145, 1.0)	(150, 3983407.0)
16R_S16_R1	(25, 2371.0)	(30, 5586.0)	(35, 7436.0)	(40, 5576.0)	(45, 5722.0)	(50, 6461.0)	(55, 4067.0)	(60, 3376.0)	(65, 2826.0)	(70, 2340.0)	(75, 2178.0)	(80, 1988.0)	(85, 2648.0)	(90, 2816.0)	(95, 4194.0)	(100, 4526.0)	(105, 5680.0)	(110, 6571.0)	(115, 7472.0)	(120, 6846.0)	(125, 6766.0)	(130, 4476.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1896694.0)
16R_S16_R2	(25, 515.0)	(30, 1007.0)	(35, 941.0)	(40, 1135.0)	(45, 1517.0)	(50, 2044.0)	(55, 1440.0)	(60, 1376.0)	(65, 1198.0)	(70, 1194.0)	(75, 957.0)	(80, 705.0)	(85, 869.0)	(90, 835.0)	(95, 1314.0)	(100, 1495.0)	(105, 2058.0)	(110, 2375.0)	(115, 2478.0)	(120, 2261.0)	(125, 2268.0)	(130, 1778.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1966856.0)
17R_S17_R1	(25, 4650.0)	(30, 8985.0)	(35, 11417.0)	(40, 9780.0)	(45, 10555.0)	(50, 10376.0)	(55, 5837.0)	(60, 4711.0)	(65, 3371.0)	(70, 2137.0)	(75, 1558.0)	(80, 1559.0)	(85, 1591.0)	(90, 1609.0)	(95, 2220.0)	(100, 2526.0)	(105, 3114.0)	(110, 3396.0)	(115, 3427.0)	(120, 3362.0)	(125, 2911.0)	(130, 1929.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 1255045.0)
