Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
10R_S10_R1	62.66199721195825	52.0	149.62816809028436	151	36.36363636363637	3.659105
10R_S10_R2	57.91753882112262	52.0	150.3843530043549	151	27.27272727272727	3.659105
11R_S11_R1	61.279571823575175	52.0	149.49763264175806	151	36.36363636363637	2.1521879999999998
11R_S11_R2	52.80602211807101	54.0	150.56296940601842	151	36.36363636363637	2.1521879999999998
12R_S12_R1	51.19984015446114	52.0	149.59262278017388	151	36.36363636363637	2.713895
12R_S12_R2	44.69966692512509	52.0	150.53785979192267	151	18.181818181818183	2.713895
13R_S13_R1	77.7836320631484	47.0	149.7322724445513	151	36.36363636363637	3.5225809999999997
13R_S13_R2	72.23852636480916	48.0	150.52996169569982	151	36.36363636363637	3.5225809999999997
14R_S14_R1	60.47913333471873	53.0	149.3796868429388	151	36.36363636363637	3.122331
14R_S14_R2	55.420532101487986	53.0	150.2925717997227	151	18.181818181818183	3.122331
15R_S15_R1	69.34643171408936	52.0	150.0888169344498	151	36.36363636363637	4.007783
15R_S15_R2	63.82463029874487	52.0	150.66931493047403	151	27.27272727272727	4.007783
16R_S16_R1	74.21277102204505	55.0	147.4763776533361	151	36.36363636363637	1.998616
16R_S16_R2	61.86102701215139	55.0	149.99062401181618	151	36.36363636363637	1.998616
17R_S17_R1	73.34459832460394	55.0	144.50214038096937	151	36.36363636363637	1.356067
17R_S17_R2	69.79410153264216	55.0	148.8833531086591	151	36.36363636363637	1.356067
18R_S18_R1	76.56854225259588	53.0	149.73561367387413	151	45.45454545454545	2.6441079999999997
18R_S18_R2	73.41416378494006	52.0	150.61966001388748	151	45.45454545454545	2.6441079999999997
19R_S19_R1	58.29755666615626	55.0	149.97596423612	151	36.36363636363637	3.040386
19R_S19_R2	54.82711969741491	55.0	150.47401514149848	151	27.27272727272727	3.040386
1R_S1_R1	49.78801446096547	52.0	145.2537675742144	151	27.27272727272727	3.5155909999999997
1R_S1_R2	42.115618392262554	54.0	149.0018463467451	151	18.181818181818183	3.5155909999999997
20R_S20_R1	76.50108832555956	54.0	149.21300181107185	151	45.45454545454545	2.4692559999999997
20R_S20_R2	70.13922493281112	54.0	150.37193794406087	151	36.36363636363637	2.4692559999999997
21R_S21_R1	58.13509513504891	52.0	149.81085725855306	151	27.27272727272727	2.489284
21R_S21_R2	52.445753394361404	53.0	150.59049991885217	151	36.36363636363637	2.489284
22R_S22_R1	63.89979373722153	54.0	146.0854321586729	151	36.36363636363637	0.997423
22R_S22_R2	52.50291438084149	57.0	149.86758476594184	151	36.36363636363637	0.997423
23R_S94_R1	83.59553438725862	51.0	150.56977448577632	151	27.27272727272727	8.120153
23R_S94_R2	78.18426296532446	51.0	150.85713286436845	151	27.27272727272727	8.120153
