Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
CSM79HGX_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.3062084348148437e-05)	(5, 1.3062084348148437e-05)	(6, 1.3062084348148437e-05)	(7, 1.3062084348148437e-05)	(8, 1.3062084348148437e-05)	(9, 1.3062084348148437e-05)	(10, 1.3062084348148437e-05)	(12, 1.3062084348148437e-05)	(14, 1.3062084348148437e-05)	(16, 1.3062084348148437e-05)	(18, 1.3062084348148437e-05)	(20, 1.3062084348148437e-05)	(22, 1.3062084348148437e-05)	(24, 1.3062084348148437e-05)	(26, 1.3062084348148437e-05)	(28, 1.3062084348148437e-05)	(30, 1.3062084348148437e-05)	(32, 3.265521087037109e-05)	(34, 0.00018940022304815232)	(36, 0.000359207319574082)	(38, 0.0005159523317518633)	(40, 0.0006661663017555702)	(42, 0.0007967871452370547)	(44, 0.0010253736213296522)	(46, 0.0012213048865518787)	(48, 0.0015086707422111443)	(50, 0.00192012639917782)	(52, 0.002220554339185234)	(54, 0.0026777272913704295)	(56, 0.0030826519061630314)	(58, 0.0034353281835630385)	(60, 0.004127618654014906)	(62, 0.00593018629405939)	(64, 0.00986187368285207)	(66, 0.014988741789500331)	(68, 0.0196584369439634)	(70, 0.02677074187153022)	(72, 0.03196292039991922)	(74, 0.03823925192920455)	(76, 0.31463948777819956)	(78, 1.5074363752402444)	(80, 2.7719179816049277)					
CSM79HGX_R2 - illumina_universal_adapter	(1, 1.3062084348148437e-05)	(2, 1.3062084348148437e-05)	(3, 1.3062084348148437e-05)	(4, 2.6124168696296874e-05)	(5, 2.6124168696296874e-05)	(6, 5.224833739259375e-05)	(7, 5.224833739259375e-05)	(8, 5.224833739259375e-05)	(9, 6.531042174074218e-05)	(10, 0.0003461452352259335)	(12, 0.0003918625304444531)	(14, 0.0004049246147926015)	(16, 0.00044411086783704686)	(18, 0.00047023503653334373)	(20, 0.00047023503653334373)	(22, 0.00047023503653334373)	(24, 0.00047023503653334373)	(26, 0.00047023503653334373)	(28, 0.00048329712088149214)	(30, 0.0005224833739259375)	(32, 0.0006400421330592734)	(34, 0.0007771940187148319)	(36, 0.0008686286091518711)	(38, 0.001018842579155578)	(40, 0.0013062084348148435)	(42, 0.0015543880374296638)	(44, 0.0018286918087407813)	(46, 0.0020507472426593044)	(48, 0.0024034235200593125)	(50, 0.0026450720805000585)	(52, 0.002893251683114879)	(54, 0.0031218381592074762)	(56, 0.0034941075631297067)	(58, 0.004029653021403793)	(60, 0.004473763889240839)	(62, 0.00497012309447048)	(64, 0.0054011718779593786)	(66, 0.006589821553640886)	(68, 0.009385107604144651)	(70, 0.013199236233803997)	(72, 0.016961116526070744)	(74, 0.021408756246615285)	(76, 0.02697320417892652)	(78, 0.03514353793869337)	(80, 0.11743466933202851)	(82, 0.6707380312774223)	(84, 1.7077956870564932)	(86, 2.522366860133552)	(88, 2.6633655296296403)	(90, 2.6661150983849256)
HSM5MD5B_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0002488010897487731)	(34, 0.0005598024519347395)	(36, 0.0014306062660554453)	(38, 0.002550211169924924)	(40, 0.0031411137580782604)	(42, 0.003669816073794403)	(44, 0.004385119206822126)	(46, 0.005069322203631252)	(48, 0.005411423702035815)	(50, 0.006344427788593714)	(52, 0.00721523160271442)	(54, 0.0076817336459933695)	(56, 0.00877023841364425)	(58, 0.009578841955327764)	(60, 0.01082284740407163)	(62, 0.016483072195856218)	(64, 0.02904752722816926)	(66, 0.04052347749283142)	(68, 0.051532925714214625)	(70, 0.06313327652375117)	(72, 0.07237001698067438)	(74, 0.08064265321482109)	(76, 0.29489149162473327)	(78, 1.4366085923456344)	(80, 3.9108110293523084)					
HSM5MD5B_R2 - illumina_universal_adapter	(1, 6.220027243719327e-05)	(2, 6.220027243719327e-05)	(3, 6.220027243719327e-05)	(4, 6.220027243719327e-05)	(5, 0.00012440054487438654)	(6, 0.00012440054487438654)	(7, 0.00012440054487438654)	(8, 0.00012440054487438654)	(9, 0.00012440054487438654)	(10, 0.0004354019070603529)	(12, 0.0005598024519347395)	(14, 0.0005598024519347395)	(16, 0.0006220027243719327)	(18, 0.0008086035416835126)	(20, 0.0008708038141207058)	(22, 0.0009952043589950923)	(24, 0.0010574046314322857)	(26, 0.001119604903869479)	(28, 0.0011818051763066721)	(30, 0.0012440054487438655)	(32, 0.0013373058573996554)	(34, 0.0013995061298368488)	(36, 0.0019904087179901846)	(38, 0.0031100136218596636)	(40, 0.003763116482450193)	(42, 0.004851621250101076)	(44, 0.0055358242469102014)	(46, 0.006282227516156521)	(48, 0.006810929831872664)	(50, 0.007184131466495824)	(52, 0.007526232964900386)	(54, 0.008086035416835126)	(56, 0.008894638958518638)	(58, 0.009578841955327764)	(60, 0.010387445497011276)	(62, 0.011444850128443563)	(64, 0.012906556530717605)	(66, 0.017073974784009554)	(68, 0.024382506795379764)	(70, 0.03486325270104683)	(72, 0.042980388254100554)	(74, 0.05050662121900094)	(76, 0.059836662084579925)	(78, 0.07482692774194352)	(80, 0.1396707117577175)	(82, 0.588134676029881)	(84, 2.2613842048628174)	(86, 3.988654670307456)	(88, 4.163935038035467)	(90, 4.167667054381698)
HSM5MD6I_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.5327770578834863e-05)	(12, 1.5327770578834863e-05)	(14, 1.5327770578834863e-05)	(16, 1.5327770578834863e-05)	(18, 1.5327770578834863e-05)	(20, 1.5327770578834863e-05)	(22, 1.5327770578834863e-05)	(24, 1.5327770578834863e-05)	(26, 1.5327770578834863e-05)	(28, 1.5327770578834863e-05)	(30, 1.5327770578834863e-05)	(32, 1.5327770578834863e-05)	(34, 9.196662347300918e-05)	(36, 0.0001532777057883486)	(38, 0.0001992610175248532)	(40, 0.00022991655868252295)	(42, 0.00029889152628727984)	(44, 0.0003525387233132019)	(46, 0.0004138498056285413)	(48, 0.0005364719702592201)	(50, 0.0007357329877840734)	(52, 0.0008047079553888303)	(54, 0.0009196662347300917)	(56, 0.0010882717110972753)	(58, 0.0012492133021750414)	(60, 0.001563432599041156)	(62, 0.0035866983154473576)	(64, 0.006345697019637633)	(66, 0.008453265474227426)	(68, 0.011350214113627216)	(70, 0.014331465491210596)	(72, 0.017052144768953784)	(74, 0.020339951558113863)	(76, 0.14571345100769362)	(78, 0.6231964961942679)	(80, 1.120582651477459)					
HSM5MD6I_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.598331173650459e-05)	(12, 4.598331173650459e-05)	(14, 4.598331173650459e-05)	(16, 4.598331173650459e-05)	(18, 4.598331173650459e-05)	(20, 6.131108231533945e-05)	(22, 6.131108231533945e-05)	(24, 6.131108231533945e-05)	(26, 8.430273818359175e-05)	(28, 0.00010729439405184404)	(30, 0.00010729439405184404)	(32, 0.0001226221646306789)	(34, 0.00013794993520951376)	(36, 0.0002452443292613578)	(38, 0.00032954706744494955)	(40, 0.0004138498056285413)	(42, 0.00043684146149679357)	(44, 0.0004904886585227156)	(46, 0.0005671275114168899)	(48, 0.0007587246436523257)	(50, 0.0008813468082830046)	(52, 0.0010116328582031008)	(54, 0.0011495827934126148)	(56, 0.0012568771874644587)	(58, 0.0013718354668057202)	(60, 0.0015557687137517386)	(62, 0.001724374190118922)	(64, 0.0019772824046696974)	(66, 0.0036939927094992017)	(68, 0.00608512491979744)	(70, 0.008131382292071894)	(72, 0.010093336926162757)	(74, 0.012461477480592743)	(76, 0.015427401087597289)	(78, 0.021650475942604244)	(80, 0.0752210341156321)	(82, 0.3449514768766786)	(84, 0.775585191289044)	(86, 1.1273575260733042)	(88, 1.169324961918154)	(90, 1.1702293003823052)
HSM67VEO_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.1913241579929332e-05)	(5, 1.1913241579929332e-05)	(6, 1.1913241579929332e-05)	(7, 1.1913241579929332e-05)	(8, 1.1913241579929332e-05)	(9, 1.1913241579929332e-05)	(10, 1.1913241579929332e-05)	(12, 1.1913241579929332e-05)	(14, 1.1913241579929332e-05)	(16, 1.1913241579929332e-05)	(18, 1.1913241579929332e-05)	(20, 1.1913241579929332e-05)	(22, 1.1913241579929332e-05)	(24, 1.1913241579929332e-05)	(26, 1.1913241579929332e-05)	(28, 1.1913241579929332e-05)	(30, 1.1913241579929332e-05)	(32, 1.1913241579929332e-05)	(34, 9.530593263943467e-05)	(36, 0.00017869862369894)	(38, 0.00025017807317851597)	(40, 0.00035739724739788)	(42, 0.00040505021371759734)	(44, 0.00047057304240720867)	(46, 0.0005480091126767494)	(48, 0.0006730981492660073)	(50, 0.0007981871858552653)	(52, 0.0008994497392846646)	(54, 0.0009768858095542052)	(56, 0.001090061604563534)	(58, 0.0011913241579929333)	(60, 0.0014891551974911667)	(62, 0.002477954248625301)	(64, 0.00428876696877456)	(66, 0.006409323970001981)	(68, 0.008672839870188555)	(70, 0.01125801329303322)	(72, 0.013968275752467143)	(74, 0.016714277936640855)	(76, 0.12487459824081927)	(78, 0.6269939043516808)	(80, 1.1504259996490358)					
HSM67VEO_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.1913241579929332e-05)	(9, 1.1913241579929332e-05)	(10, 0.00010126255342939933)	(12, 0.00012508903658925799)	(14, 0.00013104565737922266)	(16, 0.00013104565737922266)	(18, 0.00013104565737922266)	(20, 0.000160828761329046)	(22, 0.00017869862369894)	(24, 0.00018465524448890464)	(26, 0.000196568486068834)	(28, 0.000232308210808622)	(30, 0.0002740045563383747)	(32, 0.00040505021371759734)	(34, 0.0004943995255670673)	(36, 0.0006552282868961133)	(38, 0.0008696666353348413)	(40, 0.0012508903658925799)	(42, 0.0013998058856416968)	(44, 0.0015844611301306013)	(46, 0.0017274200290897533)	(48, 0.0018882487904187993)	(50, 0.002090773897277598)	(52, 0.002334995349666149)	(54, 0.002585173422844665)	(56, 0.002775785288123535)	(58, 0.003049789844461909)	(60, 0.0032940112968504603)	(62, 0.003651408544248341)	(64, 0.004121981586655549)	(66, 0.005063127671469967)	(68, 0.006629718939230674)	(70, 0.008631143524658802)	(72, 0.011091227910914209)	(74, 0.013813403611928062)	(76, 0.016755974282170606)	(78, 0.021956104231809763)	(80, 0.06012017363311338)	(82, 0.3143427923280154)	(84, 0.7858986771655683)	(86, 1.154607547443591)	(88, 1.2031123105362733)	(90, 1.2039760205508183)
HSM67VF3_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 8.572462165438233e-05)	(5, 8.572462165438233e-05)	(6, 8.572462165438233e-05)	(7, 8.572462165438233e-05)	(8, 8.572462165438233e-05)	(9, 8.572462165438233e-05)	(10, 8.572462165438233e-05)	(12, 8.572462165438233e-05)	(14, 8.572462165438233e-05)	(16, 8.572462165438233e-05)	(18, 8.572462165438233e-05)	(20, 8.572462165438233e-05)	(22, 8.572462165438233e-05)	(24, 8.572462165438233e-05)	(26, 8.572462165438233e-05)	(28, 8.572462165438233e-05)	(30, 0.00010001205859677938)	(32, 0.0001285869324815735)	(34, 0.0002857487388479411)	(36, 0.0002857487388479411)	(38, 0.0002857487388479411)	(40, 0.00032861104967513225)	(42, 0.00040004823438711753)	(44, 0.0004857728560414999)	(46, 0.0005857849146382793)	(48, 0.0006857969732350585)	(50, 0.000785809031831838)	(52, 0.0008429587796014263)	(54, 0.0009858331490253968)	(56, 0.0011715698292765584)	(58, 0.0014001688203549114)	(60, 0.0016144803744908673)	(62, 0.0024574391540922932)	(64, 0.004000482343871175)	(66, 0.005829274272497999)	(68, 0.00722944309285291)	(70, 0.008772486282631792)	(72, 0.010658427959028202)	(74, 0.013315891230314056)	(76, 0.15023239944930503)	(78, 0.7264161564622935)	(80, 1.2439785597006268)					
HSM67VF3_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 2.857487388479411e-05)	(4, 2.857487388479411e-05)	(5, 2.857487388479411e-05)	(6, 2.857487388479411e-05)	(7, 2.857487388479411e-05)	(8, 2.857487388479411e-05)	(9, 5.714974776958822e-05)	(10, 0.0008572462165438233)	(12, 0.0008572462165438233)	(14, 0.0008715336534862203)	(16, 0.0008858210904286174)	(18, 0.0008858210904286174)	(20, 0.0008858210904286174)	(22, 0.0008858210904286174)	(24, 0.0008858210904286174)	(26, 0.0008858210904286174)	(28, 0.0009143959643134115)	(30, 0.0009429708381982056)	(32, 0.0009429708381982056)	(34, 0.0009429708381982056)	(36, 0.0009715457120829996)	(38, 0.001057270333737382)	(40, 0.001057270333737382)	(42, 0.0012287195770461466)	(44, 0.0014001688203549114)	(46, 0.0015144683158940877)	(48, 0.0015144683158940877)	(50, 0.001557330626721279)	(52, 0.001571618063663676)	(54, 0.001571618063663676)	(56, 0.0016144803744908673)	(58, 0.0017287798700300436)	(60, 0.00208596579358997)	(62, 0.00232885222161072)	(64, 0.0026146009604586613)	(66, 0.0030860863795577637)	(68, 0.004157644150237543)	(70, 0.005314926542571704)	(72, 0.006615083304329836)	(74, 0.007929527503030366)	(76, 0.009272546575615688)	(78, 0.012658669130963791)	(80, 0.04842012379778362)	(82, 0.2836627730543511)	(84, 0.7443326023880594)	(86, 1.0780442670516273)	(88, 1.1305505978149366)	(90, 1.131679305333386)
