Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
CSM79HGX_R1	1.8959746052180937	22.388961180269042
CSM79HGX_R2	0.8374102275597962	15.60958265856782
HSM5MD5B_R1	2.143856790092741	33.75646105329942
HSM5MD5B_R2	3.8904404401291273	22.64164557040759
HSM5MD6I_R1	3.4110420646139104	26.684498994958076
HSM5MD6I_R2	3.518413097518649	21.679430101227666
HSM67VEO_R1	1.0081104157352	8.490745972639333
HSM67VEO_R2	1.5088835255475295	8.35685305052251
HSM67VF3_R1	2.340225021416868	18.427421820573805
HSM67VF3_R2	2.1397437062411524	15.02689752878776
HSM67VFR_R1	1.8117299542186376	20.57413051494395
HSM67VFR_R2	2.8146986744066265	15.45148174034424
HSM67VI3_R1	5.478199285210664	37.30414272749319
HSM67VI3_R2	7.369133393296566	26.45321225499702
HSM6XRQ8_R1	1.4056068765378527	11.727279909904713
HSM6XRQ8_R2	1.7622758591282932	6.325262297179002
HSM6XRT8_R1	2.4627183975229854	9.533506050361757
HSM6XRT8_R2	2.111900097943193	8.656282581908943
HSMA33J3_R1	13.856238028959087	13.346656381957818
HSMA33J3_R2	13.365342884846566	10.375538083913089
MSM6J2HP_R1	0.9899375944305381	13.733547275374931
MSM6J2HP_R2	1.47496580599354	10.132783709742135
MSM6J2JN_R1	17.672177481264786	14.398782821134763
MSM6J2JN_R2	16.96166962399903	12.12147066042498
MSM6J2JZ_R1	4.786553656765783	15.673806990284351
MSM6J2JZ_R2	1.3632039982686441	15.12519697357136
MSM6J2M3_R1	0.5656602691365175	5.036987348681017
MSM6J2M3_R2	0.9586457855208284	5.445550627612545
MSM6J2PS_R1	1.2385572257793225	11.798612295530754
MSM6J2PS_R2	0.9138085660301788	8.386152047214939
MSM79H54_R1	0.56182918250283	8.385776675280585
MSM79H54_R2	0.5878177499138013	7.179867470209364
MSM79H5E_R1	2.5152259369368686	24.88993985659866
MSM79H5E_R2	3.084725400892647	13.686995795284329
MSM79H81_R1	1.0201254957010613	12.799578694867327
MSM79H81_R2	3.3248663526012594	11.833203523690369
MSM79H8D_R1	1.323503199617772	12.925598691978106
MSM79H8D_R2	1.3490087961684663	11.319354091527723
MSM9VZFL_R1	2.3106849289597027	20.371393206281613
MSM9VZFL_R2	2.1616991353287975	16.210630541010076
MSM9VZL5_R1	1.7416023163983243	15.81267313957391
MSM9VZL5_R2	1.6342819574418868	9.757065208933676
MSM9VZL9_R1	2.193581492221619	16.07900587261514
MSM9VZL9_R2	3.6345196116758496	7.723735609054791
PSM7J14X_R1	1.6340630006637022	10.062170428051516
PSM7J14X_R2	1.1069606081749646	7.912157907660288
PSM7J15O_R1	4.354200035326736	40.342549408174385
PSM7J15O_R2	2.3779415889047324	35.38438554865825
PSM7J16U_R1	1.3297933188713784	14.089860651377032
PSM7J16U_R2	2.8459054951834535	12.271115107185281
