Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
CSM79HGX_R1	(1, 0.001319270519162992)	(2, 0.00015674501217778124)	(3, 0.0)	(4, 6.531042174074218e-05)	(5, 0.0)	(6, 0.0001044966747851875)	(7, 3.918625304444531e-05)	(8, 1.3062084348148437e-05)	(9, 0.0009404700730666875)	(10, 6.531042174074218e-06)	(12, 5.8779379566667967e-05)	(14, 0.00012408980130741015)	(16, 8.490354826296484e-05)	(18, 0.2884891949132064)	(20, 6.531042174074218e-05)	(22, 3.918625304444531e-05)	(24, 9.796563261111328e-05)	(26, 0.0001436829278296328)	(28, 7.837250608889062e-05)	(30, 0.0003200210665296367)	(32, 0.00011102771695926171)	(34, 9.143459043703906e-05)	(36, 8.490354826296484e-05)	(38, 2.6124168696296874e-05)	(40, 9.796563261111328e-05)	(42, 0.00016327605435185547)	(44, 0.0006008558800148281)	(46, 8.490354826296484e-05)	(48, 0.0)	(50, 0.0)	(52, 1.974310014845495e-05)	(54, 1.9877776850884405e-05)	(56, 0.0)	(58, 1.3504561266852088e-05)	(60, 0.0)	(62, 6.872800274362187e-05)	(64, 0.00011108286212214644)	(66, 5.6117053439428235e-05)	(68, 2.1285973650235124e-05)	(70, 2.8868683216361038e-05)	(72, 0.00012436884639408625)	(74, 0.0004010949595287758)	(76, 0.00011260951838710737)	(78, 8.275967710785324e-05)	(80, 0.00010558633145721507)	(82, 0.00015879703832937046)	(84, 0.0003185223958405222)	(86, 0.0001522226292486192)	(88, 9.185994573373705e-05)	(90, 0.0)	(92, 0.0)				
CSM79HGX_R2	(1, 0.1365118435224993)	(2, 0.0004832971208814922)	(3, 6.531042174074218e-05)	(4, 0.0002873658556592656)	(5, 0.0003526762774000078)	(6, 0.00027430377131111713)	(7, 0.00016980709652592967)	(8, 0.0017503193026518903)	(9, 0.00023511751826667187)	(10, 4.571729521851953e-05)	(12, 0.00015674501217778124)	(14, 6.531042174074218e-05)	(16, 9.143459043703906e-05)	(18, 6.531042174074218e-05)	(20, 9.796563261111328e-05)	(22, 0.00018940022304815232)	(24, 0.00013715188565555856)	(26, 0.0006008558800148281)	(28, 0.00023511751826667187)	(30, 0.00012408980130741015)	(32, 0.00011102771695926171)	(34, 0.00013062084348148436)	(36, 0.0001044966747851875)	(38, 0.00022205543391852343)	(40, 0.00019593126522222655)	(42, 0.0002873658556592656)	(44, 0.0004310487834888984)	(46, 0.000359207319574082)	(48, 0.0005355454582740859)	(50, 0.0003406782025110473)	(52, 0.00023228031375893858)	(54, 0.00020838621413606033)	(56, 0.000483783739401644)	(58, 0.000421909001283295)	(60, 0.0007738466835252685)	(62, 0.0005359719350802207)	(64, 0.00028275648714070625)	(66, 0.00010312128993537683)	(68, 2.247544557570854e-05)	(70, 3.046847179666865e-05)	(72, 7.748891288634422e-06)	(74, 9.49674906494613e-05)	(76, 6.481473154588887e-05)	(78, 1.65603903615216e-05)	(80, 5.920160378836137e-05)	(82, 5.152497613105481e-05)	(84, 0.00014746289226430485)	(86, 0.00013142573263274655)	(88, 0.00028341134082879576)	(90, 8.98360644545015e-05)	(92, 0.00010959407541734565)	(94, 2.8393805039616455e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
HSM5MD5B_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.000684202996809126)	(20, 6.220027243719328e-05)	(22, 0.0)	(24, 3.110013621859664e-05)	(26, 0.00015550068109298319)	(28, 0.00021770095353017645)	(30, 0.0005598024519347395)	(32, 0.0004354019070603529)	(34, 0.00024880108974877313)	(36, 9.330040865578992e-05)	(38, 0.00015550068109298319)	(40, 0.00037320163462315967)	(42, 0.0005287023157161428)	(44, 0.0006220027243719327)	(46, 0.0009330040865578991)	(48, 0.0009019039503393025)	(50, 0.0008730985550530735)	(52, 0.0010081559818935185)	(54, 0.0005089155645463972)	(56, 0.0008716197697567954)	(58, 0.0006223708924340009)	(60, 0.0008287563880542391)	(62, 0.0008424020724438825)	(64, 0.00024125651909579813)	(66, 0.00035070626982148)	(68, 0.00032091281868425745)	(70, 0.00010894971026640383)	(72, 7.36516409953872e-05)	(74, 0.00026142990205341984)	(76, 0.0001129719260997911)	(78, 0.0005282293300090101)	(80, 0.0001512310205069264)	(82, 3.78898247254598e-05)	(84, 0.0)	(86, 0.00015232483881175965)	(88, 0.00019116211656224758)	(90, 0.0)	(92, 0.0)				
HSM5MD5B_R2	(1, 0.038875170273245795)	(2, 0.00012440054487438656)	(3, 0.00012440054487438656)	(4, 0.00012440054487438656)	(5, 0.00024880108974877313)	(6, 0.00018660081731157983)	(7, 0.00037320163462315967)	(8, 0.0)	(9, 0.00018660081731157983)	(10, 0.0005598024519347395)	(12, 9.330040865578992e-05)	(14, 9.330040865578992e-05)	(16, 9.330040865578992e-05)	(18, 0.00015550068109298319)	(20, 0.00021770095353017645)	(22, 0.00018660081731157983)	(24, 0.00015550068109298319)	(26, 0.0004043017708417563)	(28, 0.00012440054487438656)	(30, 0.00018660081731157983)	(32, 9.330040865578992e-05)	(34, 6.220027243719328e-05)	(36, 0.00027990122596736975)	(38, 0.00031100136218596637)	(40, 0.00024880108974877313)	(42, 0.00012440054487438656)	(44, 9.330040865578992e-05)	(46, 0.000342101498404563)	(48, 0.00012440054487438656)	(50, 0.0003116310363321276)	(52, 0.0003141549091573957)	(54, 0.0005388221348132981)	(56, 0.00012841895399551498)	(58, 0.0001632344448184327)	(60, 0.00019920047569073595)	(62, 0.0002700013635068857)	(64, 0.00034351830763644633)	(66, 0.0001752259275496862)	(68, 7.166622173887337e-05)	(70, 0.0)	(72, 0.00022535719114796953)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0002445082429841416)	(82, 8.242385478235569e-05)	(84, 0.00012456552582637808)	(86, 0.0004185948190519246)	(88, 0.0003800041800459805)	(90, 0.00012820611440600825)	(92, 8.68584849448188e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
HSM5MD6I_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.2991655868252294e-05)	(12, 0.0)	(14, 1.5327770578834863e-05)	(16, 0.0)	(18, 0.0004904886585227156)	(20, 5.3647197025922016e-05)	(22, 0.0)	(24, 1.5327770578834863e-05)	(26, 0.00010729439405184403)	(28, 0.00018393324694601835)	(30, 0.0003525387233132019)	(32, 0.0003985220350497064)	(34, 0.0002452443292613578)	(36, 0.0001456138204989312)	(38, 0.00011495827934126146)	(40, 0.00032954706744494955)	(42, 0.0006284385937322294)	(44, 0.0004904886585227156)	(46, 0.0009733134317560138)	(48, 0.0006974135613369863)	(50, 0.000774580566540497)	(52, 0.0007304880490617303)	(54, 0.000377954048346802)	(56, 0.0006967240653756318)	(58, 0.0002718790594942071)	(60, 0.0007719684079336831)	(62, 0.0007377470226217568)	(64, 0.0004339064606541905)	(66, 0.00027723982250631293)	(68, 0.0003660341914129652)	(70, 0.00020791380725206557)	(72, 0.00012057523066443545)	(74, 0.0002345244777645321)	(76, 0.00012997064612957164)	(78, 0.0005041205758845791)	(80, 6.511280916273962e-05)	(82, 4.888743602671601e-05)	(84, 2.4472952533648066e-05)	(86, 0.00011437525377009431)	(88, 0.00012280989028983134)	(90, 0.0)	(92, 0.0)				
HSM5MD6I_R2	(1, 0.03874860402329453)	(2, 0.0001226221646306789)	(3, 4.598331173650459e-05)	(4, 7.663885289417432e-05)	(5, 9.196662347300918e-05)	(6, 0.00018393324694601835)	(7, 0.00015327770578834864)	(8, 7.663885289417432e-05)	(9, 0.0001686054763671835)	(10, 0.00034487483802378443)	(12, 0.00016094159107776605)	(14, 0.00010729439405184403)	(16, 0.00011495827934126146)	(18, 0.00023758044397194036)	(20, 0.00015327770578834864)	(22, 0.00011495827934126146)	(24, 0.00013794993520951376)	(26, 0.0003065554115766973)	(28, 0.00011495827934126146)	(30, 8.430273818359175e-05)	(32, 0.00017626936165660094)	(34, 0.0001226221646306789)	(36, 0.00016094159107776605)	(38, 0.00017626936165660094)	(40, 0.0001686054763671835)	(42, 8.430273818359175e-05)	(44, 0.0001992610175248532)	(46, 0.00010729439405184403)	(48, 0.00013794993520951376)	(50, 0.0001841769584495247)	(52, 0.00034721407769447383)	(54, 0.00040333861991330856)	(56, 0.0001794484410299654)	(58, 0.00011785687178633774)	(60, 0.0001819507253702994)	(62, 0.0002309436820736895)	(64, 0.00016045100853085922)	(66, 0.00019446451885467205)	(68, 0.00011460113402733598)	(70, 0.00010739288489093634)	(72, 4.165337229867467e-05)	(74, 7.569552199589916e-05)	(76, 1.6987092782226745e-05)	(78, 5.147619573411619e-05)	(80, 6.93023745765625e-05)	(82, 0.00010472202063233252)	(84, 0.0002546034722119186)	(86, 0.00039756755799251703)	(88, 0.00032919373692010965)	(90, 0.0001614700520597389)	(92, 0.00016372721735770468)	(94, 9.610780681792626e-06)	(96, 0.0)	(98, 0.0)	(100, 0.0)
HSM67VEO_R1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.7869862369894e-05)	(12, 0.0)	(14, 1.1913241579929332e-05)	(16, 0.0)	(18, 0.0006016186997864313)	(20, 6.552282868961133e-05)	(22, 0.0)	(24, 5.956620789964666e-06)	(26, 0.00011317579500932866)	(28, 0.00027996117712833935)	(30, 0.0003990935929276326)	(32, 0.0005599223542566787)	(34, 0.00023826483159858667)	(36, 0.00016678538211901066)	(38, 0.00011913241579929334)	(40, 0.000375267109767774)	(42, 0.000643315045316184)	(44, 0.0004884429047771026)	(46, 0.000929232843234488)	(48, 0.0007922305650653006)	(50, 0.0007569521435186032)	(52, 0.0006155064479678636)	(54, 0.00032360603554021264)	(56, 0.0007875777702987949)	(58, 0.0004162341199896798)	(60, 0.0008292731735394548)	(62, 0.0007290047984918349)	(64, 0.0004695682569906822)	(66, 0.0002754606942380785)	(68, 0.00041801085844677)	(70, 0.00011118963707640687)	(72, 6.206279476336481e-05)	(74, 0.000261968041146447)	(76, 0.00012525501137472072)	(78, 0.0004890015096981224)	(80, 4.393395421215845e-05)	(82, 3.1418353282416745e-05)	(84, 1.2584112997784254e-05)	(86, 9.453495325908305e-05)	(88, 0.0001011003062265088)	(90, 6.383174564632387e-06)	(92, 0.0)				
HSM67VEO_R2	(1, 0.0367166105493422)	(2, 0.00020252510685879864)	(3, 7.1479449479576e-05)	(4, 0.000107219174219364)	(5, 0.00016678538211901066)	(6, 0.00019061186527886932)	(7, 0.00015487214053908134)	(8, 3.5739724739788e-05)	(9, 8.339269105950533e-05)	(10, 0.00032761414344805665)	(12, 0.00011317579500932866)	(14, 0.00014891551974911666)	(16, 8.339269105950533e-05)	(18, 0.00019061186527886932)	(20, 0.00013104565737922266)	(22, 0.00012508903658925799)	(24, 0.00011913241579929334)	(26, 0.00038122373055773863)	(28, 4.765296631971733e-05)	(30, 7.1479449479576e-05)	(32, 0.00012508903658925799)	(34, 0.00010126255342939932)	(36, 0.00015487214053908134)	(38, 0.00022039496922869264)	(40, 0.000214438348438728)	(42, 8.339269105950533e-05)	(44, 0.000142958898959152)	(46, 0.00011317579500932866)	(48, 0.00012508903658925799)	(50, 0.00019083994504286682)	(52, 0.0003115962024812046)	(54, 0.00026491772799331443)	(56, 0.00018165409862509646)	(58, 0.0001036182644623364)	(60, 0.00023317555529838062)	(62, 9.88566975783322e-05)	(64, 0.00023645757677279711)	(66, 0.00020685179651725512)	(68, 0.0002589032240587021)	(70, 9.542044825854819e-05)	(72, 0.00010900172819034112)	(74, 4.5276593740950745e-05)	(76, 3.263383789597899e-05)	(78, 3.293698068674263e-05)	(80, 5.318465386064411e-05)	(82, 0.00025450630197788903)	(84, 0.00030310909098257193)	(86, 0.00032525832117510955)	(88, 0.0004024470417209345)	(90, 0.0001309082961892526)	(92, 0.00018114181348733176)	(94, 2.1653468997609674e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
HSM67VF3_R1	(1, 0.0009429708381982056)	(2, 0.0003428984866175293)	(3, 2.857487388479411e-05)	(4, 2.857487388479411e-05)	(5, 0.0)	(6, 2.857487388479411e-05)	(7, 5.714974776958822e-05)	(8, 0.0)	(9, 0.001057270333737382)	(10, 2.857487388479411e-05)	(12, 2.857487388479411e-05)	(14, 0.00011429949553917644)	(16, 8.572462165438233e-05)	(18, 0.28391994691931427)	(20, 7.143718471198528e-05)	(22, 2.857487388479411e-05)	(24, 5.714974776958822e-05)	(26, 0.0001285869324815735)	(28, 5.714974776958822e-05)	(30, 0.00020002411719355877)	(32, 0.00010001205859677938)	(34, 0.00011429949553917644)	(36, 4.2862310827191165e-05)	(38, 5.714974776958822e-05)	(40, 7.143718471198528e-05)	(42, 0.0001571618063663676)	(44, 0.0004143356713295146)	(46, 7.143718471198528e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 2.9042160504404246e-05)	(60, 0.0)	(62, 7.329217147260536e-05)	(64, 0.00014732559117708286)	(66, 4.441911567759362e-05)	(68, 0.0)	(70, 0.0)	(72, 6.023987518297862e-05)	(74, 0.000273033649577086)	(76, 7.633051724611707e-05)	(78, 4.592067509515146e-05)	(80, 0.00010746161240929857)	(82, 6.16003841399955e-05)	(84, 0.00023188369950345972)	(86, 0.0001398506860841575)	(88, 9.407299374445949e-05)	(90, 0.0)	(92, 0.0)				
HSM67VF3_R2	(1, 0.11527104125125943)	(2, 0.0004857728560414998)	(3, 8.572462165438233e-05)	(4, 0.00014287436942397056)	(5, 0.000514347729926294)	(6, 0.00014287436942397056)	(7, 0.000257173864963147)	(8, 0.0014001688203549114)	(9, 0.00017144924330876466)	(10, 5.714974776958822e-05)	(12, 7.143718471198528e-05)	(14, 5.714974776958822e-05)	(16, 0.00011429949553917644)	(18, 8.572462165438233e-05)	(20, 0.00011429949553917644)	(22, 0.0001571618063663676)	(24, 2.857487388479411e-05)	(26, 0.0005000602929838969)	(28, 0.00027146130190554404)	(30, 8.572462165438233e-05)	(32, 7.143718471198528e-05)	(34, 0.00020002411719355877)	(36, 0.0001285869324815735)	(38, 0.0002428864280207499)	(40, 0.0001285869324815735)	(42, 0.0003143236127327352)	(44, 0.0003428984866175293)	(46, 0.000257173864963147)	(48, 0.0004714854190991028)	(50, 0.00024361827595645254)	(52, 0.0002756223225648659)	(54, 0.00011749459231138887)	(56, 0.0006096209183835054)	(58, 0.00031612380431816087)	(60, 0.0007163464623382371)	(62, 0.0004626785013658269)	(64, 0.00023406917399485238)	(66, 3.1594907785522394e-05)	(68, 1.5998269627157127e-05)	(70, 1.619052229491587e-05)	(72, 0.0)	(74, 1.6586594879884027e-05)	(76, 8.402423662300543e-05)	(78, 1.7041561129698718e-05)	(80, 1.7299730106910603e-05)	(82, 3.506512382459513e-05)	(84, 5.3165312044052066e-05)	(86, 0.00010745953655925668)	(88, 0.00036287867296720813)	(90, 0.00011089017270959583)	(92, 0.00011279132589587329)	(94, 1.9869126040595803e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
