Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
CSM79HGX_R1	(1, 36.110641340504245)	(2, 36.48535087240355)	(3, 36.657846276509176)	(4, 36.705126972603324)	(5, 36.72446120861377)	(6, 36.71209468025715)	(7, 36.723379537408896)	(8, 36.71969811955621)	(9, 36.714575300695714)	(10, 36.710419663870766)	(12, 36.6887635117466)	(14, 36.707488205590934)	(16, 36.70678990656169)	(18, 36.57805503212881)	(20, 36.64125279234708)	(22, 36.67939584202506)	(24, 36.68534516427269)	(26, 36.683350779924)	(28, 36.63914372289781)	(30, 36.61605139459956)	(32, 36.62349214563806)	(34, 36.591035347828935)	(36, 36.56321820238028)	(38, 36.509590704811785)	(40, 36.41677701950927)	(42, 36.44595725877008)	(44, 36.46429165753409)	(46, 36.44583081779359)	(48, 36.40381851749)	(50, 36.38090316679564)	(52, 36.37762364527265)	(54, 36.38266216989605)	(56, 36.36811502035052)	(58, 36.302924976277325)	(60, 36.29704704621922)	(62, 36.297547481200056)	(64, 36.28911080303681)	(66, 36.24169191237382)	(68, 36.21254843072548)	(70, 36.138625142443296)	(72, 36.09543524638211)	(74, 36.04587600506977)	(76, 36.023938391327945)	(78, 36.0195672939848)	(80, 36.011630847820776)	(82, 35.91929969353298)	(84, 35.91961797061985)	(86, 35.9085143847637)	(88, 35.8890648355497)	(90, 35.95314118462757)	(92, 35.295142067963454)				
CSM79HGX_R2	(1, 30.673213296261395)	(2, 32.524799673343395)	(3, 34.035868091757486)	(4, 34.017246653689924)	(5, 33.9195357317236)	(6, 33.85755901515019)	(7, 33.64106842102651)	(8, 33.73935668712102)	(9, 33.274761336125835)	(10, 33.237550070234825)	(12, 33.14526004389383)	(14, 33.37847729012953)	(16, 33.095175506083926)	(18, 33.262609156573376)	(20, 33.222824268203254)	(22, 32.96229113400575)	(24, 32.88932149786578)	(26, 32.96189176077681)	(28, 33.22079200380995)	(30, 33.2944591552541)	(32, 33.179982329612294)	(34, 33.39892794248921)	(36, 33.20092731655413)	(38, 33.29227935461809)	(40, 33.37682983474112)	(42, 33.54581513023029)	(44, 33.348165090639114)	(46, 33.43613489789238)	(48, 33.39331712415746)	(50, 33.3714857736033)	(52, 33.15982797124239)	(54, 33.503030430464435)	(56, 33.51124896554789)	(58, 33.787411800768155)	(60, 34.0513506904428)	(62, 34.1544485712884)	(64, 34.2724901538806)	(66, 34.29487340393452)	(68, 34.294928304163555)	(70, 34.374229528122584)	(72, 34.376701590149494)	(74, 34.30902206595753)	(76, 34.28220016046798)	(78, 34.1401242628954)	(80, 34.16127789936223)	(82, 34.158377093006656)	(84, 34.198405183981734)	(86, 34.32067847973407)	(88, 34.333973621631046)	(90, 34.40314269438417)	(92, 34.38083543100936)	(94, 34.558739306233264)	(96, 34.79253586796932)	(98, 34.32956750510881)	(100, 34.3965151211374)
HSM5MD5B_R1	(1, 36.49689185238631)	(2, 36.62459523172711)	(3, 36.6262690410584)	(4, 36.645349596631235)	(5, 36.6503791106605)	(6, 36.63332006394188)	(7, 36.62910350747336)	(8, 36.61880749637683)	(9, 36.61081476136866)	(10, 36.59096509942714)	(12, 36.60232660119051)	(14, 36.64726318801276)	(16, 36.6280709829509)	(18, 36.61175180847292)	(20, 36.59836133382264)	(22, 36.57399033407766)	(24, 36.591755975891175)	(26, 36.598720540395966)	(28, 36.56155618861611)	(30, 36.51718997829211)	(32, 36.553948162292954)	(34, 36.53072320256763)	(36, 36.497038645029264)	(38, 36.45793862077116)	(40, 36.45108166273768)	(42, 36.432368399773594)	(44, 36.43986291059955)	(46, 36.40400414253814)	(48, 36.403294748430994)	(50, 36.404947152529516)	(52, 36.40642984819142)	(54, 36.42016451293108)	(56, 36.38114782594111)	(58, 36.38504471748414)	(60, 36.38693124591312)	(62, 36.38740823962572)	(64, 36.36646118317663)	(66, 36.38222182688851)	(68, 36.35933765365732)	(70, 36.326560486804894)	(72, 36.3000239621757)	(74, 36.22561644504148)	(76, 36.27849890236144)	(78, 36.22565722498109)	(80, 36.22574263551281)	(82, 36.186808316860045)	(84, 36.16153642887487)	(86, 36.19685146880211)	(88, 36.193169242005084)	(90, 36.24030077431174)	(92, 35.23720978769942)				
HSM5MD5B_R2	(1, 32.00317967792699)	(2, 33.96188927107501)	(3, 35.61135465973341)	(4, 35.74638087714824)	(5, 35.843539568703314)	(6, 35.845429834982674)	(7, 35.752656884637155)	(8, 35.85107699771725)	(9, 35.80303972731401)	(10, 35.83517301005779)	(12, 35.76835125737851)	(14, 35.79109198798291)	(16, 35.68293628826095)	(18, 35.72717343301964)	(20, 35.71440620509918)	(22, 35.69728433610539)	(24, 35.67652841619446)	(26, 35.61780793799876)	(28, 35.68240571993705)	(30, 35.604768894887755)	(32, 35.634931361999364)	(34, 35.633882976407435)	(36, 35.555461805922704)	(38, 35.63956030627414)	(40, 35.618257334967126)	(42, 35.53882914207164)	(44, 35.493144907974695)	(46, 35.37173775121135)	(48, 35.352221482730094)	(50, 35.35280586614108)	(52, 35.40951459066366)	(54, 35.475647720285366)	(56, 35.42291417463072)	(58, 35.45022169263333)	(60, 35.51429073752759)	(62, 35.48989495801976)	(64, 35.45701345702426)	(66, 35.38176792841729)	(68, 35.45864910778188)	(70, 35.434524245262544)	(72, 35.44740926851196)	(74, 35.2940038744525)	(76, 35.26316222753641)	(78, 35.27422006366356)	(80, 35.34045930147356)	(82, 35.09690009942166)	(84, 35.14109151128751)	(86, 35.12916113100445)	(88, 34.99718393842686)	(90, 35.16892835464762)	(92, 34.915072207494134)	(94, 35.05046652321195)	(96, 35.14154991420316)	(98, 34.04443077742339)	(100, 34.0774349688853)
HSM5MD6I_R1	(1, 36.570016183060176)	(2, 36.713519216272694)	(3, 36.75299696234243)	(4, 36.78566166766757)	(5, 36.787821503819835)	(6, 36.78236650354853)	(7, 36.76981520533235)	(8, 36.78058143138692)	(9, 36.780333734614366)	(10, 36.767594134736626)	(12, 36.753262362689995)	(14, 36.7742109800178)	(16, 36.7689414457705)	(18, 36.77485620252031)	(20, 36.7793389623038)	(22, 36.76038096254108)	(24, 36.75563226593805)	(26, 36.759981290923236)	(28, 36.74593875390743)	(30, 36.73137070427734)	(32, 36.756663058509474)	(34, 36.74151485276297)	(36, 36.733114851291504)	(38, 36.7153490455244)	(40, 36.684083612375396)	(42, 36.66468348307032)	(44, 36.677149099048975)	(46, 36.66001111876478)	(48, 36.6421427702125)	(50, 36.657662910857695)	(52, 36.64854111014518)	(54, 36.65221045177336)	(56, 36.64666178785622)	(58, 36.64769207073976)	(60, 36.63782117575178)	(62, 36.62103607264018)	(64, 36.61366819401658)	(66, 36.6126820635928)	(68, 36.58629850243855)	(70, 36.55922960762121)	(72, 36.55233772337328)	(74, 36.53188156326429)	(76, 36.51621469684569)	(78, 36.49979782031649)	(80, 36.49495429231699)	(82, 36.44286511343455)	(84, 36.4574504137965)	(86, 36.43954699845399)	(88, 36.42317638780516)	(90, 36.44570209787621)	(92, 35.696345554378404)				
HSM5MD6I_R2	(1, 32.08973444024361)	(2, 33.89195163291338)	(3, 35.619948541608615)	(4, 35.72845214348142)	(5, 35.87137118863489)	(6, 35.942373867009515)	(7, 35.82826459288062)	(8, 35.86874339564685)	(9, 35.77065945893583)	(10, 35.837462864643825)	(12, 35.80944209060981)	(14, 35.79135110618988)	(16, 35.774648741145526)	(18, 35.802519992777555)	(20, 35.76136615499503)	(22, 35.71574166636778)	(24, 35.618094494479394)	(26, 35.576430165297744)	(28, 35.685266456430966)	(30, 35.73007857321754)	(32, 35.6774026970132)	(34, 35.736483512070464)	(36, 35.64856594911241)	(38, 35.68053599987492)	(40, 35.725080493787196)	(42, 35.65876106243522)	(44, 35.65620944846696)	(46, 35.574763423525)	(48, 35.58782161111423)	(50, 35.49878696640817)	(52, 35.54948221939906)	(54, 35.636837430251276)	(56, 35.51152891318447)	(58, 35.66971765625638)	(60, 35.67044872581427)	(62, 35.57167045065558)	(64, 35.63729358319681)	(66, 35.48264919457523)	(68, 35.49712344720799)	(70, 35.478832239435334)	(72, 35.51242312236692)	(74, 35.46545353190983)	(76, 35.489366463577284)	(78, 35.47900728865524)	(80, 35.472958976650936)	(82, 35.32568861514024)	(84, 35.38609580129362)	(86, 35.32532244935446)	(88, 35.25456316272408)	(90, 35.379843901526314)	(92, 35.22495229464386)	(94, 35.255496916887594)	(96, 35.32886756753799)	(98, 34.250006853533435)	(100, 34.10561074696332)
HSM67VEO_R1	(1, 36.7564537901442)	(2, 36.77891156097894)	(3, 36.779261691148974)	(4, 36.78930824690575)	(5, 36.7820043576255)	(6, 36.77245363098329)	(7, 36.76879376403752)	(8, 36.77190121397123)	(9, 36.768808655589496)	(10, 36.76910714185728)	(12, 36.759962597186735)	(14, 36.767926658749126)	(16, 36.75962056802098)	(18, 36.75785758696577)	(20, 36.762703953206696)	(22, 36.751682298626605)	(24, 36.74462310732842)	(26, 36.74688376405062)	(28, 36.7342722873817)	(30, 36.72079436065266)	(32, 36.71808403862701)	(34, 36.70346708687052)	(36, 36.69073707344788)	(38, 36.65913880844472)	(40, 36.63388625070154)	(42, 36.615876705574124)	(44, 36.62645757021575)	(46, 36.611846634646255)	(48, 36.60906042527175)	(50, 36.60009372088872)	(52, 36.60192337154084)	(54, 36.59528901493029)	(56, 36.5896924050333)	(58, 36.58279596714563)	(60, 36.57373520243831)	(62, 36.56466588333319)	(64, 36.55517540904383)	(66, 36.539615749549526)	(68, 36.51566228414099)	(70, 36.504518830722134)	(72, 36.49836932520735)	(74, 36.483821822105696)	(76, 36.46519065089593)	(78, 36.453636960113386)	(80, 36.43748431453326)	(82, 36.40837493375727)	(84, 36.39711281356883)	(86, 36.3763821385149)	(88, 36.3523043013512)	(90, 36.418622785576744)	(92, 35.67780094061987)				
HSM67VEO_R2	(1, 31.810639978146348)	(2, 33.69631681884046)	(3, 35.66541780155184)	(4, 35.82992846932358)	(5, 35.92654009324018)	(6, 35.957305086561014)	(7, 35.90456337910043)	(8, 35.86192517269137)	(9, 35.80383334756966)	(10, 35.86766729556669)	(12, 35.827075367097606)	(14, 35.823029094161186)	(16, 35.760457949771634)	(18, 35.78610269142763)	(20, 35.76514902690856)	(22, 35.73295301500913)	(24, 35.71286848102953)	(26, 35.699052039541)	(28, 35.74990293686423)	(30, 35.73098482836772)	(32, 35.69417845154307)	(34, 35.72572787225574)	(36, 35.652615236487975)	(38, 35.69383606498006)	(40, 35.66788866742173)	(42, 35.647094580773626)	(44, 35.6283038248296)	(46, 35.627300312925115)	(48, 35.59110460886386)	(50, 35.563275573488795)	(52, 35.570777301371436)	(54, 35.596891433347906)	(56, 35.54638002846447)	(58, 35.61834052293809)	(60, 35.62916400906786)	(62, 35.62045305392783)	(64, 35.579572655903775)	(66, 35.596821914187345)	(68, 35.58549321028895)	(70, 35.572494550449)	(72, 35.539823111388245)	(74, 35.51310612719175)	(76, 35.50398083073272)	(78, 35.442162445339065)	(80, 35.4529562014949)	(82, 35.423388680945195)	(84, 35.377325709587055)	(86, 35.37819358487068)	(88, 35.36166121647864)	(90, 35.36685105583292)	(92, 35.34707261603181)	(94, 35.384311520223335)	(96, 35.358273678131795)	(98, 34.46189592285698)	(100, 34.237567297593415)
HSM67VF3_R1	(1, 36.63535031938137)	(2, 36.73190881872043)	(3, 36.747407544566805)	(4, 36.753821175010245)	(5, 36.75252644747452)	(6, 36.728288953696705)	(7, 36.72632443111712)	(8, 36.73411851371794)	(9, 36.733929062304085)	(10, 36.73134746532296)	(12, 36.713022827323755)	(14, 36.72381455706945)	(16, 36.717721108087886)	(18, 36.602328480748255)	(20, 36.6512062311513)	(22, 36.70068719714206)	(24, 36.695197963868786)	(26, 36.684953585832346)	(28, 36.630875208382264)	(30, 36.530711702953894)	(32, 36.57152719556473)	(34, 36.55613891160591)	(36, 36.54226923931971)	(38, 36.49862783455605)	(40, 36.454562378663944)	(42, 36.43302392459891)	(44, 36.43651477406705)	(46, 36.40004023342243)	(48, 36.34492501667344)	(50, 36.3033284724928)	(52, 36.31630523677169)	(54, 36.32430107750076)	(56, 36.30284392103445)	(58, 36.23532295222756)	(60, 36.209201480512604)	(62, 36.201547535500296)	(64, 36.17424276452017)	(66, 36.15230425555827)	(68, 36.130754559944734)	(70, 36.04937106167849)	(72, 36.013406999906394)	(74, 35.97444760884902)	(76, 35.94246210148998)	(78, 35.91655577570123)	(80, 35.918185890901924)	(82, 35.812867456354184)	(84, 35.8098596132144)	(86, 35.74680008076777)	(88, 35.79127561672143)	(90, 35.88738929205056)	(92, 35.20911447479298)				
HSM67VF3_R2	(1, 30.12046481032856)	(2, 31.926473992007036)	(3, 33.60373965089505)	(4, 33.32830501277583)	(5, 33.41149761485528)	(6, 33.54424762071313)	(7, 33.173994121576946)	(8, 33.05317298257104)	(9, 32.192708663730315)	(10, 32.548919755467665)	(12, 32.615936121440924)	(14, 32.582355072525885)	(16, 32.60192657514706)	(18, 32.88027013542776)	(20, 32.958919761182635)	(22, 32.529756444919926)	(24, 32.222060488436036)	(26, 32.38823823901053)	(28, 32.78935888841454)	(30, 33.030386520889095)	(32, 32.63774217919989)	(34, 33.05879766074652)	(36, 32.69542427686996)	(38, 32.825690411815366)	(40, 32.965272527144705)	(42, 33.18275017730709)	(44, 33.169440572549036)	(46, 33.294609092867766)	(48, 33.40757785653013)	(50, 33.1141942779419)	(52, 33.18039185576217)	(54, 33.456865611759)	(56, 33.109653223235426)	(58, 33.73496249556253)	(60, 33.88068325760697)	(62, 33.75875513942108)	(64, 34.02923163413128)	(66, 33.95007127384598)	(68, 34.030047980544026)	(70, 34.263598479055176)	(72, 34.11232571312644)	(74, 34.08074666579769)	(76, 34.151751438384586)	(78, 34.132832853266564)	(80, 33.933541131917906)	(82, 34.127726189287515)	(84, 34.276652533870404)	(86, 34.38944664535813)	(88, 34.32837255777655)	(90, 34.46786017754184)	(92, 34.36274511406654)	(94, 34.574967565237955)	(96, 34.87484593729421)	(98, 34.45947598051814)	(100, 34.407422834696376)
