Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CSM79HGX_R1	(25.0, 4.0)	(26.0, 40.0)	(27.0, 345.0)	(28.0, 1350.0)	(29.0, 4496.0)	(30.0, 12342.0)	(31.0, 30457.0)	(32.0, 68302.0)	(33.0, 146096.0)	(34.0, 327838.0)	(35.0, 871886.0)	(36.0, 5138948.0)	(37.0, 1053642.0)			
CSM79HGX_R2	(23.0, 6.0)	(24.0, 224.0)	(25.0, 1909.0)	(26.0, 10512.0)	(27.0, 39260.0)	(28.0, 110230.0)	(29.0, 247758.0)	(30.0, 467684.0)	(31.0, 762853.0)	(32.0, 1103281.0)	(33.0, 1406336.0)	(34.0, 1548007.0)	(35.0, 1337611.0)	(36.0, 619376.0)	(37.0, 699.0)	
HSM5MD5B_R1	(24.0, 3.0)	(25.0, 6.0)	(26.0, 54.0)	(27.0, 256.0)	(28.0, 785.0)	(29.0, 2114.0)	(30.0, 4860.0)	(31.0, 10390.0)	(32.0, 19759.0)	(33.0, 34900.0)	(34.0, 63641.0)	(35.0, 136146.0)	(36.0, 976100.0)	(37.0, 358696.0)		
HSM5MD5B_R2	(23.0, 1.0)	(24.0, 9.0)	(25.0, 86.0)	(26.0, 497.0)	(27.0, 2062.0)	(28.0, 6189.0)	(29.0, 15049.0)	(30.0, 30449.0)	(31.0, 53444.0)	(32.0, 84028.0)	(33.0, 122071.0)	(34.0, 177111.0)	(35.0, 286268.0)	(36.0, 804648.0)	(37.0, 25798.0)	
HSM5MD6I_R1	(25.0, 4.0)	(26.0, 42.0)	(27.0, 188.0)	(28.0, 675.0)	(29.0, 2424.0)	(30.0, 6563.0)	(31.0, 15988.0)	(32.0, 34940.0)	(33.0, 72676.0)	(34.0, 151971.0)	(35.0, 376007.0)	(36.0, 3877642.0)	(37.0, 1984986.0)			
HSM5MD6I_R2	(23.0, 2.0)	(24.0, 21.0)	(25.0, 213.0)	(26.0, 1463.0)	(27.0, 5980.0)	(28.0, 18978.0)	(29.0, 48883.0)	(30.0, 104278.0)	(31.0, 192922.0)	(32.0, 313675.0)	(33.0, 473046.0)	(34.0, 699569.0)	(35.0, 1150623.0)	(36.0, 3413161.0)	(37.0, 101292.0)	
HSM67VEO_R1	(25.0, 6.0)	(26.0, 48.0)	(27.0, 257.0)	(28.0, 1015.0)	(29.0, 3279.0)	(30.0, 9326.0)	(31.0, 22660.0)	(32.0, 50418.0)	(33.0, 104423.0)	(34.0, 218832.0)	(35.0, 540475.0)	(36.0, 5101206.0)	(37.0, 2342076.0)			
HSM67VEO_R2	(23.0, 1.0)	(24.0, 15.0)	(25.0, 289.0)	(26.0, 1657.0)	(27.0, 7003.0)	(28.0, 22898.0)	(29.0, 59112.0)	(30.0, 126737.0)	(31.0, 235991.0)	(32.0, 391313.0)	(33.0, 599260.0)	(34.0, 904296.0)	(35.0, 1500645.0)	(36.0, 4443685.0)	(37.0, 101119.0)	
HSM67VF3_R1	(25.0, 4.0)	(26.0, 21.0)	(27.0, 114.0)	(28.0, 517.0)	(29.0, 1772.0)	(30.0, 5068.0)	(31.0, 13154.0)	(32.0, 31754.0)	(33.0, 73493.0)	(34.0, 173168.0)	(35.0, 450886.0)	(36.0, 2311787.0)	(37.0, 437840.0)			
HSM67VF3_R2	(23.0, 13.0)	(24.0, 153.0)	(25.0, 1368.0)	(26.0, 6877.0)	(27.0, 23875.0)	(28.0, 64954.0)	(29.0, 142295.0)	(30.0, 261050.0)	(31.0, 411079.0)	(32.0, 560839.0)	(33.0, 661691.0)	(34.0, 654867.0)	(35.0, 503762.0)	(36.0, 206632.0)	(37.0, 123.0)	
HSM67VFR_R1	(25.0, 11.0)	(26.0, 28.0)	(27.0, 100.0)	(28.0, 457.0)	(29.0, 1444.0)	(30.0, 4248.0)	(31.0, 10306.0)	(32.0, 23846.0)	(33.0, 52465.0)	(34.0, 117238.0)	(35.0, 290679.0)	(36.0, 1311386.0)	(37.0, 210886.0)			
HSM67VFR_R2	(23.0, 5.0)	(24.0, 79.0)	(25.0, 700.0)	(26.0, 3849.0)	(27.0, 13570.0)	(28.0, 36994.0)	(29.0, 80090.0)	(30.0, 145903.0)	(31.0, 231064.0)	(32.0, 316291.0)	(33.0, 380875.0)	(34.0, 386594.0)	(35.0, 304094.0)	(36.0, 122882.0)	(37.0, 104.0)	
HSM67VI3_R1	(25.0, 10.0)	(26.0, 98.0)	(27.0, 372.0)	(28.0, 1339.0)	(29.0, 3858.0)	(30.0, 9335.0)	(31.0, 20264.0)	(32.0, 40482.0)	(33.0, 76573.0)	(34.0, 145911.0)	(35.0, 331260.0)	(36.0, 2693600.0)	(37.0, 1121844.0)			
HSM67VI3_R2	(24.0, 16.0)	(25.0, 177.0)	(26.0, 1124.0)	(27.0, 4814.0)	(28.0, 15612.0)	(29.0, 41232.0)	(30.0, 88822.0)	(31.0, 164761.0)	(32.0, 268275.0)	(33.0, 397489.0)	(34.0, 574422.0)	(35.0, 891776.0)	(36.0, 1968268.0)	(37.0, 28158.0)		
HSM6XRQ8_R1	(25.0, 3.0)	(26.0, 15.0)	(27.0, 78.0)	(28.0, 344.0)	(29.0, 1204.0)	(30.0, 3367.0)	(31.0, 8570.0)	(32.0, 19152.0)	(33.0, 40431.0)	(34.0, 85635.0)	(35.0, 212739.0)	(36.0, 1974566.0)	(37.0, 843408.0)			
HSM6XRQ8_R2	(24.0, 14.0)	(25.0, 145.0)	(26.0, 777.0)	(27.0, 3602.0)	(28.0, 10949.0)	(29.0, 27243.0)	(30.0, 56418.0)	(31.0, 102010.0)	(32.0, 163600.0)	(33.0, 245612.0)	(34.0, 364246.0)	(35.0, 597423.0)	(36.0, 1584475.0)	(37.0, 32998.0)		
HSM6XRT8_R1	(24.0, 1.0)	(25.0, 1.0)	(26.0, 30.0)	(27.0, 136.0)	(28.0, 598.0)	(29.0, 1926.0)	(30.0, 5388.0)	(31.0, 12883.0)	(32.0, 28548.0)	(33.0, 63198.0)	(34.0, 139206.0)	(35.0, 351049.0)	(36.0, 1676819.0)	(37.0, 252297.0)		
HSM6XRT8_R2	(22.0, 1.0)	(23.0, 4.0)	(24.0, 94.0)	(25.0, 837.0)	(26.0, 4635.0)	(27.0, 16589.0)	(28.0, 44729.0)	(29.0, 97260.0)	(30.0, 179699.0)	(31.0, 283153.0)	(32.0, 390939.0)	(33.0, 473442.0)	(34.0, 488918.0)	(35.0, 389826.0)	(36.0, 161814.0)	(37.0, 140.0)
HSMA33J3_R1	(25.0, 1.0)	(26.0, 44.0)	(27.0, 209.0)	(28.0, 862.0)	(29.0, 2700.0)	(30.0, 7384.0)	(31.0, 17771.0)	(32.0, 39299.0)	(33.0, 85801.0)	(34.0, 192836.0)	(35.0, 511737.0)	(36.0, 3438195.0)	(37.0, 1311487.0)			
HSMA33J3_R2	(23.0, 9.0)	(24.0, 223.0)	(25.0, 1934.0)	(26.0, 9842.0)	(27.0, 34660.0)	(28.0, 90286.0)	(29.0, 187994.0)	(30.0, 334261.0)	(31.0, 527413.0)	(32.0, 756180.0)	(33.0, 985124.0)	(34.0, 1131866.0)	(35.0, 1038687.0)	(36.0, 509395.0)	(37.0, 452.0)	
MSM6J2HP_R1	(25.0, 3.0)	(26.0, 51.0)	(27.0, 211.0)	(28.0, 927.0)	(29.0, 2972.0)	(30.0, 8158.0)	(31.0, 19519.0)	(32.0, 40694.0)	(33.0, 81213.0)	(34.0, 160666.0)	(35.0, 377698.0)	(36.0, 3115028.0)	(37.0, 1167416.0)			
MSM6J2HP_R2	(24.0, 10.0)	(25.0, 108.0)	(26.0, 699.0)	(27.0, 3335.0)	(28.0, 11046.0)	(29.0, 29702.0)	(30.0, 66046.0)	(31.0, 126261.0)	(32.0, 213109.0)	(33.0, 332227.0)	(34.0, 510657.0)	(35.0, 877801.0)	(36.0, 2730126.0)	(37.0, 73429.0)		
MSM6J2JN_R1	(25.0, 9.0)	(26.0, 35.0)	(27.0, 215.0)	(28.0, 796.0)	(29.0, 2434.0)	(30.0, 6564.0)	(31.0, 15313.0)	(32.0, 33764.0)	(33.0, 72279.0)	(34.0, 159963.0)	(35.0, 431609.0)	(36.0, 3200485.0)	(37.0, 1690828.0)			
MSM6J2JN_R2	(23.0, 14.0)	(24.0, 239.0)	(25.0, 2447.0)	(26.0, 11840.0)	(27.0, 40657.0)	(28.0, 102042.0)	(29.0, 205546.0)	(30.0, 353254.0)	(31.0, 543865.0)	(32.0, 762714.0)	(33.0, 983224.0)	(34.0, 1113362.0)	(35.0, 1008103.0)	(36.0, 486484.0)	(37.0, 503.0)	
MSM6J2JZ_R1	(24.0, 1.0)	(25.0, 8.0)	(26.0, 58.0)	(27.0, 304.0)	(28.0, 1093.0)	(29.0, 3252.0)	(30.0, 8540.0)	(31.0, 20073.0)	(32.0, 43555.0)	(33.0, 86975.0)	(34.0, 174968.0)	(35.0, 413181.0)	(36.0, 3994733.0)	(37.0, 2163450.0)		
MSM6J2JZ_R2	(23.0, 1.0)	(24.0, 26.0)	(25.0, 268.0)	(26.0, 1695.0)	(27.0, 6842.0)	(28.0, 21167.0)	(29.0, 52670.0)	(30.0, 108235.0)	(31.0, 196141.0)	(32.0, 318630.0)	(33.0, 482993.0)	(34.0, 722537.0)	(35.0, 1216660.0)	(36.0, 3703304.0)	(37.0, 79022.0)	
MSM6J2M3_R1	(25.0, 7.0)	(26.0, 62.0)	(27.0, 267.0)	(28.0, 1029.0)	(29.0, 3410.0)	(30.0, 9701.0)	(31.0, 24192.0)	(32.0, 55442.0)	(33.0, 123388.0)	(34.0, 271743.0)	(35.0, 653258.0)	(36.0, 2763110.0)	(37.0, 414652.0)			
MSM6J2M3_R2	(23.0, 8.0)	(24.0, 199.0)	(25.0, 1532.0)	(26.0, 7528.0)	(27.0, 26305.0)	(28.0, 72705.0)	(29.0, 160063.0)	(30.0, 297745.0)	(31.0, 477532.0)	(32.0, 665370.0)	(33.0, 807422.0)	(34.0, 832640.0)	(35.0, 674091.0)	(36.0, 296945.0)	(37.0, 176.0)	
MSM6J2PS_R1	(25.0, 12.0)	(26.0, 78.0)	(27.0, 401.0)	(28.0, 1375.0)	(29.0, 3865.0)	(30.0, 9310.0)	(31.0, 20622.0)	(32.0, 41125.0)	(33.0, 77201.0)	(34.0, 144339.0)	(35.0, 319194.0)	(36.0, 2346351.0)	(37.0, 940993.0)			
MSM6J2PS_R2	(24.0, 6.0)	(25.0, 94.0)	(26.0, 632.0)	(27.0, 2649.0)	(28.0, 8938.0)	(29.0, 22982.0)	(30.0, 50152.0)	(31.0, 95220.0)	(32.0, 161096.0)	(33.0, 251611.0)	(34.0, 391936.0)	(35.0, 685025.0)	(36.0, 2168578.0)	(37.0, 65947.0)		
MSM79H54_R1	(25.0, 5.0)	(26.0, 23.0)	(27.0, 127.0)	(28.0, 580.0)	(29.0, 1982.0)	(30.0, 5700.0)	(31.0, 14476.0)	(32.0, 34079.0)	(33.0, 76440.0)	(34.0, 168615.0)	(35.0, 383937.0)	(36.0, 1579640.0)	(37.0, 254735.0)			
MSM79H54_R2	(23.0, 7.0)	(24.0, 100.0)	(25.0, 812.0)	(26.0, 4100.0)	(27.0, 14887.0)	(28.0, 41686.0)	(29.0, 94128.0)	(30.0, 177797.0)	(31.0, 284941.0)	(32.0, 396401.0)	(33.0, 476082.0)	(34.0, 483791.0)	(35.0, 383123.0)	(36.0, 162342.0)	(37.0, 142.0)	
MSM79H5E_R1	(26.0, 1.0)	(27.0, 4.0)	(28.0, 24.0)	(29.0, 77.0)	(30.0, 222.0)	(31.0, 544.0)	(32.0, 1206.0)	(33.0, 2794.0)	(34.0, 6257.0)	(35.0, 16333.0)	(36.0, 88771.0)	(37.0, 15286.0)				
MSM79H5E_R2	(24.0, 2.0)	(25.0, 29.0)	(26.0, 197.0)	(27.0, 641.0)	(28.0, 1878.0)	(29.0, 4373.0)	(30.0, 8640.0)	(31.0, 14237.0)	(32.0, 19870.0)	(33.0, 24917.0)	(34.0, 26427.0)	(35.0, 21175.0)	(36.0, 9130.0)	(37.0, 3.0)		
MSM79H81_R1	(25.0, 3.0)	(26.0, 7.0)	(27.0, 44.0)	(28.0, 279.0)	(29.0, 988.0)	(30.0, 3085.0)	(31.0, 8330.0)	(32.0, 20933.0)	(33.0, 51800.0)	(34.0, 124855.0)	(35.0, 328739.0)	(36.0, 1556634.0)	(37.0, 203824.0)			
MSM79H81_R2	(23.0, 11.0)	(24.0, 135.0)	(25.0, 1070.0)	(26.0, 5122.0)	(27.0, 17918.0)	(28.0, 48192.0)	(29.0, 103582.0)	(30.0, 186637.0)	(31.0, 285590.0)	(32.0, 374624.0)	(33.0, 426215.0)	(34.0, 412218.0)	(35.0, 312680.0)	(36.0, 125382.0)	(37.0, 145.0)	
MSM79H8D_R1	(25.0, 3.0)	(26.0, 28.0)	(27.0, 208.0)	(28.0, 895.0)	(29.0, 2832.0)	(30.0, 7852.0)	(31.0, 18757.0)	(32.0, 40482.0)	(33.0, 82572.0)	(34.0, 167646.0)	(35.0, 402174.0)	(36.0, 4012692.0)	(37.0, 2007477.0)			
