Sample	Unique Reads	Duplicate Reads
CSM79HGX_R1	1230746.0	6425000.0
CSM79HGX_R2	1541860.0	6113886.0
HSM5MD5B_R1	192642.0	1415068.0
HSM5MD5B_R2	217099.0	1390611.0
HSM5MD6I_R1	839464.0	5684642.0
HSM5MD6I_R2	913953.0	5610153.0
HSM67VEO_R1	2210919.0	6183102.0
HSM67VEO_R2	2245362.0	6148659.0
HSM67VF3_R1	770787.0	2728791.0
HSM67VF3_R2	964527.0	2535051.0
HSM67VFR_R1	505335.0	1517759.0
HSM67VFR_R2	602351.0	1420743.0
HSM67VI3_R1	551062.0	3893884.0
HSM67VI3_R2	632599.0	3812347.0
HSM6XRQ8_R1	801268.0	2388244.0
HSM6XRQ8_R2	835789.0	2353723.0
HSM6XRT8_R1	648657.0	1883423.0
HSM6XRT8_R2	776975.0	1755105.0
HSMA33J3_R1	1099006.0	4509320.0
HSMA33J3_R2	1255723.0	4352603.0
MSM6J2HP_R1	1430610.0	3543946.0
MSM6J2HP_R2	1436040.0	3538516.0
MSM6J2JN_R1	1072225.0	4542069.0
MSM6J2JN_R2	1244502.0	4369792.0
MSM6J2JZ_R1	1116128.0	5794063.0
MSM6J2JZ_R2	1210522.0	5699669.0
MSM6J2M3_R1	1549440.0	2770821.0
MSM6J2M3_R2	1790765.0	2529496.0
MSM6J2PS_R1	973365.0	2931501.0
MSM6J2PS_R2	987956.0	2916910.0
MSM79H54_R1	854473.0	1665866.0
MSM79H54_R2	972909.0	1547430.0
MSM79H5E_R1	34865.0	96654.0
MSM79H5E_R2	48621.0	82898.0
MSM79H81_R1	589892.0	1709629.0
MSM79H81_R2	701854.0	1597667.0
MSM79H8D_R1	1727490.0	5016128.0
MSM79H8D_R2	1763382.0	4980236.0
MSM9VZFL_R1	855029.0	3877637.0
MSM9VZFL_R2	912698.0	3819968.0
MSM9VZL5_R1	1219259.0	3985718.0
MSM9VZL5_R2	1266984.0	3937993.0
MSM9VZL9_R1	1766719.0	5705080.0
MSM9VZL9_R2	1820104.0	5651695.0
PSM7J14X_R1	945636.0	2344996.0
PSM7J14X_R2	1050487.0	2240145.0
PSM7J15O_R1	607367.0	5229572.0
PSM7J15O_R2	650708.0	5186231.0
PSM7J16U_R1	991900.0	2810721.0
PSM7J16U_R2	1165817.0	2636804.0
