Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CSM79HGX_R1	(1.0, 10.274266718749859)	(2.0, 5.8502821156053635)	(3.0, 3.286497874348443)	(4.0, 1.9170091881193199)	(5.0, 1.345843070773835)	(6.0, 0.9924296082230022)	(7.0, 0.7825889709484715)	(8.0, 0.6778438962672589)	(9.0, 0.6107029932751575)	('>10', 9.25273994080362)	('>50', 4.416969878620769)	('>100', 11.907762521477261)	('>500', 5.63099193320186)	('>1k', 14.665535697453953)	('>5k', 6.817163654414607)	('>10k+', 21.571371937717245)
CSM79HGX_R2	(1.0, 14.153305682989831)	(2.0, 5.857070853061364)	(3.0, 3.3173075552051907)	(4.0, 2.0608058525363924)	(5.0, 1.4462338998400295)	(6.0, 1.1130706024716719)	(7.0, 0.9105101722411179)	(8.0, 0.7579393820483026)	(9.0, 0.6634886600755779)	('>10', 10.140215184511183)	('>50', 4.692584951752845)	('>100', 13.14861468416281)	('>500', 6.314245197545325)	('>1k', 15.841929139784758)	('>5k', 4.980772103796192)	('>10k+', 14.601906077977416)
HSM5MD5B_R1	(1.0, 6.227062097546964)	(2.0, 4.768285472443265)	(3.0, 3.651855368049513)	(4.0, 2.5420341198428096)	(5.0, 1.6967029578137116)	(6.0, 1.1740466345309284)	(7.0, 0.9258478642710819)	(8.0, 0.7325353549424135)	(9.0, 0.6451572022633814)	('>10', 10.575579161924907)	('>50', 5.171897317199116)	('>100', 13.990185340247214)	('>500', 6.81788956258406)	('>1k', 16.356907548726983)	('>5k', 9.099753944918131)	('>10k+', 15.62426005269552)
HSM5MD5B_R2	(1.0, 7.636298821473746)	(2.0, 4.944204428206065)	(3.0, 3.6340847644058245)	(4.0, 2.433211684891048)	(5.0, 1.6690965849014947)	(6.0, 1.1718087821516754)	(7.0, 0.8834945465457149)	(8.0, 0.7468423437996513)	(9.0, 0.6635179186252518)	('>10', 11.415859839540829)	('>50', 5.951395974775408)	('>100', 16.831286826694676)	('>500', 8.437471510074364)	('>1k', 20.19149271392082)	('>5k', 5.7556979663668395)	('>10k+', 7.634235293626593)
HSM5MD6I_R1	(1.0, 6.511013044676231)	(2.0, 5.4866478534838645)	(3.0, 4.200189435037508)	(4.0, 2.8508967226764397)	(5.0, 1.932531216839796)	(6.0, 1.3672975050674476)	(7.0, 0.9531409853670951)	(8.0, 0.776157380342332)	(9.0, 0.6245584237581701)	('>10', 8.830519202040405)	('>50', 4.158097530068245)	('>100', 12.453947590070154)	('>500', 5.155525394463766)	('>1k', 12.25633419971579)	('>5k', 6.241956937808926)	('>10k+', 26.201186578583847)
HSM5MD6I_R2	(1.0, 7.852342631299555)	(2.0, 5.222105623480632)	(3.0, 3.9400202154545054)	(4.0, 2.7584683254500586)	(5.0, 1.9110455907515522)	(6.0, 1.3171552324763862)	(7.0, 0.9941775619568556)	(8.0, 0.8163226251423146)	(9.0, 0.6763250937731097)	('>10', 9.436721678920154)	('>50', 4.37910325675247)	('>100', 12.401150406991636)	('>500', 5.520434557577089)	('>1k', 15.613539766215922)	('>5k', 3.8728659910827177)	('>10k+', 23.288221442675056)
HSM67VEO_R1	(1.0, 14.061106660754009)	(2.0, 11.819837238908615)	(3.0, 8.371562833819922)	(4.0, 5.352374920815266)	(5.0, 3.4099709005639127)	(6.0, 2.3380338642621243)	(7.0, 1.616469673920739)	(8.0, 1.1742460740960545)	(9.0, 0.9380324949740474)	('>10', 10.673532264756107)	('>50', 3.9199486898096776)	('>100', 9.552901175201754)	('>500', 3.735571709553727)	('>1k', 9.443961117948033)	('>5k', 5.279679477771699)	('>10k+', 8.31277090284428)
HSM67VEO_R2	(1.0, 15.17544403591189)	(2.0, 10.77836940992129)	(3.0, 7.6161846961313815)	(4.0, 5.235563362627869)	(5.0, 3.350607447956868)	(6.0, 2.3637238618857834)	(7.0, 1.716237623933288)	(8.0, 1.266669886322409)	(9.0, 1.0918840262045635)	('>10', 11.64847845778077)	('>50', 4.309442223544957)	('>100', 10.356073563180725)	('>500', 4.318398779139192)	('>1k', 8.006158890478353)	('>5k', 3.293380491130795)	('>10k+', 9.473383243849852)
HSM67VF3_R1	(1.0, 12.693097756189609)	(2.0, 8.887259093158976)	(3.0, 5.847021547977517)	(4.0, 3.954612768578868)	(5.0, 2.591479305010534)	(6.0, 1.8187765784829386)	(7.0, 1.3375692219412771)	(8.0, 1.0691101762870923)	(9.0, 0.8971759710910316)	('>10', 10.911628178433434)	('>50', 4.348237141693074)	('>100', 10.80616355701457)	('>500', 4.985335493627721)	('>1k', 12.75514058098805)	('>5k', 2.977210461605172)	('>10k+', 14.120182167920106)
HSM67VF3_R2	(1.0, 18.56005742390217)	(2.0, 8.528513353367652)	(3.0, 5.465147786647581)	(4.0, 3.718016136226674)	(5.0, 2.5161859250533753)	(6.0, 1.8040327680828312)	(7.0, 1.3826723307817974)	(8.0, 1.1526181750343116)	(9.0, 0.9197194530196675)	('>10', 11.590938667518538)	('>50', 4.5019561825287955)	('>100', 10.346401392123775)	('>500', 4.764283569098449)	('>1k', 9.883823591899095)	('>5k', 4.501465712242444)	('>10k+', 10.364167532472818)
HSM67VFR_R1	(1.0, 15.862897363884937)	(2.0, 9.635162826907647)	(3.0, 5.600306189763446)	(4.0, 3.202379245862541)	(5.0, 1.95124283694726)	(6.0, 1.432313449965826)	(7.0, 1.0705431162637569)	(8.0, 0.8518646850441662)	(9.0, 0.6962627199622844)	('>10', 10.228727691678879)	('>50', 4.538204046745628)	('>100', 12.285314704012643)	('>500', 5.7512659148505945)	('>1k', 12.71375653769709)	('>5k', 5.354205021044834)	('>10k+', 8.825553649368464)
HSM67VFR_R2	(1.0, 20.92994300982284)	(2.0, 9.114305334342168)	(3.0, 5.241955046656193)	(4.0, 3.2045706352879915)	(5.0, 2.0769982298262635)	(6.0, 1.5076059960580022)	(7.0, 1.1394468809898683)	(8.0, 0.9455908521370713)	(9.0, 0.8198598375974259)	('>10', 10.897866066901232)	('>50', 4.5041658668608076)	('>100', 11.773880236497217)	('>500', 5.392650727416022)	('>1k', 9.444105449486113)	('>5k', 5.433958441834922)	('>10k+', 7.573097388285861)
HSM67VI3_R1	(1.0, 6.911195756140604)	(2.0, 5.166563186102912)	(3.0, 3.4175751729241486)	(4.0, 2.207036238526743)	(5.0, 1.3954611002488462)	(6.0, 0.9973966857036212)	(7.0, 0.7633744740461831)	(8.0, 0.6441619915764829)	(9.0, 0.5266429781339991)	('>10', 8.097736000122712)	('>50', 3.897439332387504)	('>100', 9.386013578761144)	('>500', 3.755039808568144)	('>1k', 11.529420706599618)	('>5k', 6.672499432306051)	('>10k+', 34.632443557851296)
HSM67VI3_R2	(1.0, 8.386453843331193)	(2.0, 5.434181731334273)	(3.0, 3.571714353525883)	(4.0, 2.316207085936277)	(5.0, 1.5440432450458315)	(6.0, 1.1109959778337395)	(7.0, 0.8436610083046029)	(8.0, 0.7014451686436509)	(9.0, 0.6125224164634656)	('>10', 9.02480011845813)	('>50', 4.291787981748133)	('>100', 11.428384859569489)	('>500', 5.353407911085802)	('>1k', 12.928818008009818)	('>5k', 4.019875833242339)	('>10k+', 28.431700457467368)
