Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
CSM79HGX_R1	(50, 25874.0)	(51, 21424.0)	(52, 21714.0)	(53, 25207.0)	(54, 30823.0)	(55, 30880.0)	(56, 49184.0)	(57, 30374.0)	(58, 30721.0)	(59, 29098.0)	(60, 29776.0)	(61, 37806.0)	(62, 35620.0)	(63, 36220.0)	(64, 38388.0)	(65, 35216.0)	(66, 38926.0)	(67, 40740.0)	(68, 41722.0)	(69, 72811.0)	(70, 50599.0)	(71, 43978.0)	(72, 48272.0)	(73, 55321.0)	(74, 46958.0)	(75, 44451.0)	(76, 6920.0)	(77, 7288.0)	(78, 7373.0)	(79, 8219.0)	(80, 8394.0)	(81, 8768.0)	(82, 8934.0)	(83, 9648.0)	(84, 10312.0)	(85, 11573.0)	(86, 13777.0)	(87, 17216.0)	(88, 27077.0)	(89, 47359.0)	(90, 107487.0)	(91, 392177.0)	(92, 5971121.0)
CSM79HGX_R2	(50, 97700.0)	(52, 92546.0)	(54, 100879.0)	(56, 106275.0)	(58, 114554.0)	(60, 122892.0)	(62, 98821.0)	(64, 104842.0)	(66, 116360.0)	(68, 108637.0)	(70, 111230.0)	(72, 116518.0)	(74, 161663.0)	(76, 128112.0)	(78, 133116.0)	(80, 103791.0)	(82, 58977.0)	(84, 57645.0)	(86, 58526.0)	(88, 71947.0)	(90, 90097.0)	(92, 129132.0)	(94, 629693.0)	(96, 2586702.0)	(98, 2125704.0)	(100, 29387.0)																	
HSM5MD5B_R1	(50, 8451.0)	(51, 8562.0)	(52, 7282.0)	(53, 6993.0)	(54, 8904.0)	(55, 12722.0)	(56, 11911.0)	(57, 11705.0)	(58, 9518.0)	(59, 8685.0)	(60, 9386.0)	(61, 13083.0)	(62, 13312.0)	(63, 17152.0)	(64, 18612.0)	(65, 7993.0)	(66, 15489.0)	(67, 10989.0)	(68, 9422.0)	(69, 16421.0)	(70, 8672.0)	(71, 8663.0)	(72, 12080.0)	(73, 9366.0)	(74, 7092.0)	(75, 6794.0)	(76, 1375.0)	(77, 1279.0)	(78, 1230.0)	(79, 1357.0)	(80, 1460.0)	(81, 1378.0)	(82, 1513.0)	(83, 1544.0)	(84, 1605.0)	(85, 1706.0)	(86, 2041.0)	(87, 2444.0)	(88, 3457.0)	(89, 9675.0)	(90, 16163.0)	(91, 82394.0)	(92, 1197830.0)
HSM5MD5B_R2	(50, 13131.0)	(52, 12213.0)	(54, 19163.0)	(56, 24691.0)	(58, 26813.0)	(60, 22586.0)	(62, 27542.0)	(64, 26323.0)	(66, 29962.0)	(68, 38748.0)	(70, 29203.0)	(72, 25775.0)	(74, 32896.0)	(76, 25811.0)	(78, 21386.0)	(80, 15913.0)	(82, 8752.0)	(84, 9929.0)	(86, 10073.0)	(88, 12924.0)	(90, 16257.0)	(92, 27014.0)	(94, 121473.0)	(96, 623143.0)	(98, 376206.0)	(100, 9783.0)																	
HSM5MD6I_R1	(50, 8897.0)	(51, 8397.0)	(52, 8620.0)	(53, 9676.0)	(54, 12493.0)	(55, 11364.0)	(56, 11722.0)	(57, 9906.0)	(58, 12691.0)	(59, 11554.0)	(60, 13213.0)	(61, 25852.0)	(62, 17947.0)	(63, 17147.0)	(64, 13711.0)	(65, 12275.0)	(66, 12833.0)	(67, 14814.0)	(68, 14856.0)	(69, 16353.0)	(70, 14388.0)	(71, 15682.0)	(72, 19064.0)	(73, 19573.0)	(74, 16709.0)	(75, 17724.0)	(76, 2818.0)	(77, 3008.0)	(78, 2993.0)	(79, 3005.0)	(80, 3273.0)	(81, 3317.0)	(82, 3370.0)	(83, 3594.0)	(84, 4103.0)	(85, 4396.0)	(86, 5126.0)	(87, 6194.0)	(88, 8896.0)	(89, 17350.0)	(90, 49886.0)	(91, 271870.0)	(92, 5763446.0)
HSM5MD6I_R2	(50, 35378.0)	(52, 33396.0)	(54, 36724.0)	(56, 43416.0)	(58, 43659.0)	(60, 42650.0)	(62, 43566.0)	(64, 60388.0)	(66, 61873.0)	(68, 57613.0)	(70, 50853.0)	(72, 54118.0)	(74, 58957.0)	(76, 58376.0)	(78, 58602.0)	(80, 46968.0)	(82, 32840.0)	(84, 36725.0)	(86, 37878.0)	(88, 41365.0)	(90, 64925.0)	(92, 154888.0)	(94, 936213.0)	(96, 2598729.0)	(98, 1787215.0)	(100, 46791.0)																	
HSM67VEO_R1	(50, 10231.0)	(51, 10484.0)	(52, 12425.0)	(53, 11517.0)	(54, 11771.0)	(55, 13168.0)	(56, 15572.0)	(57, 13311.0)	(58, 13875.0)	(59, 14409.0)	(60, 14025.0)	(61, 14971.0)	(62, 15727.0)	(63, 15393.0)	(64, 16242.0)	(65, 14700.0)	(66, 16131.0)	(67, 17005.0)	(68, 18608.0)	(69, 21075.0)	(70, 18203.0)	(71, 18965.0)	(72, 19713.0)	(73, 20804.0)	(74, 18902.0)	(75, 21019.0)	(76, 4125.0)	(77, 4068.0)	(78, 4293.0)	(79, 4455.0)	(80, 4661.0)	(81, 4550.0)	(82, 4981.0)	(83, 5247.0)	(84, 5735.0)	(85, 6346.0)	(86, 7481.0)	(87, 9763.0)	(88, 14273.0)	(89, 38597.0)	(90, 68214.0)	(91, 412155.0)	(92, 7386831.0)
HSM67VEO_R2	(50, 40222.0)	(52, 38383.0)	(54, 44959.0)	(56, 53644.0)	(58, 54010.0)	(60, 56093.0)	(62, 57510.0)	(64, 56708.0)	(66, 60635.0)	(68, 56974.0)	(70, 61721.0)	(72, 64272.0)	(74, 71139.0)	(76, 70234.0)	(78, 69580.0)	(80, 61911.0)	(82, 41976.0)	(84, 43871.0)	(86, 46757.0)	(88, 68143.0)	(90, 72210.0)	(92, 145268.0)	(94, 754939.0)	(96, 3522985.0)	(98, 2717292.0)	(100, 62585.0)																	
HSM67VF3_R1	(50, 6475.0)	(51, 5949.0)	(52, 5473.0)	(53, 6196.0)	(54, 6455.0)	(55, 6256.0)	(56, 7698.0)	(57, 7844.0)	(58, 7924.0)	(59, 8207.0)	(60, 7712.0)	(61, 8127.0)	(62, 8513.0)	(63, 8391.0)	(64, 9029.0)	(65, 8322.0)	(66, 8165.0)	(67, 8602.0)	(68, 9245.0)	(69, 9383.0)	(70, 9902.0)	(71, 10097.0)	(72, 11106.0)	(73, 11831.0)	(74, 12758.0)	(75, 12592.0)	(76, 4192.0)	(77, 4361.0)	(78, 4541.0)	(79, 4884.0)	(80, 4742.0)	(81, 5163.0)	(82, 5420.0)	(83, 6015.0)	(84, 7256.0)	(85, 8096.0)	(86, 9877.0)	(87, 13072.0)	(88, 21388.0)	(89, 38029.0)	(90, 56298.0)	(91, 219274.0)	(92, 2864718.0)
HSM67VF3_R2	(50, 42339.0)	(52, 41680.0)	(54, 42426.0)	(56, 41008.0)	(58, 41780.0)	(60, 38862.0)	(62, 38165.0)	(64, 38146.0)	(66, 40200.0)	(68, 37716.0)	(70, 35743.0)	(72, 36883.0)	(74, 39541.0)	(76, 40408.0)	(78, 43536.0)	(80, 40876.0)	(82, 31765.0)	(84, 28865.0)	(86, 32918.0)	(88, 50753.0)	(90, 42245.0)	(92, 71357.0)	(94, 372524.0)	(96, 1222417.0)	(98, 991728.0)	(100, 15697.0)																	
