Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CSM79HGX_R1	CSM79HGX_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7655746.0	674.7 Mbp	0.0	50-92	49.0	16.07610083216022	88.13460530169104	92	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
CSM79HGX_R2	CSM79HGX_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7655746.0	682.7 Mbp	0.0	50-101	48.0	20.139905010107316	89.24158573181504	96	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
HSM5MD5B_R1	HSM5MD5B_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1607710.0	139.3 Mbp	0.0	50-92	52.0	11.982330490470611	86.69517450286432	92	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
HSM5MD5B_R2	HSM5MD5B_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1607710.0	143.1 Mbp	0.0	50-101	53.0	13.503593025932373	89.10525467901549	96	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
HSM5MD6I_R1	HSM5MD6I_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6524106.0	588.9 Mbp	0.0	50-92	46.0	12.867103708124134	90.27909341141913	92	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
HSM5MD6I_R2	HSM5MD6I_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6524106.0	605.2 Mbp	0.0	50-101	46.0	14.00885845646807	92.80979049083507	96	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
HSM67VEO_R1	HSM67VEO_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8394021.0	759.4 Mbp	0.0	50-92	45.0	26.339201216931347	90.47368430457823	92	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
HSM67VEO_R2	HSM67VEO_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8394021.0	783.2 Mbp	0.0	50-101	44.0	26.749535821091065	93.38405687810408	96	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
HSM67VF3_R1	HSM67VF3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3499578.0	314.5 Mbp	0.0	50-92	44.0	22.025140929387298	89.86888047644602	92	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
HSM67VF3_R2	HSM67VF3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3499578.0	316.8 Mbp	0.0	50-101	44.0	27.561232504879285	90.59501374165686	96	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
