Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CSM79HGX_R1	83.92389916783978	49.0	88.13460530169104	92	27.27272727272727	7.655746
CSM79HGX_R2	79.86009498989269	48.0	89.24158573181504	96	18.181818181818183	7.655746
HSM5MD5B_R1	88.01766950952938	52.0	86.69517450286432	92	27.27272727272727	1.60771
HSM5MD5B_R2	86.49640697406763	53.0	89.10525467901549	96	27.27272727272727	1.60771
HSM5MD6I_R1	87.13289629187587	46.0	90.27909341141913	92	18.181818181818183	6.524106
HSM5MD6I_R2	85.99114154353192	46.0	92.80979049083507	96	36.36363636363637	6.524106
HSM67VEO_R1	73.66079878306866	45.0	90.47368430457823	92	18.181818181818183	8.394021
HSM67VEO_R2	73.25046417890894	44.0	93.38405687810408	96	27.27272727272727	8.394021
HSM67VF3_R1	77.9748590706127	44.0	89.86888047644602	92	27.27272727272727	3.4995779999999996
HSM67VF3_R2	72.43876749512071	44.0	90.59501374165686	96	36.36363636363637	3.4995779999999996
HSM67VFR_R1	75.02167722597775	47.0	89.43603015974541	92	18.181818181818183	2.023094
HSM67VFR_R2	70.22625264548522	46.0	90.04074699445503	96	36.36363636363637	2.023094
HSM67VI3_R1	87.60250817812313	50.0	90.7068569561925	92	36.36363636363637	4.444946
HSM67VI3_R2	85.76815022843431	50.0	92.67304012242218	96	36.36363636363637	4.444946
HSM6XRQ8_R1	74.87806494856298	48.0	89.22621078083418	92	27.27272727272727	3.1895119999999997
HSM6XRQ8_R2	73.79571589111855	47.0	91.77298157210257	96	27.27272727272727	3.1895119999999997
HSM6XRT8_R1	74.38244535642403	50.0	88.91169631291271	92	18.181818181818183	2.5320799999999997
HSM6XRT8_R2	69.31477567825328	50.0	89.36067580803135	96	27.27272727272727	2.5320799999999997
HSMA33J3_R1	80.40403034962168	48.0	82.6796054651602	92	36.36363636363637	5.608326
HSMA33J3_R2	77.60966913677659	46.0	84.23980899113211	94	36.36363636363637	5.608326
MSM6J2HP_R1	71.24146191129748	50.0	89.6403974545668	92	9.090909090909092	4.974556
MSM6J2HP_R2	71.13230944204588	49.0	92.7556895529973	96	27.27272727272727	4.974556
MSM6J2JN_R1	80.90188591862416	48.0	79.36373852170905	92	36.36363636363637	5.614294
MSM6J2JN_R2	77.83333951993441	46.0	80.92037520657094	88	36.36363636363637	5.614294
MSM6J2JZ_R1	83.84809686958201	47.0	89.64108054321508	92	18.181818181818183	6.910190999999999
MSM6J2JZ_R2	82.48208570363249	45.0	92.45103955881972	96	27.27272727272727	6.910190999999999
MSM6J2M3_R1	64.13552266067467	46.0	89.89848738305395	92	9.090909090909092	4.3202609999999995
MSM6J2M3_R2	58.549632747019125	46.0	90.95320687801038	96	18.181818181818183	4.3202609999999995
MSM6J2PS_R1	75.07302816477134	51.0	86.51946699323356	92	18.181818181818183	3.9048659999999997
MSM6J2PS_R2	74.69936912838887	50.0	89.76128579060075	96	18.181818181818183	3.9048659999999997
MSM79H54_R1	66.09692468926829	50.0	88.01837609940567	92	9.090909090909092	2.520339
MSM79H54_R2	61.39772316814188	50.0	89.08435393016575	96	18.181818181818183	2.520339
MSM79H5E_R1	73.49052228195166	54.0	90.4316106418084	92	27.27272727272727	0.131519
MSM79H5E_R2	63.03119701335929	53.0	90.53514321124705	96	36.36363636363637	0.131519
MSM79H81_R1	74.34721292505093	49.0	90.63906744056698	92	18.181818181818183	2.299521
MSM79H81_R2	69.47827647427515	49.0	90.03656522380096	96	36.36363636363637	2.299521
MSM79H8D_R1	74.38334735075324	48.0	90.22705245166615	92	18.181818181818183	6.743618
MSM79H8D_R2	73.85110398703208	47.0	93.24847181438807	96	27.27272727272727	6.743618
MSM9VZFL_R1	81.93346463592545	50.0	90.26053328081889	92	18.181818181818183	4.732666
MSM9VZFL_R2	80.71494564666862	48.0	93.0831355941873	96	27.27272727272727	4.732666
MSM9VZL5_R1	76.57514301805259	48.0	90.03124029174384	92	27.27272727272727	5.2049769999999995
MSM9VZL5_R2	75.65822474726525	46.0	93.08989501778778	96	27.27272727272727	5.2049769999999995
MSM9VZL9_R1	76.35484526801078	51.0	88.43226042349373	92	36.36363636363637	7.471799
MSM9VZL9_R2	75.64035666866329	50.0	91.7083796686715	96	27.27272727272727	7.471799
PSM7J14X_R1	71.26280903797944	47.0	89.13441217371009	92	27.27272727272727	3.290632
PSM7J14X_R2	68.07646462542445	46.0	91.06552966117147	96	27.27272727272727	3.290632
PSM7J15O_R1	89.59442846484399	51.0	88.85925688104673	92	36.36363636363637	5.836939
PSM7J15O_R2	88.85189792221095	50.0	91.96637681154455	96	36.36363636363637	5.836939
PSM7J16U_R1	73.91538581494594	43.0	89.82585248437854	92	27.27272727272727	3.802621
PSM7J16U_R2	69.34176732890845	42.0	90.67483730300758	96	27.27272727272727	3.802621
