Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
10R_S10_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0003053051346726391)	(3, 0.0003053051346726391)	(4, 0.0003053051346726391)	(5, 0.0003053051346726391)	(6, 0.0003053051346726391)	(7, 0.0003053051346726391)	(8, 0.0003053051346726391)	(9, 0.0003053051346726391)	(10, 0.0003053051346726391)	(15, 0.0003561893237847456)	(20, 0.00040707351289685214)	(25, 0.0008650312149058109)	(30, 0.002859691428100386)	(35, 0.007184847502629441)	(40, 0.013209535493502853)	(45, 0.018766088944544883)	(50, 0.02403769093655912)	(55, 0.027792944093032578)	(60, 0.03067298919677781)	(65, 0.032596411545215434)	(70, 0.03419417508333558)	(75, 0.03619901213435257)	(80, 0.03850915432004221)	(85, 0.04196927917966546)	(90, 0.04676256979402589)	(95, 0.05280761146054415)	(100, 0.060216349395266856)	(105, 0.06893789940908192)	(110, 0.07747626634209338)	(115, 0.08674736559831919)	(120, 0.09701579496114228)	(125, 0.10666343721679769)	(130, 0.11531374936585578)	(135, 0.13439532028289575)	(140, 0.15738479692374546)
10R_S10_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.04482897060776584)	(4, 0.05856770166803461)	(5, 0.6352382168755378)	(6, 0.6526406095518782)	(7, 0.6749278843829809)	(8, 0.6998102528588009)	(9, 0.7200621601254193)	(10, 0.778416148199183)	(15, 0.9058708650871875)	(20, 0.9503436463711686)	(25, 0.9744016909833727)	(30, 0.9930456578740484)	(35, 1.000545987349173)	(40, 1.0029986052643767)	(45, 1.004799905558945)	(50, 1.0057361746386078)	(55, 1.007028633042055)	(60, 1.0081277315268768)	(65, 1.0089215248770258)	(70, 1.009796732929754)	(75, 1.011201136549248)	(80, 1.0120051067372193)	(85, 1.0134400408701807)	(90, 1.0154754084346649)	(95, 1.0181010325928495)	(100, 1.0269650583361787)	(105, 1.0483465946010857)	(110, 1.0858889493279977)	(115, 1.1435610892676595)	(120, 1.2103822064096779)	(125, 1.287614228644033)	(130, 1.3701483833838697)	(135, 1.4374986960926541)	(140, 1.4683141610189456)
10R_S10_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.00015265256733631955)	(3, 0.00015265256733631955)	(4, 0.00015265256733631955)	(5, 0.00015265256733631955)	(6, 0.00015265256733631955)	(7, 0.00015265256733631955)	(8, 0.00015265256733631955)	(9, 0.00015265256733631955)	(10, 0.00015265256733631955)	(15, 0.00015265256733631955)	(20, 0.00015265256733631955)	(25, 0.0005800797558780143)	(30, 0.0024322642395586914)	(35, 0.004172503507192735)	(40, 0.006075572179985519)	(45, 0.008080409231002516)	(50, 0.009800294822991716)	(55, 0.011021515361682273)	(60, 0.012843169331895684)	(65, 0.014196688762277717)	(70, 0.015570561868304595)	(75, 0.016924081298686628)	(80, 0.018745735268900044)	(85, 0.022083738074654226)	(90, 0.0267040224460335)	(95, 0.03162961195208541)	(100, 0.03807155029367809)	(105, 0.0457143554983165)	(110, 0.054334137133907334)	(115, 0.06325922390417082)	(120, 0.07180776767500471)	(125, 0.08160806249799643)	(130, 0.08857919640635503)	(135, 0.11548675560883696)	(140, 0.14939597923314474)
10R_S10_R2 - polya	(1, 0.00020353675644842607)	(2, 0.0003053051346726391)	(3, 0.0005597260802331718)	(4, 0.0008650312149058109)	(5, 0.0009667995931300239)	(6, 0.0011703363495784499)	(7, 0.001475641484251089)	(8, 0.001577409862475302)	(9, 0.0019335991862600478)	(10, 0.002686685185119224)	(15, 0.004966296857341596)	(20, 0.0068897192057792225)	(25, 0.008518013257366633)	(30, 0.011489649901513651)	(35, 0.016191348975472294)	(40, 0.02505537471880125)	(45, 0.037806952510295144)	(50, 0.055565534510420324)	(55, 0.08164876984928612)	(60, 0.11113106902084065)	(65, 0.1490906740984721)	(70, 0.19625014056757245)	(75, 0.22362583430988572)	(80, 0.24569939554671755)	(85, 0.26668403513655026)	(90, 0.29511812001239546)	(95, 0.3304113935805525)	(100, 0.3405068167003944)	(105, 0.34928942774114397)	(110, 0.3563012690007923)	(115, 0.36260073161287104)	(120, 0.36902231627881893)	(125, 0.37596291967371026)	(130, 0.3832902429058536)	(135, 0.3895489981666426)	(140, 0.393131245080135)
10R_S10_R2 - polyg	(1, 0.17193767500980792)	(2, 0.31242892114833404)	(3, 0.35339069338357976)	(4, 0.3603618272919384)	(5, 0.40951595397423324)	(6, 0.4199472127422151)	(7, 0.44462604446158677)	(8, 0.4725105800950211)	(9, 0.49846151654219545)	(10, 0.562341527553534)	(15, 0.6363067848468921)	(20, 0.6748464696804015)	(25, 0.6939178637596191)	(30, 0.7162865532933009)	(35, 0.7433264113874745)	(40, 0.7508572713760662)	(45, 0.7572483255285467)	(50, 0.7652371432191476)	(55, 0.7720556245601699)	(60, 0.778121019902333)	(65, 0.783585981812973)	(70, 0.7907199451264904)	(75, 0.7989631837626517)	(80, 0.8088652469638676)	(85, 0.8195916340286997)	(90, 0.8371975634614885)	(95, 0.8543353583544461)	(100, 0.8771620055901369)	(105, 0.9257971135434884)	(110, 1.0290920174410645)	(115, 1.2594040342002812)	(120, 1.3882020936808452)	(125, 1.5158501704874758)	(130, 1.6643302343166024)	(135, 1.867571862468178)	(140, 2.106096587350089)
11R_S11_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0010924031011139235)	(3, 0.0013108837213367081)	(4, 0.0014201240314481005)	(5, 0.0014201240314481005)	(6, 0.0014201240314481005)	(7, 0.0014201240314481005)	(8, 0.0014201240314481005)	(9, 0.0014201240314481005)	(10, 0.0014201240314481005)	(15, 0.0015075162795372143)	(20, 0.0015293643415594928)	(25, 0.0020100217060496192)	(30, 0.004172979846255188)	(35, 0.010246741088448603)	(40, 0.018723789153092647)	(45, 0.02623952248875644)	(50, 0.03373340776239796)	(55, 0.04052815505132656)	(60, 0.04826236900721314)	(65, 0.052173172109200985)	(70, 0.05370253645076047)	(75, 0.055210052730297686)	(80, 0.05879313490195136)	(85, 0.06388373335314226)	(90, 0.068886939556244)	(95, 0.07544135816292755)	(100, 0.08332850855297008)	(105, 0.0925483907263716)	(110, 0.10251110700853057)	(115, 0.11564179228391994)	(120, 0.1291875907377326)	(125, 0.14402242485085964)	(130, 0.15549265741255583)	(135, 0.17893562796246065)	(140, 0.205481023319529)
11R_S11_R1 - polya	(1, 0.00010924031011139234)	(2, 0.00032772093033417703)	(3, 0.00043696124044556936)	(4, 0.0005462015505569617)	(5, 0.0008739224808911387)	(6, 0.0008739224808911387)	(7, 0.0009831627910025312)	(8, 0.0009831627910025312)	(9, 0.0009831627910025312)	(10, 0.0014856682175149359)	(15, 0.00270915969076253)	(20, 0.0031024248071635425)	(25, 0.003473841861542276)	(30, 0.004085587598166074)	(35, 0.005199838761302275)	(40, 0.007668669769819741)	(45, 0.010006412406203539)	(50, 0.012912204655166574)	(55, 0.017194424811533153)	(60, 0.026873116287402514)	(65, 0.039938257376725045)	(70, 0.05420504187727289)	(75, 0.0665491969198602)	(80, 0.08035717211794022)	(85, 0.10047923724045868)	(90, 0.12151892096791284)	(95, 0.13807975198079991)	(100, 0.15153815818652347)	(105, 0.16161011477879383)	(110, 0.16901660780434624)	(115, 0.17349546051891335)	(120, 0.17712223881461156)	(125, 0.1798750946294186)	(130, 0.1832396961808495)	(135, 0.1871504992828374)	(140, 0.18898573649270875)
11R_S11_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.09230806204412653)	(4, 0.11896269771130626)	(5, 0.9165262018345818)	(6, 0.93913894602764)	(7, 0.9793393801486324)	(8, 1.023800186363969)	(9, 1.0673870700984145)	(10, 1.1768677088920518)	(15, 1.3774110701945461)	(20, 1.4497936996743546)	(25, 1.4902126144155696)	(30, 1.522394809774386)	(35, 1.531898716754077)	(40, 1.5355691911738198)	(45, 1.5377103012520033)	(50, 1.539654778771986)	(55, 1.5414026237337681)	(60, 1.5436966702461075)	(65, 1.5454008190838453)	(70, 1.5472142082316942)	(75, 1.5493771663719)	(80, 1.5513871880779497)	(85, 1.5541400438927566)	(90, 1.5567399632734076)	(95, 1.5611095756778632)	(100, 1.5738032997128073)	(105, 1.6089568315066534)	(110, 1.6689079136957854)	(115, 1.757370716823991)	(120, 1.8648413339115788)	(125, 1.992368471935618)	(130, 2.126209699884096)	(135, 2.2329811789869707)	(140, 2.2751479386899685)
11R_S11_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.00032772093033417703)	(3, 0.00032772093033417703)	(4, 0.00032772093033417703)	(5, 0.00032772093033417703)	(6, 0.00032772093033417703)	(7, 0.00032772093033417703)	(8, 0.00032772093033417703)	(9, 0.00032772093033417703)	(10, 0.00037141705437873396)	(15, 0.0004369612404455694)	(20, 0.0004588093024678479)	(25, 0.0009831627910025312)	(30, 0.003167968993230378)	(35, 0.0060956093042156935)	(40, 0.008935857367111893)	(45, 0.011513928685740752)	(50, 0.014812986051104801)	(55, 0.01671376744704303)	(60, 0.01944477519982784)	(65, 0.020690114735097707)	(70, 0.022306871324746312)	(75, 0.024557221713041)	(80, 0.026982356597513912)	(85, 0.030849463575457196)	(90, 0.03563418915833618)	(95, 0.041030660477838966)	(100, 0.04651452404543086)	(105, 0.05291600621795846)	(110, 0.06150229459271388)	(115, 0.0709188093243159)	(120, 0.08103446204063085)	(125, 0.09403405894388653)	(130, 0.10395307910200095)	(135, 0.12156261709195741)	(140, 0.13797051167068852)
11R_S11_R2 - polya	(1, 0.00032772093033417703)	(2, 0.00032772093033417703)	(3, 0.00043696124044556936)	(4, 0.0006554418606683541)	(5, 0.0012016434112253158)	(6, 0.0013108837213367081)	(7, 0.0014201240314481005)	(8, 0.0015293643415594928)	(9, 0.0019663255820050623)	(10, 0.003036880621096707)	(15, 0.0058552806219706295)	(20, 0.01070555039091645)	(25, 0.013960911632235942)	(30, 0.01693224806726581)	(35, 0.02228502326272404)	(40, 0.029604124040187325)	(45, 0.03954499226032403)	(50, 0.05706713800219136)	(55, 0.08265121863027944)	(60, 0.11074782639092957)	(65, 0.14518037213804041)	(70, 0.1778869209853913)	(75, 0.19346458920727583)	(80, 0.20248783882247684)	(85, 0.2097632434758956)	(90, 0.21356480626777202)	(95, 0.21762854580391583)	(100, 0.2227191442551067)	(105, 0.22807191945056493)	(110, 0.23324991014984495)	(115, 0.23969508844641707)	(120, 0.24546297682029858)	(125, 0.2512527132562024)	(130, 0.25627776752132647)	(135, 0.2599919380651138)	(140, 0.2621767442673416)
