Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10R_S10_R1	(1, 0.0)	(2, 0.08406068041319997)	(3, 0.0)	(4, 0.0019844833753721544)	(5, 0.0)	(6, 0.0007123786475694913)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00016282940515874086)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.130803901364683e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0019980763136045326)	(55, 0.0)	(60, 0.00011289247453633265)	(65, 0.0)	(70, 0.0)	(75, 0.00010277959183757371)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 7.204582031834166e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 8.259341676782639e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.303508352999917e-05)	(145, 0.0)	(150, 0.0)
10R_S10_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0005597260802331718)	(10, 2.0353675644842608e-05)	(15, 2.0353675644842608e-05)	(20, 0.0)	(25, 0.0)	(30, 5.089245000325711e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 4.075371551624361e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 2.0412972811655318e-05)	(80, 1.0208713054922673e-05)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0007054681655445463)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.0249099232291222e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
11R_S11_R1	(1, 0.0)	(2, 0.0829133953745468)	(3, 0.0)	(4, 0.0027310077527848086)	(5, 0.0)	(6, 0.0007646821707797465)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00010924031011139234)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.748031966183607e-05)	(35, 0.0)	(40, 0.0)	(45, 2.2005894498900477e-05)	(50, 0.0022037552430091926)	(55, 0.0)	(60, 0.00011040859349830292)	(65, 0.0)	(70, 0.0)	(75, 8.849906036122662e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 4.433223463278502e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 4.445880957980645e-05)	(120, 4.449653505481528e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 8.913221984907686e-05)	(145, 0.0)	(150, 0.0)
11R_S11_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00032772093033417703)	(10, 2.184806202227847e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 6.55606440328013e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 8.752888453189552e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0005931820967976515)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.2008180440669798e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
12R_S12_R1	(1, 0.0)	(2, 0.08163255433704691)	(3, 0.0)	(4, 0.002358273791959133)	(5, 0.0)	(6, 0.0008465598227545604)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020559309981182185)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.259463133663412e-05)	(35, 0.0)	(40, 0.0)	(45, 1.2136259612069317e-05)	(50, 0.002040747657057701)	(55, 1.2156498383854323e-05)	(60, 0.000194617535794118)	(65, 0.0)	(70, 1.2176606085210184e-05)	(75, 0.00020709550623461024)	(80, 1.2186680445740025e-05)	(85, 0.0)	(90, 0.0)	(95, 0.00017081632389117632)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.2230067130838482e-05)	(120, 0.0001957926365081558)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00018375293315619552)	(145, 3.67505866312391e-05)	(150, 0.0)
12R_S12_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00024187423507273157)	(10, 3.628113526090973e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.6285255812867745e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 4.842093285348189e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0008257859934308724)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.2160386252780625e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
13R_S13_R1	(1, 0.0)	(2, 0.08084723313245758)	(3, 0.0)	(4, 0.0017774923596497766)	(5, 0.0)	(6, 0.0008600769482176338)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00013761231171482142)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00010329843376619205)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0019044811518117329)	(55, 0.0)	(60, 9.250641387438947e-05)	(65, 0.0)	(70, 0.0)	(75, 0.00012739505600634104)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 5.798582524904622e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 9.303372751723683e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.314027682454525e-05)	(145, 0.0)	(150, 0.0)
13R_S13_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0002866923160725446)	(10, 2.293538528580357e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 4.587885710720272e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 5.7401333708508446e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0008642712677856944)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.1557079549112099e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
14R_S14_R1	(1, 0.0)	(2, 0.08200886378120571)	(3, 0.0)	(4, 0.0018278350025528762)	(5, 0.0)	(6, 0.0001827835002552876)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.09278334184292e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 2.4401685912479693e-05)	(35, 0.0)	(40, 0.0)	(45, 1.2266789923371818e-05)	(50, 0.001904265801106194)	(55, 0.0)	(60, 0.00012312702251525358)	(65, 0.0)	(70, 1.2332837635479306e-05)	(75, 8.638466598134832e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 2.472190636553242e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.2384670848887448e-05)	(120, 6.195371537050614e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 7.441786624132722e-05)	(145, 0.0)	(150, 0.0)
14R_S14_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00042649483392900444)	(10, 1.2185566683685843e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.31305544941468e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 6.10176449605344e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.2230270555599176e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0007595348265706354)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.4538176187785757e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
15R_S15_R1	(1, 0.0)	(2, 0.08017505794198133)	(3, 0.0)	(4, 0.0016317854397960919)	(5, 0.0)	(6, 0.0005439284799320307)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.351427839456246e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 6.531498751449585e-05)	(35, 0.0)	(40, 0.0)	(45, 1.0920530860109747e-05)	(50, 0.0016505600426740823)	(55, 2.18782355859347e-05)	(60, 0.0001094513423112621)	(65, 0.0)	(70, 0.0)	(75, 6.575088829450086e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 7.679926132276195e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.0993546128809622e-05)	(120, 9.899518784391891e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 8.80967425568714e-05)	(145, 0.0)	(150, 0.0)
15R_S15_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00021757139197281226)	(10, 2.175713919728123e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.70382241417052e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 6.533113138384512e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.0902831890652445e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0007749535873747618)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.0927003247505365e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
16R_S16_R1	(1, 0.0)	(2, 0.07338986544599004)	(3, 0.0)	(4, 0.0026654914810892265)	(5, 0.0)	(6, 0.0005330982962178453)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 7.107977282904604e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.143581706144481e-05)	(35, 0.0)	(40, 0.0)	(45, 3.667350749826534e-05)	(50, 0.0023280142518815345)	(55, 3.7187245964626e-05)	(60, 0.00018680673684871234)	(65, 0.0)	(70, 3.7621607142386874e-05)	(75, 7.541134058363099e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 7.635024453074567e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 3.829913539701841e-05)	(145, 0.0)	(150, 0.0)
16R_S16_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0001776994320726151)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.557590813731305e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 3.579797626880557e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0004348063970166484)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
17R_S17_R1	(1, 0.0)	(2, 0.07206852733284218)	(3, 0.0)	(4, 0.001204487921997362)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.029919479982415e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0001217949160366148)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0015191084309215824)	(55, 0.0)	(60, 0.00013308520336528118)	(65, 0.0)	(70, 0.0)	(75, 8.993007936329504e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 9.027931064523978e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 9.069957489109249e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 4.542563823021713e-05)	(145, 0.0)	(150, 0.0)
17R_S17_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.000602243960998681)	(10, 4.0149597399912075e-05)	(15, 4.0149597399912075e-05)	(20, 0.0)	(25, 0.0)	(30, 4.0268364488295795e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 4.072475401230458e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0009931390642974782)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 4.158107894583649e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
18R_S18_R1	(1, 0.0)	(2, 0.07755598483222437)	(3, 0.0)	(4, 0.0020032911211275667)	(5, 0.0)	(6, 0.0006677637070425222)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.723688917507334e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.819573288730903e-05)	(35, 0.0)	(40, 0.0)	(45, 1.92103656059151e-05)	(50, 0.0015015191331075536)	(55, 0.0)	(60, 3.861053055888357e-05)	(65, 0.0)	(70, 0.0)	(75, 1.9345506686871115e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.9371026639229544e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 3.883578095842824e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 1.9435533792076715e-05)	(145, 0.0)	(150, 0.0)
18R_S18_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00028618444587536667)	(10, 3.815792611671556e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 5.7249406466778455e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 1.911079752415796e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 3.832059971738558e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0008633085244042931)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 3.8414185590454844e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.9212388147877753e-05)	(150, 0.0)
19R_S19_R1	(1, 0.0)	(2, 0.07521129492526078)	(3, 0.0)	(4, 0.001991076125263095)	(5, 0.0)	(6, 0.000513826096842089)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.422826210526113e-05)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.856217089597276e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.001485038495426146)	(55, 0.0)	(60, 0.00011638699088288972)	(65, 0.0)	(70, 0.0)	(75, 7.769005707111592e-05)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 6.480208600506934e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.5963094499692467e-05)	(120, 6.493610222604854e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.099189353220521e-05)	(145, 0.0)	(150, 0.0)
19R_S19_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00032114131052630567)	(10, 2.569130484210445e-05)	(15, 3.853695726315668e-05)	(20, 0.0)	(25, 0.0)	(30, 8.992871607615831e-05)	(35, 1.2848413644912503e-05)	(40, 0.0)	(45, 0.0)	(50, 6.428681175342922e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 5.150448462423744e-05)	(80, 0.0)	(85, 1.2881712515472547e-05)	(90, 0.0)	(95, 0.0)	(100, 2.578703979481768e-05)	(105, 0.0007868306731362207)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.5855874700362734e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.2937539499925284e-05)	(150, 0.0)
