Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10R_S10_R1	(1, 20.046818033560157)	(2, 35.91011969487805)	(3, 35.7610849933876)	(4, 35.94447517284087)	(5, 36.00880143819072)	(6, 35.976580551961156)	(7, 36.00542272803368)	(8, 35.93007545616403)	(9, 36.00041674150883)	(10, 36.04058879112905)	(15, 36.041433468668316)	(20, 35.989738185581764)	(25, 35.736737953972764)	(30, 35.66603127320023)	(35, 35.583228898198925)	(40, 35.55021461402008)	(45, 35.50427082231216)	(50, 35.43769734774512)	(55, 35.38353873929994)	(60, 35.36554779080875)	(65, 35.358445806748556)	(70, 35.37514462103609)	(75, 35.32883623237504)	(80, 35.26599622691848)	(85, 35.309666028604546)	(90, 35.26586528464988)	(95, 35.20726048394786)	(100, 35.13368699139899)	(105, 35.178925761448234)	(110, 35.15155435132478)	(115, 35.12739315129211)	(120, 35.09131055808858)	(125, 35.12273588998745)	(130, 35.12379673066887)	(135, 35.14946623705133)	(140, 35.17686992764972)	(145, 35.16631737161417)	(150, 35.129822189280915)
10R_S10_R2	(1, 18.740202631017883)	(2, 35.80264312831924)	(3, 35.612273164645465)	(4, 35.53509406196778)	(5, 35.52210739922259)	(6, 35.59076747095912)	(7, 35.50496756896207)	(8, 35.46339823950883)	(9, 35.53756347166539)	(10, 35.572375279036166)	(15, 35.54175989074147)	(20, 35.47955295186813)	(25, 35.30830321688488)	(30, 35.264401833647256)	(35, 35.222293652601465)	(40, 35.152433847429)	(45, 35.12140175107165)	(50, 35.103375338116756)	(55, 35.05539216131606)	(60, 35.013649972380755)	(65, 34.96665453691618)	(70, 34.87617220689226)	(75, 34.88618421804594)	(80, 34.848139909104624)	(85, 34.79324628352572)	(90, 34.73335755328518)	(95, 34.69379865379797)	(100, 34.59823343718425)	(105, 34.5576223510521)	(110, 34.56802456682355)	(115, 34.53836195855749)	(120, 34.529022482235526)	(125, 34.4445965542202)	(130, 34.497110462886795)	(135, 34.47149012849038)	(140, 34.54379549429852)	(145, 34.63445144292082)	(150, 34.49418570365626)
11R_S11_R1	(1, 20.303759068311244)	(2, 35.81189474040679)	(3, 35.60770384514968)	(4, 35.82411654630205)	(5, 35.89619221051045)	(6, 35.87573914724829)	(7, 35.92696957548123)	(8, 35.80191126846571)	(9, 35.901258776093414)	(10, 35.93462972450686)	(15, 35.932161111978964)	(20, 35.88264597509539)	(25, 35.592045336529246)	(30, 35.475979405785644)	(35, 35.3632348365447)	(40, 35.33996080925499)	(45, 35.29843754522869)	(50, 35.20394335714259)	(55, 35.11520255064975)	(60, 35.09240282900302)	(65, 35.164169679382596)	(70, 35.18021070275171)	(75, 35.121547479576265)	(80, 35.066358816285764)	(85, 35.109145304694216)	(90, 35.06162547534073)	(95, 35.03378338203047)	(100, 34.9822626732271)	(105, 34.966463484975264)	(110, 34.95869289859546)	(115, 34.94930521267695)	(120, 34.93211766730084)	(125, 34.95167023667774)	(130, 34.96727513187727)	(135, 35.07770190397563)	(140, 35.134838330865485)	(145, 35.15123776799552)	(150, 35.12634157917782)
11R_S11_R2	(1, 18.68071023680022)	(2, 35.51302745318233)	(3, 35.313786236376366)	(4, 35.245487009688524)	(5, 35.22788621092337)	(6, 35.297756313270625)	(7, 35.207364326265846)	(8, 35.165057738965906)	(9, 35.239447112942464)	(10, 35.27366336287555)	(15, 35.2223560294643)	(20, 35.1398040010356)	(25, 34.94285753334625)	(30, 34.89633299888833)	(35, 34.84895104730531)	(40, 34.747779461331056)	(45, 34.727431982002045)	(50, 34.702643012158305)	(55, 34.61402933954396)	(60, 34.57607688192824)	(65, 34.52264981422126)	(70, 34.42984799711674)	(75, 34.43228231997192)	(80, 34.37940961189424)	(85, 34.370566628413485)	(90, 34.34206413355864)	(95, 34.344963124014086)	(100, 34.319731317156005)	(105, 34.27655270256543)	(110, 34.27058915824599)	(115, 34.27572089716021)	(120, 34.25905395063897)	(125, 34.13721489046255)	(130, 34.19889537035303)	(135, 34.197954214204245)	(140, 34.32662295630578)	(145, 34.464547051752305)	(150, 34.36015032958903)
12R_S12_R1	(1, 20.018278435944445)	(2, 35.94760399382737)	(3, 35.769948577537626)	(4, 35.97369436287908)	(5, 36.03971212128542)	(6, 36.07359628287676)	(7, 36.08851024821134)	(8, 36.03241477561327)	(9, 36.080939584653564)	(10, 36.11372817689714)	(15, 36.11045259506867)	(20, 36.090676231986414)	(25, 35.92054591555667)	(30, 35.84972840677475)	(35, 35.79739305473866)	(40, 35.77702479841737)	(45, 35.742803694048305)	(50, 35.710562851716695)	(55, 35.66465462410972)	(60, 35.633781014033886)	(65, 35.663497411114555)	(70, 35.66252243979662)	(75, 35.62787166229541)	(80, 35.569386063902606)	(85, 35.60296210942713)	(90, 35.566592697771924)	(95, 35.552931463361084)	(100, 35.50741831481362)	(105, 35.48147143594925)	(110, 35.450959916885935)	(115, 35.43938224038193)	(120, 35.408197018491855)	(125, 35.414404856425755)	(130, 35.419306100054165)	(135, 35.426162497618876)	(140, 35.37466598310576)	(145, 35.381994050080024)	(150, 35.29171268146368)
12R_S12_R2	(1, 19.025621737721256)	(2, 35.7751089643429)	(3, 35.55911527242295)	(4, 35.471636617824196)	(5, 35.50530309260397)	(6, 35.57598358157692)	(7, 35.4916988762523)	(8, 35.44601004261824)	(9, 35.54752465907826)	(10, 35.591798165625804)	(15, 35.57641702020618)	(20, 35.54223970704193)	(25, 35.429201572075286)	(30, 35.41159760024825)	(35, 35.36436422786488)	(40, 35.31086006813896)	(45, 35.252522184105565)	(50, 35.24563259438581)	(55, 35.20877745070754)	(60, 35.185930669030675)	(65, 35.15135414141099)	(70, 35.06338881480222)	(75, 35.082408928730956)	(80, 35.049900246789704)	(85, 35.04031197236273)	(90, 34.97806210998463)	(95, 34.95994848005971)	(100, 34.91206771715555)	(105, 34.87528741535617)	(110, 34.85751944719425)	(115, 34.77656155812842)	(120, 34.76174608250646)	(125, 34.65052571402716)	(130, 34.690192575563955)	(135, 34.66226702200511)	(140, 34.69810601038525)	(145, 34.77236801613376)	(150, 34.61336752107643)
13R_S13_R1	(1, 19.389105691989243)	(2, 36.01748135066484)	(3, 35.65347385079385)	(4, 35.98444120800674)	(5, 36.10352344856453)	(6, 36.078750365532706)	(7, 36.13444378823759)	(8, 35.9902536080228)	(9, 36.10830203608883)	(10, 36.14060927851012)	(15, 36.11777159796563)	(20, 36.08255775416707)	(25, 35.877025484009565)	(30, 35.780886016301324)	(35, 35.66997119952632)	(40, 35.65469964077761)	(45, 35.57870280871623)	(50, 35.51211642404057)	(55, 35.47075350204173)	(60, 35.48520083303073)	(65, 35.48175640945409)	(70, 35.47527803582167)	(75, 35.421356999080864)	(80, 35.31816236234666)	(85, 35.313000309569944)	(90, 35.30314536245129)	(95, 35.24229675194927)	(100, 35.21523012233375)	(105, 35.19321929827176)	(110, 35.18257093303934)	(115, 35.18179883672985)	(120, 35.11800000601873)	(125, 35.14946512920403)	(130, 35.15040142694762)	(135, 35.11697650361879)	(140, 35.07233716314509)	(145, 35.04307528237512)	(150, 34.93708432513175)
13R_S13_R2	(1, 18.897840060090708)	(2, 35.8800399075704)	(3, 35.708595609020485)	(4, 35.61384494532778)	(5, 35.65876963125634)	(6, 35.69096747188982)	(7, 35.61687700326256)	(8, 35.58198998870432)	(9, 35.7019621222112)	(10, 35.71388290339043)	(15, 35.68779275585855)	(20, 35.64506413307111)	(25, 35.5049588601106)	(30, 35.46222579363551)	(35, 35.408633680139204)	(40, 35.35084471849375)	(45, 35.31055645703535)	(50, 35.29420764525737)	(55, 35.26216176295542)	(60, 35.2400457819763)	(65, 35.168199386975026)	(70, 35.090796791069614)	(75, 35.07956032645069)	(80, 35.04167633485865)	(85, 35.01272296213644)	(90, 34.94013477908004)	(95, 34.92166446351554)	(100, 34.81317406109083)	(105, 34.81347427668141)	(110, 34.76129118981035)	(115, 34.66033683211395)	(120, 34.63336727246403)	(125, 34.50695033379135)	(130, 34.5645813734697)	(135, 34.495546074976765)	(140, 34.506989160563954)	(145, 34.57132948057108)	(150, 34.28200635110103)
14R_S14_R1	(1, 19.870025090081803)	(2, 35.9755606274592)	(3, 35.833939971461405)	(4, 36.02282600351188)	(5, 36.05947775098307)	(6, 36.073612399057815)	(7, 36.095848011863865)	(8, 35.99295064967349)	(9, 36.059095124189206)	(10, 36.09951111506465)	(15, 36.09841307365078)	(20, 36.055766758505214)	(25, 35.84701965752514)	(30, 35.764665104606756)	(35, 35.670734681748776)	(40, 35.64486663200752)	(45, 35.61027929141447)	(50, 35.5459008695169)	(55, 35.50147571459264)	(60, 35.4875341491189)	(65, 35.48588637986096)	(70, 35.472173900258554)	(75, 35.43036111524641)	(80, 35.36352302013182)	(85, 35.400277279195436)	(90, 35.37071861219293)	(95, 35.33934794141754)	(100, 35.27920316544852)	(105, 35.24720448292816)	(110, 35.242003959754975)	(115, 35.23661723286624)	(120, 35.19694405530811)	(125, 35.19926987097422)	(130, 35.195095508778536)	(135, 35.20811750084961)	(140, 35.18721873147305)	(145, 35.2182427957304)	(150, 35.10843303260246)
14R_S14_R2	(1, 19.47074671934081)	(2, 35.76437378982091)	(3, 35.651487918619914)	(4, 35.61570134638326)	(5, 35.59573651392871)	(6, 35.64189178485651)	(7, 35.553706057323346)	(8, 35.51106632238379)	(9, 35.58876088628064)	(10, 35.612920965633045)	(15, 35.57785785049041)	(20, 35.50913564119843)	(25, 35.3542703704742)	(30, 35.31434173844976)	(35, 35.27991309079825)	(40, 35.224109210327875)	(45, 35.197621214433795)	(50, 35.172360638590206)	(55, 35.11990955944681)	(60, 35.09624465019396)	(65, 35.036278322268444)	(70, 34.94797277044647)	(75, 34.96369000375006)	(80, 34.912977725241475)	(85, 34.907718684339066)	(90, 34.85422234522049)	(95, 34.82623669853045)	(100, 34.75205746160079)	(105, 34.714289946282946)	(110, 34.69407506654505)	(115, 34.64171181114025)	(120, 34.648604458051054)	(125, 34.53583531495358)	(130, 34.56995171655849)	(135, 34.538317705389474)	(140, 34.58209264090465)	(145, 34.70381717054742)	(150, 34.54282510756677)
