Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
10R_S10_R1	(13.0, 5.0)	(14.0, 98.0)	(15.0, 512.0)	(16.0, 2270.0)	(17.0, 4710.0)	(18.0, 5006.0)	(19.0, 4051.0)	(20.0, 3991.0)	(21.0, 4559.0)	(22.0, 5562.0)	(23.0, 8926.0)	(24.0, 14138.0)	(25.0, 18332.0)	(26.0, 18403.0)	(27.0, 16391.0)	(28.0, 16199.0)	(29.0, 18748.0)	(30.0, 22963.0)	(31.0, 29906.0)	(32.0, 37707.0)	(33.0, 52648.0)	(34.0, 81132.0)	(35.0, 188835.0)	(36.0, 1357326.0)	(37.0, 52829.0)		
10R_S10_R2	(11.0, 28.0)	(12.0, 275.0)	(13.0, 432.0)	(14.0, 593.0)	(15.0, 932.0)	(16.0, 1762.0)	(17.0, 3876.0)	(18.0, 6395.0)	(19.0, 7602.0)	(20.0, 7188.0)	(21.0, 8075.0)	(22.0, 10567.0)	(23.0, 16259.0)	(24.0, 21679.0)	(25.0, 22519.0)	(26.0, 18915.0)	(27.0, 16926.0)	(28.0, 17140.0)	(29.0, 19853.0)	(30.0, 23650.0)	(31.0, 30859.0)	(32.0, 41917.0)	(33.0, 65230.0)	(34.0, 120253.0)	(35.0, 348725.0)	(36.0, 1136466.0)	(37.0, 17131.0)
11R_S11_R1	(13.0, 9.0)	(14.0, 70.0)	(15.0, 421.0)	(16.0, 1649.0)	(17.0, 3274.0)	(18.0, 3263.0)	(19.0, 2573.0)	(20.0, 2189.0)	(21.0, 2097.0)	(22.0, 2449.0)	(23.0, 4566.0)	(24.0, 7669.0)	(25.0, 10767.0)	(26.0, 10865.0)	(27.0, 9674.0)	(28.0, 8653.0)	(29.0, 9416.0)	(30.0, 10805.0)	(31.0, 13527.0)	(32.0, 16988.0)	(33.0, 23276.0)	(34.0, 35952.0)	(35.0, 85494.0)	(36.0, 623581.0)	(37.0, 26186.0)		
11R_S11_R2	(11.0, 11.0)	(12.0, 139.0)	(13.0, 294.0)	(14.0, 294.0)	(15.0, 474.0)	(16.0, 910.0)	(17.0, 2086.0)	(18.0, 3604.0)	(19.0, 4784.0)	(20.0, 5286.0)	(21.0, 6070.0)	(22.0, 7130.0)	(23.0, 10176.0)	(24.0, 13073.0)	(25.0, 13592.0)	(26.0, 11315.0)	(27.0, 9703.0)	(28.0, 9507.0)	(29.0, 10451.0)	(30.0, 12151.0)	(31.0, 15085.0)	(32.0, 19863.0)	(33.0, 29669.0)	(34.0, 54556.0)	(35.0, 160301.0)	(36.0, 507195.0)	(37.0, 7694.0)
12R_S12_R1	(13.0, 3.0)	(14.0, 43.0)	(15.0, 216.0)	(16.0, 877.0)	(17.0, 1698.0)	(18.0, 1712.0)	(19.0, 1739.0)	(20.0, 1667.0)	(21.0, 1928.0)	(22.0, 2923.0)	(23.0, 6101.0)	(24.0, 10622.0)	(25.0, 14118.0)	(26.0, 13975.0)	(27.0, 12191.0)	(28.0, 11848.0)	(29.0, 14187.0)	(30.0, 17840.0)	(31.0, 22982.0)	(32.0, 29547.0)	(33.0, 41430.0)	(34.0, 63998.0)	(35.0, 150749.0)	(36.0, 1182718.0)	(37.0, 48640.0)		
12R_S12_R2	(11.0, 17.0)	(12.0, 187.0)	(13.0, 321.0)	(14.0, 385.0)	(15.0, 555.0)	(16.0, 936.0)	(17.0, 1831.0)	(18.0, 2977.0)	(19.0, 3789.0)	(20.0, 4601.0)	(21.0, 5766.0)	(22.0, 8185.0)	(23.0, 12322.0)	(24.0, 17002.0)	(25.0, 17820.0)	(26.0, 14504.0)	(27.0, 13238.0)	(28.0, 13763.0)	(29.0, 16303.0)	(30.0, 20157.0)	(31.0, 26156.0)	(32.0, 35003.0)	(33.0, 53880.0)	(34.0, 98667.0)	(35.0, 286834.0)	(36.0, 984241.0)	(37.0, 14312.0)
13R_S13_R1	(13.0, 1.0)	(14.0, 49.0)	(15.0, 287.0)	(16.0, 1352.0)	(17.0, 2812.0)	(18.0, 3571.0)	(19.0, 4016.0)	(20.0, 4560.0)	(21.0, 5023.0)	(22.0, 5024.0)	(23.0, 6038.0)	(24.0, 8315.0)	(25.0, 10947.0)	(26.0, 11711.0)	(27.0, 12124.0)	(28.0, 13371.0)	(29.0, 16416.0)	(30.0, 21028.0)	(31.0, 27357.0)	(32.0, 35491.0)	(33.0, 49825.0)	(34.0, 79250.0)	(35.0, 204458.0)	(36.0, 1195709.0)	(37.0, 25295.0)		
13R_S13_R2	(11.0, 20.0)	(12.0, 264.0)	(13.0, 450.0)	(14.0, 608.0)	(15.0, 910.0)	(16.0, 1644.0)	(17.0, 3127.0)	(18.0, 4718.0)	(19.0, 5722.0)	(20.0, 6369.0)	(21.0, 7196.0)	(22.0, 8330.0)	(23.0, 11017.0)	(24.0, 13564.0)	(25.0, 14380.0)	(26.0, 12784.0)	(27.0, 12054.0)	(28.0, 12718.0)	(29.0, 15336.0)	(30.0, 19203.0)	(31.0, 26174.0)	(32.0, 36231.0)	(33.0, 58351.0)	(34.0, 114645.0)	(35.0, 355307.0)	(36.0, 984469.0)	(37.0, 18439.0)
14R_S14_R1	(13.0, 5.0)	(14.0, 86.0)	(15.0, 444.0)	(16.0, 1847.0)	(17.0, 3743.0)	(18.0, 3788.0)	(19.0, 3093.0)	(20.0, 2935.0)	(21.0, 3141.0)	(22.0, 3748.0)	(23.0, 6091.0)	(24.0, 9130.0)	(25.0, 11950.0)	(26.0, 12346.0)	(27.0, 12164.0)	(28.0, 12709.0)	(29.0, 15598.0)	(30.0, 19103.0)	(31.0, 25273.0)	(32.0, 32372.0)	(33.0, 45648.0)	(34.0, 70159.0)	(35.0, 168689.0)	(36.0, 1137308.0)	(37.0, 39916.0)		
14R_S14_R2	(11.0, 15.0)	(12.0, 226.0)	(13.0, 453.0)	(14.0, 540.0)	(15.0, 865.0)	(16.0, 1742.0)	(17.0, 3238.0)	(18.0, 5150.0)	(19.0, 6114.0)	(20.0, 6356.0)	(21.0, 7126.0)	(22.0, 8282.0)	(23.0, 11513.0)	(24.0, 14422.0)	(25.0, 15394.0)	(26.0, 13928.0)	(27.0, 13276.0)	(28.0, 14110.0)	(29.0, 16534.0)	(30.0, 20343.0)	(31.0, 26251.0)	(32.0, 35372.0)	(33.0, 54656.0)	(34.0, 99294.0)	(35.0, 286629.0)	(36.0, 954631.0)	(37.0, 24826.0)
