Sample	Unique Reads	Duplicate Reads
10R_S10_R1	1040034.0	925213.0
10R_S10_R2	1086780.0	878467.0
11R_S11_R1	556855.0	358558.0
11R_S11_R2	584580.0	330833.0
12R_S12_R1	1055270.0	598482.0
12R_S12_R2	1104122.0	549630.0
13R_S13_R1	434364.0	1309666.0
13R_S13_R2	461011.0	1283019.0
14R_S14_R1	934044.0	707242.0
14R_S14_R2	974807.0	666479.0
15R_S15_R1	791903.0	1046574.0
15R_S15_R2	855603.0	982874.0
16R_S16_R1	248445.0	314303.0
16R_S16_R2	280834.0	281914.0
17R_S17_R1	192490.0	305647.0
17R_S17_R2	222994.0	275143.0
18R_S18_R1	408072.0	640203.0
18R_S18_R2	422010.0	626265.0
19R_S19_R1	931676.0	625271.0
19R_S19_R2	956827.0	600120.0
1R_S1_R1	1489186.0	928666.0
1R_S1_R2	1571235.0	846617.0
20R_S20_R1	355327.0	706193.0
20R_S20_R2	390687.0	670833.0
21R_S21_R1	726178.0	553360.0
21R_S21_R2	749673.0	529865.0
22R_S22_R1	224125.0	227119.0
22R_S22_R2	248158.0	203086.0
23R_S94_R1	1090946.0	5388072.0
23R_S94_R2	1370823.0	5108195.0
24R_S23_R1	1924136.0	1269410.0
24R_S23_R2	1966102.0	1227444.0
25R_S24_R1	349506.0	380850.0
25R_S24_R2	371893.0	358463.0
26R_S25_R1	685574.0	548276.0
26R_S25_R2	703778.0	530072.0
27R_S26_R1	726263.0	458133.0
27R_S26_R2	748170.0	436226.0
28R_S27_R1	715237.0	1795250.0
28R_S27_R2	748033.0	1762454.0
29R_S28_R1	587992.0	331981.0
29R_S28_R2	604868.0	315105.0
2R_S8_R1	508119.0	1746802.0
2R_S8_R2	550253.0	1704668.0
30R_S29_R1	1219112.0	526473.0
30R_S29_R2	1259291.0	486294.0
31R_S30_R1	692786.0	1403080.0
31R_S30_R2	740292.0	1355574.0
32R_S31_R1	435477.0	762736.0
32R_S31_R2	469380.0	728833.0
3R_S2_R1	2023528.0	1222567.0
3R_S2_R2	2118409.0	1127686.0
4R_S3_R1	378546.0	457290.0
4R_S3_R2	409339.0	426497.0
5R_S4_R1	358315.0	281560.0
5R_S4_R2	380253.0	259622.0
6R_S5_R1	2430098.0	1634631.0
6R_S5_R2	2577574.0	1487155.0
7R_S6_R1	1328810.0	887903.0
7R_S6_R2	1378248.0	838465.0
8R_S7_R1	1335781.0	1191826.0
8R_S7_R2	1446262.0	1081345.0
9R_S9_R1	200259.0	339034.0
9R_S9_R2	215675.0	323618.0
