Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
10R_S10_R1	(1.0, 44.34607206553157)	(2.0, 11.05910982389795)	(3.0, 3.8171412401844096)	(4.0, 1.876830198359632)	(5.0, 1.2082884689969273)	(6.0, 0.985741989469344)	(7.0, 0.8490122198414299)	(8.0, 0.6678940022660667)	(9.0, 0.6342246118454545)	('>10', 9.985738870335368)	('>50', 4.24618246452592)	('>100', 8.747904578499082)	('>500', 3.393959006990189)	('>1k', 3.038604184231677)	('>5k', 0.9079053535405658)	('>10k+', 4.2353909214844085)
10R_S10_R2	(1.0, 47.08474547338072)	(2.0, 10.457944408706322)	(3.0, 3.5847208955276093)	(4.0, 1.852890540899674)	(5.0, 1.241133444440006)	(6.0, 0.9443258519107872)	(7.0, 0.8518666710839432)	(8.0, 0.7131390799511514)	(9.0, 0.6635656404317263)	('>10', 10.564014620999782)	('>50', 4.073024648173159)	('>100', 7.647466687462813)	('>500', 2.371463500578818)	('>1k', 5.749713347953167)	('>5k', 1.0942731199745446)	('>10k+', 1.1057120685257957)
11R_S11_R1	(1.0, 51.90073882903194)	(2.0, 11.834190304928214)	(3.0, 3.835581416472939)	(4.0, 1.9033668945151627)	(5.0, 1.2632275521697403)	(6.0, 0.9850825806514248)	(7.0, 0.8068137153623087)	(8.0, 0.7326774959064148)	(9.0, 0.5958460436534398)	('>10', 9.40775255980844)	('>50', 3.571474155670826)	('>100', 7.593029200870138)	('>500', 3.225144573337555)	('>1k', 2.345074677621447)	('>5k', 0.0)	('>10k+', 0.0)
11R_S11_R2	(1.0, 55.77378986747438)	(2.0, 10.623864940825507)	(3.0, 3.3497163993544925)	(4.0, 1.6069847903392016)	(5.0, 1.1410175658412276)	(6.0, 0.9418860839391551)	(7.0, 0.7836394180643058)	(8.0, 0.6843602764862027)	(9.0, 0.5806125627678134)	('>10', 10.161794052095475)	('>50', 3.89144456338473)	('>100', 7.050554600783291)	('>500', 2.542056663282861)	('>1k', 0.8682782153613398)	('>5k', 0.0)	('>10k+', 0.0)
12R_S12_R1	(1.0, 52.61689081946766)	(2.0, 14.704292959728846)	(3.0, 5.449297683363417)	(4.0, 2.700899885164593)	(5.0, 1.67305618048478)	(6.0, 1.20588176850776)	(7.0, 0.9866617049389113)	(8.0, 0.7656285732656803)	(9.0, 0.6751159550167563)	('>10', 8.133841452849676)	('>50', 2.5985189128556923)	('>100', 5.330548586090914)	('>500', 1.8786082663461612)	('>1k', 1.280757251919136)	('>5k', 0.0)	('>10k+', 0.0)
12R_S12_R2	(1.0, 56.109897192783095)	(2.0, 14.185563847275883)	(3.0, 5.1847418586848795)	(4.0, 2.54794323875655)	(5.0, 1.4699797941725796)	(6.0, 1.0427414818505332)	(7.0, 0.8571947746886845)	(8.0, 0.6940225419121796)	(9.0, 0.6067343063690489)	('>10', 7.231656638527596)	('>50', 2.5955754612815323)	('>100', 5.324891096042404)	('>500', 1.2034217168073202)	('>1k', 0.9456360508477002)	('>5k', 0.0)	('>10k+', 0.0)
13R_S13_R1	(1.0, 20.173784846757048)	(2.0, 5.0256404818062945)	(3.0, 2.1329500510761314)	(4.0, 1.275296620953156)	(5.0, 0.9766014468355689)	(6.0, 0.8029891866871872)	(7.0, 0.7048530497297293)	(8.0, 0.5984089237448871)	(9.0, 0.5726325966344893)	('>10', 9.563080392452033)	('>50', 4.8767853644310435)	('>100', 12.491773687226404)	('>500', 4.94381860954134)	('>1k', 16.326565794694698)	('>5k', 6.9280727344003035)	('>10k+', 12.606746213029691)
13R_S13_R2	(1.0, 21.866467440831972)	(2.0, 4.732236941568338)	(3.0, 2.0151494038881275)	(4.0, 1.2265365819634848)	(5.0, 0.9517683652944602)	(6.0, 0.743779064676883)	(7.0, 0.6829543886797976)	(8.0, 0.5946732753567394)	(9.0, 0.5894328564093273)	('>10', 10.335559387799826)	('>50', 5.175068346598518)	('>100', 15.608404742472604)	('>500', 8.355920033675323)	('>1k', 17.386922806172883)	('>5k', 5.782877011968304)	('>10k+', 3.952249352643411)
14R_S14_R1	(1.0, 47.8067329919352)	(2.0, 11.509333830185682)	(3.0, 4.184256269126229)	(4.0, 2.1137761028363835)	(5.0, 1.4919569216190298)	(6.0, 1.1440915610855849)	(7.0, 0.9210923434128836)	(8.0, 0.7879716619156589)	(9.0, 0.6711739667905738)	('>10', 10.164353663252538)	('>50', 3.907048532386084)	('>100', 8.300440857573035)	('>500', 2.836920587926907)	('>1k', 4.160850709954227)	('>5k', 0.0)	('>10k+', 0.0)
14R_S14_R2	(1.0, 50.39023761948632)	(2.0, 11.316342029462472)	(3.0, 4.131196935509822)	(4.0, 2.0977232285403087)	(5.0, 1.4896077103042673)	(6.0, 1.152734242748741)	(7.0, 0.9970823740593434)	(8.0, 0.7888861046153556)	(9.0, 0.7153170817156366)	('>10', 10.41215761414858)	('>50', 3.6613198180281676)	('>100', 7.122670926764975)	('>500', 2.187495765693644)	('>1k', 3.111700164388903)	('>5k', 0.4255283845334674)	('>10k+', 0.0)
15R_S15_R1	(1.0, 35.001937980739996)	(2.0, 8.942354978520427)	(3.0, 3.6204321310663103)	(4.0, 2.195989987190942)	(5.0, 1.6844409696210867)	(6.0, 1.4071695082164801)	(7.0, 1.1669970704577146)	(8.0, 1.0476381209446253)	(9.0, 0.9055468035361092)	('>10', 14.114432166237062)	('>50', 5.45017706266844)	('>100', 13.883922293450288)	('>500', 5.264719892775325)	('>1k', 5.314241034575191)	('>5k', 0.0)	('>10k+', 0.0)
15R_S15_R2	(1.0, 38.537763765349844)	(2.0, 8.628410815895657)	(3.0, 3.7193066678016806)	(4.0, 2.284525628022783)	(5.0, 1.7080789836549566)	(6.0, 1.4290507690793308)	(7.0, 1.212504922031295)	(8.0, 1.07263108960161)	(9.0, 0.9545015372408597)	('>10', 14.277446012321738)	('>50', 6.157525236564633)	('>100', 11.89341327948023)	('>500', 3.8264966342824045)	('>1k', 4.298344658673017)	('>5k', 0.0)	('>10k+', 0.0)
16R_S16_R1	(1.0, 35.138939336783345)	(2.0, 9.590727540497717)	(3.0, 4.737095482216595)	(4.0, 2.7729469824236177)	(5.0, 1.9638668367665604)	(6.0, 1.5224364387982336)	(7.0, 1.2756469754640305)	(8.0, 1.035228455873047)	(9.0, 1.0127596349020527)	('>10', 13.996669741760511)	('>50', 5.791939963850242)	('>100', 11.573190348813247)	('>500', 3.7268582662787626)	('>1k', 5.861693995572036)	('>5k', 0.0)	('>10k+', 0.0)
16R_S16_R2	(1.0, 41.62456251823238)	(2.0, 8.778251389585598)	(3.0, 4.277948772724626)	(4.0, 2.5610838292079317)	(5.0, 1.7065191153120916)	(6.0, 1.360261964531888)	(7.0, 1.183740422624672)	(8.0, 0.9921000254494534)	(9.0, 0.8968324078483768)	('>10', 14.396787451356538)	('>50', 6.322161816724292)	('>100', 11.43387044923789)	('>500', 1.98117000650238)	('>1k', 2.4847098306619055)	('>5k', 0.0)	('>10k+', 0.0)
