Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
10R_S10_R1	(25, 1100.0)	(30, 2709.0)	(35, 4023.0)	(40, 2379.0)	(45, 2253.0)	(50, 2097.0)	(55, 1402.0)	(60, 1257.0)	(65, 985.0)	(70, 830.0)	(75, 678.0)	(80, 598.0)	(85, 706.0)	(90, 690.0)	(95, 911.0)	(100, 1131.0)	(105, 1219.0)	(110, 1251.0)	(115, 1305.0)	(120, 1293.0)	(125, 967.0)	(130, 709.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1934754.0)
10R_S10_R2	(25, 205.0)	(30, 297.0)	(35, 358.0)	(40, 459.0)	(45, 595.0)	(50, 838.0)	(55, 712.0)	(60, 766.0)	(65, 619.0)	(70, 652.0)	(75, 477.0)	(80, 411.0)	(85, 452.0)	(90, 487.0)	(95, 616.0)	(100, 782.0)	(105, 939.0)	(110, 1061.0)	(115, 1383.0)	(120, 1286.0)	(125, 1016.0)	(130, 729.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1950107.0)
11R_S11_R1	(25, 508.0)	(30, 1203.0)	(35, 3033.0)	(40, 1320.0)	(45, 1304.0)	(50, 1195.0)	(55, 816.0)	(60, 768.0)	(65, 608.0)	(70, 505.0)	(75, 434.0)	(80, 457.0)	(85, 450.0)	(90, 369.0)	(95, 467.0)	(100, 583.0)	(105, 615.0)	(110, 747.0)	(115, 804.0)	(120, 686.0)	(125, 597.0)	(130, 401.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 897543.0)
11R_S11_R2	(25, 159.0)	(30, 181.0)	(35, 237.0)	(40, 276.0)	(45, 376.0)	(50, 522.0)	(55, 432.0)	(60, 474.0)	(65, 380.0)	(70, 321.0)	(75, 299.0)	(80, 238.0)	(85, 260.0)	(90, 217.0)	(95, 266.0)	(100, 301.0)	(105, 348.0)	(110, 426.0)	(115, 452.0)	(120, 371.0)	(125, 284.0)	(130, 189.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 908404.0)
12R_S12_R1	(25, 407.0)	(30, 981.0)	(35, 2505.0)	(40, 1345.0)	(45, 1481.0)	(50, 1398.0)	(55, 1012.0)	(60, 952.0)	(65, 886.0)	(70, 716.0)	(75, 697.0)	(80, 642.0)	(85, 674.0)	(90, 577.0)	(95, 826.0)	(100, 911.0)	(105, 976.0)	(110, 1045.0)	(115, 982.0)	(120, 883.0)	(125, 772.0)	(130, 457.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1632627.0)
12R_S12_R2	(25, 118.0)	(30, 172.0)	(35, 240.0)	(40, 291.0)	(45, 479.0)	(50, 727.0)	(55, 538.0)	(60, 556.0)	(65, 559.0)	(70, 445.0)	(75, 413.0)	(80, 341.0)	(85, 385.0)	(90, 376.0)	(95, 472.0)	(100, 501.0)	(105, 544.0)	(110, 603.0)	(115, 637.0)	(120, 489.0)	(125, 400.0)	(130, 212.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1644254.0)
13R_S13_R1	(25, 888.0)	(30, 1771.0)	(35, 3260.0)	(40, 2222.0)	(45, 2296.0)	(50, 2005.0)	(55, 1506.0)	(60, 1167.0)	(65, 928.0)	(70, 784.0)	(75, 660.0)	(80, 614.0)	(85, 554.0)	(90, 527.0)	(95, 816.0)	(100, 814.0)	(105, 1008.0)	(110, 993.0)	(115, 1064.0)	(120, 889.0)	(125, 865.0)	(130, 560.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1717839.0)
13R_S13_R2	(25, 206.0)	(30, 245.0)	(35, 265.0)	(40, 393.0)	(45, 541.0)	(50, 703.0)	(55, 601.0)	(60, 634.0)	(65, 494.0)	(70, 523.0)	(75, 485.0)	(80, 491.0)	(85, 462.0)	(90, 727.0)	(95, 704.0)	(100, 657.0)	(105, 836.0)	(110, 996.0)	(115, 1504.0)	(120, 1513.0)	(125, 1114.0)	(130, 787.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1729149.0)
14R_S14_R1	(25, 1204.0)	(30, 2645.0)	(35, 3316.0)	(40, 2653.0)	(45, 2606.0)	(50, 2285.0)	(55, 1669.0)	(60, 1408.0)	(65, 1396.0)	(70, 1004.0)	(75, 912.0)	(80, 713.0)	(85, 687.0)	(90, 535.0)	(95, 696.0)	(100, 752.0)	(105, 797.0)	(110, 784.0)	(115, 821.0)	(120, 720.0)	(125, 703.0)	(130, 464.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1612516.0)
14R_S14_R2	(25, 258.0)	(30, 293.0)	(35, 394.0)	(40, 483.0)	(45, 644.0)	(50, 857.0)	(55, 653.0)	(60, 785.0)	(65, 730.0)	(70, 658.0)	(75, 557.0)	(80, 501.0)	(85, 423.0)	(90, 320.0)	(95, 455.0)	(100, 477.0)	(105, 545.0)	(110, 636.0)	(115, 668.0)	(120, 609.0)	(125, 517.0)	(130, 370.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1629453.0)
