Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
10R_S10_R1	10R_S10_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1965247.0	294.2 Mbp	0.0	25-151	50.0	52.92126125548929	149.7210248889834	151	pass	fail	pass	pass	fail	warn	pass	warn	warn	fail	pass
10R_S10_R2	10R_S10_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1965247.0	295.8 Mbp	0.0	25-151	51.0	55.29988033797281	150.52514874720583	151	pass	fail	pass	pass	fail	warn	pass	warn	warn	fail	pass
11R_S11_R1	11R_S11_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	915413.0	136.7 Mbp	0.0	25-151	53.0	60.83100259586771	149.38421564911138	151	pass	fail	pass	pass	fail	fail	pass	warn	warn	warn	pass
11R_S11_R2	11R_S11_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	915413.0	137.7 Mbp	0.0	25-151	53.0	63.859660131980036	150.45950516324325	151	pass	fail	pass	pass	warn	fail	pass	warn	warn	warn	pass
12R_S12_R1	12R_S12_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1653752.0	248 Mbp	0.0	25-151	51.0	63.81061006797365	150.01142674355043	151	pass	fail	pass	pass	fail	warn	pass	warn	warn	warn	pass
12R_S12_R2	12R_S12_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1653752.0	249 Mbp	0.0	25-151	52.0	66.76463050253888	150.60936887755844	151	pass	fail	pass	pass	fail	warn	pass	warn	warn	warn	pass
13R_S13_R1	13R_S13_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1744030.0	261.1 Mbp	0.0	25-151	44.0	24.905729983323496	149.75263957615408	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
13R_S13_R2	13R_S13_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1744030.0	262.4 Mbp	0.0	25-151	45.0	26.43360868376044	150.4987993325803	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
14R_S14_R1	14R_S14_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1641286.0	245.3 Mbp	0.0	25-151	50.0	56.909267263307996	149.46824685033565	151	pass	fail	pass	pass	fail	warn	pass	warn	warn	warn	pass
14R_S14_R2	14R_S14_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1641286.0	246.9 Mbp	0.0	25-151	50.0	59.392847422362436	150.48877465597099	151	pass	fail	pass	pass	fail	pass	pass	warn	warn	warn	pass
15R_S15_R1	15R_S15_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1838477.0	275.8 Mbp	0.0	25-151	51.0	43.0738442249908	150.03578179112384	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
15R_S15_R2	15R_S15_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1838477.0	277 Mbp	0.0	25-151	51.0	46.538648590771125	150.67616510840222	151	pass	fail	pass	pass	fail	warn	pass	warn	fail	warn	pass
16R_S16_R1	16R_S16_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	562748.0	81.2 Mbp	0.0	25-151	52.0	44.14837880905261	144.35901327059358	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	warn
16R_S16_R2	16R_S16_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	562748.0	83.9 Mbp	0.0	25-151	52.0	49.9040023633963	149.11316788331544	151	pass	fail	pass	pass	warn	fail	pass	warn	fail	warn	warn
17R_S17_R1	17R_S17_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	498137.0	69.3 Mbp	0.0	25-151	54.0	38.64178317461064	139.29219070255772	151	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
17R_S17_R2	17R_S17_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	498137.0	73.7 Mbp	0.0	25-151	54.0	44.76555867639455	147.9952884447451	151	pass	fail	warn	pass	fail	fail	pass	warn	fail	warn	fail
18R_S18_R1	18R_S18_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1048275.0	156.5 Mbp	0.0	25-151	52.0	38.92792456018295	149.36893658629654	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
18R_S18_R2	18R_S18_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1048275.0	157.7 Mbp	0.0	25-151	52.0	40.25752934392256	150.46713887100236	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
19R_S19_R1	19R_S19_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1556947.0	233.5 Mbp	0.0	25-151	52.0	59.839888462374205	150.00886093104003	151	pass	fail	pass	pass	fail	warn	pass	warn	warn	warn	pass
