Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
10R_S10_R1	47.07873874451071	50.0	149.7210248889834	151	27.27272727272727	1.965247
10R_S10_R2	44.70011966202719	51.0	150.52514874720583	151	27.27272727272727	1.965247
11R_S11_R1	39.16899740413229	53.0	149.38421564911138	151	27.27272727272727	0.9154129999999999
11R_S11_R2	36.140339868019964	53.0	150.45950516324325	151	18.181818181818183	0.9154129999999999
12R_S12_R1	36.18938993202635	51.0	150.01142674355043	151	18.181818181818183	1.6537519999999999
12R_S12_R2	33.23536949746112	52.0	150.60936887755844	151	18.181818181818183	1.6537519999999999
13R_S13_R1	75.0942700166765	44.0	149.75263957615408	151	45.45454545454545	1.74403
13R_S13_R2	73.56639131623956	45.0	150.4987993325803	151	45.45454545454545	1.74403
14R_S14_R1	43.090732736692004	50.0	149.46824685033565	151	18.181818181818183	1.641286
14R_S14_R2	40.607152577637564	50.0	150.48877465597099	151	18.181818181818183	1.641286
15R_S15_R1	56.9261557750092	51.0	150.03578179112384	151	36.36363636363637	1.838477
15R_S15_R2	53.461351409228875	51.0	150.67616510840222	151	27.27272727272727	1.838477
16R_S16_R1	55.85162119094739	52.0	144.35901327059358	151	36.36363636363637	0.562748
16R_S16_R2	50.0959976366037	52.0	149.11316788331544	151	27.27272727272727	0.562748
17R_S17_R1	61.35821682538936	54.0	139.29219070255772	151	27.27272727272727	0.498137
17R_S17_R2	55.23444132360545	54.0	147.9952884447451	151	45.45454545454545	0.498137
18R_S18_R1	61.07207543981705	52.0	149.36893658629654	151	45.45454545454545	1.0482749999999998
18R_S18_R2	59.74247065607744	52.0	150.46713887100236	151	45.45454545454545	1.0482749999999998
19R_S19_R1	40.160111537625795	52.0	150.00886093104003	151	18.181818181818183	1.5569469999999999
19R_S19_R2	38.54467155473033	52.0	150.5800454350726	151	18.181818181818183	1.5569469999999999
