Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
10R_S10_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0034349688857230275)	(4, 0.0044213856125803535)	(5, 0.05111177735049376)	(6, 0.05234654722489319)	(7, 0.054032550282854995)	(8, 0.05593892303511472)	(9, 0.057558465391621606)	(10, 0.062495446130225965)	(15, 0.07380355958619889)	(20, 0.07781918512673863)	(25, 0.08033489757339037)	(30, 0.08226085874292102)	(35, 0.08315003296975482)	(40, 0.0834739414410562)	(45, 0.08368801485837417)	(50, 0.08379365239437095)	(55, 0.08398184111743805)	(60, 0.08429315703477955)	(65, 0.0845813866031946)	(70, 0.08518163167528223)	(75, 0.08654372626194269)	(80, 0.09029141023766943)	(85, 0.09246782331373549)	(90, 0.09306457045416759)	(95, 0.09349061852981022)	(100, 0.09444345511277455)	(105, 0.09652122651615487)	(110, 0.10018286137315573)	(115, 0.10598453081700525)	(120, 0.11226961441564795)	(125, 0.1199986442016903)	(130, 0.12854129289080723)	(135, 0.13511950316218269)	(140, 0.13803887692188171)
10R_S10_R2 - polyg	(1, 0.06116833086012076)	(2, 0.11095439211317153)	(3, 0.11465520380471425)	(4, 0.11538627152071844)	(5, 0.12012247098229581)	(6, 0.12127678842861822)	(7, 0.12356093779967436)	(8, 0.12636627898740335)	(9, 0.12939198986943026)	(10, 0.13729801499724206)	(15, 0.14624572417206844)	(20, 0.15097562735666586)	(25, 0.15408179066676977)	(30, 0.157718940002182)	(35, 0.16237608620834457)	(40, 0.16411735658646365)	(45, 0.16562426554366272)	(50, 0.16739561813401926)	(55, 0.169288698745988)	(60, 0.17099918732553848)	(65, 0.17258584912448344)	(70, 0.17425226376517433)	(75, 0.17629155792034393)	(80, 0.1787820852590759)	(85, 0.18101166689630588)	(90, 0.1836791895768073)	(95, 0.18641037461343918)	(100, 0.18968303947034598)	(105, 0.19480680975935524)	(110, 0.20431418799906523)	(115, 0.22349124850730137)	(120, 0.23498125440936146)	(125, 0.2470722049698403)	(130, 0.26322845170036735)	(135, 0.2842999919932344)	(140, 0.3056737535811387)
11R_S11_R2 - polyg	(1, 0.044527816082999536)	(2, 0.11645947947140063)	(3, 0.11902355918058924)	(4, 0.11971071683619108)	(5, 0.12403784675889526)	(6, 0.12507447316506035)	(7, 0.12736368981200819)	(8, 0.13015158658616424)	(9, 0.13388187100228854)	(10, 0.1414296106914192)	(15, 0.1500925090902123)	(20, 0.15460890186434512)	(25, 0.1576331808720282)	(30, 0.16108860222591176)	(35, 0.16495474752708647)	(40, 0.16696124788144387)	(45, 0.16891120497728312)	(50, 0.17098367246657833)	(55, 0.17322105779321792)	(60, 0.1751922186110015)	(65, 0.1769105054115236)	(70, 0.17907799698805058)	(75, 0.18184469004026232)	(80, 0.18505430528419917)	(85, 0.18786576174940445)	(90, 0.19116568914236326)	(95, 0.1951959669578474)	(100, 0.19924430720313602)	(105, 0.20406540531483858)	(110, 0.21244244612890126)	(115, 0.2297572484039978)	(120, 0.23926122777324754)	(125, 0.24877698698802186)	(130, 0.2602639070205798)	(135, 0.274416213433838)	(140, 0.2869609635945052)
12R_S12_R2 - polyg	(1, 0.06137539121965979)	(2, 0.13123233010902147)	(3, 0.13341181365179322)	(4, 0.13398859671517319)	(5, 0.13767622613678268)	(6, 0.13879669815334866)	(7, 0.140839077525317)	(8, 0.1432691307595571)	(9, 0.14672037367978139)	(10, 0.15418640493953234)	(15, 0.162466551310054)	(20, 0.1665862952561957)	(25, 0.16998647869212075)	(30, 0.1734963454646886)	(35, 0.17759812403672498)	(40, 0.1797776075794968)	(45, 0.18181620476744295)	(50, 0.1838888416115886)	(55, 0.18631038493177887)	(60, 0.18837923959190234)	(65, 0.19045565862007016)	(70, 0.1924148299435509)	(75, 0.1948883782940459)	(80, 0.19786022938946096)	(85, 0.20043778780056543)	(90, 0.20341342108000265)	(95, 0.20648360895999396)	(100, 0.21015705519152034)	(105, 0.214668255183956)	(110, 0.22151873599409982)	(115, 0.23523482635047607)	(120, 0.24548265395852834)	(125, 0.256687374124188)	(130, 0.27040630111858094)	(135, 0.2853676755642546)	(140, 0.2960599097949111)
13R_S13_R2 - polyg	(1, 0.038703627326973314)	(2, 0.13348977901679623)	(3, 0.13601580152865372)	(4, 0.13679118360937395)	(5, 0.14125049210916057)	(6, 0.142646179854457)	(7, 0.14522734064761014)	(8, 0.14796702399948833)	(9, 0.15174399626824112)	(10, 0.16006022754465926)	(15, 0.16888442023751368)	(20, 0.17363182625707013)	(25, 0.17716825777367057)	(30, 0.18092317472990513)	(35, 0.1852129330147076)	(40, 0.187330243016461)	(45, 0.18935726408259274)	(50, 0.19149662939686438)	(55, 0.1940522887349183)	(60, 0.1961751125648013)	(65, 0.1980904786113093)	(70, 0.20020158555641693)	(75, 0.20290473979693674)	(80, 0.20603314803194933)	(85, 0.20885622803428716)	(90, 0.21193225490206893)	(95, 0.2153770190260153)	(100, 0.21946414412705625)	(105, 0.2248649387799663)	(110, 0.23342240003705292)	(115, 0.24849927382883533)	(120, 0.25935669064446726)	(125, 0.27085026538054785)	(130, 0.28547776217977067)	(135, 0.3014423623004132)	(140, 0.31379540499618996)
14R_S14_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0032175950650939144)	(4, 0.004340539523769464)	(5, 0.04188545021282066)	(6, 0.04319744256016213)	(7, 0.04485350206487557)	(8, 0.047386743772998854)	(9, 0.04862689792264727)	(10, 0.05250842917273588)	(15, 0.06143148951776719)	(20, 0.06470126180013289)	(25, 0.06716266531056315)	(30, 0.0694509009549754)	(35, 0.0705337672612538)	(40, 0.07094816023320948)	(45, 0.07118636057292853)	(50, 0.07140187516600768)	(55, 0.07165898029459332)	(60, 0.07200909698440261)	(65, 0.07236980035597718)	(70, 0.07307305850181439)	(75, 0.07394797213056024)	(80, 0.07685401627513273)	(85, 0.0794273361356532)	(90, 0.08015630479434896)	(95, 0.08096089260851112)	(100, 0.08216399337198103)	(105, 0.08431233357878051)	(110, 0.08820823246840774)	(115, 0.09452318814140404)	(120, 0.10038442888160215)	(125, 0.1072166195779884)	(130, 0.11455016527511666)	(135, 0.12035998498959766)	(140, 0.12305505169041896)
14R_S14_R2 - polyg	(1, 0.0344747729771167)	(2, 0.11600356544318025)	(3, 0.1198714852452849)	(4, 0.12078269606865463)	(5, 0.12494553057707813)	(6, 0.12629155154437946)	(7, 0.12838998310857114)	(8, 0.13073795788580184)	(9, 0.1330405611697527)	(10, 0.13976310409071274)	(15, 0.14746415888340753)	(20, 0.15187275564709674)	(25, 0.1548710551613382)	(30, 0.1583578544198924)	(35, 0.16266058436592865)	(40, 0.16421833896853583)	(45, 0.16563241717575689)	(50, 0.16731267481021955)	(55, 0.16917290603469218)	(60, 0.170807792175875)	(65, 0.1724336040184019)	(70, 0.17420611702253358)	(75, 0.17628564379785866)	(80, 0.1786555481301746)	(85, 0.18087572653466713)	(90, 0.18346795118405418)	(95, 0.18610101017739308)	(100, 0.1895787351372913)	(105, 0.19524260988172218)	(110, 0.2050042866608755)	(115, 0.22391134410213126)	(120, 0.23632347228038073)	(125, 0.24891254928242149)	(130, 0.26543609094337733)	(135, 0.2848634081742417)	(140, 0.3016372492397912)
15R_S15_R2 - polyg	(1, 0.039031692565421466)	(2, 0.10743304430033179)	(3, 0.10964672756609178)	(4, 0.11041384552947395)	(5, 0.11430057654394363)	(6, 0.1156850418207143)	(7, 0.11774164855111507)	(8, 0.12015259072174476)	(9, 0.12289229773382394)	(10, 0.12971964760792526)	(15, 0.13787301567587293)	(20, 0.14237855518080422)	(25, 0.1454229176126266)	(30, 0.14878946958906952)	(35, 0.15273318650939044)	(40, 0.1545472378456551)	(45, 0.15619252322997573)	(50, 0.1580496792898972)	(55, 0.16016984722297817)	(60, 0.16200143268412018)	(65, 0.1636291839435635)	(70, 0.16531611287446774)	(75, 0.16749253612486342)	(80, 0.17012849956475187)	(85, 0.17262419000562187)	(90, 0.17527330403916833)	(95, 0.17788223570320427)	(100, 0.180924406369417)	(105, 0.18576382483555362)	(110, 0.19365929515009758)	(115, 0.20914704153651537)	(120, 0.21861035485050512)	(125, 0.22807147639888528)	(130, 0.2408735793249289)	(135, 0.2556102806957687)	(140, 0.26913055215324533)
16R_S16_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.004748946651215602)	(4, 0.006536903342559969)	(5, 0.062097239779195706)	(6, 0.0646304569231939)	(7, 0.0669230518582635)	(8, 0.07124756766873006)	(9, 0.07270132684767361)	(10, 0.07829378802018887)	(15, 0.09415814393385563)	(20, 0.09965368782777465)	(25, 0.10274835679260623)	(30, 0.10554024281120263)	(35, 0.10627614573350923)	(40, 0.1064639647354785)	(45, 0.10664309460212533)	(50, 0.10678479434738328)	(55, 0.10692849927771561)	(60, 0.10706351507272556)	(65, 0.10718248938714023)	(70, 0.10733287826772062)	(75, 0.1075848631920708)	(80, 0.10782481700597461)	(85, 0.10808749625072167)	(90, 0.1083909475919816)	(95, 0.10877460633621774)	(100, 0.10985072232614837)	(105, 0.11231175280746797)	(110, 0.11665297849355458)	(115, 0.12332422923609969)	(120, 0.13180415691575798)	(125, 0.1422391400429611)	(130, 0.1529722273512257)	(135, 0.16199221821092374)	(140, 0.16604603403634566)
16R_S16_R2 - polyg	(1, 0.04076541256265159)	(2, 0.13240571243807947)	(3, 0.13718807884053516)	(4, 0.1382641948304658)	(5, 0.14377845378507925)	(6, 0.1456833796057639)	(7, 0.14853074241141886)	(8, 0.15185266568468297)	(9, 0.15475015811719806)	(10, 0.16394994723856776)	(15, 0.1751649473597143)	(20, 0.1815828763878596)	(25, 0.18566476480432317)	(30, 0.19117100301863904)	(35, 0.19875461297003832)	(40, 0.20071301039270714)	(45, 0.20250430905917552)	(50, 0.20481962942508836)	(55, 0.20726796040093673)	(60, 0.2092370521440024)	(65, 0.21138126338356597)	(70, 0.2136631639982388)	(75, 0.21654795692528261)	(80, 0.21996947105724218)	(85, 0.2232893891454319)	(90, 0.22714335485843812)	(95, 0.23110760575053657)	(100, 0.23574559882763513)	(105, 0.2433445818646049)	(110, 0.2564778757069322)	(115, 0.28361137173875445)	(120, 0.30121890187710393)	(125, 0.3193638216153938)	(130, 0.34396877926839153)	(135, 0.37250590485229723)	(140, 0.3979590557917682)
