Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10R_S10_R1	(1, 0.0)	(2, 0.08797298113638914)	(3, 0.0)	(4, 0.0022526679861564454)	(5, 0.0)	(6, 0.000535183543294932)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00015460857917409148)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.766174126341618e-05)	(35, 0.0)	(40, 0.0)	(45, 9.799366441561454e-06)	(50, 0.0018096276981881504)	(55, 7.701488135447949e-06)	(60, 0.00013373909822414853)	(65, 0.0)	(70, 8.404176337772588e-06)	(75, 0.00012747781947228595)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 8.899209355700956e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 9.81800759062426e-06)	(120, 0.00010521829502885854)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00010036041107989326)	(145, 2.1054632138380026e-06)	(150, 0.0)
10R_S10_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.4979316555224314e-06)	(9, 0.00042324973031821416)	(10, 3.148138489970188e-05)	(15, 1.6090485615403182e-05)	(20, 3.4979316555224314e-06)	(25, 0.0)	(30, 7.135923354026695e-05)	(35, 1.3992315909833376e-06)	(40, 6.996331522540477e-07)	(45, 0.0)	(50, 5.66745276335551e-05)	(55, 1.3994477121587397e-06)	(60, 0.0)	(65, 1.3996416063706312e-06)	(70, 0.0)	(75, 2.3798134535628157e-05)	(80, 7.000009989014255e-07)	(85, 7.000467337198497e-07)	(90, 0.0)	(95, 0.0)	(100, 7.70252495700363e-06)	(105, 0.0008831165545982888)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.6120667033671172e-05)	(130, 7.010202971874603e-07)	(135, 0.0)	(140, 0.0)	(145, 1.1217360154836026e-05)	(150, 0.0)
11R_S11_R1	(1, 0.0)	(2, 0.0868292413618491)	(3, 0.0)	(4, 0.0022420972648494472)	(5, 0.0)	(6, 0.0006243318128039617)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00014449943843513076)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.324858404957286e-05)	(35, 0.0)	(40, 0.0)	(45, 7.855862581606601e-06)	(50, 0.001770862534265974)	(55, 5.500001826786321e-06)	(60, 0.00014379553274740137)	(65, 0.0)	(70, 7.858926794230514e-06)	(75, 0.00011710875615096058)	(80, 1.5720678382172097e-06)	(85, 0.0)	(90, 0.0)	(95, 8.72723155704032e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.2588069279698088e-05)	(120, 0.00010544879167055903)	(125, 0.0)	(130, 0.0)	(135, 7.873042466403759e-07)	(140, 0.00010156225101502416)	(145, 7.085738498694985e-06)	(150, 0.0)
11R_S11_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.926615174867684e-06)	(9, 0.0003141292139894147)	(10, 2.0418398909311955e-05)	(15, 7.853230349735367e-06)	(20, 7.853230349735367e-07)	(25, 0.0)	(30, 5.340284750579724e-05)	(35, 0.0)	(40, 7.853626311815746e-07)	(45, 0.0)	(50, 4.948050729552381e-05)	(55, 0.0)	(60, 7.854696287564202e-07)	(65, 0.0)	(70, 0.0)	(75, 1.2569933611267137e-05)	(80, 7.856672730682381e-07)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 3.143088301286261e-06)	(105, 0.0009162473394448236)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.1221698771992254e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.1790583207049637e-05)	(150, 0.0)
12R_S12_R1	(1, 0.0)	(2, 0.08820053139685512)	(3, 0.0)	(4, 0.0020991121323007973)	(5, 0.0)	(6, 0.0006666099339063342)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00014277744683667583)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.983122028081826e-05)	(35, 0.0)	(40, 0.0)	(45, 1.1350615187263112e-05)	(50, 0.0017945427529188302)	(55, 7.568763779998818e-06)	(60, 0.00013435912805921776)	(65, 0.0)	(70, 6.625052064627913e-06)	(75, 0.0001277885121705637)	(80, 1.8934475816882751e-06)	(85, 0.0)	(90, 0.0)	(95, 0.00010229522350355515)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.043037104821806e-05)	(120, 0.0001128702417806728)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00011672834921629726)	(145, 7.592088114154257e-06)	(150, 0.0)
12R_S12_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 4.727730027704498e-06)	(9, 0.0003640352121332464)	(10, 3.403965619947239e-05)	(15, 1.0401006060949894e-05)	(20, 1.8910920110817994e-06)	(25, 0.0)	(30, 6.808036618689141e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 6.714277386960601e-05)	(55, 9.457320686386233e-07)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.9867913005447867e-05)	(80, 1.892364412728501e-06)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 4.732133781586283e-06)	(105, 0.0009540770171857288)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.4203157418706808e-05)	(130, 9.469348863519999e-07)	(135, 0.0)	(140, 0.0)	(145, 7.575683612407156e-06)	(150, 0.0)
13R_S13_R1	(1, 0.0)	(2, 0.08516107546114902)	(3, 0.0)	(4, 0.002157285255692752)	(5, 0.0)	(6, 0.0006306440923191271)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001433595313687196)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.547036648307702e-05)	(35, 0.0)	(40, 0.0)	(45, 1.0342663473036057e-05)	(50, 0.0017205352341687072)	(55, 9.655356531453859e-06)	(60, 0.00013449691604434195)	(65, 0.0)	(70, 4.828979983733098e-06)	(75, 0.00012280645422704713)	(80, 1.379986128793429e-06)	(85, 0.0)	(90, 0.0)	(95, 7.868262916348873e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 6.216582458797751e-06)	(120, 8.774372382443221e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 8.986249696938729e-05)	(145, 3.4562499073292992e-06)	(150, 0.0)
13R_S13_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 6.892285161957673e-06)	(9, 0.0003859679690696297)	(10, 2.550145509924339e-05)	(15, 8.959970710544976e-06)	(20, 4.824599613370372e-06)	(25, 0.0)	(30, 7.1681046746195e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 6.548456909550886e-05)	(55, 6.893430568939917e-07)	(60, 0.0)	(65, 6.894207313281357e-07)	(70, 0.0)	(75, 1.7927588429346877e-05)	(80, 2.758287678730318e-06)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 3.448740585809008e-06)	(105, 0.0008953569870048176)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.656298445435546e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.0353265140287088e-05)	(150, 0.0)
14R_S14_R1	(1, 0.0)	(2, 0.08622852297829824)	(3, 0.0)	(4, 0.002147584015244822)	(5, 0.0)	(6, 0.0005028673838513403)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00013006494740215116)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.487127585736233e-05)	(35, 0.0)	(40, 0.0)	(45, 9.836025807946104e-06)	(50, 0.0016966045350965693)	(55, 6.811665840562971e-06)	(60, 0.0001453332428432045)	(65, 0.0)	(70, 6.057303912200591e-06)	(75, 0.00011737980438663173)	(80, 7.574044923538804e-07)	(85, 0.0)	(90, 0.0)	(95, 8.713556704576497e-05)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 6.824622348716682e-06)	(120, 0.00011832021069917027)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0001062346844680384)	(145, 6.07055349030267e-06)	(150, 0.0)
14R_S14_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.780957773318348e-06)	(9, 0.0002760099174522394)	(10, 2.4198129749237427e-05)	(15, 6.049532437309357e-06)	(20, 0.0)	(25, 0.0)	(30, 5.747197972533748e-05)	(35, 7.562293313543517e-07)	(40, 0.0)	(45, 0.0)	(50, 6.353111039440287e-05)	(55, 7.563731471921205e-07)	(60, 7.564277066155806e-07)	(65, 0.0)	(70, 0.0)	(75, 1.2863851193390827e-05)	(80, 2.2703675009061416e-06)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 1.5141269329855443e-06)	(105, 0.0008154868664060784)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.4398369510449221e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 1.3644705513143265e-05)	(150, 0.0)
