Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10R_S10_R1	(1, 20.062804348474724)	(2, 36.16085543037974)	(3, 36.05609881349109)	(4, 36.264025665303976)	(5, 36.32815702411086)	(6, 36.36849555673483)	(7, 36.36483773462333)	(8, 36.30324692357785)	(9, 36.34509981575344)	(10, 36.39308523273645)	(15, 36.40063152357695)	(20, 36.3928018932765)	(25, 36.301236491420276)	(30, 36.256095122015395)	(35, 36.23752694892961)	(40, 36.252061931806516)	(45, 36.222645716677405)	(50, 36.18672862693403)	(55, 36.12282547140863)	(60, 36.098449701076035)	(65, 36.1115831605547)	(70, 36.12142680464057)	(75, 36.06552490600976)	(80, 35.99955434539804)	(85, 36.04644352445599)	(90, 35.995921627682584)	(95, 35.992907808453005)	(100, 35.93416144960513)	(105, 35.9281481698993)	(110, 35.91057268258362)	(115, 35.856535130512796)	(120, 35.80581068922133)	(125, 35.84706246133904)	(130, 35.805394614973125)	(135, 35.728618735821684)	(140, 35.65792642389558)	(145, 35.671584773739205)	(150, 35.61301267202405)
10R_S10_R2	(1, 18.863448513576678)	(2, 36.171793322749295)	(3, 35.99793940344105)	(4, 35.93132542262098)	(5, 35.94687351895387)	(6, 35.978367636324805)	(7, 35.89438264706887)	(8, 35.899528629223894)	(9, 35.99252268137589)	(10, 36.040426715481)	(15, 36.040023222068676)	(20, 36.01214116686732)	(25, 35.95836013793955)	(30, 35.9563157077812)	(35, 35.92300224949483)	(40, 35.899663805338506)	(45, 35.88742353832204)	(50, 35.88751994153471)	(55, 35.87032368178931)	(60, 35.87792280067441)	(65, 35.829376856604945)	(70, 35.732300811187834)	(75, 35.74204208182175)	(80, 35.75538936158614)	(85, 35.758146313704835)	(90, 35.71763897565613)	(95, 35.668188437937374)	(100, 35.6267166101081)	(105, 35.59081472823661)	(110, 35.5622747525866)	(115, 35.46670240573018)	(120, 35.42369685881918)	(125, 35.35162231203013)	(130, 35.435444719957225)	(135, 35.38839369190349)	(140, 35.37805298246646)	(145, 35.4315871467421)	(150, 35.28845848267466)
11R_S11_R1	(1, 19.864748879020084)	(2, 36.142031953459245)	(3, 36.00081025704134)	(4, 36.23773526658399)	(5, 36.32497880511294)	(6, 36.3752463509278)	(7, 36.36899843866001)	(8, 36.28319302293885)	(9, 36.35186111939082)	(10, 36.39155583762614)	(15, 36.38698191208646)	(20, 36.38396155969396)	(25, 36.3016569151249)	(30, 36.2778202672077)	(35, 36.28936020390001)	(40, 36.31281786782394)	(45, 36.281196258584956)	(50, 36.27377835600056)	(55, 36.22529527244906)	(60, 36.188127713860275)	(65, 36.24831914207617)	(70, 36.23192049326123)	(75, 36.18286872390924)	(80, 36.10830303201531)	(85, 36.14238706778113)	(90, 36.11419174527697)	(95, 36.10906817691132)	(100, 36.065410848132316)	(105, 36.05322161932239)	(110, 36.02717557090749)	(115, 35.9443314796325)	(120, 35.884558550400506)	(125, 35.93332001810772)	(130, 35.92936165481061)	(135, 35.84674815003184)	(140, 35.80623189239916)	(145, 35.7766744495631)	(150, 35.655636240938385)
11R_S11_R2	(1, 18.841251738950614)	(2, 36.01726842894988)	(3, 35.82815800872235)	(4, 35.79086003356392)	(5, 35.787540551627394)	(6, 35.8430982297366)	(7, 35.748627559647545)	(8, 35.7223376538011)	(9, 35.8680231263498)	(10, 35.92612135589006)	(15, 35.92733756996787)	(20, 35.91132083599051)	(25, 35.85012199699845)	(30, 35.85481243893023)	(35, 35.82795886826651)	(40, 35.79730310777059)	(45, 35.771387132419406)	(50, 35.76992475462354)	(55, 35.73104323254464)	(60, 35.74962748949889)	(65, 35.68082891286447)	(70, 35.56454609224003)	(75, 35.59828858445264)	(80, 35.586909786608985)	(85, 35.549866603381176)	(90, 35.50396998493169)	(95, 35.46366395437648)	(100, 35.46540622244335)	(105, 35.41309532072012)	(110, 35.37580470097496)	(115, 35.26633059550412)	(120, 35.23672781967711)	(125, 35.13460601219051)	(130, 35.23970238044817)	(135, 35.176941187863534)	(140, 35.18353166797372)	(145, 35.180006763078524)	(150, 35.01328657240436)
12R_S12_R1	(1, 19.940699042161896)	(2, 36.16439489783375)	(3, 36.02756833933755)	(4, 36.23939749808527)	(5, 36.306410896472165)	(6, 36.374568169139266)	(7, 36.349760114978395)	(8, 36.280915193978764)	(9, 36.34408617706295)	(10, 36.37833102620108)	(15, 36.38613097703269)	(20, 36.392090696772854)	(25, 36.30186027573701)	(30, 36.28505354917055)	(35, 36.26931785387248)	(40, 36.26640791054804)	(45, 36.23690886852079)	(50, 36.22461822137316)	(55, 36.19817606771314)	(60, 36.18435154241857)	(65, 36.20679263007656)	(70, 36.1890119095129)	(75, 36.16471936202428)	(80, 36.07395497120149)	(85, 36.10499327315802)	(90, 36.09356857492879)	(95, 36.071655293859116)	(100, 36.033251198185134)	(105, 36.025276966068056)	(110, 35.989280068961634)	(115, 35.919093128468866)	(120, 35.89992603259519)	(125, 35.93976700814701)	(130, 35.8973656977399)	(135, 35.8388204857664)	(140, 35.75838022131151)	(145, 35.7527975587261)	(150, 35.673902382123394)
12R_S12_R2	(1, 19.216493631747653)	(2, 36.06621970706985)	(3, 35.84867103508921)	(4, 35.763420229011246)	(5, 35.813803458807286)	(6, 35.87379920385026)	(7, 35.81659849279967)	(8, 35.76158913189421)	(9, 35.87641368583289)	(10, 35.92111430705661)	(15, 35.92565535793644)	(20, 35.922658856456664)	(25, 35.86405234026955)	(30, 35.873506934514964)	(35, 35.827944532990955)	(40, 35.8034507552945)	(45, 35.76671227087702)	(50, 35.77894290838735)	(55, 35.74745628916828)	(60, 35.76201205127792)	(65, 35.70437841889425)	(70, 35.59180722885443)	(75, 35.60384070548857)	(80, 35.60661280148663)	(85, 35.61893374855558)	(90, 35.596237771876815)	(95, 35.54410477668361)	(100, 35.51122422355745)	(105, 35.480878152541734)	(110, 35.43024322755599)	(115, 35.34963995810624)	(120, 35.298959360745194)	(125, 35.22365811470689)	(130, 35.30442733426141)	(135, 35.26616884957615)	(140, 35.25001165945012)	(145, 35.29094623219537)	(150, 35.13598480052704)
13R_S13_R1	(1, 19.513559123676266)	(2, 36.16793500795645)	(3, 36.0211589019101)	(4, 36.24015209619204)	(5, 36.32215340352069)	(6, 36.36566450313241)	(7, 36.361212121379204)	(8, 36.267646455545865)	(9, 36.34456883793867)	(10, 36.39272894241468)	(15, 36.39278545915301)	(20, 36.39401906792044)	(25, 36.32574298105282)	(30, 36.29813827367013)	(35, 36.27410674147988)	(40, 36.27144776496094)	(45, 36.24827447875562)	(50, 36.236046624054566)	(55, 36.20600379359956)	(60, 36.1832781902928)	(65, 36.21382739338158)	(70, 36.2038163521292)	(75, 36.14355113608609)	(80, 36.08636348267299)	(85, 36.11070923957118)	(90, 36.08519597927576)	(95, 36.06980470793135)	(100, 36.02111827058518)	(105, 36.01369879588794)	(110, 35.963461325389574)	(115, 35.91451067688854)	(120, 35.88070127111515)	(125, 35.90456108916533)	(130, 35.859933416208705)	(135, 35.78646181428091)	(140, 35.71042887287353)	(145, 35.688782447144526)	(150, 35.600189030029355)
13R_S13_R2	(1, 19.039329377896827)	(2, 36.03633536922247)	(3, 35.8390676916138)	(4, 35.7907880611285)	(5, 35.81309294329248)	(6, 35.86548609633099)	(7, 35.7989734079097)	(8, 35.74003210150737)	(9, 35.87667792682268)	(10, 35.93715034748145)	(15, 35.95527942840349)	(20, 35.95161930793738)	(25, 35.88561503042735)	(30, 35.8850978346306)	(35, 35.84943438668728)	(40, 35.82085085354929)	(45, 35.79198846442404)	(50, 35.79132680034685)	(55, 35.760686063741176)	(60, 35.765481765981946)	(65, 35.708005489830455)	(70, 35.603799848104224)	(75, 35.619037808541435)	(80, 35.61190454431083)	(85, 35.61996995155733)	(90, 35.583537815821764)	(95, 35.551615697855695)	(100, 35.491616872186135)	(105, 35.46543372262674)	(110, 35.421997148937194)	(115, 35.318137230321376)	(120, 35.300851291727525)	(125, 35.22959064034377)	(130, 35.31785901169489)	(135, 35.24407484361566)	(140, 35.2343932016872)	(145, 35.25202185118728)	(150, 35.07211335610546)
14R_S14_R1	(1, 19.82608959168492)	(2, 36.16705643930192)	(3, 36.09572534366543)	(4, 36.277991857707434)	(5, 36.34362792350744)	(6, 36.39123301759185)	(7, 36.373584981279535)	(8, 36.31840575915488)	(9, 36.3497086110368)	(10, 36.40660792696701)	(15, 36.418538346001114)	(20, 36.40398974982348)	(25, 36.319031154051025)	(30, 36.26889414318654)	(35, 36.2648037422842)	(40, 36.28586132011888)	(45, 36.25344412286728)	(50, 36.218187256303146)	(55, 36.14589259704949)	(60, 36.10318973274592)	(65, 36.14535814657572)	(70, 36.12656922605079)	(75, 36.08440258640438)	(80, 36.03190107919424)	(85, 36.0633324753275)	(90, 36.03228334408227)	(95, 36.010531827273326)	(100, 35.9693681851431)	(105, 35.96366131708193)	(110, 35.95128427958897)	(115, 35.89430966346378)	(120, 35.82068398767236)	(125, 35.85830260778212)	(130, 35.816687084022305)	(135, 35.73404889465861)	(140, 35.64627408897297)	(145, 35.63948955750976)	(150, 35.5754069170677)
14R_S14_R2	(1, 19.346874820995282)	(2, 36.056539875398535)	(3, 35.95313181458561)	(4, 35.94623413770059)	(5, 35.96379880389401)	(6, 35.96812731997206)	(7, 35.88583530336987)	(8, 35.875384017702444)	(9, 35.97649983505572)	(10, 36.033936069675484)	(15, 36.042965450553105)	(20, 36.018827150679684)	(25, 35.97381703509644)	(30, 35.97439712841285)	(35, 35.93680864189942)	(40, 35.92235480028367)	(45, 35.912141136663706)	(50, 35.90474129917599)	(55, 35.889429046820865)	(60, 35.90335326052518)	(65, 35.852613970090715)	(70, 35.78081069115746)	(75, 35.798859211281396)	(80, 35.793382782888486)	(85, 35.786252064011265)	(90, 35.73988751242717)	(95, 35.70476312907679)	(100, 35.688981609642)	(105, 35.657522477370875)	(110, 35.629441921345745)	(115, 35.533303772920995)	(120, 35.48540872649512)	(125, 35.40008794012251)	(130, 35.45166655508678)	(135, 35.39277602291703)	(140, 35.36872842715205)	(145, 35.42598600811253)	(150, 35.28023378686818)
