Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
10R_S10_R1	(13.0, 19.0)	(14.0, 203.0)	(15.0, 742.0)	(16.0, 2901.0)	(17.0, 6042.0)	(18.0, 6434.0)	(19.0, 5982.0)	(20.0, 8474.0)	(21.0, 15405.0)	(22.0, 25377.0)	(23.0, 35933.0)	(24.0, 45866.0)	(25.0, 58157.0)	(26.0, 72887.0)	(27.0, 100236.0)	(28.0, 142853.0)	(29.0, 206813.0)	(30.0, 283822.0)	(31.0, 388922.0)	(32.0, 512516.0)	(33.0, 720670.0)	(34.0, 1093974.0)	(35.0, 2460369.0)	(36.0, 21327361.0)	(37.0, 1066365.0)		
10R_S10_R2	(11.0, 133.0)	(12.0, 1827.0)	(13.0, 3528.0)	(14.0, 3917.0)	(15.0, 4138.0)	(16.0, 4553.0)	(17.0, 7217.0)	(18.0, 11515.0)	(19.0, 15391.0)	(20.0, 17222.0)	(21.0, 20779.0)	(22.0, 28429.0)	(23.0, 48370.0)	(24.0, 74323.0)	(25.0, 97141.0)	(26.0, 114475.0)	(27.0, 143305.0)	(28.0, 181131.0)	(29.0, 237549.0)	(30.0, 308363.0)	(31.0, 418441.0)	(32.0, 571462.0)	(33.0, 877751.0)	(34.0, 1562954.0)	(35.0, 4509674.0)	(36.0, 18976542.0)	(37.0, 348193.0)
11R_S11_R1	(13.0, 19.0)	(14.0, 156.0)	(15.0, 549.0)	(16.0, 1952.0)	(17.0, 3720.0)	(18.0, 3692.0)	(19.0, 3035.0)	(20.0, 2759.0)	(21.0, 3068.0)	(22.0, 4294.0)	(23.0, 8713.0)	(24.0, 16498.0)	(25.0, 28704.0)	(26.0, 44342.0)	(27.0, 69117.0)	(28.0, 106417.0)	(29.0, 163529.0)	(30.0, 234813.0)	(31.0, 329720.0)	(32.0, 447530.0)	(33.0, 645253.0)	(34.0, 1001351.0)	(35.0, 2294235.0)	(36.0, 19256248.0)	(37.0, 797513.0)		
11R_S11_R2	(11.0, 122.0)	(12.0, 1823.0)	(13.0, 3718.0)	(14.0, 3815.0)	(15.0, 3402.0)	(16.0, 3421.0)	(17.0, 4889.0)	(18.0, 8125.0)	(19.0, 13240.0)	(20.0, 16299.0)	(21.0, 18499.0)	(22.0, 23461.0)	(23.0, 38048.0)	(24.0, 59981.0)	(25.0, 85703.0)	(26.0, 110270.0)	(27.0, 145269.0)	(28.0, 188068.0)	(29.0, 248783.0)	(30.0, 325140.0)	(31.0, 439989.0)	(32.0, 604969.0)	(33.0, 942013.0)	(34.0, 1723067.0)	(35.0, 4879169.0)	(36.0, 15348727.0)	(37.0, 227217.0)
12R_S12_R1	(12.0, 1.0)	(13.0, 8.0)	(14.0, 92.0)	(15.0, 322.0)	(16.0, 1127.0)	(17.0, 2137.0)	(18.0, 2150.0)	(19.0, 2250.0)	(20.0, 2490.0)	(21.0, 3225.0)	(22.0, 5178.0)	(23.0, 10830.0)	(24.0, 19972.0)	(25.0, 31869.0)	(26.0, 44753.0)	(27.0, 65713.0)	(28.0, 97583.0)	(29.0, 145333.0)	(30.0, 205127.0)	(31.0, 285531.0)	(32.0, 379569.0)	(33.0, 540206.0)	(34.0, 823002.0)	(35.0, 1849273.0)	(36.0, 15909627.0)	(37.0, 724432.0)	
12R_S12_R2	(11.0, 109.0)	(12.0, 1664.0)	(13.0, 3109.0)	(14.0, 3298.0)	(15.0, 3111.0)	(16.0, 3182.0)	(17.0, 4350.0)	(18.0, 7586.0)	(19.0, 11367.0)	(20.0, 14107.0)	(21.0, 17243.0)	(22.0, 24339.0)	(23.0, 40080.0)	(24.0, 61605.0)	(25.0, 81586.0)	(26.0, 95815.0)	(27.0, 121019.0)	(28.0, 152359.0)	(29.0, 198165.0)	(30.0, 257338.0)	(31.0, 346848.0)	(32.0, 472149.0)	(33.0, 727442.0)	(34.0, 1302862.0)	(35.0, 3658545.0)	(36.0, 13332481.0)	(37.0, 210041.0)
13R_S13_R1	(13.0, 29.0)	(14.0, 207.0)	(15.0, 569.0)	(16.0, 1700.0)	(17.0, 3510.0)	(18.0, 4381.0)	(19.0, 5347.0)	(20.0, 7406.0)	(21.0, 9843.0)	(22.0, 10939.0)	(23.0, 13373.0)	(24.0, 19619.0)	(25.0, 31824.0)	(26.0, 49020.0)	(27.0, 80231.0)	(28.0, 125379.0)	(29.0, 191251.0)	(30.0, 272739.0)	(31.0, 383926.0)	(32.0, 516913.0)	(33.0, 737981.0)	(34.0, 1151293.0)	(35.0, 2736741.0)	(36.0, 21858163.0)	(37.0, 805568.0)		
13R_S13_R2	(11.0, 180.0)	(12.0, 2236.0)	(13.0, 4375.0)	(14.0, 5054.0)	(15.0, 4760.0)	(16.0, 5180.0)	(17.0, 7034.0)	(18.0, 11143.0)	(19.0, 16472.0)	(20.0, 19480.0)	(21.0, 22135.0)	(22.0, 28086.0)	(23.0, 44389.0)	(24.0, 68230.0)	(25.0, 94647.0)	(26.0, 119667.0)	(27.0, 156739.0)	(28.0, 201660.0)	(29.0, 267111.0)	(30.0, 349070.0)	(31.0, 475130.0)	(32.0, 655213.0)	(33.0, 1024531.0)	(34.0, 1882707.0)	(35.0, 5391327.0)	(36.0, 17789642.0)	(37.0, 371754.0)
14R_S14_R1	(13.0, 18.0)	(14.0, 201.0)	(15.0, 653.0)	(16.0, 2340.0)	(17.0, 4825.0)	(18.0, 5098.0)	(19.0, 5080.0)	(20.0, 7831.0)	(21.0, 16608.0)	(22.0, 29704.0)	(23.0, 37566.0)	(24.0, 40513.0)	(25.0, 45526.0)	(26.0, 55397.0)	(27.0, 79139.0)	(28.0, 117121.0)	(29.0, 176444.0)	(30.0, 248659.0)	(31.0, 347208.0)	(32.0, 464675.0)	(33.0, 660374.0)	(34.0, 1008941.0)	(35.0, 2307150.0)	(36.0, 19917318.0)	(37.0, 869936.0)		
14R_S14_R2	(11.0, 121.0)	(12.0, 2045.0)	(13.0, 4118.0)	(14.0, 4318.0)	(15.0, 4158.0)	(16.0, 4749.0)	(17.0, 6745.0)	(18.0, 10160.0)	(19.0, 13638.0)	(20.0, 16083.0)	(21.0, 19192.0)	(22.0, 24536.0)	(23.0, 38128.0)	(24.0, 57348.0)	(25.0, 78067.0)	(26.0, 97952.0)	(27.0, 127201.0)	(28.0, 165534.0)	(29.0, 219984.0)	(30.0, 287803.0)	(31.0, 386758.0)	(32.0, 527204.0)	(33.0, 802267.0)	(34.0, 1419088.0)	(35.0, 4090282.0)	(36.0, 17515692.0)	(37.0, 525154.0)
