Sample	Unique Reads	Duplicate Reads
10R_S10_R1	2405212.0	26183111.0
10R_S10_R2	2909510.0	25678813.0
11R_S11_R1	1648069.0	23819158.0
11R_S11_R2	2231839.0	23235388.0
12R_S12_R1	2001683.0	19150117.0
12R_S12_R2	2474643.0	18677157.0
13R_S13_R1	1895145.0	27122807.0
13R_S13_R2	2577142.0	26440810.0
14R_S14_R1	2210895.0	24237430.0
14R_S14_R2	2676824.0	23771501.0
15R_S15_R1	2621095.0	24754095.0
15R_S15_R2	3353149.0	24022041.0
16R_S16_R1	1558242.0	28364183.0
16R_S16_R2	2465176.0	27457249.0
17R_S17_R1	1238118.0	18948490.0
17R_S17_R2	1348679.0	18837929.0
18R_S18_R1	1457067.0	22884530.0
18R_S18_R2	1717753.0	22623844.0
19R_S19_R1	2619560.0	26610175.0
19R_S19_R2	3015485.0	26214250.0
1R_S1_R1	2833949.0	34769548.0
1R_S1_R2	3470447.0	34133050.0
20R_S20_R1	1347924.0	20447828.0
20R_S20_R2	1828483.0	19967269.0
21R_S21_R1	1928804.0	23873979.0
21R_S21_R2	2340636.0	23462147.0
22R_S22_R1	848259.0	13113326.0
22R_S22_R2	1196735.0	12764850.0
23R_S94_R1	2176707.0	32074146.0
23R_S94_R2	3276345.0	30974508.0
24R_S23_R1	3750849.0	26199080.0
24R_S23_R2	4276260.0	25673669.0
25R_S24_R1	1685103.0	32660094.0
25R_S24_R2	2957684.0	31387513.0
26R_S25_R1	1981336.0	24483997.0
26R_S25_R2	2538582.0	23926751.0
27R_S26_R1	2084237.0	33357536.0
27R_S26_R2	2583217.0	32858556.0
28R_S27_R1	2392671.0	30445077.0
28R_S27_R2	3013969.0	29823779.0
29R_S28_R1	1778874.0	25749140.0
29R_S28_R2	2080492.0	25447522.0
2R_S8_R1	1625331.0	23272466.0
2R_S8_R2	2079933.0	22817864.0
30R_S29_R1	2283595.0	22379016.0
30R_S29_R2	2658675.0	22003936.0
31R_S30_R1	1914441.0	26281684.0
31R_S30_R2	2544203.0	25651922.0
32R_S31_R1	1903889.0	25001910.0
32R_S31_R2	2552360.0	24353439.0
33R_S32_R1	2560300.0	23517078.0
33R_S32_R2	3018484.0	23058894.0
34R_S33_R1	3010199.0	23963780.0
34R_S33_R2	3776970.0	23197009.0
35R_S34_R1	2056950.0	18514323.0
35R_S34_R2	2682543.0	17888730.0
36R_S35_R1	2660428.0	27071509.0
36R_S35_R2	3355468.0	26376469.0
37R_S36_R1	3057144.0	28529142.0
37R_S36_R2	3789288.0	27796998.0
38R_S37_R1	3264530.0	24881652.0
38R_S37_R2	4123209.0	24022973.0
39R_S38_R1	2033669.0	26235605.0
39R_S38_R2	2607505.0	25661769.0
3R_S2_R1	3578008.0	41598342.0
3R_S2_R2	4544468.0	40631882.0
40R_S39_R1	2507519.0	30124610.0
40R_S39_R2	3160063.0	29472066.0
41R_S40_R1	2090137.0	19001382.0
41R_S40_R2	2507256.0	18584263.0
42R_S41_R1	1875781.0	23028448.0
42R_S41_R2	2112647.0	22791582.0
43R_S42_R1	1643958.0	21913588.0
43R_S42_R2	2188916.0	21368630.0
44R_S43_R1	1619416.0	18706577.0
44R_S43_R2	2082297.0	18243696.0
45R_S44_R1	2687727.0	23891177.0
45R_S44_R2	3180839.0	23398065.0
46R_S45_R1	2093081.0	25051884.0
46R_S45_R2	2961664.0	24183301.0
47R_S46_R1	2332100.0	29202811.0
47R_S46_R2	3036049.0	28498862.0
48R_S47_R1	2063283.0	24421494.0
