Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
10R_S10_R1	(1.0, 6.033930908346013)	(2.0, 1.965606035888219)	(3.0, 1.027324787188047)	(4.0, 0.7466494367183758)	(5.0, 0.5813880729815145)	(6.0, 0.4900559105227019)	(7.0, 0.44504389010311657)	(8.0, 0.4041636692690229)	(9.0, 0.3606723236186777)	('>10', 7.499900271365964)	('>50', 4.522612105922335)	('>100', 14.903043586770087)	('>500', 8.417343948446158)	('>1k', 21.642468873090127)	('>5k', 9.406535529114327)	('>10k+', 21.553260650655297)
10R_S10_R2	(1.0, 7.734060594561056)	(2.0, 1.9412524626416006)	(3.0, 1.0462932663094437)	(4.0, 0.7453816947674051)	(5.0, 0.6018593015921061)	(6.0, 0.512818184506237)	(7.0, 0.45464852911931586)	(8.0, 0.40956311249904537)	(9.0, 0.3965027507391558)	('>10', 8.249547102473567)	('>50', 5.243081522458984)	('>100', 17.64673395269568)	('>500', 9.535901674798554)	('>1k', 23.67799054756193)	('>5k', 9.461109477424074)	('>10k+', 12.34325582585178)
11R_S11_R1	(1.0, 4.539158213035517)	(2.0, 1.491263194731398)	(3.0, 0.8583317171123537)	(4.0, 0.5919613721826329)	(5.0, 0.5111100770100733)	(6.0, 0.42450566942830725)	(7.0, 0.3773094685464167)	(8.0, 0.3480340526857333)	(9.0, 0.3275705213100306)	('>10', 6.536506300987531)	('>50', 3.861834782478235)	('>100', 12.659347243751812)	('>500', 7.274780435561033)	('>1k', 19.984834850907255)	('>5k', 9.105805360803798)	('>10k+', 31.10764673946786)
11R_S11_R2	(1.0, 6.698787300522456)	(2.0, 1.596025814490745)	(3.0, 0.9011618601762664)	(4.0, 0.6441792352887009)	(5.0, 0.5563283050626928)	(6.0, 0.4641512071769602)	(7.0, 0.411953708321576)	(8.0, 0.39211971705237797)	(9.0, 0.3457630687996208)	('>10', 6.824099453187466)	('>50', 4.145840932501469)	('>100', 13.685807249589244)	('>500', 7.580739682012765)	('>1k', 22.762794019933843)	('>5k', 12.071276401144818)	('>10k+', 20.918972044739036)
12R_S12_R1	(1.0, 6.9046243625561345)	(2.0, 2.277563232662121)	(3.0, 1.1686899391669727)	(4.0, 0.7696827991762425)	(5.0, 0.5783497988037096)	(6.0, 0.49870862525176046)	(7.0, 0.4567782607669349)	(8.0, 0.400074932198791)	(9.0, 0.3855710547171336)	('>10', 7.045679818770415)	('>50', 4.2733667448384764)	('>100', 13.302411202668655)	('>500', 7.2917930739126975)	('>1k', 18.994485439815637)	('>5k', 8.146397616923998)	('>10k+', 27.50582309777029)
12R_S12_R2	(1.0, 9.02465355608498)	(2.0, 2.359421836075098)	(3.0, 1.1945333725356582)	(4.0, 0.8361690050850924)	(5.0, 0.6338452651608509)	(6.0, 0.5029290825671426)	(7.0, 0.4713258380054786)	(8.0, 0.4159972914936038)	(9.0, 0.3658352888612631)	('>10', 7.604413323121357)	('>50', 4.558021422281136)	('>100', 14.346741417045978)	('>500', 7.582100532509455)	('>1k', 21.01353900313801)	('>5k', 10.646741947346174)	('>10k+', 18.443731818688693)
13R_S13_R1	(1.0, 4.29807821364858)	(2.0, 1.5776771983600977)	(3.0, 0.9703673203903973)	(4.0, 0.719328451468968)	(5.0, 0.6050974360475553)	(6.0, 0.5293224258787625)	(7.0, 0.4653802541411433)	(8.0, 0.4167244344725491)	(9.0, 0.4045698120541747)	('>10', 8.256870915035133)	('>50', 5.144485016073605)	('>100', 16.644826151786145)	('>500', 9.319953740252098)	('>1k', 22.915378871287835)	('>5k', 8.492439131841621)	('>10k+', 19.23950062726133)
13R_S13_R2	(1.0, 6.520431915749553)	(2.0, 1.6647397872195064)	(3.0, 0.9878558490560142)	(4.0, 0.7471113962626974)	(5.0, 0.6245724352134269)	(6.0, 0.5358781670753391)	(7.0, 0.4883266890700185)	(8.0, 0.47144422589534124)	(9.0, 0.4320524369878418)	('>10', 9.027344998668564)	('>50', 5.647418650460248)	('>100', 19.20928183667418)	('>500', 10.751496815659339)	('>1k', 22.949353304946648)	('>5k', 8.518715048790277)	('>10k+', 11.423976442271082)
14R_S14_R1	(1.0, 5.955672992566455)	(2.0, 1.9448412529058097)	(3.0, 1.0503719924553339)	(4.0, 0.7545706021538736)	(5.0, 0.6275547985307667)	(6.0, 0.5528542310491245)	(7.0, 0.47733999311070335)	(8.0, 0.41410220898232264)	(9.0, 0.3932218723811963)	('>10', 7.495575583309313)	('>50', 4.34668351963742)	('>100', 14.351687746531642)	('>500', 7.804245442590155)	('>1k', 21.417857061252924)	('>5k', 9.635944653455976)	('>10k+', 22.777476049086975)
14R_S14_R2	(1.0, 7.611455088579349)	(2.0, 1.9788195798327821)	(3.0, 1.099377803020176)	(4.0, 0.8212689226845679)	(5.0, 0.6346951773553022)	(6.0, 0.560934923308513)	(7.0, 0.48920148083949294)	(8.0, 0.4647650122656003)	(9.0, 0.3892006905095345)	('>10', 8.208119802824307)	('>50', 4.7984090966894835)	('>100', 15.692168742903498)	('>500', 8.537115704799794)	('>1k', 24.35998357628346)	('>5k', 9.818194955395338)	('>10k+', 14.536289442708835)
15R_S15_R1	(1.0, 6.516900144509112)	(2.0, 2.2801528337859196)	(3.0, 1.3449686963656293)	(4.0, 1.0116818265655614)	(5.0, 0.8356730658709016)	(6.0, 0.7263952113134501)	(7.0, 0.6334314616538763)	(8.0, 0.5733183596179813)	(9.0, 0.5377569988526808)	('>10', 10.588035922674994)	('>50', 6.102670356820116)	('>100', 18.94848392445889)	('>500', 9.58683652853447)	('>1k', 21.070618160012074)	('>5k', 8.324829564039868)	('>10k+', 10.918246944924388)
15R_S15_R2	(1.0, 8.99160365215326)	(2.0, 2.3422657173429515)	(3.0, 1.401644889867033)	(4.0, 1.0502236436125112)	(5.0, 0.8958410948302834)	(6.0, 0.7483112382831832)	(7.0, 0.710129798761447)	(8.0, 0.6538541264577246)	(9.0, 0.5951884538708524)	('>10', 12.122599226271209)	('>50', 7.2526701369341335)	('>100', 21.129430883817417)	('>500', 9.929214391188992)	('>1k', 20.24431437683739)	('>5k', 6.154804578107835)	('>10k+', 5.7779037916638885)
16R_S16_R1	(1.0, 3.2700838526178293)	(2.0, 1.3494965397787737)	(3.0, 0.8856153430457959)	(4.0, 0.6546927599257368)	(5.0, 0.5246673736198315)	(6.0, 0.48743372548561237)	(7.0, 0.4093845148698815)	(8.0, 0.3757070498719782)	(9.0, 0.341717199853209)	('>10', 6.828585735206127)	('>50', 4.152044848090963)	('>100', 14.451960314020598)	('>500', 8.014526579814628)	('>1k', 21.043546003234017)	('>5k', 8.169586660983107)	('>10k+', 29.040951499581862)
16R_S16_R2	(1.0, 6.0851966421613435)	(2.0, 1.4870255521975757)	(3.0, 0.9487823381435447)	(4.0, 0.729591271640311)	(5.0, 0.5980299113911451)	(6.0, 0.5299254515388336)	(7.0, 0.44516723245548495)	(8.0, 0.40855284960766663)	(9.0, 0.3627030911986008)	('>10', 7.96655760796844)	('>50', 4.87586417238263)	('>100', 16.576842886147997)	('>500', 9.233157012127673)	('>1k', 23.24680592898073)	('>5k', 8.414895797814742)	('>10k+', 18.090902254243304)
17R_S17_R1	(1.0, 3.9076186692629418)	(2.0, 1.5829354805557023)	(3.0, 1.0705882691225241)	(4.0, 0.8142137716245095)	(5.0, 0.6033818947166899)	(6.0, 0.5283597523391266)	(7.0, 0.4781411570101163)	(8.0, 0.4196319233198384)	(9.0, 0.38654633319631054)	('>10', 7.351354521191468)	('>50', 4.28683820198587)	('>100', 13.945601108593017)	('>500', 7.6675517358789)	('>1k', 18.58957421808089)	('>5k', 6.966056285025404)	('>10k+', 31.401606678096684)
