Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
10R_S10_R1	(25, 1608.0)	(30, 3668.0)	(35, 4948.0)	(40, 3499.0)	(45, 3490.0)	(50, 4026.0)	(55, 2840.0)	(60, 2905.0)	(65, 2866.0)	(70, 3191.0)	(75, 3123.0)	(80, 2817.0)	(85, 3024.0)	(90, 3059.0)	(95, 3974.0)	(100, 4984.0)	(105, 5878.0)	(110, 6619.0)	(115, 7092.0)	(120, 6429.0)	(125, 6477.0)	(130, 4513.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 28497292.0)
10R_S10_R2	(25, 343.0)	(30, 605.0)	(35, 655.0)	(40, 831.0)	(45, 1047.0)	(50, 1491.0)	(55, 1607.0)	(60, 2084.0)	(65, 2279.0)	(70, 2653.0)	(75, 2523.0)	(80, 1964.0)	(85, 1770.0)	(90, 2103.0)	(95, 2865.0)	(100, 3674.0)	(105, 4679.0)	(110, 5119.0)	(115, 6516.0)	(120, 6409.0)	(125, 5227.0)	(130, 4668.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 28527211.0)
11R_S11_R1	(25, 744.0)	(30, 1633.0)	(35, 3515.0)	(40, 1890.0)	(45, 2000.0)	(50, 2210.0)	(55, 1686.0)	(60, 1932.0)	(65, 1966.0)	(70, 2250.0)	(75, 2351.0)	(80, 2086.0)	(85, 2221.0)	(90, 2078.0)	(95, 2816.0)	(100, 3366.0)	(105, 4150.0)	(110, 5134.0)	(115, 5984.0)	(120, 5113.0)	(125, 5468.0)	(130, 3494.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 25403139.0)
11R_S11_R2	(25, 249.0)	(30, 419.0)	(35, 403.0)	(40, 541.0)	(45, 674.0)	(50, 963.0)	(55, 978.0)	(60, 1390.0)	(65, 1557.0)	(70, 1760.0)	(75, 1704.0)	(80, 1207.0)	(85, 920.0)	(90, 684.0)	(95, 769.0)	(100, 901.0)	(105, 1222.0)	(110, 1535.0)	(115, 1716.0)	(120, 1425.0)	(125, 1307.0)	(130, 869.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 25444034.0)
12R_S12_R1	(25, 578.0)	(30, 1326.0)	(35, 2924.0)	(40, 1937.0)	(45, 2137.0)	(50, 2518.0)	(55, 2105.0)	(60, 2382.0)	(65, 2835.0)	(70, 3058.0)	(75, 3283.0)	(80, 3127.0)	(85, 3435.0)	(90, 3158.0)	(95, 4606.0)	(100, 5263.0)	(105, 5793.0)	(110, 6419.0)	(115, 6669.0)	(120, 5218.0)	(125, 5203.0)	(130, 3252.0)	(135, 0.0)	(140, 3.0)	(145, 0.0)	(150, 21074571.0)
12R_S12_R2	(25, 184.0)	(30, 355.0)	(35, 414.0)	(40, 601.0)	(45, 829.0)	(50, 1255.0)	(55, 1283.0)	(60, 1754.0)	(65, 2201.0)	(70, 2330.0)	(75, 2351.0)	(80, 1589.0)	(85, 1324.0)	(90, 1212.0)	(95, 1412.0)	(100, 1536.0)	(105, 2030.0)	(110, 2271.0)	(115, 2297.0)	(120, 1781.0)	(125, 1598.0)	(130, 986.0)	(135, 0.0)	(140, 0.0)	(145, 1.0)	(150, 21120206.0)
13R_S13_R1	(25, 1225.0)	(30, 2380.0)	(35, 3934.0)	(40, 3071.0)	(45, 3254.0)	(50, 3529.0)	(55, 2618.0)	(60, 2553.0)	(65, 2625.0)	(70, 2869.0)	(75, 2931.0)	(80, 2783.0)	(85, 2827.0)	(90, 2722.0)	(95, 4149.0)	(100, 4639.0)	(105, 5852.0)	(110, 6309.0)	(115, 7285.0)	(120, 6259.0)	(125, 6652.0)	(130, 4392.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 28933093.0)
13R_S13_R2	(25, 332.0)	(30, 473.0)	(35, 531.0)	(40, 733.0)	(45, 933.0)	(50, 1290.0)	(55, 1305.0)	(60, 1759.0)	(65, 1946.0)	(70, 2199.0)	(75, 2220.0)	(80, 1834.0)	(85, 1449.0)	(90, 2034.0)	(95, 2118.0)	(100, 1857.0)	(105, 2370.0)	(110, 2718.0)	(115, 4476.0)	(120, 3780.0)	(125, 2958.0)	(130, 2271.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 28976366.0)
14R_S14_R1	(25, 1734.0)	(30, 3574.0)	(35, 4279.0)	(40, 3788.0)	(45, 3847.0)	(50, 4439.0)	(55, 3326.0)	(60, 3410.0)	(65, 3888.0)	(70, 4170.0)	(75, 4412.0)	(80, 3636.0)	(85, 3591.0)	(90, 3141.0)	(95, 3910.0)	(100, 4330.0)	(105, 5253.0)	(110, 6110.0)	(115, 6121.0)	(120, 5462.0)	(125, 5494.0)	(130, 3666.0)	(135, 2.0)	(140, 2.0)	(145, 0.0)	(150, 26356740.0)
14R_S14_R2	(25, 395.0)	(30, 665.0)	(35, 719.0)	(40, 913.0)	(45, 1229.0)	(50, 1750.0)	(55, 1672.0)	(60, 2449.0)	(65, 2978.0)	(70, 3419.0)	(75, 3554.0)	(80, 2663.0)	(85, 2166.0)	(90, 1752.0)	(95, 2689.0)	(100, 3755.0)	(105, 4791.0)	(110, 4782.0)	(115, 5712.0)	(120, 5972.0)	(125, 5643.0)	(130, 4797.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 26383860.0)
