Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
10R_S10_R1	10R_S10_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28588323.0	4.3 Gbp	0.0	25-151	54.0	8.4132657110229	150.7969426538241	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
10R_S10_R2	10R_S10_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28588323.0	4.3 Gbp	0.0	25-151	55.0	10.177265048021525	150.8882339828048	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
11R_S11_R1	11R_S11_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25467227.0	3.8 Gbp	0.0	25-151	52.0	6.471329083091941	150.8497968781603	151	pass	fail	pass	pass	fail	warn	pass	warn	fail	warn	pass
11R_S11_R2	11R_S11_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25467227.0	3.8 Gbp	0.0	25-151	54.0	8.763570743847374	150.94141403773563	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
12R_S12_R1	12R_S12_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21151800.0	3.1 Gbp	0.0	25-151	52.0	9.463415121683404	150.7836344424588	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
12R_S12_R2	12R_S12_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21151800.0	3.1 Gbp	0.0	25-151	53.0	11.69943967654874	150.9059188343309	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
13R_S13_R1	13R_S13_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29017952.0	4.3 Gbp	0.0	25-151	53.0	6.530936664049704	150.8206547794965	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
13R_S13_R2	13R_S13_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29017952.0	4.3 Gbp	0.0	25-151	53.0	8.881196243043856	150.91818188961096	151	pass	fail	pass	pass	warn	fail	pass	warn	fail	warn	pass
14R_S14_R1	14R_S14_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26448325.0	3.9 Gbp	0.0	25-151	55.0	8.359297575632686	150.76913320597808	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
14R_S14_R2	14R_S14_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26448325.0	3.9 Gbp	0.0	25-151	56.0	10.12095712456874	150.86708969282554	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
15R_S15_R1	15R_S15_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27375190.0	4.1 Gbp	0.0	25-151	54.0	9.574707283915457	150.8444566777436	151	pass	fail	pass	pass	fail	fail	pass	warn	fail	warn	pass
