Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
10R_S10_R1	91.5867342889771	54.0	150.7969426538241	151	36.36363636363637	28.588323
10R_S10_R2	89.82273495197848	55.0	150.8882339828048	151	36.36363636363637	28.588323
11R_S11_R1	93.52867091690806	52.0	150.8497968781603	151	27.27272727272727	25.467226999999998
11R_S11_R2	91.23642925615263	54.0	150.94141403773563	151	36.36363636363637	25.467226999999998
12R_S12_R1	90.5365848783166	52.0	150.7836344424588	151	36.36363636363637	21.151799999999998
12R_S12_R2	88.30056032345126	53.0	150.9059188343309	151	36.36363636363637	21.151799999999998
13R_S13_R1	93.4690633359503	53.0	150.8206547794965	151	36.36363636363637	29.017951999999998
13R_S13_R2	91.11880375695614	53.0	150.91818188961096	151	27.27272727272727	29.017951999999998
14R_S14_R1	91.64070242436732	55.0	150.76913320597808	151	36.36363636363637	26.448325
14R_S14_R2	89.87904287543125	56.0	150.86708969282554	151	36.36363636363637	26.448325
15R_S15_R1	90.42529271608454	54.0	150.8444566777436	151	36.36363636363637	27.37519
15R_S15_R2	87.7511422824397	54.0	150.9282587262408	151	27.27272727272727	27.37519
16R_S16_R1	94.7923948711078	55.0	150.7310976299548	151	27.27272727272727	29.922424999999997
16R_S16_R2	91.76144383933052	55.0	150.8992926876749	151	27.27272727272727	29.922424999999997
17R_S17_R1	93.86663791648871	55.0	150.51271040682022	151	27.27272727272727	20.186608
17R_S17_R2	93.31894206405788	55.0	150.8055453397619	151	36.36363636363637	20.186608
18R_S18_R1	94.01408629522061	52.0	150.83731691885293	151	36.36363636363637	24.341597
18R_S18_R2	92.94314058717913	52.0	150.93454965177511	151	27.27272727272727	24.341597
19R_S19_R1	91.0380319460659	56.0	150.87712950527947	151	36.36363636363637	29.229734999999998
19R_S19_R2	89.68350363114236	56.0	150.92333053994503	151	36.36363636363637	29.229734999999998
1R_S1_R1	92.46360300964179	53.0	150.26690573485757	151	36.36363636363637	37.603497
1R_S1_R2	90.77094627341958	54.0	150.61786367900837	151	36.36363636363637	37.603497
20R_S20_R1	93.8156582499764	52.0	150.76117818738257	151	36.36363636363637	21.795752
20R_S20_R2	91.61082896731335	53.0	150.88904961847612	151	36.36363636363637	21.795752
21R_S21_R1	92.52482453877748	53.0	150.86230380653126	151	36.36363636363637	25.802782999999998
21R_S21_R2	90.92874944963481	54.0	150.93624373773946	151	36.36363636363637	25.802782999999998
22R_S22_R1	93.92434043145485	53.0	150.60419529731044	151	36.36363636363637	13.961585
22R_S22_R2	91.4283777150107	54.0	150.87597310763786	151	36.36363636363637	13.961585
23R_S94_R1	93.64480991246185	53.0	150.88583145651876	151	27.27272727272727	34.250853
23R_S94_R2	90.43426990802253	54.0	150.9539833942238	151	27.27272727272727	34.250853
24R_S23_R1	87.47626764401225	53.0	150.85803498899782	151	27.27272727272727	29.949928999999997
24R_S23_R2	85.72197053079299	54.0	150.93701811446698	151	27.27272727272727	29.949928999999997
